Gym environment: Ant-v2
Random seed for environment: 0
Number of neurons: 10
Time step (delta_t): 0.050
Optimize state boundaries: False
Clipping range max: 1.00
Clipping range min: -1.00
Optimize initial states y0: True
Set principal elements of W to negative: True
Population size: 200
Number of Generations: 1500
Sigma: 1.00
Number of runs per evaluation: 1

Genome Size: 1300
Inputs: 111
Outputs: 8
--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -630.19         867.24          -2818.12        -3.11           
1       200         -585.02         867.14          -2846.32        -3.69           
2       200         -584.54         862.08          -2621.33        -4.62           
3       200         -700.66         909.25          -2880.81        -2.33           
4       200         -764.33         965.78          -2765.07        -2.53           
5       200         -636.46         931.69          -2886.76        0.04            
6       200         -656.74         879.18          -2825.16        -2.55           
7       200         -632.46         875.25          -2950.36        -0.89           
8       200         -565.32         826.29          -2556.97        -2.87           
9       200         -535.22         811.18          -2908.39        -1.69           
10      200         -554.31         858.60          -2822.44        -6.97           
11      200         -742.18         921.86          -2801.45        -2.78           
12      200         -445.02         736.81          -2476.47        -3.64           
13      200         -596.90         842.10          -2683.15        -2.16           
14      200         -578.03         843.67          -2804.26        -3.01           
15      200         -556.58         853.87          -2769.69        5.91            
16      200         -492.41         819.30          -2817.60        -3.20           
17      200         -541.55         842.52          -2690.97        -5.24           
18      200         -375.26         695.14          -2867.75        -4.99           
19      200         -417.96         766.10          -2899.47        1.69            
20      200         -398.81         747.81          -2817.94        5.39            
21      200         -414.78         776.27          -2785.07        -3.10           
22      200         -391.59         741.92          -2718.73        2.85            
23      200         -457.97         810.94          -2842.52        -0.26           
24      200         -406.15         735.26          -2693.33        25.13           
25      200         -314.44         662.62          -2680.04        1.80            
26      200         -294.50         666.46          -2700.20        4.40            
27      200         -303.72         658.01          -2845.45        -2.25           
28      200         -333.79         691.31          -2757.71        0.66            
29      200         -304.76         657.70          -2723.73        0.05            
30      200         -254.88         634.74          -2738.60        3.88            
31      200         -145.86         462.54          -2733.93        -0.18           
32      200         -196.23         528.33          -2602.22        -0.28           
33      200         -153.32         451.72          -2753.54        3.53            
34      200         -201.22         517.21          -2536.20        -0.04           
35      200         -198.86         518.61          -2530.47        7.60            
36      200         -232.16         625.46          -2898.92        -0.83           
37      200         -219.20         615.48          -2854.05        3.16            
38      200         -115.86         392.08          -2459.43        8.47            
39      200         -185.89         511.06          -2828.16        0.71            
40      200         -179.95         518.42          -2577.71        0.66            
41      200         -146.51         465.46          -2441.27        4.53            
42      200         -98.77          342.34          -2689.63        1.42            
43      200         -107.78         383.73          -2474.82        -4.14           
44      200         -72.10          269.80          -2152.31        2.24            
45      200         -107.54         392.94          -2557.46        0.47            
46      200         -167.17         525.15          -2749.63        -3.50           
47      200         -95.87          365.71          -2554.80        -0.69           
48      200         -98.27          342.43          -2403.90        10.00           
49      200         -115.73         407.73          -2770.96        3.97            
50      200         -112.90         394.19          -2626.81        0.89            
51      200         -91.29          334.83          -2459.14        -5.16           
52      200         -78.82          303.44          -2811.18        8.31            
53      200         -120.35         454.44          -2776.22        1.03            
54      200         -158.57         550.07          -2892.47        23.77           
55      200         -95.46          378.47          -2311.64        14.02           
56      200         -106.28         404.63          -2768.47        -2.53           
57      200         -73.02          286.53          -2355.51        3.16            
58      200         -58.65          238.88          -1920.86        -0.13           
59      200         -124.77         475.04          -2790.46        17.99           
60      200         -75.26          339.25          -2708.87        13.04           
61      200         -90.32          359.41          -2570.45        23.03           
62      200         -58.48          285.78          -2411.81        -0.86           
63      200         -114.99         387.71          -2530.41        2.72            
64      200         -43.53          165.05          -1802.93        2.92            
65      200         -86.92          343.48          -2323.06        -0.71           
66      200         -50.08          197.66          -2023.52        5.58            
67      200         -33.43          129.23          -1820.76        6.87            
68      200         -87.81          380.81          -2685.94        -3.26           
69      200         -39.10          173.90          -2451.69        -0.66           
70      200         -29.25          68.22           -945.21         9.69            
71      200         -26.92          61.80           -671.71         2.10            
72      200         -25.97          38.69           -491.81         -2.72           
73      200         -51.35          225.99          -2125.38        1.23            
74      200         -66.58          295.29          -2746.85        7.25            
