environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
number_neurons: 30
delta_t: 0.05
optimize_state_boundaries: False
clipping_range_max: 1.0
clipping_range_min: -1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -7.07           6.06            -22.43          28.91           
1       500         -7.22           6.97            -23.91          40.83           
2       500         -6.64           9.67            -23.24          140.02          
3       500         -7.00           8.41            -53.32          100.61          
4       500         -6.96           6.89            -22.16          29.52           
5       500         -6.50           8.98            -22.97          98.62           
6       500         -6.40           11.19           -35.99          151.83          
7       500         -5.61           7.95            -24.66          44.94           
8       500         -5.76           10.81           -28.90          158.07          
9       500         -5.42           10.23           -23.95          150.39          
10      500         -5.12           9.68            -37.74          85.39           
11      500         -4.76           9.00            -33.59          80.06           
12      500         -3.81           9.00            -24.33          57.56           
13      500         -2.53           16.96           -32.18          273.15          
14      500         -2.88           10.63           -32.47          81.28           
15      500         -1.61           13.15           -41.12          109.82          
16      500         -1.10           12.67           -73.54          117.21          
17      500         0.51            17.93           -84.23          242.76          
18      500         0.32            13.14           -59.81          69.34           
19      500         5.06            23.79           -39.64          301.02          
20      500         6.46            23.92           -43.77          195.04          
21      500         5.68            24.33           -38.59          253.95          
22      500         10.31           52.87           -45.27          954.73          
23      500         14.09           37.60           -118.63         368.47          
24      500         17.77           41.94           -49.39          296.72          
25      500         24.21           71.80           -69.27          1107.10         
26      500         22.75           47.50           -115.91         387.97          
27      500         28.66           63.95           -214.65         526.48          
28      500         27.50           56.71           -103.49         463.44          
29      500         39.43           74.52           -110.22         911.08          
30      500         46.46           77.17           -71.38          607.67          
31      500         52.44           85.80           -70.13          1003.93         
32      500         56.87           91.31           -93.79          959.97          
33      500         66.68           96.17           -154.71         585.60          
34      500         64.14           96.48           -102.63         966.12          
35      500         65.85           102.54          -125.30         1025.52         
36      500         82.41           123.20          -89.34          1018.10         
37      500         80.08           109.22          -167.47         681.41          
38      500         98.87           136.77          -127.39         1018.90         
39      500         116.26          146.58          -122.20         1018.30         
40      500         133.67          170.97          -87.27          1031.29         
41      500         134.76          163.16          -66.90          1069.74         
42      500         142.26          157.85          -123.34         995.31          
43      500         148.94          175.15          -96.26          1022.55         
44      500         162.98          174.96          -124.01         1069.01         
45      500         163.63          164.63          -60.59          1032.53         
46      500         168.26          187.69          -139.19         1077.78         
47      500         166.21          169.64          -155.05         1044.54         
48      500         183.93          199.77          -144.28         1114.54         
49      500         194.12          213.50          -149.76         1081.07         
50      500         202.94          201.34          -156.41         1107.78         
51      500         216.17          211.17          -147.19         1077.66         
52      500         219.52          217.28          -265.15         1178.64         
53      500         228.06          216.14          -82.62          1069.97         
54      500         230.13          235.34          -219.46         1087.47         
55      500         223.52          221.03          -108.41         1065.41         
56      500         209.86          226.92          -54.01          1106.06         
57      500         237.56          212.60          -44.23          1073.03         
58      500         225.51          210.10          -78.85          1081.43         
59      500         245.15          225.57          -56.52          1054.57         
60      500         237.23          226.12          -70.01          1164.71         
61      500         230.09          220.53          -114.55         1164.14         
62      500         247.01          238.34          -76.09          1084.74         
63      500         242.68          224.72          -174.54         1070.33         
64      500         238.91          230.50          -90.04          1119.46         
65      500         273.28          265.24          -85.68          1080.69         
66      500         281.81          257.46          -76.37          1087.74         
67      500         302.37          307.77          -90.00          1134.62         
68      500         268.47          279.68          -61.19          1065.60         
69      500         289.16          280.73          -93.21          1133.30         
70      500         341.27          308.35          -65.51          1141.56         
71      500         312.96          308.14          -499.31         1073.79         
72      500         337.40          323.21          -123.07         1190.64         
73      500         342.07          319.49          -253.88         1095.60         
74      500         380.20          338.94          -110.51         1086.02         
75      500         395.56          351.26          -71.69          1105.74         
