environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 5.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
population_size: 50
number_generations: 1500
sigma: 0.2
number_fitness_runs: 1

Genome Size: 860
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       50          7.30            27.61           -22.89          180.50          
1       50          6.06            17.64           -26.48          80.06           
2       50          12.48           53.77           -105.95         351.65          
3       50          11.48           47.56           -28.73          286.67          
4       50          24.59           66.36           -26.52          339.35          
5       50          17.58           39.88           -32.06          168.47          
6       50          37.52           74.08           -14.92          298.08          
7       50          27.57           76.49           -12.69          517.58          
8       50          24.67           57.58           -13.81          354.81          
9       50          28.05           62.60           -33.86          333.02          
10      50          63.97           160.97          -33.14          1092.11         
11      50          57.11           85.51           -72.28          379.85          
12      50          98.67           115.43          -35.93          444.98          
13      50          102.23          115.84          -21.60          387.92          
14      50          83.88           92.34           -13.84          367.37          
15      50          92.45           106.78          -37.18          432.19          
16      50          135.56          119.41          -54.93          417.57          
17      50          138.69          132.31          -40.32          537.21          
18      50          160.41          120.98          -10.41          491.50          
19      50          138.37          166.60          -17.01          1053.49         
20      50          151.03          118.47          -23.88          423.33          
21      50          145.25          100.30          3.32            407.74          
22      50          150.07          107.20          -42.38          368.50          
23      50          194.59          137.83          -13.63          535.93          
24      50          166.02          125.74          -16.70          421.69          
25      50          201.62          153.04          -24.84          785.36          
26      50          194.86          158.91          -30.84          972.68          
27      50          198.22          128.89          -20.48          452.24          
28      50          211.56          188.46          -10.82          918.29          
29      50          196.30          165.92          -52.93          957.52          
30      50          235.56          205.65          -59.34          1052.65         
31      50          215.73          130.18          -12.83          392.20          
32      50          226.62          158.25          -31.73          958.69          
33      50          204.94          118.87          -40.10          474.29          
34      50          252.69          161.90          -17.83          899.89          
35      50          237.59          156.16          34.22           858.21          
36      50          266.45          146.64          -19.02          753.70          
37      50          297.97          220.44          -31.24          1068.23         
38      50          340.55          276.71          11.36           1072.12         
39      50          253.96          279.04          -28.96          1028.48         
40      50          219.37          246.06          -21.95          1008.23         
41      50          262.28          199.31          -26.64          995.01          
42      50          285.19          258.33          -160.82         913.60          
43      50          223.55          212.85          -29.48          1034.95         
44      50          241.61          215.18          -12.75          931.35          
45      50          303.24          292.61          -95.86          1050.90         
46      50          356.26          345.48          -9.93           1029.77         
47      50          362.95          312.59          -29.19          1039.48         
48      50          402.05          310.31          -5.23           1035.52         
49      50          397.87          330.28          -67.12          1066.01         
50      50          405.59          337.16          -12.08          1057.59         
51      50          487.56          371.68          -9.32           1039.56         
52      50          422.31          355.98          -0.27           1093.35         
53      50          431.34          361.75          -31.11          1011.87         
54      50          487.31          364.86          -32.45          1058.55         
55      50          481.77          393.63          -16.90          1089.99         
56      50          410.31          370.57          -24.21          1076.82         
57      50          489.53          391.15          -4.98           1067.10         
58      50          449.88          359.84          -12.68          1094.29         
59      50          422.85          361.79          -19.06          1075.61         
60      50          416.34          364.72          -144.77         1075.54         
61      50          469.52          379.13          -14.58          1073.30         
62      50          500.96          391.75          -14.53          1113.58         
63      50          430.59          371.26          -16.53          1045.23         
64      50          443.83          360.42          -21.43          1079.85         
65      50          437.08          387.05          -33.38          1086.30         
66      50          433.31          420.41          -31.42          1113.33         
67      50          457.54          378.76          -21.58          1056.12         
68      50          493.97          422.57          -24.64          1069.19         
69      50          427.57          392.95          -15.30          1132.92         
70      50          517.79          403.75          -1.91           1051.74         
71      50          631.20          409.97          -14.75          1050.62         
72      50          530.36          391.32          -21.62          1044.99         
73      50          493.37          386.68          -21.08          1101.90         
74      50          576.13          412.31          -17.25          1059.30         
75      50          609.51          380.22          -17.10          1057.06         
76      50          663.02          377.63          11.63           1085.20         
77      50          566.75          405.15          -11.34          1050.41         
78      50          673.76          389.20          -19.37          1079.14         
79      50          635.74          383.24          -11.94          1056.85         
80      50          558.46          399.12          -13.66          1110.97         
81      50          635.16          414.42          -16.19          1074.94         
82      50          560.31          447.40          -21.75          1061.62         
83      50          510.31          405.99          -24.90          1031.06         
84      50          586.78          434.80          -30.81          1095.22         
85      50          757.39          362.54          -62.29          1066.83         
86      50          757.34          347.95          41.36           1071.20         
87      50          636.29          381.69          7.83            1070.77         
88      50          757.68          365.54          31.79           1080.07         
89      50          672.90          406.15          35.13           1072.62         
90      50          664.22          439.65          27.44           1070.48         
91      50          610.46          419.43          -17.35          1057.69         
92      50          755.96          400.86          34.94           1069.18         
93      50          754.76          384.72          -11.65          1079.32         
94      50          877.79          288.98          47.69           1083.20         
95      50          715.70          407.99          44.78           1083.30         
96      50          731.62          413.79          41.25           1079.59         
97      50          790.97          400.27          43.99           1086.04         
98      50          687.29          435.25          42.14           1075.20         
99      50          715.56          420.81          30.90           1193.60         
100     50          625.77          430.35          37.73           1117.88         
101     50          602.62          431.02          1.88            1129.79         
102     50          663.46          431.72          45.52           1084.47         
103     50          744.17          385.61          43.96           1082.82         
104     50          729.56          409.78          31.20           1080.88         
105     50          697.73          428.42          41.95           1121.51         
106     50          721.66          416.94          43.35           1095.95         
107     50          687.79          444.77          48.31           1203.94         
108     50          786.07          379.01          42.12           1158.24         
109     50          718.29          419.81          68.05           1195.18         
