environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
population_size: 100
number_generations: 1500
sigma: 0.2
number_fitness_runs: 5

Genome Size: 900
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         21.40           41.66           -18.58          221.13          
1       100         19.34           41.08           -33.19          347.15          
2       100         19.28           30.37           -31.82          164.77          
3       100         21.76           46.96           -28.60          303.53          
4       100         14.68           24.18           -23.11          165.69          
5       100         25.51           52.42           -9.61           343.47          
6       100         30.76           51.97           -26.58          278.81          
7       100         32.54           61.69           -33.15          290.22          
8       100         36.05           54.93           -19.84          270.53          
9       100         51.21           67.41           -32.52          264.03          
10      100         77.64           95.56           -33.38          350.27          
11      100         97.20           106.84          -20.97          438.19          
12      100         134.70          132.71          -14.50          692.74          
13      100         177.87          132.90          -27.58          771.62          
14      100         195.52          139.88          0.20            960.13          
15      100         198.74          149.63          -30.11          1005.91         
16      100         222.60          141.53          -25.09          596.39          
17      100         248.07          138.40          -12.97          989.78          
18      100         258.87          148.43          -12.61          866.20          
19      100         238.24          167.48          -20.33          886.97          
20      100         270.47          157.73          -18.63          873.45          
21      100         280.57          195.12          -2.84           898.04          
22      100         283.61          197.20          -10.52          1059.89         
23      100         305.79          221.61          3.92            1026.21         
24      100         385.94          291.43          8.36            1044.60         
25      100         378.10          271.63          2.75            1028.90         
26      100         385.85          285.84          0.80            1060.01         
27      100         428.61          287.22          2.76            983.85          
28      100         404.97          277.50          10.63           1057.06         
29      100         415.18          313.64          5.88            1044.49         
30      100         419.58          284.72          -11.09          1053.82         
31      100         470.93          315.80          19.46           1057.90         
32      100         438.90          325.51          4.74            1057.08         
33      100         535.71          336.74          -4.33           1052.32         
34      100         459.10          307.09          5.53            1053.68         
35      100         560.59          374.08          17.92           1059.03         
36      100         525.52          345.74          13.23           1049.04         
37      100         544.50          355.76          47.41           1060.09         
38      100         560.89          349.40          11.70           1057.01         
39      100         527.66          351.80          13.89           1071.70         
40      100         572.28          365.53          4.71            1055.55         
41      100         528.86          367.06          20.44           1060.36         
42      100         660.66          356.60          31.73           1068.55         
43      100         597.38          396.09          30.34           1066.34         
44      100         564.30          373.36          8.67            1061.06         
45      100         559.82          370.89          -11.73          1064.61         
46      100         585.12          382.21          9.67            1070.55         
47      100         604.83          373.43          30.46           1062.09         
48      100         594.12          385.80          -15.08          1069.59         
49      100         597.55          379.60          39.77           1074.04         
50      100         704.32          372.09          63.56           1061.96         
51      100         678.93          381.39          24.55           1061.53         
52      100         640.45          385.15          40.11           1063.59         
53      100         696.81          362.23          59.30           1067.07         
54      100         660.17          388.85          -14.36          1068.78         
55      100         560.93          395.61          -9.87           1063.48         
56      100         625.65          389.52          4.92            1069.13         
57      100         613.97          384.61          4.42            1066.46         
58      100         714.41          361.60          -9.83           1064.94         
59      100         639.82          413.55          -13.88          1074.06         
60      100         693.39          384.81          21.46           1064.44         
61      100         586.59          407.72          1.82            1076.12         
62      100         654.64          386.51          25.82           1060.72         
63      100         665.83          397.89          10.49           1071.57         
64      100         650.33          412.90          -1.41           1072.11         
65      100         658.52          405.68          -27.23          1067.93         
66      100         610.41          433.55          -12.94          1075.97         
67      100         696.67          385.97          16.30           1071.55         
68      100         645.35          404.06          -37.33          1073.46         
69      100         680.00          372.85          -6.13           1070.30         
70      100         666.80          383.09          -7.32           1071.45         
71      100         678.98          422.75          -9.04           1075.33         
72      100         563.47          401.57          3.74            1065.42         
73      100         712.95          388.30          -8.55           1069.42         
74      100         653.81          425.41          8.07            1068.67         
75      100         637.89          425.86          3.72            1073.24         
76      100         679.80          405.17          24.45           1071.83         
77      100         683.45          392.37          -16.65          1072.14         
78      100         696.96          398.49          -4.88           1073.11         
79      100         704.21          361.72          -2.23           1077.48         
80      100         651.67          414.80          48.82           1079.55         
81      100         698.73          402.21          -11.79          1076.76         
82      100         763.18          377.87          56.90           1076.80         
83      100         628.67          410.09          -3.38           1078.46         
84      100         716.24          374.82          -8.86           1073.85         
85      100         724.96          382.57          39.23           1074.99         
86      100         680.76          362.19          -4.75           1072.61         
87      100         627.90          414.89          10.18           1070.99         
88      100         758.75          372.57          49.63           1076.18         
89      100         725.70          389.65          13.13           1079.23         
90      100         642.41          420.54          38.12           1075.06         
91      100         697.75          410.37          42.64           1074.98         
92      100         641.21          406.02          6.98            1081.76         
93      100         707.62          387.12          13.58           1082.18         
94      100         621.35          387.52          -11.40          1081.01         
95      100         704.27          406.41          53.74           1078.59         
96      100         732.29          398.21          11.13           1076.87         
97      100         720.33          410.06          -9.13           1075.85         
98      100         773.10          384.59          45.92           1078.36         
99      100         650.62          398.29          -6.89           1076.96         
100     100         767.91          379.10          7.81            1079.51         
101     100         771.97          382.55          57.08           1078.56         
102     100         719.48          393.02          35.15           1081.31         
103     100         782.01          390.31          16.54           1083.71         
104     100         710.85          392.59          38.46           1080.12         
105     100         711.24          393.37          47.08           1080.01         
106     100         786.94          382.45          -14.98          1077.91         
107     100         730.41          382.93          -6.97           1081.40         
108     100         784.80          370.57          -23.77          1080.88         
109     100         789.96          367.56          70.95           1081.71         
110     100         780.18          382.97          58.59           1079.98         
111     100         746.17          396.12          -15.22          1086.58         
112     100         868.39          342.29          -8.72           1078.68         
113     100         838.02          336.32          95.89           1079.07         
114     100         767.95          388.61          -8.85           1079.96         
115     100         743.33          376.32          16.79           1081.51         
116     100         842.80          342.73          60.61           1081.28         
117     100         701.20          397.65          11.50           1076.94         
118     100         822.53          352.19          60.06           1080.47         
119     100         738.82          388.16          8.57            1080.55         
120     100         756.90          387.99          9.47            1085.36         
121     100         766.18          399.35          57.75           1083.61         
122     100         773.60          381.31          2.16            1078.83         
123     100         818.22          355.77          6.83            1081.85         
124     100         770.87          392.67          7.35            1082.65         
