environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 5
number_neurons: 30
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 1410
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         10.15           15.77           -1.49           148.91          
1       200         8.07            11.10           -1.18           69.34           
2       200         7.93            11.90           -1.39           96.52           
3       200         10.14           16.86           -1.38           126.18          
4       200         7.81            9.64            -1.47           76.41           
5       200         8.91            11.06           -1.49           60.25           
6       200         11.16           13.85           -1.43           85.04           
7       200         11.12           16.19           -1.34           98.98           
8       200         17.49           33.36           -1.54           409.19          
9       200         12.35           17.00           -1.47           114.51          
10      200         16.60           22.08           -1.40           155.95          
11      200         18.36           20.79           -1.40           97.81           
12      200         16.65           19.53           -1.60           102.13          
13      200         21.73           25.41           -1.73           168.25          
14      200         28.69           45.59           -1.01           568.10          
15      200         26.64           24.50           -1.25           125.96          
16      200         27.30           26.70           -1.46           146.01          
17      200         30.22           25.64           -1.29           114.74          
18      200         41.77           35.36           -1.45           167.55          
19      200         40.33           32.94           -1.37           145.34          
20      200         48.04           39.81           -1.01           208.34          
21      200         53.98           71.49           -0.89           857.70          
22      200         56.76           52.87           -1.25           446.02          
23      200         62.95           47.69           -1.63           213.85          
24      200         67.71           54.57           0.32            304.02          
25      200         64.07           53.79           -1.55           300.15          
26      200         77.94           80.19           -1.16           794.21          
27      200         74.73           59.75           -0.18           337.49          
28      200         85.23           115.47          -0.02           1014.15         
29      200         86.32           82.04           -1.09           657.91          
30      200         87.78           91.59           -1.03           985.71          
31      200         97.03           83.70           -0.39           661.24          
32      200         102.68          91.06           0.14            685.37          
33      200         103.28          109.16          5.27            1004.05         
34      200         100.36          86.55           0.27            635.21          
35      200         124.57          110.11          1.40            844.80          
36      200         113.25          116.99          1.54            1002.35         
