environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 5
number_neurons: 30
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 1350
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         8.60            10.91           -1.35           62.42           
1       200         10.10           15.15           -1.57           147.99          
2       200         7.39            11.40           -0.76           121.19          
3       200         9.25            12.76           -0.96           125.17          
4       200         7.10            8.03            -1.62           47.02           
5       200         9.94            11.37           -1.35           72.34           
6       200         12.16           15.95           -1.38           124.79          
7       200         12.64           14.08           -1.33           72.82           
8       200         12.73           13.62           -1.39           76.65           
9       200         15.18           15.06           -1.36           81.49           
10      200         20.81           20.90           -1.41           101.84          
11      200         22.48           21.46           -0.50           129.10          
12      200         26.94           22.19           1.20            107.34          
13      200         28.69           26.27           -1.39           214.50          
14      200         36.24           27.61           0.71            153.71          
15      200         40.39           32.05           0.59            211.02          
16      200         45.18           35.63           1.54            271.11          
17      200         48.08           33.20           3.25            152.00          
18      200         58.82           60.37           0.57            630.19          
19      200         53.74           38.58           0.13            270.79          
20      200         63.75           43.10           5.13            344.40          
21      200         66.83           40.69           2.44            238.50          
22      200         76.69           76.29           6.52            992.05          
23      200         78.66           47.82           3.86            328.74          
24      200         79.02           43.16           -0.88           224.97          
25      200         88.21           54.82           5.00            407.69          
26      200         91.63           52.50           5.00            421.36          
27      200         95.88           60.67           3.75            383.97          
28      200         107.36          62.40           1.58            306.75          
29      200         119.17          95.99           2.55            813.70          
30      200         105.72          79.22           0.52            866.70          
31      200         112.54          67.77           7.79            505.50          
32      200         115.33          70.70           2.84            452.16          
33      200         111.93          65.54           7.25            387.63          
34      200         123.67          77.49           5.85            740.91          
35      200         121.00          78.78           7.49            747.25          
36      200         127.09          72.31           7.17            373.71          
37      200         140.19          89.74           11.29           691.96          
38      200         126.77          101.62          6.84            984.41          
39      200         131.71          87.21           9.54            621.67          
40      200         143.92          94.91           8.12            869.61          
41      200         151.62          102.29          6.93            1004.99         
42      200         160.80          130.05          10.70           1006.89         
43      200         151.17          102.62          2.85            851.14          
44      200         153.82          89.19           12.55           687.31          
45      200         160.14          96.49           25.39           763.77          
46      200         164.19          109.39          7.68            840.25          
47      200         171.42          109.91          14.38           599.98          
48      200         183.18          96.72           17.21           698.67          
49      200         167.62          109.36          6.85            689.91          
50      200         189.69          121.67          14.98           833.21          
51      200         184.95          118.91          13.11           907.52          
52      200         199.80          157.07          4.79            1015.97         
53      200         207.90          155.35          15.29           1020.86         
54      200         200.78          147.61          11.38           1018.51         
55      200         213.00          144.98          11.64           984.26          
56      200         190.06          145.37          12.83           1008.92         
57      200         203.56          136.09          10.00           824.11          
58      200         204.03          132.63          12.82           992.96          
59      200         209.99          144.85          9.02            1028.68         
60      200         238.43          189.46          16.97           1018.51         
