environment: HalfCheetah-v2
neural_network_type: LNN
random_seed_for_environment: 4
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
use_biases: False
number_neurons_layer1: 64
number_neurons_layer2: 32

Genome Size: 3328
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -577.69         174.38          -1625.92        -288.46         
1       200         -568.10         143.29          -1491.70        -246.85         
2       200         -558.67         124.62          -990.63         -132.71         
3       200         -562.96         150.53          -1359.93        12.67           
4       200         -563.36         164.20          -1895.67        -270.12         
5       200         -565.64         156.86          -1507.79        -151.81         
6       200         -546.13         118.02          -1108.35        -123.27         
7       200         -549.87         125.91          -1084.68        -124.80         
8       200         -567.77         127.45          -1008.07        -234.45         
9       200         -559.74         135.54          -1151.02        -241.71         
10      200         -561.10         131.90          -1154.89        -275.24         
11      200         -555.67         138.06          -1034.23        -191.00         
12      200         -532.14         127.61          -1076.89        -28.88          
13      200         -541.78         128.87          -1264.89        -237.99         
14      200         -544.14         142.27          -1347.83        -245.35         
15      200         -534.86         132.87          -1098.91        -213.95         
16      200         -530.11         124.33          -1060.47        -193.23         
17      200         -525.29         116.37          -944.66         -183.12         
18      200         -511.59         135.38          -1197.30        227.60          
19      200         -516.28         122.36          -912.57         -97.23          
20      200         -518.17         128.92          -1056.78        -87.72          
21      200         -508.79         125.80          -898.06         -250.52         
22      200         -511.54         138.64          -1196.89        355.06          
23      200         -499.09         147.97          -1357.89        -151.04         
24      200         -487.38         116.90          -779.99         -63.71          
25      200         -483.63         132.82          -1086.12        -147.17         
26      200         -463.25         152.63          -1174.93        -57.43          
27      200         -460.43         173.65          -2182.31        -30.74          
28      200         -456.34         133.98          -1010.85        -28.67          
29      200         -440.40         159.33          -1314.64        558.91          
30      200         -434.56         151.97          -1406.87        266.49          
31      200         -440.51         150.75          -1290.84        -76.38          
32      200         -445.50         152.43          -975.97         -50.94          
33      200         -432.33         144.14          -1051.73        -11.29          
34      200         -405.87         138.07          -759.83         -7.12           
35      200         -376.25         135.30          -771.23         -16.33          
36      200         -371.39         149.93          -1109.06        63.38           
37      200         -411.35         193.62          -1716.32        -20.18          
38      200         -349.09         155.43          -958.54         171.08          
39      200         -342.74         134.89          -893.49         0.99            
40      200         -332.74         164.24          -946.68         -1.93           
41      200         -316.29         174.08          -973.65         91.76           
42      200         -306.55         147.28          -774.72         53.88           
43      200         -272.59         138.13          -694.46         8.85            
44      200         -279.39         144.18          -747.10         98.83           
45      200         -276.45         163.53          -780.70         130.37          
46      200         -266.17         170.49          -975.46         161.70          
47      200         -248.76         162.87          -1030.08        109.68          
48      200         -236.51         169.13          -878.55         186.99          
49      200         -181.36         165.69          -817.87         227.64          
50      200         -178.86         161.88          -766.58         305.87          
51      200         -172.88         170.52          -997.23         230.73          
52      200         -159.20         183.85          -1387.41        175.33          
53      200         -130.31         180.13          -751.99         268.01          
54      200         -94.20          158.60          -676.08         227.27          
55      200         -99.49          193.04          -923.05         252.32          
56      200         -99.27          181.64          -709.49         325.89          
57      200         -75.01          187.80          -842.00         378.60          
58      200         -91.29          186.77          -745.42         390.42          
59      200         -50.83          185.10          -916.55         309.45          
60      200         -41.09          165.70          -527.28         351.16          
61      200         -14.74          180.44          -585.25         349.34          
62      200         -29.94          184.74          -740.64         441.93          
63      200         2.51            181.47          -863.88         363.61          
64      200         19.62           211.33          -1072.03        460.44          
65      200         41.39           170.95          -476.34         424.15          
66      200         56.99           199.17          -787.35         537.27          
67      200         49.75           212.05          -750.33         512.31          
68      200         61.14           200.41          -747.86         600.28          
69      200         75.24           222.44          -792.66         501.68          
70      200         74.19           230.80          -1199.58        648.83          
71      200         94.13           213.32          -870.40         627.63          
72      200         135.91          191.96          -512.06         546.71          
73      200         124.13          218.20          -654.25         653.38          
74      200         133.51          213.39          -625.84         576.14          
75      200         144.49          216.42          -668.94         587.05          
76      200         132.51          259.90          -1002.78        693.57          
77      200         164.49          224.84          -547.73         647.55          
78      200         166.36          252.23          -943.47         633.85          
79      200         190.20          224.31          -533.57         798.85          
80      200         195.33          240.98          -968.00         682.48          
81      200         185.69          229.78          -551.37         587.07          
82      200         251.38          206.98          -741.48         640.75          
83      200         252.44          199.11          -364.40         726.24          
84      200         236.89          200.00          -614.61         586.88          
85      200         246.16          227.15          -693.99         637.39          
86      200         286.60          201.90          -456.49         694.53          
87      200         273.54          238.89          -733.72         667.15          
88      200         256.71          250.96          -577.34         664.15          
89      200         274.32          231.12          -545.18         710.55          
90      200         325.07          221.17          -710.68         692.60          
91      200         325.63          210.68          -388.57         735.88          
92      200         317.23          231.46          -757.32         730.62          
93      200         365.44          209.63          -601.87         732.85          
94      200         389.87          183.57          -189.00         744.18          
95      200         370.03          211.05          -430.06         799.32          
96      200         341.60          237.12          -502.21         763.04          
97      200         363.33          278.10          -957.18         778.28          
98      200         362.49          230.82          -611.95         739.10          
99      200         384.44          214.93          -303.36         765.15          
100     200         392.87          230.96          -446.35         751.60          
101     200         388.10          227.91          -459.04         742.98          
102     200         423.09          218.48          -499.55         745.01          
103     200         435.07          221.21          -447.00         820.29          
104     200         443.88          225.05          -889.89         763.84          
105     200         440.10          214.89          -373.79         773.62          
106     200         428.32          234.25          -544.94         799.23          
107     200         422.09          266.40          -800.50         838.07          
108     200         443.47          228.65          -509.19         808.75          
109     200         451.79          234.59          -681.88         819.40          
110     200         481.89          222.93          -475.88         799.56          
111     200         439.16          279.90          -627.42         832.95          
112     200         472.57          261.05          -1120.13        811.47          
113     200         486.94          206.58          -403.46         776.67          
114     200         464.18          266.95          -513.98         801.50          
115     200         484.33          255.36          -916.41         841.04          
116     200         508.99          232.84          -569.39         810.32          
117     200         523.56          213.78          -525.11         835.35          
118     200         487.92          249.82          -611.68         802.11          
119     200         501.64          236.02          -549.33         835.19          
120     200         488.49          251.60          -505.70         822.56          
121     200         527.52          208.73          -591.74         785.01          
122     200         497.22          224.21          -304.46         836.31          
123     200         526.43          238.53          -351.07         867.03          
124     200         529.78          249.12          -521.66         833.70          
125     200         567.45          190.66          -395.04         857.31          
126     200         547.99          223.68          -479.47         859.17          
127     200         546.08          235.92          -566.18         808.80          
128     200         543.71          232.41          -396.61         822.73          
129     200         517.06          273.04          -865.85         831.94          
130     200         524.82          234.44          -409.50         800.33          
131     200         550.63          214.06          -410.45         856.55          
132     200         549.11          221.52          -269.42         832.41          
133     200         500.04          269.95          -706.74         853.49          
134     200         552.84          210.99          -212.34         851.06          
135     200         531.58          231.74          -523.60         810.54          
136     200         564.52          232.47          -454.99         849.26          
137     200         540.03          257.85          -401.83         857.11          
138     200         533.37          287.00          -715.79         859.61          
139     200         530.90          281.03          -646.69         809.24          
140     200         550.80          239.13          -419.65         840.04          
141     200         577.02          230.93          -385.19         861.53          
142     200         525.88          281.88          -972.70         826.12          
143     200         552.52          262.93          -453.58         849.44          
144     200         553.42          257.81          -653.46         819.97          
145     200         608.55          204.74          -613.25         845.59          
146     200         596.98          210.19          -173.52         874.40          
147     200         622.76          214.38          -406.75         844.54          
148     200         567.93          260.99          -568.23         867.40          
149     200         576.86          249.44          -452.68         859.19          
150     200         601.54          214.62          -343.99         869.14          
151     200         593.11          220.95          -517.11         870.49          
152     200         597.71          209.98          -206.33         840.43          
153     200         613.58          210.56          -655.20         880.70          
154     200         599.05          224.86          -618.98         884.80          
155     200         562.49          272.87          -560.25         890.25          
156     200         597.16          249.90          -733.94         873.75          
157     200         597.26          258.30          -637.04         869.10          
158     200         574.99          271.66          -560.45         859.65          
159     200         586.38          257.45          -614.86         853.47          
160     200         586.57          290.45          -700.21         875.65          
161     200         578.60          291.41          -488.42         870.90          
162     200         615.45          271.02          -876.96         890.35          
163     200         626.63          226.94          -605.48         843.45          
164     200         627.88          229.75          -533.03         832.45          
165     200         626.43          230.04          -466.91         880.08          
166     200         639.57          246.60          -677.82         878.80          
167     200         669.72          186.29          -212.17         902.85          
168     200         651.89          181.75          -279.80         860.39          
169     200         653.43          215.67          -471.70         871.59          
170     200         633.58          225.67          -494.07         880.59          
171     200         674.17          152.06          -139.53         925.13          
172     200         643.37          225.78          -557.59         883.45          
173     200         669.27          202.68          -754.56         861.93          
174     200         685.91          175.16          -399.14         886.96          
175     200         660.29          177.46          -172.09         868.22          
176     200         634.26          213.55          -502.75         864.18          
177     200         680.56          142.20          51.05           907.14          
178     200         657.26          209.73          -350.76         880.47          
179     200         679.21          156.62          -162.39         868.85          
