environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 880
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -556.28         39.60           -717.14         -400.66         
1       200         -555.03         37.01           -641.33         -436.11         
2       200         -553.30         42.03           -828.84         -428.16         
3       200         -555.74         52.25           -1050.91        -425.29         
4       200         -547.32         36.38           -642.99         -376.46         
5       200         -545.23         39.38           -656.30         -421.53         
6       200         -544.41         40.41           -671.12         -399.94         
7       200         -547.54         38.15           -672.96         -352.02         
8       200         -544.59         38.18           -645.29         -424.51         
9       200         -542.06         41.72           -613.13         -411.10         
10      200         -544.40         41.94           -718.14         -381.94         
11      200         -537.42         42.27           -665.50         -393.73         
12      200         -544.19         36.60           -649.70         -419.18         
13      200         -542.64         41.39           -658.68         -378.48         
14      200         -543.93         41.47           -737.67         -321.39         
15      200         -541.10         39.78           -653.99         -418.55         
16      200         -532.90         48.91           -799.23         -296.35         
17      200         -540.49         35.80           -617.09         -443.48         
18      200         -539.40         47.87           -775.53         -344.98         
19      200         -532.54         53.39           -618.31         -126.97         
20      200         -541.82         43.44           -716.90         -391.56         
21      200         -541.71         43.15           -688.92         -357.99         
22      200         -542.53         41.20           -720.70         -434.77         
23      200         -537.74         41.73           -623.85         -339.92         
24      200         -539.55         42.31           -670.09         -417.89         
25      200         -541.23         40.94           -619.32         -375.85         
26      200         -540.34         41.70           -628.90         -349.37         
27      200         -540.50         53.53           -909.49         -375.01         
28      200         -535.69         45.20           -624.64         -406.04         
29      200         -537.47         44.15           -642.88         -390.08         
30      200         -534.45         43.41           -720.92         -395.68         
31      200         -539.63         42.47           -727.79         -377.29         
32      200         -538.16         43.47           -691.87         -368.10         
33      200         -532.36         56.95           -659.17         8.72            
34      200         -535.12         43.41           -640.92         -373.09         
35      200         -533.10         53.84           -988.89         -364.53         
36      200         -537.36         43.46           -645.95         -288.28         
37      200         -534.25         41.40           -649.06         -417.49         
38      200         -528.74         49.03           -817.51         -363.85         
39      200         -534.77         45.60           -644.47         -361.93         
40      200         -532.34         48.03           -657.85         -307.01         
41      200         -532.45         42.03           -660.81         -407.41         
42      200         -535.29         47.76           -697.45         -334.48         
43      200         -535.44         48.12           -655.96         -379.83         
44      200         -533.64         52.00           -771.71         -360.50         
45      200         -535.77         56.77           -797.11         -308.37         
46      200         -535.77         49.33           -804.88         -223.22         
47      200         -535.05         52.28           -655.57         -247.19         
48      200         -535.94         50.19           -734.09         -400.68         
49      200         -534.25         48.12           -742.75         -382.90         
50      200         -540.69         74.99           -1104.72        -312.11         
51      200         -530.55         72.76           -896.49         -151.94         
52      200         -543.19         64.11           -858.77         -238.87         
53      200         -540.77         59.94           -832.74         -214.38         
54      200         -540.26         51.60           -685.41         -324.82         
55      200         -536.98         47.04           -746.29         -353.06         
56      200         -542.78         87.36           -1468.23        -354.84         
57      200         -532.19         66.14           -828.12         -228.21         
58      200         -539.48         69.23           -808.12         -309.41         
59      200         -532.59         55.46           -716.82         -296.61         
60      200         -534.40         70.95           -812.39         -256.42         
61      200         -536.14         50.28           -647.97         -302.60         
62      200         -537.77         56.57           -720.45         -332.39         
63      200         -533.37         68.37           -704.79         -51.65          
64      200         -538.74         77.76           -937.63         -184.96         
65      200         -531.26         68.86           -784.47         -283.32         
66      200         -527.99         85.01           -1063.48        -157.57         
67      200         -528.41         78.75           -849.78         34.54           
68      200         -521.89         99.99           -1094.52        -97.88          
69      200         -517.38         61.86           -639.70         -129.24         
70      200         -511.77         105.51          -762.03         -9.61           
71      200         -519.00         96.31           -855.50         -106.43         
72      200         -507.93         111.75          -923.84         71.10           
73      200         -479.41         121.39          -946.36         5.81            
74      200         -482.09         140.96          -1098.59        -6.12           
75      200         -458.71         202.34          -1524.18        307.56          
76      200         -420.20         222.98          -1072.74        988.51          
77      200         -379.63         234.75          -941.15         585.34          
78      200         -371.73         290.47          -1755.33        820.09          
79      200         -295.32         296.83          -1115.45        1038.59         
80      200         -261.51         343.30          -1203.31        1051.23         
81      200         -244.13         356.18          -1003.03        1113.18         
82      200         -90.54          437.76          -1461.10        1452.77         
83      200         42.39           499.29          -825.53         1394.17         
84      200         77.98           525.93          -1215.47        1446.88         
85      200         218.17          598.47          -967.89         1452.99         
86      200         356.48          584.55          -815.96         1435.99         
87      200         477.09          633.33          -844.40         1508.87         
88      200         647.83          670.82          -988.73         1533.49         
89      200         731.73          637.75          -1063.74        1489.43         
90      200         741.94          657.56          -739.98         1486.93         
91      200         843.73          657.79          -1162.80        1489.25         
92      200         936.43          649.65          -1546.69        1519.73         
93      200         950.52          696.20          -1458.59        1550.48         
94      200         1046.45         592.88          -1337.80        1552.18         
95      200         928.17          780.72          -1885.27        1524.02         
96      200         1029.14         670.57          -1453.25        1530.07         
97      200         1110.66         552.18          -1312.23        1550.97         
98      200         1067.88         590.84          -620.85         1555.11         
99      200         1123.91         557.48          -976.42         1527.66         
100     200         1050.43         703.71          -1818.55        1521.67         
101     200         1122.42         618.27          -1479.34        1533.37         
102     200         1052.51         743.86          -1769.50        1546.88         
103     200         1184.56         554.36          -1393.90        1542.39         
104     200         1135.50         655.97          -1919.19        1557.37         
105     200         1166.46         642.42          -1800.50        1596.65         
106     200         1264.70         447.53          -1234.28        1590.45         
107     200         1236.09         508.50          -1628.12        1538.19         
108     200         1257.09         511.59          -1251.30        1571.54         
109     200         1272.78         448.91          -1341.50        1574.89         
110     200         1300.38         374.39          -757.91         1573.50         
111     200         1300.61         455.73          -1541.70        1551.56         
112     200         1317.08         429.11          -1437.90        1568.53         
113     200         1335.22         395.34          -1855.26        1566.33         
114     200         1357.64         302.13          -1474.85        1560.73         
115     200         1307.26         449.81          -1417.14        1581.85         
116     200         1278.74         493.25          -1605.20        1554.18         
117     200         1288.59         470.03          -1246.10        1561.12         
118     200         1233.47         594.37          -1637.22        1563.56         
119     200         1293.38         493.97          -1810.14        1612.07         
