environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True

Genome Size: 3750
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -6.01           18.89           -43.17          383.49          
1       500         -6.76           10.59           -43.87          135.85          
2       500         -6.30           15.26           -44.25          239.76          
3       500         -6.46           9.98            -36.66          81.69           
4       500         -6.62           11.40           -92.34          152.98          
5       500         -6.62           10.30           -71.32          87.21           
6       500         -6.71           11.35           -58.49          142.86          
7       500         -6.22           10.77           -34.63          146.96          
8       500         -5.37           16.13           -26.01          205.52          
9       500         -5.71           16.08           -29.69          243.94          
10      500         -6.18           12.12           -79.29          130.21          
11      500         -6.17           8.96            -23.89          69.82           
12      500         -5.01           15.35           -116.88         169.28          
13      500         -5.70           10.32           -57.91          107.79          
14      500         -5.62           11.13           -64.49          91.86           
15      500         -4.50           14.99           -97.95          182.17          
16      500         -5.44           16.10           -169.64         150.93          
17      500         -4.20           12.28           -136.66         67.80           
18      500         -1.65           22.68           -69.23          317.50          
19      500         -3.60           18.15           -166.66         218.63          
20      500         -2.10           23.57           -86.34          341.24          
21      500         -1.66           17.29           -71.73          118.34          
22      500         -0.61           21.95           -158.71         269.29          
23      500         -1.93           22.41           -106.69         260.37          
24      500         2.76            27.10           -80.85          266.67          
25      500         4.82            34.18           -68.46          409.97          
26      500         9.07            42.75           -61.75          398.45          
27      500         13.47           68.93           -119.53         875.71          
28      500         13.97           57.36           -124.76         664.96          
29      500         26.87           86.07           -60.32          1002.13         
30      500         15.45           55.28           -250.32         357.73          
31      500         26.27           78.12           -98.76          904.35          
32      500         31.44           92.61           -129.97         1059.61         
33      500         35.44           90.30           -94.25          802.29          
34      500         38.29           85.54           -171.26         519.64          
35      500         54.41           115.07          -112.03         996.76          
36      500         61.57           110.95          -88.70          945.57          
37      500         72.44           126.48          -153.22         982.65          
38      500         80.49           118.72          -109.50         598.58          
39      500         93.67           142.59          -95.04          1157.03         
40      500         103.85          139.19          -220.83         991.92          
41      500         113.70          152.79          -182.42         1012.47         
42      500         122.14          144.72          -176.94         1065.87         
43      500         129.68          136.11          -178.06         675.55          
44      500         137.77          153.52          -108.96         969.78          
45      500         152.43          155.91          -61.32          1077.45         
46      500         139.66          152.40          -64.61          1040.07         
47      500         151.91          154.97          -103.35         962.77          
48      500         151.00          151.70          -87.24          993.91          
49      500         160.31          150.51          -105.24         932.92          
50      500         155.90          143.47          -106.47         976.05          
51      500         173.32          165.71          -79.10          1097.27         
52      500         168.94          150.61          -110.11         1058.10         
53      500         191.11          148.05          -84.34          942.06          
54      500         191.50          163.80          -52.94          1082.99         
55      500         188.22          150.88          -49.03          1000.99         
56      500         189.99          173.99          -124.69         1061.28         
57      500         203.34          170.82          -63.35          1035.38         
58      500         197.76          161.62          -50.84          1075.22         
59      500         197.98          183.17          -42.57          1073.07         
60      500         210.99          163.26          -65.45          1063.29         
61      500         222.55          179.38          -57.25          1053.10         
62      500         203.41          175.80          -94.82          1077.79         
63      500         203.91          166.23          -55.36          1016.70         
64      500         221.78          176.10          -59.19          1035.66         
65      500         216.29          173.16          -65.47          1045.38         
66      500         226.83          184.08          -59.54          1042.90         
67      500         217.03          194.58          -118.71         1095.39         
68      500         223.31          189.46          -40.73          1059.51         
69      500         229.13          197.38          -41.35          1089.26         
70      500         233.80          188.28          -62.03          1091.47         
71      500         222.70          186.24          -33.97          1055.31         
72      500         229.34          191.60          -67.31          1057.13         
73      500         244.44          211.30          -66.54          1075.09         
74      500         232.35          192.09          -87.24          1075.11         
75      500         244.54          231.08          -86.57          1053.17         
76      500         237.36          203.81          -46.97          1077.02         
77      500         234.46          215.13          -126.87         1059.91         
78      500         250.88          223.53          -39.72          1063.43         
79      500         265.30          231.22          -36.03          1121.58         
80      500         247.30          219.64          -142.04         1068.89         
81      500         262.57          229.43          -69.54          1072.64         
82      500         267.16          221.85          -42.38          1074.12         
83      500         289.25          238.91          -52.24          1061.17         
84      500         304.05          264.32          -53.90          1086.69         
85      500         293.69          256.57          -74.41          1172.59         
86      500         297.80          257.44          -42.92          1061.89         
87      500         304.63          266.28          -46.94          1073.11         
88      500         332.50          285.27          -34.80          1240.37         
89      500         296.66          258.28          -90.98          1075.76         
90      500         329.67          282.06          -39.32          1076.38         
