environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 2
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 105
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         29.03           35.07           4.73            326.92          
1       200         29.33           33.58           1.61            272.33          
2       200         35.34           50.72           4.04            471.88          
3       200         38.50           41.83           4.59            281.21          
4       200         48.38           87.90           3.69            1010.88         
5       200         53.56           87.57           4.65            1008.25         
6       200         48.04           69.46           3.86            786.64          
7       200         51.64           77.24           1.71            972.31          
8       200         48.98           78.80           4.15            987.73          
9       200         60.76           114.54          1.59            1017.10         
10      200         45.26           50.04           2.92            438.50          
11      200         50.87           103.89          2.28            1011.33         
12      200         66.59           116.92          1.52            1023.68         
13      200         64.57           113.17          1.41            1016.99         
14      200         79.96           146.07          2.54            1016.40         
15      200         72.32           113.10          2.99            1028.25         
16      200         91.62           189.39          1.88            1026.83         
17      200         76.02           122.48          3.30            994.21          
18      200         103.26          193.26          6.07            1016.97         
19      200         116.10          194.93          2.52            1020.03         
20      200         121.74          219.71          1.53            1016.07         
21      200         90.59           171.84          3.00            1014.14         
22      200         160.59          264.24          1.04            1013.73         
23      200         174.34          281.90          0.98            1023.84         
24      200         175.03          277.34          0.21            1023.81         
25      200         154.38          267.70          1.19            1021.03         
26      200         159.23          255.23          1.05            1026.53         
27      200         193.55          295.01          -0.10           1038.23         
28      200         206.92          307.96          1.58            1040.30         
29      200         262.14          364.44          0.53            1025.79         
30      200         226.32          335.63          0.71            1026.73         
31      200         247.83          346.41          0.15            1026.53         
32      200         240.46          347.30          0.07            1025.33         
33      200         269.34          357.35          0.15            1046.58         
34      200         269.12          344.62          -0.51           1032.79         
35      200         304.26          371.84          1.57            1027.21         
