environment: Reacher-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 50
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True

Genome Size: 95
Inputs: 11
Outputs: 2

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -62.49          20.94           -106.86         -13.77          
1       500         -63.27          22.13           -106.84         -10.15          
2       500         -63.81          20.73           -106.86         -13.65          
3       500         -65.26          20.88           -106.29         -14.78          
4       500         -63.90          21.00           -106.72         -15.17          
5       500         -59.05          21.16           -106.62         -11.70          
6       500         -61.30          20.27           -105.43         -15.34          
7       500         -59.51          21.35           -106.52         -13.70          
8       500         -62.05          21.19           -106.80         -13.74          
9       500         -61.37          20.98           -106.81         -13.42          
10      500         -62.08          21.06           -104.44         -14.12          
11      500         -61.32          21.00           -106.58         -13.86          
12      500         -60.06          20.66           -106.75         -12.54          
13      500         -61.02          21.53           -107.20         -11.29          
14      500         -58.84          21.95           -106.76         -13.50          
15      500         -59.27          22.17           -104.32         -12.23          
16      500         -60.04          21.71           -107.07         -13.48          
17      500         -59.55          21.44           -106.98         -11.25          
18      500         -58.82          22.17           -106.41         -14.04          
19      500         -59.34          22.61           -104.92         -12.19          
20      500         -58.25          21.42           -106.32         -13.07          
21      500         -60.46          21.61           -105.91         -15.08          
22      500         -59.02          21.94           -107.18         -14.26          
23      500         -58.79          22.42           -104.70         -13.66          
24      500         -60.88          22.60           -106.43         -13.20          
25      500         -61.92          21.43           -110.55         -13.37          
26      500         -63.68          22.60           -107.18         -14.69          
27      500         -60.57          21.56           -106.87         -15.60          
28      500         -60.34          22.92           -106.76         -15.83          
29      500         -58.53          23.05           -111.27         -12.46          
30      500         -59.55          22.92           -109.09         -13.09          
31      500         -61.96          23.32           -107.74         -13.79          
32      500         -58.70          22.81           -106.97         -11.57          
33      500         -57.33          23.24           -110.73         -11.77          
34      500         -56.73          23.91           -109.99         -13.25          
35      500         -55.33          24.58           -108.46         -12.76          
36      500         -56.41          24.67           -109.87         -12.85          
37      500         -55.50          24.06           -105.88         -12.77          
38      500         -54.92          24.15           -109.40         -10.30          
39      500         -51.47          24.73           -106.91         -11.69          
40      500         -54.30          23.79           -108.40         -11.66          
41      500         -54.23          24.64           -107.46         -13.74          
42      500         -54.83          23.98           -106.34         -11.12          
43      500         -55.39          24.28           -110.46         -13.57          
44      500         -53.09          24.22           -107.43         -10.45          
45      500         -53.13          23.98           -104.23         -11.77          
46      500         -50.44          24.89           -107.67         -12.28          
47      500         -51.94          23.35           -107.91         -11.95          
48      500         -49.69          24.35           -111.39         -11.92          
49      500         -46.35          23.91           -109.29         -11.80          
50      500         -47.56          23.73           -105.78         -12.18          
51      500         -48.36          24.62           -107.75         -12.83          
52      500         -46.24          23.17           -107.36         -12.11          
53      500         -47.35          24.45           -109.32         -10.65          
54      500         -46.61          24.33           -108.05         -10.64          
55      500         -52.80          24.87           -109.29         -10.61          
56      500         -50.51          24.34           -108.15         -12.40          
57      500         -51.74          23.76           -106.55         -13.48          
58      500         -50.88          24.34           -107.58         -12.53          
59      500         -51.17          24.74           -110.31         -10.30          
60      500         -51.73          24.92           -109.09         -12.25          
61      500         -49.72          24.09           -106.42         -10.50          
62      500         -48.16          24.18           -107.53         -10.80          
63      500         -54.51          24.29           -111.05         -10.78          
64      500         -53.11          25.23           -107.87         -11.79          
65      500         -48.48          24.35           -106.49         -10.36          
66      500         -49.67          23.57           -104.92         -11.01          
67      500         -48.83          25.47           -105.63         -10.63          
68      500         -47.01          24.99           -108.51         -10.41          
69      500         -50.08          24.57           -110.26         -11.04          
70      500         -49.98          24.46           -105.88         -9.39           
71      500         -52.34          25.13           -110.70         -11.47          
72      500         -51.92          25.25           -107.38         -11.96          
73      500         -51.82          24.46           -106.84         -11.55          
74      500         -54.44          25.19           -109.37         -11.82          
75      500         -54.83          24.09           -110.83         -11.35          
76      500         -54.24          24.73           -110.52         -12.50          
77      500         -53.09          24.22           -106.37         -12.86          
78      500         -53.59          24.19           -111.32         -12.45          
79      500         -51.36          25.19           -107.14         -11.95          
