environment: Reacher-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 20000
sigma: 1.0
number_fitness_runs: 50
number_neurons: 8
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False

Genome Size: 168
Inputs: 11
Outputs: 2

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -71.76          18.08           -104.73         -22.01          
1       200         -72.35          17.15           -104.43         -28.73          
2       200         -69.15          19.78           -104.66         -13.55          
3       200         -66.08          18.71           -104.61         -22.68          
4       200         -68.38          18.83           -103.73         -12.06          
5       200         -68.81          19.20           -101.91         -21.12          
6       200         -64.42          20.46           -105.05         -16.37          
7       200         -63.01          18.23           -103.60         -14.32          
8       200         -66.87          20.80           -104.46         -19.80          
9       200         -62.52          19.20           -103.97         -19.84          
10      200         -62.59          18.66           -103.21         -16.80          
11      200         -61.20          19.18           -101.52         -15.31          
12      200         -62.95          18.72           -101.81         -14.60          
13      200         -62.88          18.88           -101.28         -16.26          
14      200         -63.40          18.81           -101.22         -20.64          
15      200         -61.40          19.72           -99.27          -17.34          
16      200         -60.18          20.02           -101.93         -17.41          
17      200         -63.17          20.13           -105.01         -12.41          
18      200         -60.67          19.98           -103.03         -13.62          
19      200         -60.72          21.00           -103.42         -16.21          
20      200         -58.25          20.98           -103.56         -16.35          
21      200         -56.66          21.84           -101.70         -15.05          
22      200         -61.13          21.87           -103.59         -12.88          
23      200         -57.79          21.36           -101.81         -13.54          
24      200         -55.29          21.56           -101.41         -11.33          
25      200         -57.54          21.84           -105.86         -13.61          
26      200         -59.68          21.44           -101.36         -10.78          
27      200         -60.56          22.45           -101.81         -12.37          
28      200         -59.48          23.88           -102.97         -12.21          
29      200         -55.23          22.65           -102.16         -12.68          
30      200         -56.89          24.85           -105.57         -14.76          
31      200         -61.08          22.59           -104.78         -12.56          
32      200         -61.46          22.63           -105.40         -12.80          
33      200         -58.10          23.47           -105.34         -15.12          
34      200         -59.00          24.15           -106.23         -13.08          
35      200         -57.80          22.67           -106.22         -11.44          
36      200         -61.20          21.59           -106.66         -14.99          
37      200         -61.17          22.00           -106.72         -16.94          
38      200         -62.42          24.26           -104.41         -12.41          
39      200         -60.69          22.07           -102.00         -14.95          
40      200         -61.46          22.88           -104.57         -14.24          
41      200         -59.96          23.09           -108.09         -11.95          
42      200         -61.10          24.04           -107.02         -12.59          
43      200         -57.69          25.35           -108.79         -14.35          
44      200         -58.43          24.41           -106.83         -13.30          
45      200         -59.60          23.13           -101.20         -14.18          
46      200         -57.41          24.11           -105.39         -12.95          
47      200         -55.37          24.21           -106.55         -12.88          
48      200         -59.69          24.17           -109.27         -15.79          
49      200         -56.81          24.23           -106.55         -13.57          
50      200         -57.37          25.31           -104.16         -11.83          
51      200         -55.16          25.27           -107.31         -12.91          
52      200         -55.23          25.20           -106.69         -14.57          
53      200         -55.65          24.78           -108.98         -12.14          
54      200         -57.16          24.60           -103.17         -13.24          
55      200         -54.39          25.49           -108.33         -12.75          
56      200         -52.62          24.75           -101.76         -13.88          
57      200         -51.25          24.81           -105.66         -12.66          
58      200         -49.03          24.65           -104.71         -11.85          
59      200         -50.67          24.66           -105.85         -12.94          
60      200         -50.91          25.47           -107.15         -12.11          
61      200         -52.76          24.12           -105.91         -11.59          
62      200         -50.53          26.58           -107.80         -11.97          
63      200         -52.71          25.89           -107.10         -12.69          
64      200         -48.39          25.37           -107.54         -12.74          
65      200         -44.96          23.19           -103.44         -11.95          
66      200         -45.30          24.09           -104.29         -11.87          
67      200         -45.40          24.34           -104.19         -12.00          
68      200         -49.46          25.50           -104.34         -13.99          
69      200         -46.44          24.81           -104.29         -12.80          
70      200         -48.50          24.19           -103.32         -12.96          
71      200         -49.98          24.89           -103.29         -12.14          
72      200         -48.12          26.42           -105.34         -11.58          
73      200         -47.36          22.87           -101.30         -11.95          
74      200         -42.07          24.60           -103.53         -11.14          
75      200         -42.77          24.81           -107.38         -12.09          
76      200         -45.09          23.30           -100.77         -11.67          
77      200         -43.83          24.81           -105.09         -11.20          
78      200         -44.62          25.29           -101.24         -12.47          
79      200         -47.43          24.24           -98.47          -12.56          
80      200         -49.72          25.96           -106.42         -12.46          
81      200         -51.08          25.46           -105.51         -12.02          
82      200         -45.77          24.59           -106.46         -11.50          
83      200         -46.16          25.34           -104.26         -11.92          
