environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 17516.174716234207

Genome Size: 860
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -6.94           9.38            -22.75          101.34          
1       500         -7.80           6.43            -50.14          16.63           
2       500         -5.95           13.18           -21.40          168.96          
3       500         -6.84           7.18            -22.40          41.65           
4       500         -6.57           9.07            -20.96          109.85          
5       500         -5.41           12.40           -41.98          152.52          
6       500         -5.95           10.74           -93.67          120.70          
7       500         -5.09           9.23            -24.52          57.37           
8       500         -5.75           8.65            -27.10          76.31           
9       500         -3.87           17.75           -24.31          299.37          
10      500         -3.79           12.50           -23.54          143.27          
11      500         -4.06           11.87           -32.58          148.52          
12      500         -2.63           14.12           -67.07          147.12          
13      500         -2.02           13.35           -23.34          108.34          
14      500         1.48            26.71           -62.90          326.03          
15      500         1.38            16.73           -31.61          120.63          
16      500         3.64            20.80           -43.35          137.41          
17      500         5.16            27.69           -66.60          358.62          
18      500         8.38            27.04           -83.06          201.87          
19      500         7.80            27.39           -58.10          242.79          
20      500         8.32            32.64           -116.43         254.12          
21      500         9.86            31.28           -44.31          303.93          
22      500         14.38           46.55           -71.48          628.00          
23      500         17.32           44.16           -68.67          390.01          
24      500         18.44           44.46           -73.96          327.25          
25      500         20.18           50.70           -137.51         535.77          
26      500         22.70           47.47           -76.26          308.76          
27      500         24.88           63.68           -110.31         686.86          
28      500         30.77           62.97           -74.20          692.75          
29      500         32.61           73.88           -142.02         862.58          
30      500         36.45           78.62           -92.47          971.83          
31      500         32.09           53.74           -127.79         382.47          
32      500         39.16           75.20           -184.84         568.76          
33      500         40.60           79.05           -92.57          974.44          
34      500         47.50           80.62           -145.10         576.06          
35      500         51.53           79.38           -74.36          532.83          
36      500         56.29           106.01          -77.24          971.96          
37      500         72.69           129.55          -101.25         1028.65         
38      500         59.61           92.08           -152.09         728.94          
39      500         70.28           101.34          -129.03         741.74          
40      500         80.63           124.72          -112.46         999.55          
41      500         86.39           122.05          -83.19          975.33          
