environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 500
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 10144.019875526428

Genome Size: 270
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         21.71           52.10           -0.45           1007.15         
1       500         20.34           28.73           -0.34           209.56          
2       500         23.56           37.77           -0.27           508.43          
3       500         21.09           26.54           -0.21           213.80          
4       500         24.15           32.48           0.09            276.78          
5       500         25.77           35.75           -0.30           346.66          
6       500         24.87           32.93           0.50            240.42          
7       500         27.85           54.45           0.62            1023.19         
8       500         28.66           35.13           0.05            270.16          
9       500         26.82           34.19           -0.12           285.06          
10      500         27.92           33.96           -0.40           328.35          
11      500         33.42           48.50           -0.36           637.03          
12      500         32.59           42.10           -1.01           392.74          
13      500         31.45           43.23           -0.85           494.20          
14      500         31.58           56.16           -0.29           1021.59         
15      500         35.44           38.82           -0.14           249.36          
16      500         39.29           57.44           0.17            996.05          
17      500         42.73           64.73           -0.81           1022.00         
18      500         36.92           57.18           -1.11           1009.28         
19      500         38.74           59.03           -0.90           1000.03         
20      500         39.22           46.08           -0.88           344.15          
21      500         44.34           78.07           -0.74           1022.85         
22      500         43.47           64.87           -1.06           972.31          
23      500         46.17           81.85           -1.02           1018.06         
24      500         51.44           100.68          -1.03           1080.73         
25      500         45.00           63.87           -1.46           1008.67         
26      500         43.77           64.66           -1.28           1025.42         
27      500         44.63           80.96           -1.46           985.68          
28      500         49.34           90.96           -1.26           1007.72         
29      500         52.92           102.95          -1.40           1023.30         
30      500         49.35           73.18           -1.20           1001.54         
31      500         49.07           82.01           -1.17           1024.87         
32      500         58.75           112.15          -1.31           1003.86         
33      500         51.72           94.69           -1.61           1009.89         
34      500         56.89           101.16          -1.28           1010.33         
35      500         62.16           107.80          -1.27           1013.55         
36      500         58.12           85.73           -1.48           1021.46         
37      500         69.48           114.77          -1.06           991.93          
38      500         76.86           149.06          -1.21           1031.81         
39      500         81.13           162.88          -1.25           1044.02         
40      500         59.98           87.14           -1.22           1009.32         
41      500         64.71           111.45          -1.46           1043.45         
42      500         82.17           159.70          -2.14           1018.97         
43      500         75.84           121.26          -1.21           1019.22         
44      500         70.54           117.67          -1.24           999.14          
45      500         87.93           161.48          -1.54           1026.63         
46      500         77.63           145.44          -1.40           1024.91         
47      500         70.06           134.51          -1.50           1040.06         
48      500         66.37           112.33          -1.21           1017.65         
49      500         75.64           138.09          -1.28           1027.76         
50      500         80.44           155.30          -1.21           1026.35         
51      500         80.95           144.04          -1.57           1024.23         
52      500         75.86           131.91          -1.75           1023.31         
53      500         81.73           143.80          -1.69           1022.32         
54      500         83.78           154.03          -1.21           1022.03         
55      500         89.14           165.66          -1.72           1076.85         
56      500         93.79           159.20          -1.24           1026.94         
57      500         95.85           158.86          -1.22           1029.66         
58      500         94.68           143.70          -1.21           1039.32         
59      500         90.71           152.67          -1.21           1025.26         
60      500         99.22           165.25          -1.21           1021.67         
61      500         89.18           151.50          -1.67           1046.65         
62      500         104.73          180.56          -1.21           1026.38         
63      500         108.08          169.13          -1.21           1033.61         
64      500         99.89           172.04          -1.24           1030.81         
