environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 100
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 3613.943074464798

Genome Size: 145
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -5.80           13.21           -71.81          83.61           
1       100         -8.19           9.08            -23.56          33.50           
2       100         -4.91           13.67           -18.97          75.96           
3       100         -6.51           17.42           -88.51          80.79           
4       100         -0.70           36.73           -20.47          349.98          
5       100         -4.84           14.65           -56.68          102.85          
6       100         -3.24           13.43           -18.85          91.63           
7       100         1.31            24.85           -67.85          156.80          
8       100         5.74            35.24           -24.59          302.94          
9       100         11.44           42.06           -29.31          316.01          
10      100         11.50           29.78           -35.04          159.15          
11      100         18.80           58.37           -33.47          416.67          
12      100         24.14           68.13           -36.29          404.44          
13      100         28.75           57.63           -48.39          267.15          
14      100         43.99           124.42          -51.40          987.88          
15      100         45.89           114.58          -36.92          989.03          
16      100         56.82           100.14          -73.95          633.91          
17      100         51.24           127.07          -50.40          1027.09         
18      100         92.46           132.68          -24.89          566.97          
19      100         91.16           113.45          -26.64          400.13          
20      100         105.55          156.69          -65.47          1049.36         
21      100         71.64           97.21           -48.20          360.80          
22      100         121.65          181.26          -59.46          957.69          
23      100         119.31          147.35          -69.39          887.93          
24      100         115.34          159.63          -88.97          993.92          
25      100         123.68          192.64          -53.93          1003.24         
26      100         155.70          175.68          -59.87          992.57          
27      100         165.44          144.70          -37.49          600.87          
28      100         190.11          228.80          -62.16          999.19          
29      100         153.54          160.89          -13.73          956.03          
30      100         150.51          172.90          -98.25          935.45          
31      100         139.81          149.09          -40.24          625.22          
32      100         183.49          176.05          -39.20          945.10          
33      100         187.23          173.90          -88.73          1017.45         
34      100         232.67          186.37          -198.16         1002.23         
35      100         227.92          223.56          -15.65          1041.11         
36      100         207.11          225.77          -98.30          989.83          
37      100         166.01          154.10          -18.75          1038.70         
38      100         203.96          207.52          -19.34          1046.69         
39      100         210.07          237.32          -18.49          1031.53         
40      100         211.94          234.06          -20.47          1066.11         
41      100         234.34          291.49          -29.08          1047.88         
42      100         233.50          270.75          -61.42          1026.74         
43      100         233.39          285.12          -54.00          1042.29         
44      100         311.64          341.73          -32.22          1036.06         
45      100         314.02          358.11          -87.58          1055.39         
46      100         341.35          366.44          -41.69          1061.07         
47      100         354.52          359.86          -29.04          1052.54         
48      100         375.22          382.36          -66.54          1073.18         
49      100         385.40          373.91          -16.10          1042.68         
50      100         393.57          398.49          -50.70          1058.97         
51      100         432.36          386.82          -39.91          1044.76         
52      100         468.51          414.42          -24.39          1063.51         
53      100         481.86          423.43          -30.90          1061.17         
54      100         489.43          434.56          -78.62          1073.05         
55      100         456.39          427.69          -34.83          1067.37         
56      100         471.97          458.35          -53.95          1069.28         
57      100         456.28          438.65          -32.00          1062.88         
58      100         575.76          440.58          -17.74          1078.94         
59      100         461.62          456.94          -35.45          1067.46         
60      100         431.06          455.95          -16.39          1068.01         
61      100         407.25          457.82          -26.40          1072.16         
62      100         458.18          473.52          -23.32          1072.89         
63      100         482.87          464.97          -165.70         1069.38         
64      100         359.71          436.00          -61.30          1070.34         
65      100         438.83          470.42          -27.58          1069.89         
66      100         405.61          435.57          -39.12          1072.62         
67      100         368.29          438.93          -87.15          1067.85         
68      100         490.46          458.32          -36.72          1074.72         
69      100         456.93          458.51          -15.33          1071.79         
70      100         476.14          474.28          -35.41          1072.00         
71      100         486.71          451.31          -42.80          1073.12         
72      100         566.78          478.60          -103.91         1087.21         
73      100         531.18          461.46          -18.01          1070.63         
74      100         652.84          455.09          -16.72          1072.69         
75      100         413.53          448.24          -35.42          1081.97         
76      100         482.89          464.79          -14.46          1078.95         
77      100         538.50          447.89          -17.12          1069.59         
78      100         588.55          463.57          -44.28          1094.69         
79      100         589.43          482.37          -35.62          1072.93         
80      100         630.79          451.14          -14.54          1074.94         
81      100         578.80          470.10          -24.24          1081.77         
82      100         534.47          478.86          -38.98          1071.51         
83      100         610.47          460.84          -19.77          1071.06         
84      100         565.92          462.17          -19.48          1071.18         
85      100         576.84          469.86          -114.52         1079.19         
86      100         572.98          467.21          -77.69          1072.68         
87      100         496.59          474.54          -58.09          1078.43         
88      100         531.46          477.40          -34.51          1072.91         
89      100         505.80          483.18          -19.98          1069.51         
90      100         608.66          461.14          -11.03          1078.56         
91      100         555.28          451.56          -33.01          1069.89         
92      100         650.35          438.63          -26.94          1071.63         
93      100         772.86          403.01          -51.16          1073.45         
94      100         638.64          442.76          -44.93          1074.24         
95      100         711.73          434.49          -21.42          1073.48         
96      100         711.20          436.82          -18.86          1070.92         
97      100         644.49          453.43          -22.60          1071.96         
98      100         660.15          440.81          -18.30          1071.39         
99      100         662.30          451.86          -21.91          1071.62         
100     100         722.62          435.88          -16.23          1071.93         
101     100         618.36          433.84          -18.50          1069.93         
102     100         766.43          413.28          -26.84          1072.64         
103     100         743.95          422.87          -19.71          1069.72         
104     100         706.43          422.52          -1.09           1073.05         
105     100         765.53          409.79          -16.69          1073.59         
106     100         702.10          439.05          -16.22          1071.90         
107     100         740.97          413.06          -9.46           1071.72         
108     100         798.26          391.59          -15.84          1072.54         
109     100         796.02          399.89          -1.37           1071.84         
110     100         752.58          411.11          -15.03          1078.63         
111     100         784.17          385.60          81.95           1071.89         
112     100         589.56          426.46          -0.58           1077.67         
113     100         619.37          414.91          -20.64          1074.39         
114     100         679.63          441.52          -26.21          1072.87         
115     100         859.84          366.89          -22.64          1073.27         
116     100         762.05          407.87          -10.09          1071.34         
117     100         732.42          406.88          71.46           1071.62         
118     100         728.60          416.75          -15.50          1072.74         
119     100         624.34          424.48          -10.33          1071.48         
120     100         719.84          420.84          22.54           1071.55         
121     100         773.45          405.32          9.33            1071.93         
122     100         703.88          414.20          4.62            1073.51         
123     100         728.26          400.11          44.24           1071.79         
124     100         754.85          409.17          -9.32           1073.14         
125     100         877.58          341.19          23.59           1084.14         
126     100         701.29          407.86          -4.91           1076.69         
127     100         727.69          401.44          22.06           1072.66         
128     100         752.47          399.03          -4.07           1071.84         
129     100         764.72          400.32          -31.26          1074.48         
130     100         727.07          417.38          -12.27          1074.15         
131     100         720.93          420.49          -16.48          1073.41         
132     100         731.49          416.80          -28.04          1071.94         
133     100         710.95          425.29          -30.70          1074.32         
134     100         674.98          438.11          -19.90          1071.66         
135     100         698.76          423.51          -16.89          1072.17         
136     100         774.23          394.15          -6.12           1072.60         
137     100         712.17          418.72          -9.07           1074.26         
138     100         766.44          396.17          2.37            1076.22         
139     100         809.72          393.93          -15.86          1071.30         
140     100         753.16          407.86          4.70            1072.89         
