environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 14640.092857599258

Genome Size: 3250
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         7.22            10.64           -1.55           70.30           
1       200         10.18           16.32           -2.06           122.97          
2       200         8.64            13.05           -1.46           87.26           
3       200         8.44            13.24           -1.94           114.98          
4       200         10.40           13.89           -1.84           79.47           
5       200         9.67            15.62           -1.53           99.40           
6       200         10.51           14.08           -1.35           79.73           
7       200         11.62           14.27           -1.48           72.60           
8       200         14.54           16.59           -1.69           84.65           
9       200         17.26           21.26           -0.80           169.30          
10      200         20.53           20.17           -1.68           98.95           
11      200         20.55           19.26           -1.26           88.43           
12      200         23.30           18.63           -1.21           69.36           
13      200         27.60           21.83           -0.38           114.22          
14      200         31.65           31.55           -1.28           257.16          
15      200         30.88           19.56           -0.85           123.15          
16      200         32.89           21.98           -1.44           142.34          
17      200         34.51           23.17           -1.11           159.82          
18      200         36.22           21.80           -1.15           140.41          
19      200         38.22           23.86           -1.18           162.50          
20      200         40.33           22.58           -0.89           116.22          
21      200         41.18           28.08           -1.21           179.67          
22      200         40.74           32.40           0.52            349.04          
23      200         41.22           30.13           0.19            244.09          
24      200         45.08           33.74           -0.41           226.09          
25      200         41.92           27.16           -1.35           159.19          
26      200         44.88           34.94           -1.62           237.62          
27      200         48.89           33.18           2.52            198.88          
28      200         44.17           30.66           -0.11           204.84          
29      200         47.85           29.93           -0.07           195.01          
30      200         50.92           36.13           2.73            230.73          
31      200         52.81           34.25           -0.75           216.15          
32      200         59.65           43.87           0.54            211.52          
33      200         56.45           41.23           3.09            225.23          
34      200         60.30           42.68           2.50            236.26          
35      200         68.42           49.78           4.46            333.42          
36      200         61.34           47.21           1.83            384.88          
37      200         67.09           44.57           3.13            223.54          
38      200         67.94           43.45           -0.88           317.48          
39      200         69.04           41.89           4.37            282.92          
40      200         73.62           44.31           4.86            226.13          
