environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 3974.4219286441803

Genome Size: 240
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         20.83           25.89           -0.30           164.01          
1       200         22.57           26.80           0.47            197.23          
2       200         21.21           25.21           1.04            156.78          
3       200         23.32           26.58           1.03            178.92          
4       200         26.93           26.31           2.50            134.00          
5       200         30.87           35.15           1.94            200.04          
6       200         31.75           30.72           1.65            214.43          
7       200         37.02           31.53           1.86            189.64          
8       200         39.32           35.70           0.68            204.61          
9       200         37.58           28.49           4.12            148.43          
10      200         35.37           33.92           0.88            208.66          
11      200         40.05           39.38           2.18            279.72          
12      200         45.77           76.93           1.81            1014.49         
13      200         57.23           64.97           0.74            669.40          
14      200         56.72           50.73           2.28            340.12          
15      200         63.04           91.71           3.33            1024.14         
16      200         74.28           122.12          2.67            1018.19         
17      200         64.40           81.11           2.96            990.74          
18      200         74.41           124.22          1.91            1020.80         
19      200         78.23           72.92           0.43            458.69          
20      200         100.65          150.89          1.73            990.27          
21      200         105.18          152.51          1.17            994.72          
22      200         88.25           117.19          0.25            1017.55         
23      200         128.94          194.97          2.60            1018.76         
24      200         132.27          217.77          4.46            1044.27         
25      200         112.33          148.18          1.23            996.92          
26      200         165.78          251.69          4.65            1019.60         
27      200         157.87          221.01          4.09            1022.31         
28      200         169.57          232.65          1.18            1025.72         
29      200         133.05          202.06          1.85            1028.47         
30      200         159.16          236.80          2.93            1023.27         
31      200         157.52          235.11          2.04            1049.62         
32      200         164.81          220.63          3.54            1021.61         
33      200         179.30          249.16          4.39            1017.96         
34      200         190.73          264.23          5.19            1023.38         
35      200         191.45          266.86          4.12            1019.17         
36      200         208.90          282.56          1.97            1014.04         
37      200         213.65          295.77          2.30            1020.89         
38      200         232.65          287.56          8.00            1022.12         
39      200         247.47          301.53          4.82            1065.64         
40      200         288.67          338.06          9.33            1053.43         
41      200         282.99          320.41          8.40            1031.85         
42      200         281.07          327.17          6.61            1044.77         
43      200         252.51          300.59          2.81            1039.64         
44      200         300.85          347.14          2.17            1029.56         
45      200         283.64          320.28          7.00            1020.94         
46      200         302.93          345.32          6.22            1024.48         
47      200         336.09          360.60          -0.45           1034.61         
48      200         344.89          364.73          2.70            1064.26         
49      200         316.55          341.83          6.74            1047.39         
50      200         333.80          361.85          7.39            1029.03         
51      200         322.41          344.05          -0.28           1023.49         
52      200         321.72          356.02          1.16            1024.23         
53      200         374.53          382.27          7.76            1025.34         
54      200         398.38          371.47          0.85            1053.55         
55      200         394.87          383.51          2.34            1087.81         
56      200         327.86          359.10          4.60            1024.94         
57      200         405.29          384.21          5.64            1068.43         
58      200         367.87          366.42          1.17            1030.81         
59      200         419.61          376.64          11.64           1042.42         
60      200         387.26          362.41          6.03            1143.96         
61      200         428.07          385.90          8.75            1033.01         
62      200         486.56          403.25          10.28           1024.68         
63      200         465.62          389.87          17.92           1025.08         
64      200         538.15          399.15          9.71            1031.85         
65      200         475.98          389.36          7.56            1049.88         
66      200         520.77          395.85          8.12            1029.96         
67      200         490.30          395.86          18.89           1031.97         
68      200         473.92          393.22          7.31            1031.16         
69      200         505.33          396.62          14.16           1033.16         
70      200         518.43          398.50          18.97           1107.73         
71      200         476.72          381.72          18.71           1024.90         
72      200         544.24          413.55          8.53            1035.34         
73      200         515.66          405.23          7.75            1024.80         
74      200         520.59          406.46          8.29            1027.70         
75      200         556.67          404.26          9.55            1029.33         
76      200         598.61          403.84          8.84            1037.66         
77      200         545.40          397.06          6.05            1025.47         
78      200         542.94          405.75          8.41            1068.89         
79      200         498.81          389.86          4.56            1046.71         
80      200         561.11          394.79          22.70           1052.78         
81      200         576.87          405.94          7.56            1052.47         
82      200         492.18          396.00          4.22            1050.49         
83      200         572.05          390.30          8.35            1040.79         
84      200         544.18          396.32          7.90            1059.36         
85      200         597.81          406.01          4.75            1054.41         
86      200         611.93          385.48          7.00            1107.96         
87      200         575.26          390.28          2.26            1049.10         
88      200         601.92          397.24          8.63            1075.71         
89      200         620.91          397.99          11.24           1062.54         
90      200         617.86          395.43          10.78           1048.80         
91      200         607.03          388.04          8.93            1074.80         
92      200         664.07          393.62          9.77            1051.56         
93      200         639.35          391.24          11.45           1070.48         
94      200         672.56          387.27          27.34           1055.58         
95      200         592.25          389.74          11.09           1057.64         
96      200         642.57          394.55          21.71           1043.60         
97      200         621.79          396.43          17.39           1060.13         
98      200         640.36          390.52          59.47           1056.58         
99      200         518.48          389.08          14.06           1030.55         
100     200         579.45          396.14          18.42           1041.19         
101     200         554.87          393.18          31.90           1049.83         
102     200         605.82          404.86          13.07           1101.57         
103     200         577.78          398.52          17.78           1060.68         
104     200         561.16          399.56          18.19           1094.76         
105     200         609.99          403.05          20.96           1046.42         
106     200         599.42          393.61          14.54           1117.78         
107     200         563.17          397.57          31.72           1065.95         
108     200         567.27          388.03          32.09           1063.55         
109     200         604.48          394.90          11.81           1062.37         
110     200         623.52          386.94          12.15           1055.06         
111     200         630.15          402.76          18.64           1063.65         
112     200         607.18          388.96          22.39           1082.11         
113     200         607.64          399.48          18.35           1066.45         
114     200         608.48          385.31          28.14           1054.11         
115     200         636.10          383.54          19.19           1061.33         
116     200         584.72          396.48          15.48           1125.37         
117     200         614.27          383.39          10.61           1180.44         
118     200         680.00          384.86          11.33           1069.56         
119     200         632.22          386.09          36.03           1075.97         
120     200         620.44          383.54          8.89            1264.35         
121     200         663.19          383.50          45.78           1089.22         
122     200         728.72          359.24          21.74           1065.66         
123     200         690.94          373.87          44.79           1061.23         
124     200         649.86          387.84          31.16           1081.60         
125     200         723.21          367.00          69.43           1136.74         
126     200         655.34          386.74          60.50           1072.83         
127     200         652.77          382.54          28.42           1140.55         
128     200         632.49          385.32          37.95           1093.75         
129     200         732.56          366.89          53.02           1108.44         
130     200         674.72          385.01          7.00            1129.47         
131     200         610.64          383.55          37.68           1129.36         
132     200         668.10          379.70          7.37            1110.04         
133     200         661.38          380.55          9.22            1117.03         
134     200         644.66          383.80          20.64           1106.06         
135     200         693.50          377.51          19.88           1096.06         
136     200         645.67          380.33          37.32           1068.90         
137     200         719.01          364.32          16.30           1185.40         
138     200         668.46          375.72          28.93           1183.80         
139     200         699.71          379.92          55.40           1194.11         
140     200         659.33          400.23          23.68           1316.97         
141     200         594.67          405.84          20.75           1091.07         
142     200         712.97          383.17          4.95            1117.16         
143     200         652.48          398.77          21.49           1361.56         
144     200         680.38          393.87          8.47            1285.34         
145     200         645.28          412.13          5.87            1186.64         
146     200         640.77          398.26          9.04            1161.53         
147     200         662.70          401.35          9.68            1178.51         
148     200         626.20          416.00          -0.46           1120.59         
149     200         665.03          397.53          35.04           1186.20         
150     200         668.83          407.52          8.13            1144.67         
151     200         693.60          403.82          5.68            1336.55         
152     200         632.43          411.64          6.03            1169.23         
153     200         615.66          429.59          -0.41           1163.38         
154     200         675.74          409.03          -0.25           1162.92         
155     200         557.66          421.61          1.76            1199.99         
156     200         620.04          417.26          3.41            1158.91         
157     200         599.26          403.15          8.01            1116.67         
158     200         665.49          417.78          2.36            1169.51         
159     200         687.98          403.42          5.44            1143.90         
160     200         634.45          424.41          12.28           1300.76         
161     200         604.23          427.30          -0.67           1179.67         
162     200         659.42          413.06          8.09            1212.04         
163     200         611.94          426.70          9.00            1236.95         
164     200         602.78          421.91          3.09            1171.25         
165     200         686.59          401.26          23.83           1234.24         
166     200         596.21          422.43          4.68            1186.98         
167     200         668.55          413.06          -0.76           1156.72         
168     200         652.91          412.07          5.93            1227.13         
169     200         631.45          424.36          0.45            1163.29         
170     200         716.82          395.71          19.12           1131.86         
171     200         657.60          415.98          4.72            1159.78         
172     200         658.76          407.43          8.70            1269.74         
173     200         663.73          412.28          8.57            1172.43         
174     200         709.17          415.52          1.41            1225.25         
175     200         722.56          399.70          1.41            1165.28         
176     200         638.15          409.98          16.23           1183.11         
177     200         749.34          383.72          0.27            1159.96         
178     200         683.79          396.04          8.24            1170.04         
179     200         722.18          399.63          16.88           1185.51         
180     200         710.59          393.94          17.49           1174.68         
181     200         708.70          388.40          20.76           1165.06         
182     200         560.58          423.63          18.73           1212.22         
183     200         679.62          403.90          29.32           1174.25         
184     200         690.19          406.75          17.11           1173.27         
185     200         671.78          406.35          8.86            1190.10         
186     200         657.78          419.91          21.13           1161.58         
187     200         670.47          407.00          27.59           1284.32         
188     200         679.23          407.82          6.05            1181.39         
189     200         709.56          411.68          8.11            1180.38         
190     200         742.28          388.83          38.52           1208.98         
191     200         657.51          424.56          13.64           1207.25         
192     200         654.05          426.06          16.06           1216.36         
193     200         652.08          417.72          17.29           1191.35         
194     200         672.69          402.68          10.48           1206.48         
195     200         710.37          412.90          19.24           1204.85         
196     200         716.84          404.38          20.81           1303.57         
197     200         677.72          408.14          16.03           1207.51         
198     200         683.26          416.07          20.00           1335.76         
199     200         692.75          415.17          8.92            1212.20         
200     200         671.75          419.47          20.19           1201.72         
201     200         667.24          427.25          25.38           1194.59         
202     200         620.76          426.65          0.77            1295.91         
203     200         649.99          418.09          7.84            1208.40         
204     200         686.59          422.02          4.13            1218.89         
205     200         710.45          412.27          8.52            1230.12         
206     200         683.68          424.47          4.01            1249.28         
207     200         663.88          411.37          7.68            1221.66         
208     200         677.63          420.74          1.19            1239.52         
209     200         694.35          413.35          4.41            1166.53         
210     200         713.90          414.21          19.38           1218.35         
211     200         669.30          406.60          13.03           1213.44         
212     200         744.53          394.88          -1.13           1282.43         
213     200         684.62          406.52          9.92            1287.83         
214     200         661.97          412.32          10.96           1147.48         
215     200         684.01          420.83          16.89           1227.17         
216     200         701.12          406.91          8.34            1200.23         
217     200         706.68          404.78          17.26           1244.61         
218     200         627.47          410.71          4.71            1210.71         
219     200         728.67          397.87          23.38           1230.87         
220     200         672.11          422.55          10.11           1208.18         
221     200         722.25          433.32          22.10           1254.66         
222     200         667.17          422.39          23.95           1220.26         
223     200         674.11          426.90          13.91           1243.00         
224     200         699.72          420.72          1.30            1241.05         
225     200         714.16          421.82          2.92            1315.06         
226     200         672.84          419.55          31.77           1292.66         
227     200         642.10          429.22          4.96            1254.92         
228     200         644.13          441.13          5.95            1278.91         
229     200         668.84          435.84          28.40           1425.71         
230     200         723.24          426.60          40.96           1254.79         
231     200         715.72          418.85          17.33           1265.44         
232     200         658.26          424.22          23.24           1265.66         
233     200         675.37          441.05          8.90            1268.13         
234     200         617.48          423.97          23.34           1228.34         
235     200         724.84          414.88          7.69            1284.68         
236     200         699.24          425.74          14.23           1403.87         
237     200         717.68          419.70          31.29           1301.11         
238     200         724.26          429.02          -0.56           1337.02         
239     200         657.13          432.19          16.76           1260.94         
240     200         710.78          426.67          41.97           1349.20         
241     200         656.90          431.85          33.73           1383.16         
242     200         663.88          429.77          18.45           1275.19         
243     200         687.73          438.30          32.02           1266.34         
244     200         701.51          405.28          26.55           1290.71         
245     200         687.24          424.09          31.52           1291.92         
246     200         722.68          420.15          35.32           1226.73         
247     200         682.49          424.00          21.74           1255.29         
248     200         737.40          423.24          32.76           1331.64         
249     200         638.12          440.71          18.10           1312.00         
250     200         688.49          441.65          29.35           1403.06         
251     200         688.26          432.50          14.19           1289.55         
252     200         690.25          441.42          24.55           1251.68         
253     200         686.62          425.59          35.66           1357.56         
254     200         689.05          432.16          13.87           1272.97         
255     200         644.37          437.48          36.29           1308.48         
256     200         688.86          435.65          11.27           1393.30         
257     200         716.84          422.44          21.42           1222.23         
258     200         708.78          432.59          23.33           1237.99         
259     200         721.42          401.25          34.86           1303.84         
260     200         762.26          410.69          25.97           1357.75         
261     200         624.88          445.44          21.60           1297.68         
262     200         704.86          438.46          24.93           1265.80         
263     200         679.27          434.82          41.98           1278.09         
264     200         629.54          437.25          28.47           1257.48         
265     200         736.45          431.60          37.10           1245.86         
266     200         706.59          440.39          38.74           1331.59         
267     200         727.29          434.60          9.76            1400.74         
268     200         684.92          433.93          50.22           1309.57         
269     200         715.35          439.53          7.79            1290.82         
270     200         710.52          429.57          24.91           1302.23         
271     200         814.93          391.05          44.44           1312.82         
272     200         745.30          432.23          32.36           1381.49         
273     200         775.70          418.25          35.06           1398.34         
274     200         667.93          434.75          47.62           1378.51         
275     200         691.29          436.21          39.42           1304.16         
276     200         769.14          411.54          55.00           1329.26         
277     200         731.38          414.88          40.82           1319.38         
278     200         686.89          435.52          32.52           1296.44         
279     200         770.28          424.86          42.76           1322.84         
280     200         721.91          439.95          43.04           1332.93         
281     200         725.21          447.00          64.94           1405.71         
282     200         670.09          449.67          18.60           1313.50         
283     200         731.30          438.50          50.35           1310.14         
284     200         702.37          450.07          48.31           1341.35         
285     200         697.06          430.32          22.69           1324.11         
286     200         668.03          451.15          55.77           1414.72         
287     200         625.62          457.35          35.03           1407.09         
288     200         650.61          436.98          40.63           1302.43         
289     200         742.93          457.49          39.36           1348.34         
290     200         710.08          449.04          42.27           1352.43         
291     200         651.22          444.61          37.10           1416.93         
292     200         703.10          450.74          52.41           1332.29         
293     200         700.57          457.37          24.11           1313.56         
294     200         734.92          443.26          26.81           1367.31         
295     200         730.69          463.41          49.55           1432.79         
296     200         732.07          461.23          8.86            1351.64         
297     200         741.47          456.55          48.26           1501.88         
