environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 4449.859727144241

Genome Size: 250
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         17.43           26.74           -0.95           167.79          
1       200         16.77           24.19           -0.76           196.46          
2       200         19.69           27.38           -1.21           146.16          
3       200         18.73           22.05           -0.99           115.84          
4       200         26.99           34.75           -0.42           244.35          
5       200         26.72           30.48           -0.57           160.48          
6       200         29.66           32.67           -0.03           197.31          
7       200         28.32           32.69           -1.22           242.96          
8       200         35.51           37.83           -0.49           246.48          
9       200         32.51           29.78           -0.21           213.46          
10      200         38.21           40.00           -0.30           240.94          
11      200         39.30           77.01           -0.39           1025.55         
12      200         55.21           86.14           -0.16           1009.45         
13      200         46.70           47.43           -0.80           346.13          
14      200         48.48           46.87           -1.13           316.34          
15      200         48.78           39.99           0.93            261.35          
16      200         53.42           42.71           0.70            232.89          
17      200         55.81           88.20           1.91            1019.03         
18      200         72.56           95.25           3.03            988.79          
19      200         73.78           84.09           0.60            626.97          
20      200         100.81          176.18          -0.78           1037.10         
21      200         87.06           106.49          0.34            1013.03         
22      200         93.58           139.19          -0.46           1048.17         
23      200         92.52           107.96          -0.32           972.29          
24      200         95.96           111.31          -0.73           1005.38         
25      200         131.96          191.43          1.96            1026.76         
26      200         109.85          144.61          0.92            1035.10         
27      200         144.98          202.61          2.38            1043.73         
28      200         161.72          221.77          3.71            1034.65         
29      200         155.00          191.60          4.54            1075.28         
30      200         146.20          180.49          1.07            1033.23         
31      200         185.52          241.13          1.14            1046.77         
32      200         196.03          240.38          1.29            1071.71         
33      200         184.01          254.37          -0.20           1029.18         
34      200         200.17          265.56          3.00            1049.19         
35      200         223.81          278.35          -0.72           1051.34         
36      200         211.57          265.97          3.68            1022.63         
37      200         227.85          289.55          1.98            1128.59         
38      200         231.50          318.86          1.00            1046.05         
39      200         227.95          293.61          -0.86           1049.95         
40      200         258.74          304.40          2.51            1064.65         
41      200         205.32          274.87          1.52            1031.25         
42      200         213.37          287.20          2.28            1024.70         
43      200         231.11          291.31          2.17            1041.70         
44      200         273.96          322.99          1.35            1062.49         
45      200         255.30          307.72          -0.38           1021.76         
46      200         254.60          324.27          -0.52           1040.18         
47      200         284.75          335.43          -1.28           1147.52         
48      200         331.00          370.77          0.61            1035.21         
49      200         284.70          345.16          0.33            1027.28         
50      200         351.30          368.97          3.02            1035.21         
51      200         321.05          339.84          4.97            1120.80         
52      200         322.81          366.20          6.93            1027.50         
53      200         361.40          372.51          -0.66           1036.81         
54      200         384.20          383.55          0.11            1057.76         
55      200         431.53          396.15          8.29            1025.67         
56      200         430.87          394.09          4.77            1051.28         
57      200         388.12          381.28          1.76            1024.09         
58      200         403.93          382.70          6.95            1041.80         
59      200         425.98          396.27          5.93            1053.52         
60      200         481.46          401.38          7.24            1034.03         
61      200         463.04          397.31          -0.07           1038.14         
62      200         428.24          384.75          11.09           1024.22         
63      200         527.20          414.25          6.00            1054.57         
64      200         492.21          409.44          2.85            1044.14         
65      200         504.33          410.72          6.65            1066.38         
66      200         526.95          408.44          7.20            1068.47         
67      200         557.24          415.84          5.14            1025.56         
68      200         533.12          413.78          5.34            1048.04         
69      200         537.83          412.90          4.22            1099.21         
70      200         467.23          404.09          5.20            1050.33         
71      200         571.56          427.10          0.95            1048.03         
72      200         529.13          419.66          5.42            1103.25         
73      200         521.26          423.31          -0.61           1035.95         
74      200         578.80          423.62          10.96           1031.84         
75      200         532.90          416.69          8.48            1034.61         
76      200         553.94          421.81          9.52            1076.75         
77      200         567.94          409.67          6.17            1044.15         
78      200         580.41          411.35          6.34            1030.22         
79      200         562.16          410.76          2.45            1045.37         
80      200         590.16          421.92          12.82           1057.15         
81      200         615.24          416.40          12.00           1045.60         
82      200         572.15          416.30          0.35            1107.84         
83      200         601.56          420.16          5.23            1039.55         
84      200         632.77          412.79          5.96            1051.45         
85      200         530.65          426.85          5.58            1041.98         
86      200         557.92          434.43          -1.12           1072.45         
87      200         552.26          420.27          14.77           1034.18         
88      200         548.02          425.94          2.92            1033.30         
89      200         562.00          430.58          12.36           1115.48         
90      200         546.43          433.91          4.90            1028.38         
91      200         561.43          425.31          11.11           1045.04         
92      200         560.75          427.88          -0.19           1036.05         
93      200         592.34          418.61          8.41            1081.93         
94      200         605.98          416.64          8.25            1111.11         
95      200         669.63          403.38          0.34            1045.74         
96      200         617.92          420.85          16.89           1037.49         
