environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 4211.434055089951

Genome Size: 900
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -224.21         126.02          -923.57         372.77          
1       200         -222.03         88.92           -552.44         131.74          
2       200         -234.71         118.93          -970.69         -24.07          
3       200         -211.47         97.14           -756.86         18.79           
4       200         -191.04         83.98           -499.29         156.32          
5       200         -196.58         72.84           -467.14         -19.53          
6       200         -176.26         102.52          -401.73         319.14          
7       200         -165.36         84.37           -412.25         313.78          
8       200         -173.84         104.23          -649.47         615.84          
9       200         -184.31         117.45          -934.51         684.99          
10      200         -180.90         100.06          -867.03         41.75           
11      200         -167.83         98.04           -371.80         456.97          
12      200         -154.31         114.59          -607.17         459.60          
13      200         -166.53         105.87          -417.36         319.51          
14      200         -139.24         172.39          -850.06         1332.65         
15      200         -140.89         131.04          -809.92         864.53          
16      200         -162.09         147.72          -1099.60        486.85          
17      200         -149.23         182.50          -1280.97        830.02          
18      200         -137.43         194.41          -1015.07        1091.22         
19      200         -150.90         146.25          -1190.53        690.46          
20      200         -134.79         185.28          -1059.94        648.17          
21      200         -138.95         177.73          -629.64         1015.49         
22      200         -146.44         179.57          -666.70         821.46          
23      200         -97.88          249.18          -796.37         1042.70         
24      200         -99.52          207.68          -576.37         707.36          
25      200         -119.18         247.89          -993.63         959.55          
26      200         -117.42         281.68          -1540.92        1614.02         
27      200         -91.22          276.53          -861.65         1202.37         
28      200         -70.17          249.71          -1022.84        866.06          
29      200         -60.86          270.58          -833.80         1003.41         
30      200         -62.04          320.52          -976.00         977.98          
31      200         -84.38          280.39          -890.84         1489.53         
32      200         -63.00          312.65          -1255.43        1266.92         
33      200         -63.11          268.43          -938.41         963.12          
34      200         -92.12          358.48          -1120.49        1567.66         
35      200         -83.91          290.78          -990.82         1175.58         
36      200         -32.79          342.52          -710.69         1162.64         
37      200         -39.40          292.61          -707.76         1151.01         
38      200         -68.93          292.32          -760.76         966.10          
39      200         -18.71          395.49          -1165.11        1352.98         
40      200         -21.83          354.64          -1153.06        1161.80         
41      200         -40.53          378.59          -1056.54        1824.48         
42      200         -70.59          324.42          -993.92         1625.78         
43      200         -34.11          352.76          -956.47         1616.97         
44      200         -44.46          335.75          -1298.42        1114.54         
45      200         -69.13          335.98          -775.59         1172.15         
46      200         -24.16          372.71          -1117.61        1243.45         
47      200         -43.57          362.15          -937.91         1113.19         
48      200         -48.90          393.24          -1415.78        2256.68         
49      200         -18.42          393.75          -1019.44        1507.92         
50      200         -32.74          396.73          -909.22         1385.89         
51      200         13.82           418.59          -1156.00        1403.95         
52      200         46.75           435.11          -865.60         1838.33         
53      200         11.76           469.37          -1375.19        2361.25         
54      200         34.87           512.37          -1273.17        1721.50         
55      200         131.39          549.74          -1005.73        1999.24         
56      200         87.18           501.07          -1176.84        1649.51         
57      200         94.67           566.05          -1383.94        2354.59         
58      200         168.06          577.27          -991.81         2486.74         
59      200         196.51          593.22          -1106.82        2051.92         
60      200         182.69          583.92          -661.26         2444.56         
61      200         237.44          665.72          -1052.85        3322.02         
62      200         261.10          629.62          -1060.91        2449.80         
63      200         359.47          730.11          -1581.73        3184.83         
64      200         330.23          735.71          -985.99         2886.73         
65      200         432.07          809.72          -964.82         3382.73         
66      200         446.01          802.16          -1886.16        2804.14         
67      200         544.93          879.84          -1308.74        3559.22         
68      200         670.65          960.94          -1974.94        3322.50         
69      200         670.88          907.74          -621.77         3489.91         
70      200         871.06          992.32          -1502.37        3342.33         
71      200         701.88          981.11          -1294.35        3590.81         
72      200         1009.35         1125.42         -917.38         3879.89         
73      200         1066.02         1139.32         -770.16         3760.47         
74      200         1082.48         1157.07         -809.97         4090.72         
75      200         1282.70         1139.20         -1019.10        4059.52         
76      200         1134.42         1189.69         -797.38         4335.87         
77      200         1340.30         1167.83         -739.03         3911.23         
78      200         1329.19         1248.16         -1308.29        4388.71         
79      200         1367.33         1308.84         -1128.29        4741.67         
80      200         1452.54         1332.64         -622.07         4402.89         
81      200         1845.23         1342.32         -944.89         4730.17         
82      200         1859.17         1532.65         -909.74         4772.07         
83      200         1771.98         1486.55         -868.91         4567.18         
84      200         1814.45         1495.00         -1107.53        4612.52         
85      200         1922.31         1558.77         -641.83         4552.37         
86      200         1822.84         1490.23         -554.93         4570.85         
87      200         1992.97         1505.92         -1327.16        4645.63         
88      200         2174.67         1528.04         -677.05         4816.08         
89      200         1708.34         1555.17         -599.35         4999.74         
90      200         2043.81         1538.00         -637.93         4590.45         
91      200         2198.46         1508.40         -547.36         4702.78         
92      200         2113.20         1549.83         -663.54         4606.88         
93      200         2070.81         1601.67         -968.87         4472.62         
94      200         1814.95         1628.71         -1015.75        4641.51         
95      200         1930.99         1643.53         -589.50         4757.16         
96      200         1941.09         1597.38         -677.42         4916.70         
97      200         2399.37         1527.41         -800.88         4861.78         
98      200         2078.66         1660.57         -545.98         4841.42         
99      200         2220.91         1641.41         -595.26         4801.38         
100     200         2166.44         1683.54         -882.98         4986.66         
101     200         2010.29         1752.73         -2383.71        4705.91         
102     200         2225.16         1655.82         -1590.11        4634.73         
103     200         2233.36         1581.60         -618.49         4836.38         
104     200         2146.45         1678.66         -668.30         4831.12         
105     200         2547.57         1566.03         -978.32         4980.66         
106     200         2169.76         1640.71         -505.19         4785.14         
107     200         2107.37         1622.84         -503.65         4795.58         
108     200         2318.23         1581.32         -912.73         4848.31         
109     200         2248.59         1714.54         -1876.81        4826.41         
110     200         2424.88         1627.28         -551.50         4815.89         
111     200         2426.47         1621.00         -669.92         4843.97         
112     200         1999.64         1751.56         -718.58         4954.26         
113     200         2547.69         1664.77         -628.48         4668.72         
114     200         2315.13         1764.54         -692.79         5088.93         
115     200         2379.54         1736.27         -537.34         4857.65         
116     200         2466.89         1720.63         -919.34         4852.12         
117     200         2435.55         1728.34         -562.93         4840.25         
118     200         2531.40         1756.01         -808.42         4737.98         
119     200         2560.02         1830.05         -732.07         4768.90         
120     200         2395.99         1879.52         -655.18         4704.42         
121     200         2584.55         1854.97         -475.27         4990.60         
122     200         2610.73         1887.19         -666.64         4852.60         
123     200         2303.64         2009.61         -531.48         4709.51         
124     200         2602.94         1911.47         -593.08         4791.26         
125     200         2524.74         1931.47         -463.46         4866.42         
126     200         2816.92         1780.38         -675.66         4972.16         
127     200         2632.09         1940.57         -839.08         4845.45         
128     200         2770.86         1876.52         -543.66         5036.45         
129     200         2791.77         1851.90         -566.73         4830.82         
130     200         2972.17         1800.51         -574.18         4960.14         
131     200         3021.77         1804.96         -590.10         5016.54         
132     200         3162.54         1792.75         -1496.07        4854.74         
133     200         3156.14         1770.17         -734.45         4876.70         
134     200         3118.72         1771.99         -643.56         4854.18         
135     200         3001.06         1884.21         -516.50         5138.65         
136     200         3124.82         1809.72         -527.46         5092.36         
137     200         3150.61         1848.37         -629.53         5182.14         
138     200         3219.09         1755.11         -551.60         4802.42         
139     200         3102.18         1808.18         -553.38         4896.76         
140     200         2919.40         1892.11         -595.56         4881.92         
141     200         2709.52         2022.62         -615.62         4943.20         
142     200         3029.98         1913.50         -679.90         4893.67         
