environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 14705.663147211075

Genome Size: 920
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -6.64           11.67           -31.36          185.61          
1       500         -7.12           8.82            -23.83          57.81           
2       500         -7.35           17.20           -272.07         172.72          
3       500         -7.16           9.15            -24.68          125.75          
4       500         -7.38           9.62            -40.71          104.80          
5       500         -6.70           12.03           -35.86          124.23          
6       500         -6.30           11.15           -37.57          144.76          
7       500         -5.81           15.46           -93.56          125.55          
8       500         -5.15           20.27           -100.82         228.55          
9       500         -5.85           15.04           -110.22         159.40          
10      500         -5.44           16.26           -60.40          226.54          
11      500         -5.50           15.23           -87.66          127.98          
12      500         -5.45           17.49           -68.01          203.81          
13      500         -5.46           17.71           -150.84         188.55          
14      500         -4.06           21.84           -193.35         269.09          
15      500         -5.90           13.29           -122.74         81.90           
16      500         -2.75           21.17           -63.37          257.11          
17      500         -1.12           24.32           -85.78          236.73          
18      500         2.01            39.11           -66.75          475.58          
19      500         3.53            37.01           -179.08         300.24          
20      500         8.54            60.09           -70.38          960.83          
21      500         8.82            44.03           -62.78          374.32          
22      500         7.10            39.16           -76.59          339.25          
23      500         14.83           58.11           -124.70         523.79          
24      500         18.33           57.87           -77.33          326.40          
25      500         29.07           77.16           -105.36         573.87          
26      500         33.45           75.57           -108.26         435.35          
27      500         51.72           116.96          -70.82          1094.68         
28      500         58.13           96.85           -119.05         443.05          
29      500         51.07           108.60          -161.26         905.78          
30      500         70.56           127.59          -123.27         952.68          
31      500         82.59           130.75          -115.53         994.78          
32      500         95.68           138.32          -230.70         966.64          
33      500         85.56           126.83          -127.90         1022.62         
34      500         98.84           136.35          -190.03         994.65          
35      500         117.47          158.07          -160.51         1051.38         
36      500         115.26          140.60          -184.50         1055.24         
37      500         132.90          143.28          -84.59          1055.07         
38      500         129.25          142.02          -245.24         1036.85         
39      500         140.12          158.12          -128.27         1024.10         
40      500         148.19          143.21          -102.81         1004.24         
41      500         159.12          150.27          -109.84         1048.09         
42      500         170.06          146.57          -95.10          1069.81         
43      500         159.90          147.94          -34.27          1056.11         
44      500         168.36          148.45          -72.38          1082.53         
45      500         161.00          131.42          -67.16          733.88          
46      500         176.38          157.29          -77.92          1066.34         
47      500         183.83          144.02          -65.12          986.80          
48      500         174.09          134.46          -120.76         1005.67         
49      500         182.07          135.08          -68.33          1021.70         
50      500         177.14          135.28          -83.28          992.78          
51      500         176.10          140.35          -78.42          1106.20         
52      500         180.71          136.85          -135.31         923.86          
53      500         178.67          144.32          -31.54          1072.70         
54      500         180.71          147.64          -92.86          961.27          
55      500         181.25          150.78          -121.83         1087.50         
56      500         188.16          155.18          -90.95          1175.93         
57      500         189.02          151.21          -98.69          1055.62         
58      500         186.02          150.66          -135.54         1081.94         
59      500         184.18          148.82          -84.60          1057.13         
60      500         191.53          145.74          -52.46          978.16          
61      500         194.47          154.91          -79.45          1080.33         
62      500         185.80          145.55          -64.94          1034.99         
63      500         199.78          147.04          -32.35          1065.50         
64      500         204.77          142.87          -114.80         981.03          
65      500         197.03          126.26          -34.09          708.11          
66      500         201.51          141.63          -54.74          1009.37         
67      500         209.68          147.45          -39.02          1118.63         
68      500         191.38          137.51          -63.15          1059.31         
69      500         210.35          147.69          -41.56          951.76          
70      500         224.35          151.74          -31.04          1039.97         
71      500         211.59          144.90          -46.05          1033.22         
72      500         213.93          156.59          -44.01          1054.31         
73      500         215.96          154.05          -125.03         1075.69         
74      500         205.63          143.92          -35.04          1034.09         
75      500         215.08          148.63          -55.07          1001.50         
76      500         206.57          151.43          -121.08         1055.68         
77      500         210.59          153.21          -56.21          1059.03         
78      500         238.22          154.89          -188.92         1049.51         
79      500         231.37          157.63          -30.39          1080.64         
80      500         221.62          158.31          -41.21          1045.79         
81      500         234.00          180.19          -106.94         1177.95         
82      500         229.87          164.87          -38.96          1043.33         
83      500         212.72          155.25          -68.05          1114.46         
84      500         228.76          182.08          -50.13          1237.36         
85      500         231.72          167.40          -36.80          1059.35         
86      500         253.16          207.27          -52.11          1065.23         
87      500         248.17          185.76          -89.55          1069.16         
88      500         256.21          208.98          -23.28          1082.69         
89      500         254.82          208.04          -70.80          1077.89         
90      500         258.28          216.23          -39.68          1113.91         
91      500         243.46          209.71          -39.63          1245.71         
92      500         269.51          227.98          -84.90          1060.96         
93      500         270.17          232.34          -75.20          1103.41         
94      500         286.16          258.31          -56.79          1086.93         
95      500         280.55          256.94          -66.55          1152.85         
96      500         267.00          253.65          -120.94         1103.82         
97      500         292.56          269.93          -70.09          1084.52         
98      500         296.05          280.97          -52.74          1068.09         
99      500         328.82          295.85          -43.67          1151.05         
100     500         328.56          297.18          -267.78         1152.11         
101     500         320.40          288.53          -33.68          1143.31         
102     500         352.26          315.19          -57.87          1116.69         
103     500         339.85          303.75          -63.33          1108.87         
104     500         375.90          325.56          -38.62          1076.19         
105     500         399.36          348.46          -272.70         1108.32         
106     500         413.07          358.87          -56.74          1142.90         
107     500         440.29          361.53          -36.29          1100.14         
108     500         426.14          361.80          -21.75          1077.48         
109     500         452.14          377.96          -112.94         1142.43         
110     500         439.20          372.68          -25.45          1181.96         
111     500         457.10          384.98          -84.96          1072.50         
112     500         471.96          384.15          -57.89          1138.60         
113     500         497.10          395.62          -179.90         1105.97         
114     500         563.09          401.46          -31.55          1129.91         
115     500         514.93          395.53          -90.38          1153.22         
116     500         502.59          408.91          -61.82          1163.10         
117     500         539.53          407.22          -91.51          1242.91         
118     500         553.09          417.35          -94.07          1184.69         
119     500         576.70          411.39          -35.05          1114.43         
120     500         553.53          416.27          -66.47          1099.40         
121     500         601.88          416.24          -38.74          1288.81         
122     500         570.45          421.00          -184.06         1143.74         
123     500         591.13          425.98          -46.04          1164.98         
124     500         568.31          414.77          -64.03          1134.15         
125     500         568.18          422.39          -82.87          1147.86         
126     500         579.63          424.58          -81.50          1103.12         
127     500         571.55          420.92          -141.30         1115.86         
128     500         565.85          424.98          -105.30         1169.88         
129     500         582.94          423.44          -139.66         1157.53         
130     500         550.81          422.23          -70.80          1136.16         
131     500         593.15          431.10          -59.33          1161.13         
132     500         600.36          423.92          -23.95          1210.86         
133     500         609.42          431.08          -76.27          1130.43         
134     500         591.58          430.17          -73.81          1283.44         
135     500         632.32          426.26          -49.57          1367.38         
136     500         619.83          426.37          -106.07         1130.29         
137     500         631.57          432.79          -67.31          1147.78         
138     500         655.55          424.91          -133.93         1172.72         
139     500         619.18          428.31          -78.27          1139.64         
140     500         621.13          427.31          -74.70          1214.18         
141     500         663.11          420.37          -22.60          1206.71         
