environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 25275.20035815239

Genome Size: 3700
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -621.23         78.74           -1063.14        -401.65         
1       500         -613.76         76.78           -924.90         -239.69         
2       500         -617.09         66.78           -1023.11        -284.58         
3       500         -612.31         65.18           -983.11         -385.87         
4       500         -611.46         64.97           -934.49         -426.41         
5       500         -616.30         61.04           -865.57         -440.41         
6       500         -610.04         75.77           -1046.40        -378.92         
7       500         -612.05         66.93           -925.63         -341.13         
8       500         -609.20         62.32           -923.72         -419.13         
9       500         -608.92         62.87           -996.34         -420.07         
10      500         -606.60         69.22           -1048.29        -287.19         
11      500         -609.15         65.77           -980.06         -412.84         
12      500         -605.82         65.73           -1032.54        -307.56         
13      500         -604.17         59.11           -865.14         -363.07         
14      500         -597.89         64.48           -882.18         -99.80          
15      500         -603.94         71.18           -1015.77        -170.20         
16      500         -607.88         63.76           -845.42         -336.86         
17      500         -598.96         64.32           -1088.15        -306.46         
18      500         -603.08         65.76           -1148.94        -345.82         
19      500         -595.11         63.15           -1039.10        -279.00         
20      500         -599.79         65.02           -930.39         -295.59         
21      500         -595.03         60.57           -810.98         -232.58         
22      500         -594.29         60.79           -827.60         -298.06         
23      500         -596.97         63.35           -789.08         -167.06         
24      500         -598.02         65.82           -910.82         -342.53         
25      500         -589.72         74.06           -1153.81        -244.19         
26      500         -589.84         70.65           -859.76         -295.22         
27      500         -590.70         73.09           -950.58         -79.12          
28      500         -585.00         73.69           -891.33         -210.74         
29      500         -571.72         83.74           -846.92         -122.71         
30      500         -564.33         95.77           -853.27         -47.86          
31      500         -563.85         105.24          -858.76         -41.43          
32      500         -544.31         118.11          -934.72         158.73          
33      500         -526.69         129.30          -882.25         -0.68           
34      500         -505.15         142.30          -794.71         126.25          
35      500         -485.61         151.71          -926.76         298.18          
36      500         -450.54         187.17          -879.27         273.65          
37      500         -416.76         205.05          -1059.91        403.84          
38      500         -352.77         227.10          -848.11         343.28          
39      500         -325.72         230.56          -1271.95        436.64          
40      500         -272.29         259.73          -1475.58        637.63          
41      500         -231.96         265.74          -1085.44        496.03          
42      500         -224.80         259.44          -1006.25        521.74          
43      500         -166.70         271.87          -1600.29        416.30          
44      500         -149.57         276.19          -1710.62        691.78          
45      500         -111.60         279.55          -1429.11        554.82          
46      500         -70.36          288.41          -1129.93        791.34          
47      500         -42.89          311.12          -1447.85        654.76          
48      500         -36.99          299.01          -1391.33        688.77          
49      500         -19.28          317.88          -1621.74        706.72          
50      500         -5.52           335.04          -1640.36        809.54          
51      500         60.66           314.34          -879.44         747.33          
52      500         68.01           345.92          -1699.64        790.74          
53      500         87.32           336.27          -1190.21        798.85          
54      500         114.16          354.10          -1799.14        820.74          
55      500         146.61          362.51          -1677.33        781.26          
56      500         169.80          370.31          -1552.52        796.62          
57      500         157.02          376.65          -1624.76        810.30          
58      500         226.50          390.23          -1730.65        865.17          
59      500         270.56          377.25          -1699.08        1111.06         
60      500         284.34          375.05          -1440.86        947.21          
61      500         289.12          379.36          -1481.87        975.44          
62      500         325.14          392.10          -1790.69        1154.31         
63      500         316.83          397.20          -1709.22        1122.86         
64      500         372.92          373.73          -1419.99        1019.38         
65      500         378.30          373.52          -1119.89        1040.38         
66      500         376.53          390.27          -1721.57        1002.29         
67      500         414.37          382.99          -1356.52        924.14          
68      500         448.61          397.90          -1835.48        1069.53         
69      500         424.72          397.70          -1390.63        1068.24         
70      500         460.67          385.77          -1874.92        1139.29         
71      500         450.19          427.73          -1839.43        1729.64         
72      500         505.11          395.22          -1771.96        1118.72         
73      500         517.41          347.00          -1487.13        1054.70         
74      500         519.77          367.32          -1125.65        1125.69         
75      500         549.36          348.64          -1535.32        1383.15         
76      500         513.90          397.47          -1750.59        1353.37         
77      500         556.53          345.85          -1962.66        1147.02         
78      500         540.71          392.21          -1721.63        1370.11         
79      500         576.23          349.83          -1204.21        1101.52         
80      500         545.72          393.46          -1772.72        1041.79         
81      500         593.56          361.20          -1921.27        1354.48         
82      500         594.16          328.50          -1447.32        1111.48         
83      500         567.45          392.01          -1500.65        1335.99         
84      500         599.98          352.14          -1233.73        1148.66         
85      500         612.99          392.79          -1926.96        1502.51         
86      500         605.03          375.36          -1851.15        1430.35         
87      500         603.67          384.88          -1641.07        1304.59         
88      500         623.21          363.45          -1702.31        1415.63         
89      500         637.69          377.35          -1601.15        1257.92         
90      500         681.88          282.70          -892.36         1530.70         
91      500         630.28          360.58          -1082.42        1454.53         
92      500         615.85          392.71          -1933.16        1806.07         
93      500         635.58          378.80          -1170.13        1694.93         
94      500         674.46          324.71          -1065.07        1363.28         
95      500         673.08          322.80          -1126.66        1624.04         
96      500         684.52          346.34          -1707.49        1529.16         
97      500         691.76          330.97          -1120.16        1584.05         
98      500         672.81          355.79          -1550.42        1615.30         
99      500         692.37          337.71          -1344.58        1449.52         
100     500         705.43          337.94          -1767.26        1756.87         
101     500         714.10          367.99          -1419.70        1768.49         
102     500         716.67          357.90          -786.31         1787.69         
103     500         730.61          341.61          -623.37         1919.23         
104     500         743.10          332.04          -1492.89        2034.61         
105     500         765.79          359.67          -1254.15        1810.63         
106     500         759.76          345.61          -774.77         1691.35         
107     500         803.96          337.87          -1035.90        1729.64         
108     500         806.05          362.05          -1062.38        2024.46         
109     500         802.82          348.54          -769.62         1874.27         
110     500         806.28          403.44          -1312.42        2830.17         
111     500         793.91          356.90          -820.91         2517.09         
112     500         839.92          356.79          -793.08         2608.77         
113     500         840.83          406.24          -1196.41        2437.47         
114     500         830.98          424.36          -1271.61        2692.86         
115     500         842.60          372.50          -415.51         2223.35         
116     500         843.04          435.83          -1153.82        2473.05         
117     500         882.57          480.87          -665.21         3348.89         
118     500         871.03          465.86          -1113.96        3298.64         
119     500         920.67          512.50          -1215.06        3445.84         
120     500         907.79          487.93          -505.18         3304.43         
121     500         964.25          554.85          -1270.21        3286.13         
122     500         1024.40         637.41          -425.03         3402.18         
123     500         1089.95         721.90          -992.23         3406.00         
124     500         1085.63         767.75          -443.09         3390.80         
125     500         1107.21         770.73          -700.46         3416.45         
126     500         1136.53         885.49          -580.49         3470.98         
127     500         1242.59         899.45          -583.92         3436.14         
128     500         1236.89         943.44          -740.37         3415.62         
129     500         1303.91         953.63          -979.79         3465.09         
130     500         1419.99         1011.41         -783.77         3449.18         
131     500         1462.63         1057.73         -708.85         3420.15         
132     500         1370.21         1079.92         -759.32         3469.41         
133     500         1651.44         1151.39         -705.46         3462.90         
134     500         1656.29         1152.29         -834.41         3426.83         
135     500         1697.24         1168.64         -870.67         3435.87         
136     500         1815.88         1172.04         -1036.56        3454.44         
137     500         1966.30         1186.06         -775.01         3451.79         
138     500         1883.69         1222.58         -717.49         3449.58         
139     500         2051.94         1168.49         -507.84         3460.58         
140     500         1977.86         1203.77         -733.99         3456.58         
141     500         1923.38         1224.39         -629.08         3466.79         
142     500         2018.99         1221.07         -593.40         3479.15         
143     500         2070.74         1228.81         -809.88         3494.58         
144     500         2185.55         1230.97         -1160.25        3460.56         
145     500         2167.21         1204.78         -473.90         3466.48         
146     500         2130.49         1240.04         -1256.77        3448.83         
147     500         2120.44         1209.85         -328.19         3462.24         
148     500         2185.60         1228.60         -906.94         3455.25         
149     500         2274.34         1212.83         -686.55         3475.37         
150     500         2183.77         1226.36         -811.42         3480.14         
151     500         2258.02         1195.80         -460.58         3517.49         
152     500         2337.92         1206.69         -804.92         3508.14         
153     500         2239.46         1215.34         -717.12         3470.85         
154     500         2362.79         1185.03         -589.69         3506.55         
155     500         2420.51         1171.05         -1114.10        3465.07         
156     500         2356.33         1200.31         -710.15         3490.60         
157     500         2472.77         1154.36         -1178.03        3480.19         
158     500         2429.70         1163.72         -699.27         3504.62         
159     500         2436.66         1163.18         -921.05         3457.71         
160     500         2362.00         1191.15         -593.62         3459.94         
161     500         2492.53         1165.68         -689.22         3484.46         
162     500         2484.42         1169.70         -521.04         3489.95         
163     500         2589.99         1115.79         -601.87         3485.17         
164     500         2486.37         1167.21         -1164.18        3476.60         
165     500         2484.60         1175.20         -589.71         3553.91         
166     500         2439.43         1170.95         -1006.78        3474.23         
167     500         2653.07         1083.87         -660.91         3503.73         
168     500         2675.16         1074.06         -499.29         3519.49         
169     500         2717.88         1055.75         -262.76         3495.26         
170     500         2734.97         1039.28         -642.56         3517.43         
171     500         2704.60         1052.34         -719.50         3479.43         
172     500         2546.53         1152.15         -766.35         3506.60         
173     500         2625.62         1115.74         -754.16         3502.21         
174     500         2724.97         1049.39         -419.71         3482.68         
175     500         2575.30         1142.05         -687.17         3485.98         
176     500         2541.17         1150.33         -939.31         3499.35         
177     500         2657.29         1105.51         -519.69         3498.15         
178     500         2720.21         1060.72         -282.13         3479.98         
179     500         2725.77         1046.04         -342.06         3506.38         
180     500         2712.96         1062.93         -229.32         3484.38         
181     500         2670.51         1062.57         -376.79         3499.51         
182     500         2660.88         1127.22         -666.36         3488.88         
183     500         2758.99         1017.15         -285.76         3484.07         
184     500         2772.61         1043.52         -86.99          3502.90         
185     500         2837.21         955.59          -342.22         3495.80         
186     500         2786.68         1039.71         -480.43         3534.69         
187     500         2816.20         1011.77         -542.53         3495.63         
188     500         2788.84         1019.94         -388.84         3489.08         
189     500         2830.23         979.70          -375.13         3494.26         
