environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 6507.278251647949

Genome Size: 350
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -5.39           13.23           -38.71          91.55           
1       200         -4.46           13.53           -18.69          118.81          
2       200         -4.97           8.46            -19.98          42.73           
3       200         -0.23           41.46           -95.11          446.28          
4       200         -1.63           25.02           -29.32          297.23          
5       200         -1.13           19.87           -33.94          125.22          
6       200         -1.07           25.05           -36.00          269.60          
7       200         -2.34           21.28           -97.60          224.19          
8       200         -0.14           29.91           -48.82          307.98          
9       200         1.66            41.00           -133.59         308.19          
10      200         9.44            82.69           -43.18          979.94          
11      200         3.60            35.08           -100.46         291.31          
12      200         5.51            40.13           -70.76          374.57          
13      200         10.54           82.16           -49.09          1038.94         
14      200         22.09           89.67           -111.45         965.34          
15      200         24.75           78.40           -191.63         408.40          
16      200         29.40           75.18           -70.14          359.88          
17      200         48.25           100.63          -128.60         472.70          
18      200         55.49           147.65          -99.10          999.37          
19      200         72.64           130.93          -191.84         657.00          
20      200         76.87           145.20          -125.58         961.83          
21      200         120.51          180.37          -73.08          986.39          
22      200         109.04          179.60          -30.56          991.47          
23      200         99.16           138.11          -47.11          959.25          
24      200         110.38          178.82          -95.74          1073.00         
25      200         115.34          162.09          -97.01          995.39          
26      200         122.00          156.39          -62.70          997.90          
27      200         141.29          197.39          -84.75          1054.72         
28      200         163.72          196.65          -44.37          1081.91         
29      200         144.94          187.01          -33.02          976.87          
30      200         148.12          150.47          -97.23          925.53          
31      200         152.60          180.26          -31.49          1016.11         
32      200         166.82          203.67          -127.90         1055.44         
33      200         203.73          224.21          -109.58         1016.07         
34      200         169.73          203.64          -38.52          1061.54         
35      200         179.89          224.44          -53.87          1069.23         
36      200         195.09          219.69          -77.23          1015.98         
37      200         191.05          211.27          -64.17          1040.75         
38      200         179.38          173.81          -55.83          961.98          
39      200         179.67          204.84          -55.48          1042.51         
40      200         186.06          188.36          -57.43          1023.81         
