environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 100
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 15030.750018835068

Genome Size: 3700
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -573.52         28.52           -714.41         -509.85         
1       100         -567.80         26.15           -653.60         -461.75         
2       100         -572.65         25.31           -654.96         -517.04         
3       100         -573.26         23.76           -630.64         -506.00         
4       100         -578.70         27.60           -671.38         -492.49         
5       100         -571.34         27.33           -626.06         -476.22         
6       100         -576.63         29.06           -664.56         -506.14         
7       100         -575.71         28.77           -673.56         -513.28         
8       100         -577.29         27.18           -709.13         -512.62         
9       100         -570.64         23.41           -644.36         -505.92         
10      100         -571.63         24.48           -643.95         -510.34         
11      100         -575.50         30.16           -671.79         -475.67         
12      100         -575.47         29.73           -662.72         -502.26         
13      100         -584.19         43.36           -843.89         -506.80         
14      100         -576.98         29.76           -692.83         -521.98         
15      100         -576.15         30.59           -689.44         -498.85         
16      100         -581.72         39.62           -753.04         -489.33         
17      100         -574.24         36.92           -678.04         -425.73         
18      100         -580.00         29.91           -695.68         -507.51         
19      100         -580.18         27.69           -687.41         -517.56         
20      100         -577.81         33.94           -671.99         -485.58         
21      100         -574.96         35.68           -670.28         -422.47         
22      100         -574.90         33.32           -704.71         -506.91         
23      100         -570.31         40.35           -671.19         -356.58         
24      100         -573.53         37.51           -642.60         -399.67         
25      100         -574.02         38.08           -711.50         -476.64         
26      100         -572.18         32.95           -657.13         -488.63         
27      100         -567.20         34.94           -672.39         -491.70         
28      100         -566.41         38.52           -641.38         -435.15         
29      100         -558.15         38.03           -639.73         -442.99         
30      100         -562.33         36.90           -655.61         -407.71         
31      100         -561.82         33.82           -636.74         -464.35         
32      100         -555.47         52.42           -678.36         -277.33         
33      100         -558.08         46.48           -680.55         -352.11         
34      100         -554.28         49.64           -706.27         -416.47         
35      100         -555.12         53.43           -740.91         -378.98         
36      100         -548.10         60.76           -705.35         -254.69         
37      100         -533.65         83.11           -731.47         11.28           
38      100         -514.02         117.21          -749.63         -42.92          
39      100         -481.22         148.24          -658.46         324.03          
40      100         -424.82         181.32          -915.69         137.72          
41      100         -390.30         199.20          -716.31         217.47          
42      100         -332.51         236.20          -782.31         326.55          
43      100         -249.07         298.63          -884.39         939.25          
44      100         -112.99         326.64          -678.83         632.28          
45      100         -50.90          315.44          -877.38         626.24          
46      100         -12.79          314.63          -641.07         759.46          
47      100         69.13           370.70          -1346.53        686.05          
48      100         157.28          397.01          -744.99         1328.69         
49      100         149.93          424.81          -1126.97        1217.85         
50      100         217.57          370.85          -743.34         971.67          
51      100         146.79          414.29          -989.32         954.03          
52      100         220.58          417.30          -912.77         1648.06         
53      100         266.71          484.99          -678.51         1255.52         
54      100         323.55          525.52          -904.33         1535.95         
55      100         361.06          467.58          -828.51         1464.73         
56      100         472.79          560.27          -676.93         1799.40         
57      100         495.20          574.74          -1311.85        1714.65         
58      100         734.11          561.42          -1022.62        1783.78         
59      100         738.71          644.01          -688.25         1901.68         
60      100         853.01          628.58          -1269.86        2108.09         
61      100         813.14          696.24          -643.44         2323.92         
62      100         981.47          648.03          -848.09         2115.01         
63      100         925.96          652.89          -1021.80        1919.57         
64      100         1150.51         640.05          -1246.46        2465.97         
65      100         1087.75         589.07          -728.38         2053.03         
66      100         1166.47         588.84          -555.63         2380.39         
67      100         1212.62         609.54          -39.38          2444.72         
68      100         1135.95         759.93          -958.73         2303.04         
69      100         1410.26         636.64          -443.56         2352.55         
70      100         1295.48         724.24          -1440.81        2557.01         
71      100         1365.94         697.23          -1375.70        2210.17         
72      100         1280.19         756.97          -906.24         2499.79         
73      100         1470.64         757.99          -1249.61        2301.76         
74      100         1476.88         730.02          -1066.63        2298.70         
75      100         1601.55         660.53          -598.77         2482.21         
76      100         1540.81         715.73          -567.74         2473.52         
77      100         1550.31         717.62          -1271.41        2463.40         
78      100         1537.72         751.45          -1649.86        2272.64         
79      100         1724.20         594.84          -570.36         2410.30         
80      100         1774.64         504.59          -211.10         2494.64         
81      100         1743.10         574.36          -344.59         2343.61         
82      100         1766.96         738.66          -2223.65        2452.59         
83      100         1839.56         459.11          -581.94         2513.71         
84      100         1728.65         483.78          17.63           2424.87         
85      100         1699.06         710.53          -2351.48        2305.23         
86      100         1687.33         748.51          -1522.46        2569.03         
87      100         1949.72         331.12          -71.86          2421.59         
88      100         1792.76         518.70          -371.09         2440.29         
89      100         1785.71         571.91          -2019.91        2367.69         
90      100         1804.26         524.88          -676.74         2428.45         
91      100         1898.63         412.90          89.36           2440.40         
92      100         1776.01         705.16          -1012.82        2392.43         
93      100         1908.47         454.57          -501.87         2527.48         
94      100         1769.77         706.82          -1544.75        2484.88         
95      100         1797.90         630.39          -631.26         2420.13         
96      100         1885.21         472.50          -375.80         2552.74         
97      100         1805.84         711.75          -1996.47        2446.79         
98      100         1819.81         562.32          -427.85         2368.23         
99      100         1827.27         550.61          -170.66         2426.08         
100     100         1615.24         773.95          -1390.43        2339.65         
101     100         1731.77         832.86          -2156.06        2519.41         
102     100         1641.35         856.70          -1615.30        2398.12         
103     100         1748.63         673.45          -1464.05        2358.43         
104     100         1805.88         601.79          -1405.66        2337.66         
105     100         1915.27         436.13          31.66           2351.80         
106     100         1988.44         390.95          -397.92         2428.48         
107     100         1941.51         404.87          -33.47          2503.89         
108     100         1810.22         585.46          -1246.50        2522.09         
109     100         1919.72         465.87          -686.00         2570.61         
110     100         1862.84         473.59          98.00           2453.94         
111     100         1888.80         492.22          -1344.69        2395.75         
112     100         1948.02         449.72          -254.17         2431.00         
113     100         1831.74         606.23          -1186.04        2508.24         
114     100         1884.16         578.40          -1864.62        2436.36         
115     100         1892.58         469.61          96.37           2416.90         
116     100         1831.03         586.27          -1451.17        2401.72         
117     100         1907.75         530.75          -967.75         2426.35         
118     100         1962.97         492.04          -432.08         2491.97         
119     100         1950.95         349.95          415.73          2365.83         
120     100         2032.07         258.58          674.62          2413.24         
121     100         1946.79         543.17          -1507.76        2497.21         
122     100         1922.70         567.62          -1182.49        2468.34         
123     100         2001.06         325.31          -76.17          2442.50         
124     100         1940.69         476.55          -447.24         2415.74         
125     100         1992.91         354.93          16.57           2387.99         
126     100         2014.36         329.07          178.91          2512.98         
127     100         2006.58         304.18          214.80          2389.19         
128     100         2063.66         239.00          945.99          2491.42         
129     100         2076.77         238.87          352.44          2399.31         
130     100         2019.35         268.10          719.41          2411.73         
131     100         2008.46         285.32          181.46          2411.18         
132     100         2023.81         413.02          -1557.12        2462.01         
133     100         1974.63         480.81          -1494.87        2393.28         
134     100         2027.55         424.24          -532.38         2591.16         
135     100         2016.12         288.38          507.69          2388.53         
136     100         2009.29         339.63          18.09           2434.47         
137     100         2083.11         169.82          1427.48         2383.25         
138     100         2078.55         224.47          492.26          2470.15         
139     100         2048.71         305.54          -130.52         2464.25         
140     100         2054.08         244.36          1021.48         2578.10         
141     100         2040.94         437.56          -1609.06        2528.70         
142     100         1999.02         380.74          22.49           2546.22         
143     100         2035.45         351.59          273.48          2505.11         
144     100         2051.75         346.80          -214.48         2463.10         
145     100         2048.35         347.56          -155.36         2469.52         
146     100         2042.20         309.52          262.14          2471.62         
147     100         2056.75         381.52          -332.87         2394.63         
148     100         2075.88         265.73          192.74          2495.71         
149     100         2040.84         346.74          -645.35         2497.69         
150     100         2026.38         422.17          -1433.37        2522.33         
151     100         2031.75         427.34          -90.39          2491.60         
152     100         2062.99         301.06          409.40          2413.68         
153     100         2005.81         423.21          -388.77         2544.41         
154     100         1969.26         457.50          -1436.37        2470.65         
155     100         2080.25         202.46          1393.41         2491.47         
156     100         1966.82         478.30          -1415.34        2405.08         
157     100         2059.93         343.99          59.47           2532.42         
158     100         2040.70         285.45          668.06          2411.34         
159     100         2067.38         220.39          1076.11         2417.48         
160     100         1995.94         335.85          673.44          2416.73         
161     100         2070.43         337.62          -105.60         2448.97         
162     100         1966.17         460.96          -1466.52        2416.92         
163     100         2067.60         245.25          852.69          2696.07         
164     100         2015.59         365.27          310.77          2410.74         
165     100         1947.31         535.78          -1381.77        2487.18         
166     100         1955.18         482.02          -1321.10        2358.46         
167     100         1938.13         492.41          -31.33          2559.41         
