environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 31126.68649983406

Genome Size: 3750
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -7.04           10.49           -123.62         80.00           
1       500         -7.09           9.84            -61.64          74.91           
2       500         -7.64           7.86            -31.33          63.10           
3       500         -6.85           13.37           -141.60         118.54          
4       500         -6.24           11.37           -42.56          109.97          
5       500         -6.13           11.57           -54.07          165.22          
6       500         -6.05           10.90           -38.95          73.30           
7       500         -6.51           12.30           -86.97          131.83          
8       500         -6.57           13.25           -80.80          130.40          
9       500         -6.23           12.77           -88.44          194.46          
10      500         -6.00           9.13            -47.37          68.50           
11      500         -4.24           16.07           -63.03          185.36          
12      500         -5.20           13.30           -106.68         134.66          
13      500         -5.60           10.68           -53.56          53.79           
14      500         -3.38           16.97           -46.08          202.67          
15      500         -3.19           18.35           -68.97          219.79          
16      500         -4.70           14.48           -170.27         89.81           
17      500         -1.24           20.64           -58.81          204.70          
18      500         -0.16           23.69           -42.67          202.82          
19      500         0.62            25.72           -98.87          326.42          
20      500         1.32            25.71           -90.64          217.61          
21      500         4.84            34.11           -75.51          318.84          
22      500         4.28            32.39           -95.66          396.37          
23      500         13.42           47.70           -77.07          314.09          
24      500         11.81           44.65           -89.54          321.96          
25      500         12.56           52.20           -118.08         374.88          
26      500         22.51           73.95           -109.72         893.68          
27      500         26.13           69.08           -143.15         402.89          
28      500         27.37           67.10           -110.76         493.24          
29      500         32.20           74.34           -129.39         434.03          
30      500         42.40           100.58          -206.21         958.43          
31      500         45.31           97.01           -129.75         912.87          
32      500         68.72           121.64          -123.76         1098.33         
33      500         83.73           137.00          -127.72         1051.75         
34      500         86.66           128.49          -110.12         963.86          
35      500         105.52          142.27          -120.85         960.24          
36      500         101.87          132.94          -92.92          1090.17         
37      500         120.95          137.88          -81.66          812.88          
38      500         147.90          164.16          -89.62          1016.16         
39      500         147.45          154.82          -175.64         919.29          
40      500         150.59          148.27          -203.62         876.23          
41      500         161.60          157.06          -119.54         1030.18         
42      500         172.52          159.13          -102.02         977.76          
43      500         171.76          170.28          -131.69         1022.79         
44      500         168.32          150.65          -69.80          971.45          
45      500         178.32          169.55          -92.67          1028.18         
46      500         177.23          156.98          -133.67         1071.75         
47      500         180.59          161.89          -43.60          1033.13         
48      500         178.30          160.28          -198.29         1083.64         
49      500         189.31          163.70          -111.29         983.35          
50      500         184.43          164.87          -132.00         991.13          
51      500         219.18          192.58          -65.20          1129.99         
52      500         214.65          173.54          -104.84         1069.40         
53      500         220.10          190.66          -52.86          1045.16         
54      500         214.63          179.14          -76.21          1083.89         
55      500         205.42          165.15          -37.85          980.22          
56      500         219.12          178.16          -134.96         1050.34         
57      500         234.24          193.93          -51.30          1140.05         
58      500         237.76          199.92          -72.24          1046.63         
59      500         234.82          193.14          -23.96          1090.83         
60      500         247.11          202.23          -72.44          1087.18         
61      500         233.34          188.66          -63.81          1059.81         
62      500         242.49          212.59          -70.62          1085.82         
63      500         242.43          220.72          -54.30          1067.99         
64      500         269.96          219.81          -42.38          1068.29         
65      500         258.45          223.96          -39.71          1062.94         
66      500         264.13          234.00          -48.22          1074.98         
67      500         260.52          228.10          -347.77         1073.66         
68      500         268.69          222.73          -51.13          1051.72         
69      500         289.65          242.09          -45.96          1175.51         
70      500         293.85          261.34          -103.05         1133.68         
71      500         298.56          263.02          -18.56          1199.84         
72      500         322.55          273.55          -31.24          1109.76         
