environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 100
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 3510.589875459671

Genome Size: 155
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         5.32            91.62           -20.28          910.38          
1       100         -3.77           24.49           -36.86          223.87          
2       100         -2.80           20.65           -20.78          182.22          
3       100         -3.26           17.50           -28.38          154.18          
4       100         -2.88           15.31           -57.15          107.27          
5       100         -5.19           7.77            -23.07          23.69           
6       100         0.54            39.15           -52.23          314.83          
7       100         5.72            97.09           -86.48          956.94          
8       100         7.12            52.89           -68.20          320.28          
9       100         27.34           140.62          -26.35          959.44          
10      100         55.48           162.24          -82.18          978.87          
11      100         33.76           103.78          -258.94         439.05          
12      100         65.06           120.26          -49.42          412.56          
13      100         44.53           103.67          -46.04          386.90          
14      100         37.43           93.13           -59.99          393.48          
15      100         70.84           139.29          -48.14          992.18          
16      100         86.69           152.71          -104.97         968.88          
17      100         112.28          168.97          -58.89          1051.45         
18      100         98.50           112.86          -23.61          420.22          
19      100         88.53           118.05          -51.17          498.31          
20      100         118.46          155.01          -48.67          877.31          
21      100         161.40          227.08          -111.36         1055.39         
22      100         103.64          152.56          -63.88          1050.57         
23      100         114.01          166.39          -56.41          1041.47         
24      100         121.75          152.26          -50.50          996.43          
25      100         123.38          175.24          -75.43          991.91          
26      100         120.89          129.62          -35.49          656.88          
27      100         142.02          157.42          -34.19          989.70          
28      100         152.78          135.65          -32.70          479.54          
29      100         133.93          121.63          -29.17          430.48          
30      100         154.08          202.66          -57.91          1015.17         
31      100         170.98          208.79          -71.64          992.04          
32      100         172.84          172.96          -26.49          990.93          
33      100         160.45          149.96          -26.11          744.60          
34      100         152.84          190.97          -33.14          1030.17         
35      100         199.17          220.80          -22.49          1027.40         
36      100         172.90          212.72          -20.91          1055.76         
37      100         216.76          248.14          -33.36          1037.98         
38      100         171.75          177.86          -33.13          1002.07         
39      100         161.44          191.57          -51.42          992.80          
40      100         210.62          176.82          -16.59          1002.22         
41      100         176.61          216.82          -55.42          1047.19         
42      100         204.29          222.20          -37.97          1020.82         
43      100         169.17          224.06          -125.27         1044.53         
44      100         271.24          306.70          -73.16          1046.69         
45      100         181.77          202.79          -34.59          993.53          
46      100         266.68          288.68          -32.05          1017.34         
47      100         284.93          281.76          -7.69           1026.39         
48      100         314.43          297.51          -36.02          1013.38         
49      100         310.97          300.21          -28.60          1064.69         
50      100         377.87          317.69          -1.73           1033.04         
51      100         436.70          366.72          -83.48          1125.87         
52      100         451.27          385.95          -20.92          1069.18         
53      100         468.17          395.41          -4.10           1064.90         
54      100         430.44          377.11          0.33            1054.77         
55      100         474.17          413.07          -25.23          1094.22         
56      100         480.60          404.89          -25.23          1053.85         
57      100         451.92          417.65          -18.14          1071.69         
58      100         496.13          417.46          -18.64          1153.11         
59      100         472.25          414.30          -17.29          1071.52         
60      100         538.59          427.74          -21.23          1050.54         
61      100         658.81          417.83          -11.88          1059.53         
62      100         657.39          408.07          -39.34          1070.11         
63      100         652.54          438.53          -4.83           1067.26         
64      100         571.43          446.98          -141.27         1080.00         
65      100         554.04          472.94          -47.74          1065.40         
66      100         680.46          435.19          -23.30          1076.81         
67      100         564.95          457.28          -181.83         1068.83         
68      100         735.90          427.89          -87.83          1071.44         
69      100         620.23          466.34          -88.48          1070.21         
70      100         550.67          466.59          -21.03          1073.19         
71      100         613.55          466.81          -25.03          1080.92         
72      100         547.74          491.18          -75.76          1077.46         
73      100         537.49          467.19          -19.80          1073.30         
74      100         528.61          479.09          -114.05         1073.23         
75      100         649.48          451.67          -85.51          1074.46         
76      100         546.65          451.78          -26.73          1077.51         
77      100         614.80          451.74          -9.53           1077.41         
78      100         585.79          458.14          1.57            1086.12         
79      100         680.96          444.31          -38.49          1078.10         
80      100         633.42          462.97          -22.13          1074.45         
81      100         713.75          448.80          -14.03          1075.44         
82      100         744.76          410.25          -11.66          1101.39         
83      100         574.37          463.05          -4.56           1110.51         
84      100         739.33          448.46          -17.58          1078.02         
85      100         634.69          462.02          -9.11           1078.30         
86      100         629.08          459.12          -16.40          1075.52         
87      100         635.17          482.14          -19.95          1080.01         
88      100         514.65          473.84          -30.95          1119.35         
89      100         660.33          450.23          -13.65          1074.92         
90      100         720.58          446.01          -64.99          1082.96         
91      100         647.54          468.10          -21.13          1090.54         
92      100         689.13          446.63          -6.73           1088.12         
93      100         579.51          466.67          -13.89          1080.40         
94      100         743.47          442.12          -152.64         1085.59         
95      100         744.36          432.93          -40.00          1077.91         
96      100         766.66          427.36          -0.09           1092.80         
97      100         755.62          421.77          -1.20           1087.89         
98      100         668.33          454.90          -3.01           1111.35         
99      100         692.03          446.23          -5.92           1109.38         
100     100         758.22          416.35          -13.89          1086.57         
101     100         730.94          426.58          -4.91           1081.98         
102     100         650.63          434.66          -30.33          1084.74         
103     100         674.95          430.38          -11.74          1083.96         
104     100         768.79          417.68          10.55           1084.75         
105     100         772.63          410.80          -6.97           1085.69         
106     100         693.65          438.01          -30.21          1109.34         
107     100         811.43          381.90          -6.02           1087.21         
108     100         868.10          347.33          89.79           1124.61         
109     100         825.06          387.25          10.57           1131.99         
110     100         890.35          334.21          32.71           1095.95         
111     100         907.16          341.38          -24.14          1110.28         
112     100         823.31          398.61          -38.66          1098.37         
113     100         784.09          404.93          -34.32          1152.98         
114     100         857.04          378.71          -20.97          1175.64         
115     100         901.96          358.66          -3.03           1273.10         
116     100         878.60          356.16          15.37           1101.11         
117     100         870.70          386.74          -17.87          1116.62         
118     100         878.30          353.25          -8.46           1135.94         
119     100         795.69          416.59          -19.88          1147.14         
120     100         859.83          359.16          26.41           1109.73         
121     100         863.25          366.50          -11.97          1134.42         
122     100         938.65          295.19          -19.36          1167.88         
123     100         777.02          395.25          -0.99           1144.99         
124     100         869.96          367.14          32.60           1222.26         
125     100         866.78          375.92          -9.20           1169.47         
126     100         802.40          389.67          -18.29          1130.13         
127     100         725.99          404.86          -9.20           1246.28         
128     100         852.17          353.58          1.52            1168.33         
129     100         854.96          376.37          6.39            1152.24         
130     100         834.93          381.61          7.33            1183.60         
131     100         930.60          308.49          50.51           1192.29         
132     100         838.89          381.48          9.69            1140.03         
133     100         881.24          373.78          -7.61           1206.53         
134     100         851.91          374.78          -3.42           1177.30         
135     100         896.65          350.84          7.84            1142.86         
136     100         835.20          371.93          -9.71           1141.00         
137     100         901.93          319.91          35.15           1154.41         
138     100         851.29          354.76          -22.29          1152.18         
139     100         891.25          335.86          -6.28           1190.59         
140     100         951.12          293.72          22.50           1167.06         
141     100         812.92          376.78          -52.06          1200.34         
142     100         939.92          325.52          4.07            1214.45         
143     100         872.41          352.42          -46.22          1241.72         
144     100         887.75          336.28          -26.05          1187.90         
145     100         859.91          352.63          7.62            1203.04         
146     100         843.76          363.56          6.48            1187.26         
147     100         907.03          323.52          23.24           1192.16         
148     100         723.46          421.69          -23.58          1208.01         
