environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 3973.716251850128

Genome Size: 260
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         27.69           36.56           1.08            277.92          
1       200         36.22           107.59          2.70            1015.07         
2       200         29.02           33.22           1.26            188.66          
3       200         33.01           36.96           2.97            304.35          
4       200         36.80           78.19           2.92            1006.30         
5       200         33.79           35.56           2.81            228.66          
6       200         31.41           31.72           1.53            212.87          
7       200         37.85           37.29           1.28            274.54          
8       200         41.52           43.73           2.14            363.24          
9       200         43.60           40.42           1.89            200.18          
10      200         47.30           48.96           3.03            316.31          
11      200         58.33           90.80           4.92            986.82          
12      200         53.53           72.16           1.76            802.92          
13      200         48.57           48.18           3.22            383.88          
14      200         47.63           42.59           1.78            272.04          
15      200         45.28           35.35           3.11            189.75          
16      200         54.46           75.04           0.51            989.68          
17      200         58.38           80.55           2.45            999.89          
18      200         55.24           53.44           3.01            342.49          
19      200         79.34           142.60          2.81            1012.06         
20      200         78.77           136.46          4.60            1007.17         
21      200         88.42           111.00          3.46            974.57          
22      200         78.60           112.39          3.30            1021.86         
23      200         76.36           104.70          3.80            1024.38         
24      200         86.93           109.01          5.33            1048.40         
25      200         114.05          160.23          2.78            1024.59         
26      200         101.83          145.99          2.89            1007.91         
27      200         102.74          112.88          2.48            1003.63         
28      200         131.40          175.14          3.38            1010.28         
29      200         132.59          195.79          1.78            1055.46         
30      200         144.21          171.41          1.74            999.35          
31      200         123.84          157.84          3.15            1045.36         
32      200         140.49          186.84          0.89            1037.62         
33      200         134.10          172.33          2.21            1002.65         
34      200         148.54          171.71          5.85            1015.63         
35      200         183.47          235.60          0.80            1023.65         
36      200         160.43          217.03          5.43            1015.82         
37      200         204.54          248.14          1.19            1076.31         
38      200         199.53          255.35          4.09            1025.01         
39      200         201.41          245.05          4.61            1019.87         
40      200         225.97          282.40          2.40            1041.10         
41      200         225.66          269.00          2.47            1032.63         
42      200         227.69          274.33          0.47            1031.13         
43      200         213.01          256.29          -0.04           1044.47         
44      200         234.10          282.90          0.80            1092.61         
45      200         226.73          260.12          1.27            1049.51         
46      200         265.88          309.69          1.33            1106.37         
47      200         266.33          319.11          0.03            1106.23         
48      200         252.58          275.30          3.19            1062.30         
49      200         241.86          279.68          2.53            1094.40         
50      200         273.52          327.97          2.61            1104.67         
51      200         333.74          347.60          1.35            1039.29         
52      200         290.26          336.33          4.06            1031.45         
53      200         298.20          322.86          1.33            1046.94         
54      200         338.48          328.56          7.53            1026.22         
55      200         321.47          341.13          3.38            1062.29         
56      200         303.97          323.36          4.62            1057.94         
57      200         397.74          378.35          2.66            1057.46         
58      200         336.29          342.11          4.95            1049.59         
59      200         363.95          361.57          3.86            1055.83         
60      200         364.60          357.64          6.58            1050.51         
61      200         387.86          379.94          4.00            1059.92         
62      200         388.02          371.72          4.70            1053.61         
63      200         378.80          358.32          6.01            1034.19         
64      200         466.84          390.57          11.74           1051.47         
65      200         416.08          388.54          7.77            1161.47         
66      200         395.07          369.53          9.62            1062.43         
67      200         485.93          383.46          24.62           1060.79         
68      200         506.10          377.12          10.26           1077.47         
69      200         517.84          398.75          8.32            1083.78         
70      200         486.03          389.37          7.52            1059.03         
71      200         491.79          391.64          7.11            1049.82         
72      200         493.61          387.73          9.53            1035.59         
73      200         492.17          387.08          3.14            1068.01         
74      200         546.43          394.78          8.22            1054.97         
75      200         444.84          380.42          6.84            1121.59         
76      200         572.67          388.63          12.99           1074.29         
77      200         504.52          399.02          7.73            1057.49         
78      200         542.27          398.22          7.05            1063.78         
79      200         565.57          392.88          2.17            1060.14         
80      200         539.81          411.66          4.77            1096.17         
81      200         521.03          378.58          5.76            1075.00         
82      200         577.87          391.08          7.57            1081.13         
83      200         533.76          377.62          8.17            1052.11         
84      200         545.64          386.44          13.35           1094.03         
85      200         524.88          384.14          7.30            1045.71         
86      200         589.49          398.08          13.50           1052.64         
87      200         537.56          385.21          6.66            1113.92         
88      200         594.27          395.44          9.66            1061.31         
89      200         605.09          397.04          12.64           1054.43         
