environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: 0
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 5306.295084476471

Genome Size: 95
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         15.89           20.77           -0.45           126.90          
1       200         14.50           16.74           0.71            107.44          
2       200         20.99           29.31           -0.79           256.50          
3       200         20.87           29.38           -0.69           205.86          
4       200         20.19           24.53           0.24            189.55          
5       200         35.01           77.13           -0.15           968.66          
6       200         26.85           31.09           -0.61           192.49          
7       200         34.87           40.30           -0.50           287.66          
8       200         28.37           36.94           1.36            336.14          
9       200         35.51           41.57           -0.03           321.09          
10      200         44.65           82.11           0.50            984.55          
11      200         45.03           50.96           1.47            432.50          
12      200         57.82           114.07          0.39            1004.19         
13      200         49.90           64.16           -0.52           669.44          
14      200         65.58           125.76          -0.98           1001.42         
15      200         89.92           166.30          -0.90           1003.16         
16      200         66.88           115.63          -0.30           1009.06         
17      200         69.94           107.69          -0.22           1024.55         
18      200         89.30           155.46          0.38            1081.21         
19      200         120.68          204.02          -0.44           1020.72         
20      200         111.01          188.01          -0.51           1018.45         
21      200         115.49          206.09          0.31            1023.41         
22      200         128.70          198.73          0.01            1018.82         
23      200         119.97          198.08          1.30            1024.93         
24      200         145.52          231.70          -0.62           1010.26         
25      200         139.36          237.63          0.02            1025.31         
26      200         170.41          264.88          -0.88           1023.43         
27      200         152.65          249.75          0.75            1028.65         
28      200         182.78          274.77          -0.01           1046.48         
29      200         210.33          305.45          -0.88           1029.68         
30      200         211.99          309.36          -0.95           1066.78         
31      200         244.84          337.86          2.20            1023.75         
32      200         239.12          338.68          0.86            1024.83         
33      200         233.56          327.87          -0.72           1022.29         
34      200         233.07          311.61          -1.10           1031.08         
35      200         248.98          333.42          4.63            1026.01         
