environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2662.5808384418488

Genome Size: 900
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -506.83         179.63          -1549.84        101.90          
1       100         -517.54         129.63          -987.63         80.42           
2       100         -490.07         119.97          -888.26         -98.17          
3       100         -496.01         98.92           -777.24         -200.27         
4       100         -512.29         128.85          -925.97         144.38          
5       100         -513.11         177.48          -1326.32        -17.44          
6       100         -482.58         233.49          -2196.70        364.52          
7       100         -482.53         196.42          -1067.46        218.85          
8       100         -481.81         201.84          -1414.29        442.91          
9       100         -490.48         160.70          -1198.80        -128.14         
10      100         -499.10         193.46          -1559.22        -23.78          
11      100         -489.27         206.89          -1766.01        207.06          
12      100         -498.60         167.99          -1110.78        120.71          
13      100         -476.66         155.19          -1321.72        -26.64          
14      100         -470.96         148.00          -775.14         258.54          
15      100         -452.98         138.05          -990.76         103.31          
16      100         -460.45         246.14          -1640.46        1211.72         
17      100         -454.42         218.12          -984.57         193.86          
18      100         -456.07         185.28          -1143.70        500.54          
19      100         -429.93         239.46          -1567.02        283.52          
20      100         -452.82         233.20          -1317.15        475.47          
21      100         -423.44         205.60          -933.37         319.45          
22      100         -404.11         234.64          -1152.51        432.72          
23      100         -444.39         233.58          -1118.07        364.79          
24      100         -456.81         203.70          -1136.91        382.77          
25      100         -342.81         220.56          -710.00         393.80          
26      100         -289.93         329.35          -857.40         1327.77         
27      100         -304.87         294.24          -973.24         899.44          
28      100         -332.68         251.22          -1123.47        411.65          
29      100         -328.22         272.29          -764.10         625.81          
30      100         -265.18         332.42          -1139.29        716.05          
31      100         -269.68         312.86          -991.43         667.07          
32      100         -169.98         364.98          -1218.94        917.25          
33      100         -203.03         378.10          -1164.72        1215.33         
34      100         -154.44         350.60          -856.00         932.78          
35      100         -111.72         392.12          -1024.48        953.41          
36      100         -52.59          377.33          -819.68         1132.71         
37      100         -44.41          385.47          -817.40         1197.89         
38      100         -32.36          353.81          -665.90         1077.64         
39      100         -61.17          377.01          -973.59         737.75          
40      100         -10.72          410.13          -647.66         1165.78         
41      100         138.55          444.12          -700.13         1003.40         
42      100         156.22          445.88          -586.96         1538.38         
43      100         213.33          470.02          -797.24         1205.71         
44      100         205.57          484.83          -1029.49        1415.41         
45      100         301.77          526.14          -586.15         1771.01         
46      100         252.30          467.72          -638.52         1476.80         
47      100         280.52          494.63          -650.27         1465.14         
48      100         328.54          586.93          -766.15         1798.95         
49      100         302.68          505.25          -628.18         1541.09         
50      100         413.50          549.82          -794.59         1548.96         
51      100         402.15          524.41          -759.11         1557.84         
52      100         427.52          572.00          -673.81         1669.31         
53      100         542.04          602.18          -718.01         1855.97         
54      100         647.83          567.81          -614.11         1767.36         
55      100         691.91          665.25          -744.28         1927.04         
56      100         806.39          666.36          -610.35         3375.85         
57      100         563.61          729.30          -699.96         2719.28         
58      100         852.94          639.99          -446.92         1858.44         
59      100         762.94          683.06          -649.79         2028.98         
60      100         925.23          736.50          -886.78         2370.74         
61      100         911.33          744.52          -739.02         2359.50         
62      100         937.51          751.25          -601.16         2523.29         
63      100         912.07          716.52          -488.42         2071.78         
64      100         1026.13         775.17          -581.38         2394.60         
65      100         1016.64         796.25          -790.25         2744.44         
66      100         1218.17         671.26          -435.16         2363.28         
67      100         1284.86         795.71          -736.55         2473.30         
68      100         1144.92         790.78          -713.42         2470.60         
69      100         1316.65         897.99          -827.06         3098.75         
70      100         1360.87         950.90          -676.21         3066.14         
71      100         1406.14         1018.88         -1290.45        3229.97         
72      100         1282.46         1173.30         -1155.92        3198.22         
73      100         1513.80         1133.43         -726.71         3316.67         
74      100         1497.51         1187.61         -825.93         3414.27         
75      100         1584.12         1268.38         -1765.09        3361.76         
76      100         2018.78         994.96          -467.91         3296.14         
77      100         1760.84         1204.78         -1033.97        3388.38         
78      100         1795.27         1275.35         -578.87         3399.66         
79      100         1806.26         1206.98         -618.64         3380.97         
80      100         1827.02         1295.25         -591.65         3375.80         
81      100         1761.65         1242.81         -637.46         3309.04         
82      100         2052.78         1174.33         -482.97         3353.78         
83      100         1707.45         1339.40         -700.48         3305.50         
84      100         2000.61         1224.66         -732.55         3321.15         
85      100         2182.63         1200.24         -802.98         3424.29         
86      100         2185.76         1161.17         -913.29         3366.72         
87      100         2164.54         1242.02         -721.47         3372.09         
88      100         2141.02         1260.53         -702.73         3401.58         
89      100         2252.69         1208.58         -589.35         3334.44         
90      100         2371.64         1051.37         -782.43         3369.65         
91      100         2474.23         1143.13         -807.44         3450.23         
92      100         2334.93         1139.88         -829.84         3374.66         
93      100         2655.75         770.58          95.36           3383.32         
94      100         2496.11         1080.59         -483.49         3493.87         
95      100         2493.75         997.18          -600.68         3436.69         
96      100         2277.13         1215.96         -672.55         3375.61         
97      100         2439.44         1045.27         -447.57         3427.29         
98      100         2441.90         1146.21         -588.25         3458.11         
99      100         2598.55         970.12          -571.45         3399.78         
100     100         2502.08         1065.30         -587.65         3413.89         
101     100         2286.96         1222.97         -828.67         3364.36         
102     100         2534.03         1003.77         -513.57         3366.59         
103     100         2625.33         909.42          -784.65         3387.00         
104     100         2519.53         1132.56         -508.55         3432.25         
105     100         2530.26         963.67          -550.15         3419.92         
106     100         2600.03         832.35          -493.17         3378.97         
107     100         2548.98         981.88          -598.52         3421.72         
108     100         2762.63         889.45          -753.21         3452.45         
109     100         2627.98         973.50          -603.15         3419.22         
110     100         2640.74         847.94          -566.29         3404.34         
111     100         2692.02         922.86          -600.83         3437.27         
112     100         2723.64         898.43          -850.39         3479.71         
113     100         2728.54         849.07          -589.65         3359.75         
114     100         2817.81         920.29          -573.35         3465.72         
115     100         2657.35         954.85          -260.69         3407.03         
116     100         2536.18         1103.56         -713.87         3398.51         
117     100         2661.08         959.37          -605.53         3371.33         
118     100         2756.80         930.26          -794.21         3551.48         
119     100         2720.01         881.89          -284.34         3418.92         
120     100         2758.73         856.01          -378.95         3373.99         
121     100         2569.39         1108.88         -752.17         3515.71         
122     100         2672.63         1047.41         -1149.79        3382.32         
123     100         2808.75         886.70          -502.16         3400.10         
124     100         2814.65         787.00          -494.98         3446.57         
125     100         2777.10         774.90          -895.36         3406.19         
126     100         2784.03         803.48          -526.06         3393.49         
127     100         2781.74         821.05          -403.67         3435.85         
128     100         2819.36         785.81          -499.83         3494.58         
129     100         2724.13         848.36          -600.05         3426.06         
130     100         2743.19         915.71          -970.62         3430.77         
131     100         2786.51         718.27          -851.47         3388.67         
132     100         2625.29         885.58          -616.34         3430.77         
133     100         2689.34         916.91          -410.30         3469.74         
134     100         2748.39         754.48          -227.60         3365.96         
135     100         2832.62         671.76          220.44          3459.36         
136     100         2825.49         795.89          -6.42           3447.45         
137     100         2790.50         865.05          -745.41         3389.26         
138     100         2824.83         687.44          -192.37         3395.41         
139     100         2962.31         577.76          -298.80         3416.65         
140     100         2754.88         921.09          -717.93         3375.15         
141     100         2927.90         599.79          89.70           3378.89         
142     100         2911.17         731.47          -436.87         3419.16         
143     100         2891.41         695.32          -520.73         3396.19         
144     100         2917.02         651.83          -486.20         3391.96         
145     100         2777.67         905.93          -734.91         3550.09         
146     100         2948.00         568.38          -124.19         3397.72         
147     100         3042.72         445.53          -71.22          3456.77         
148     100         2878.53         709.19          -59.68          3391.56         
149     100         2945.32         624.39          -667.65         3423.87         
150     100         3091.03         486.96          -793.91         3517.06         
151     100         3050.84         464.26          -355.83         3418.11         
152     100         3021.99         538.77          -240.87         3472.99         
153     100         2934.33         734.48          -471.38         3482.98         
154     100         2949.21         588.79          -138.08         3427.49         
155     100         3038.76         597.76          -361.02         3497.07         
156     100         3009.96         532.16          186.24          3530.34         
157     100         3001.91         519.78          418.91          3435.61         
158     100         3033.82         491.12          162.16          3486.11         
159     100         3054.63         498.19          -559.22         3373.01         
160     100         3044.18         518.47          -286.97         3498.94         
161     100         2977.33         581.36          -589.65         3384.14         
162     100         3016.99         451.16          -554.85         3335.68         
163     100         2965.13         591.21          -123.73         3420.39         
164     100         3095.40         266.50          1600.99         3440.79         
165     100         3004.68         499.01          674.02          3370.03         
166     100         3031.23         435.06          534.48          3422.63         
167     100         3088.33         318.96          610.93          3419.89         
168     100         2994.39         591.29          -445.15         3494.09         
169     100         3065.67         411.68          512.27          3407.45         
170     100         3112.43         324.61          708.15          3420.19         
171     100         3008.79         639.90          -222.97         3461.41         
172     100         3011.26         604.19          27.28           3416.71         
173     100         3118.29         354.01          258.36          3439.57         
174     100         3077.07         455.46          -448.93         3463.35         
175     100         3054.06         428.86          922.03          3431.92         
176     100         2945.22         691.22          -615.12         3434.38         
177     100         3009.92         423.05          490.07          3418.96         
178     100         3080.29         401.97          498.07          3485.55         
179     100         2992.69         607.01          -441.41         3485.22         
180     100         2895.02         796.06          -798.06         3406.34         
181     100         2903.98         714.98          -421.47         3499.25         
182     100         3017.23         501.86          -468.80         3390.14         
183     100         3004.19         615.90          1.44            3431.02         
184     100         3032.47         514.35          326.61          3449.48         
185     100         2939.50         647.52          -436.20         3421.24         
186     100         3043.10         493.71          886.47          3379.33         
187     100         2947.18         674.74          -577.24         3431.33         
188     100         2917.11         573.35          409.84          3361.43         
189     100         3093.78         429.41          -202.48         3511.20         
190     100         2982.62         532.86          393.66          3478.39         
191     100         2947.85         729.37          -24.94          3422.48         
192     100         2957.17         613.56          -249.40         3398.05         
193     100         2964.33         565.15          -486.52         3432.02         
194     100         3080.21         318.33          1525.27         3434.86         
195     100         3054.69         468.55          -63.22          3480.81         
196     100         3018.89         538.85          -148.78         3515.56         
197     100         3099.47         282.12          1548.88         3471.62         
198     100         2980.08         592.75          -244.93         3400.23         
199     100         2911.98         887.87          -659.84         3481.24         
200     100         2897.01         841.54          -620.26         3470.92         
201     100         2951.93         727.23          -617.54         3517.88         
202     100         3034.12         488.50          -560.86         3477.98         
203     100         2957.63         590.10          128.22          3381.20         
204     100         2990.52         619.93          -432.76         3542.15         
205     100         3060.03         478.93          -72.34          3501.97         
206     100         3027.56         528.70          -15.41          3442.22         
207     100         2963.20         639.76          127.64          3456.16         
208     100         3075.37         458.38          111.31          3425.39         
209     100         2937.76         686.03          -285.87         3426.93         
210     100         2982.61         509.87          97.13           3423.49         
211     100         3028.30         529.14          -244.10         3437.95         
212     100         2996.67         583.84          -541.74         3446.91         
213     100         3099.59         318.23          734.02          3482.75         
214     100         3064.00         416.96          265.36          3440.42         
215     100         3141.92         208.29          2137.87         3472.36         
216     100         3097.37         366.81          1302.98         3557.87         
