environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 18003.647764205933

Genome Size: 3750
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -331.92         102.68          -744.90         220.07          
1       200         -349.74         133.88          -1276.77        563.57          
2       200         -346.50         113.58          -742.36         583.48          
3       200         -335.73         80.59           -526.49         -41.78          
4       200         -346.42         102.11          -999.23         194.30          
5       200         -323.93         77.53           -553.84         -28.44          
6       200         -335.07         86.44           -645.16         37.25           
7       200         -333.31         99.46           -960.02         37.51           
8       200         -356.56         166.98          -1958.95        127.82          
9       200         -339.63         110.68          -975.42         119.00          
10      200         -343.63         94.53           -1063.38        -58.64          
11      200         -338.00         111.42          -972.54         328.91          
12      200         -330.47         114.82          -1042.74        265.19          
13      200         -359.38         171.79          -1683.20        161.51          
14      200         -331.03         108.44          -1026.17        145.75          
15      200         -344.52         103.27          -941.25         -25.28          
16      200         -333.08         118.41          -1100.69        213.21          
17      200         -346.08         111.86          -832.74         360.41          
18      200         -338.98         160.90          -1957.66        188.81          
19      200         -334.80         182.56          -1672.59        823.55          
20      200         -338.34         116.71          -1098.13        149.68          
21      200         -334.44         157.29          -1223.94        729.99          
22      200         -340.45         179.15          -1550.26        153.45          
23      200         -335.76         156.88          -2102.32        22.70           
24      200         -328.63         140.64          -837.73         485.24          
25      200         -344.92         172.93          -1579.04        2.45            
26      200         -335.56         182.66          -1130.85        507.41          
27      200         -315.73         182.08          -1008.33        1065.86         
28      200         -312.12         160.56          -1056.27        445.25          
29      200         -324.16         145.39          -866.02         265.44          
30      200         -341.78         197.27          -2089.74        63.03           
31      200         -307.69         197.86          -1062.37        827.16          
32      200         -350.64         203.30          -2109.12        330.21          
33      200         -302.15         166.16          -767.37         378.30          
34      200         -275.71         219.04          -996.52         790.13          
35      200         -290.16         207.61          -1304.93        569.83          
36      200         -275.06         198.67          -754.19         871.23          
37      200         -286.47         246.17          -1301.90        632.26          
38      200         -254.64         286.49          -1192.78        927.05          
39      200         -264.90         266.63          -1220.06        607.84          
40      200         -265.97         224.49          -1045.90        623.31          
41      200         -263.85         240.46          -1075.64        678.11          
42      200         -244.39         296.07          -1209.12        1077.96         
43      200         -218.03         283.01          -1480.42        847.40          
44      200         -190.52         300.77          -816.01         1168.94         
45      200         -185.66         314.70          -1064.01        940.23          
46      200         -181.07         309.02          -1290.47        1264.17         
47      200         -134.28         349.96          -794.18         1250.41         
48      200         -124.19         379.44          -846.90         1256.78         
49      200         -179.14         293.53          -654.74         877.94          
50      200         -128.54         352.50          -1097.14        1219.89         
51      200         -146.93         337.72          -1140.96        1396.81         
52      200         -139.06         386.91          -996.38         1689.54         
53      200         -105.93         403.66          -1114.60        1253.68         
54      200         -88.08          376.47          -988.77         1033.04         
55      200         -112.68         388.04          -793.97         1873.21         
56      200         -34.78          407.87          -1049.90        1066.53         
57      200         -47.15          466.39          -1280.16        1602.03         
58      200         -61.51          415.31          -1240.79        1515.40         
59      200         -91.99          427.59          -1148.88        1256.23         
60      200         11.36           383.25          -821.29         1372.47         
61      200         22.94           453.81          -1066.10        1950.51         
62      200         30.78           448.30          -1365.59        1419.42         
63      200         103.74          434.91          -1022.50        1402.47         
64      200         127.82          531.88          -1565.92        1927.07         
65      200         120.89          535.57          -1010.18        1954.31         
66      200         124.34          531.09          -680.80         2591.67         
67      200         180.48          546.33          -696.01         3019.38         
68      200         164.52          543.72          -1243.30        1781.34         
69      200         139.20          518.64          -892.86         1900.22         
70      200         192.43          542.09          -958.07         2688.75         
71      200         192.15          568.94          -1436.57        2127.42         
72      200         256.30          620.13          -1651.20        1966.36         
73      200         341.39          628.70          -679.61         2295.56         
74      200         357.76          616.71          -1002.86        2351.26         
75      200         453.58          715.26          -1456.86        2665.44         
76      200         528.55          774.03          -859.13         2840.59         
77      200         641.05          759.90          -895.49         2731.00         
78      200         694.66          898.02          -984.98         3193.43         
79      200         755.21          908.25          -961.98         3139.16         
80      200         814.45          977.61          -580.25         3326.68         
81      200         819.90          954.16          -767.84         3513.51         
82      200         1071.41         1112.52         -1518.37        3553.05         
83      200         1028.04         1079.83         -619.91         3775.03         
84      200         1268.30         1174.22         -728.46         3552.29         
85      200         1217.08         1218.47         -728.66         3422.63         
86      200         1462.79         1229.76         -794.37         3699.38         
87      200         1621.85         1227.85         -687.59         3635.10         
88      200         1512.45         1268.06         -814.45         3474.30         
89      200         1728.49         1251.14         -573.01         3856.85         
90      200         1747.94         1306.02         -821.04         3945.02         
91      200         1626.38         1347.35         -645.07         3833.35         
92      200         1841.53         1315.48         -883.46         3942.84         
93      200         1924.18         1299.67         -769.83         3881.91         
94      200         1955.90         1379.12         -772.93         4214.67         
95      200         1995.10         1315.27         -671.67         3909.33         
96      200         2132.60         1249.53         -688.46         3970.47         
97      200         2432.51         1170.50         -624.71         4191.81         
98      200         2183.33         1348.03         -1434.76        4103.88         
99      200         2337.40         1275.34         -610.33         3789.31         
100     200         2312.15         1359.39         -639.86         4050.29         
101     200         2263.36         1409.38         -562.24         4232.21         
102     200         2321.46         1344.77         -694.46         3953.01         
103     200         2242.84         1342.86         -2128.89        4138.84         
104     200         2165.60         1470.84         -734.24         4255.77         
105     200         2299.01         1385.72         -688.27         4221.73         
106     200         2296.14         1446.37         -806.96         4395.43         
107     200         2346.15         1385.21         -679.84         4759.15         
108     200         2243.79         1407.32         -691.23         3995.52         
109     200         2440.08         1309.55         -656.04         4060.45         
110     200         2438.63         1341.99         -725.88         4325.66         
111     200         2454.33         1349.59         -1266.82        4780.93         
112     200         2381.31         1360.68         -504.21         4566.11         
113     200         2341.84         1404.77         -618.01         4310.55         
114     200         2491.04         1398.85         -615.48         4611.18         
115     200         2698.40         1273.52         -763.17         4278.08         
116     200         2593.92         1383.57         -734.70         4555.09         
117     200         2578.38         1343.33         -618.90         4440.58         
118     200         2607.41         1403.89         -549.52         4289.74         
119     200         2392.13         1546.66         -741.49         4204.74         
120     200         2229.69         1556.58         -524.44         4621.13         
121     200         2400.54         1527.22         -709.10         4905.98         
122     200         2549.71         1476.09         -900.46         4588.99         
123     200         2430.22         1499.65         -550.85         4924.23         
124     200         2610.25         1436.48         -544.27         4532.90         
125     200         2479.40         1495.02         -926.84         4574.53         
126     200         2449.67         1545.58         -589.02         4487.95         
127     200         2254.45         1588.38         -551.91         4678.16         
128     200         2368.24         1600.73         -560.56         4708.57         
129     200         2499.54         1518.77         -675.89         4253.11         
130     200         2418.72         1560.70         -707.29         4529.03         
131     200         2492.25         1539.48         -757.75         4360.55         
132     200         2517.39         1495.19         -519.27         4787.60         
133     200         2400.02         1618.97         -565.66         4641.96         
134     200         2244.67         1654.96         -770.41         4693.92         
135     200         2236.08         1658.32         -903.11         4773.58         
136     200         2403.59         1626.83         -564.46         4652.99         
137     200         2771.03         1333.10         -523.17         4640.18         
138     200         2446.16         1572.51         -497.65         4666.85         
139     200         2568.81         1540.08         -703.81         5089.52         
140     200         2464.18         1646.01         -629.98         4619.62         
141     200         2372.32         1669.34         -480.11         4929.20         
142     200         2646.88         1517.15         -487.69         4887.64         
143     200         2233.35         1705.44         -548.70         5003.80         
144     200         2471.28         1721.99         -565.77         5091.87         
145     200         2011.28         1807.23         -646.23         4919.54         
146     200         2349.49         1696.15         -986.40         5117.14         
147     200         2037.91         1731.06         -515.44         5086.06         
148     200         2108.42         1653.22         -544.11         4922.69         
149     200         2340.90         1604.95         -897.35         5054.10         
150     200         2597.19         1501.86         -496.69         5253.83         
151     200         2328.06         1626.73         -819.76         5117.85         
152     200         2441.13         1636.06         -551.89         5125.17         
153     200         2407.43         1580.76         -579.99         4920.19         
154     200         2374.31         1608.11         -505.42         4922.81         
155     200         2501.12         1545.97         -1278.53        5094.42         
156     200         2124.45         1715.90         -709.59         4985.41         
157     200         2357.95         1626.07         -564.69         5027.66         
158     200         2537.95         1632.10         -704.41         4991.46         
159     200         2351.83         1627.60         -519.41         5083.56         
160     200         2523.05         1670.26         -1087.90        5113.72         
161     200         2407.28         1674.58         -593.21         5286.16         
162     200         2377.93         1717.04         -693.23         5097.13         
163     200         2287.23         1732.39         -826.66         5159.25         
164     200         2254.39         1653.88         -532.52         5133.22         
165     200         2398.82         1776.81         -761.31         5249.63         
166     200         2484.45         1621.24         -552.96         5111.39         
167     200         2322.49         1690.77         -1051.21        5170.45         
168     200         2406.82         1691.86         -585.77         5132.49         
169     200         2290.58         1710.23         -580.65         5377.77         
170     200         2175.19         1768.22         -582.05         5276.23         
171     200         2297.16         1875.86         -651.36         5185.94         
172     200         2148.63         1873.06         -899.52         5211.93         
173     200         2410.65         1712.13         -571.01         4941.96         
174     200         2388.95         1796.99         -595.63         5154.16         
175     200         2297.47         1769.91         -522.42         5074.17         
176     200         2231.79         1757.67         -1305.82        4987.66         
177     200         2605.18         1595.83         -511.90         5124.37         
178     200         2270.79         1739.15         -615.16         5166.79         
179     200         2338.30         1655.78         -566.18         5128.33         
180     200         2475.77         1643.61         -534.12         5148.23         
181     200         2441.82         1616.97         -585.00         5196.67         
182     200         2401.12         1597.21         -517.06         5216.04         
183     200         2627.80         1555.70         -713.97         5188.73         
184     200         2568.68         1599.06         -517.30         5231.51         
185     200         2483.70         1549.83         -613.73         5252.93         
186     200         2369.72         1687.43         -595.07         5260.91         
187     200         2684.53         1676.51         -655.76         5157.79         
188     200         2476.47         1691.61         -619.74         5151.99         
189     200         2545.86         1865.00         -567.68         5235.88         
190     200         2309.72         1804.05         -572.97         5024.35         
191     200         2264.97         1830.99         -620.85         5256.79         
192     200         2495.86         1677.12         -549.27         5151.81         
193     200         2700.35         1664.73         -542.39         5214.61         
194     200         2497.22         1729.40         -896.86         5074.26         
195     200         2500.62         1833.66         -1016.27        5289.17         
196     200         2591.59         1668.26         -577.77         5174.54         
197     200         2556.78         1683.19         -617.26         5350.66         
198     200         2453.70         1761.57         -590.63         5207.69         
199     200         2323.26         1813.59         -594.23         5223.72         
200     200         2236.11         1847.71         -763.65         5234.49         
201     200         2197.14         1778.63         -540.80         5121.88         
202     200         2544.54         1703.81         -542.51         5363.84         
203     200         2452.62         1739.69         -913.44         5232.67         
204     200         2374.35         1815.62         -1029.31        5147.54         
205     200         2522.22         1870.73         -528.29         5137.91         
206     200         2123.51         1758.46         -555.89         5199.47         
207     200         2270.16         1849.90         -1311.01        5149.13         
208     200         2559.64         1793.51         -565.02         5202.54         
209     200         2193.42         1900.85         -655.19         5198.04         
210     200         2129.46         1889.47         -626.47         5308.94         
211     200         1839.69         1969.88         -1716.05        5197.18         
212     200         2391.68         1793.07         -647.07         5244.61         
213     200         2480.77         1772.43         -855.78         5140.32         
214     200         2281.68         1782.29         -591.54         5447.55         
215     200         2420.97         1858.57         -512.47         5262.65         
216     200         2451.44         1795.88         -619.41         5168.51         
217     200         2413.90         1768.73         -627.51         5137.49         
218     200         2360.44         1725.37         -523.81         5143.13         
219     200         2583.04         1695.74         -642.23         5222.28         
220     200         2339.65         1744.11         -591.15         5059.56         
221     200         2235.66         1857.35         -589.63         5381.40         
222     200         2505.81         1835.87         -712.86         5276.10         
223     200         2484.12         1899.10         -1144.90        5216.98         
224     200         2277.75         1821.02         -629.22         5195.28         
225     200         2328.61         1856.14         -608.91         5180.77         
226     200         2613.09         1786.09         -528.07         5129.51         
227     200         2399.41         1808.21         -516.73         5239.65         
228     200         2417.89         1840.86         -657.69         5227.36         
229     200         2379.17         1845.70         -633.70         5316.62         
230     200         2148.20         2002.69         -689.57         5261.72         
231     200         2206.88         1999.98         -622.17         5190.41         
232     200         2123.41         1947.56         -631.57         5201.93         
233     200         2260.21         1981.95         -759.99         5263.76         
234     200         2596.11         1943.91         -640.78         5270.28         
235     200         2125.54         1974.19         -640.42         5175.83         
236     200         2174.28         1936.52         -680.47         5262.86         
237     200         2145.88         1980.69         -628.95         5182.11         
238     200         2411.97         1919.17         -640.32         5438.74         
239     200         2376.45         1945.62         -610.08         5310.73         
240     200         2499.79         1899.66         -636.51         5216.97         
241     200         2044.66         1917.02         -675.41         5132.23         
242     200         2775.18         2023.97         -568.77         5286.62         
243     200         2343.16         1959.34         -573.64         5173.32         
244     200         2285.10         1919.26         -577.05         5233.01         
245     200         2384.06         1994.31         -583.57         5277.75         
246     200         2036.65         1973.19         -698.07         5194.97         
247     200         2263.17         1919.21         -626.99         5134.73         
248     200         2406.66         1955.00         -603.06         5260.70         
249     200         2442.37         1968.45         -621.38         5142.96         
250     200         2532.19         1860.01         -577.23         5290.45         
251     200         2357.46         1899.87         -552.10         5261.11         
252     200         2429.95         1981.05         -691.88         5226.67         
253     200         2449.97         1815.90         -675.37         5144.75         
254     200         2686.98         1834.23         -618.48         5127.92         
255     200         2637.40         1828.43         -537.74         5300.31         
256     200         2629.59         1895.80         -550.91         5242.16         
257     200         2465.54         1914.23         -654.78         5137.92         
258     200         2563.19         1940.60         -574.78         5224.35         
259     200         2601.67         1785.16         -528.17         5300.98         
260     200         2539.33         1994.15         -592.66         5322.96         
261     200         2401.78         1921.43         -1206.06        5285.67         
262     200         2354.11         1869.55         -575.83         5258.81         
263     200         2447.98         1860.38         -548.29         5233.48         
264     200         2596.93         1912.86         -571.26         5262.85         
265     200         2348.58         1870.17         -648.03         5324.26         
266     200         2410.70         1797.18         -568.61         5219.28         
267     200         2623.89         1805.59         -520.89         5314.94         
268     200         2647.11         1935.74         -531.63         5418.27         
269     200         2648.35         1859.76         -599.90         5276.12         
270     200         2433.31         1976.40         -646.53         5219.10         
271     200         2478.76         1882.75         -597.76         5324.75         
272     200         2868.37         1765.23         -486.08         5368.45         
273     200         2585.00         1924.65         -600.39         5228.06         
274     200         2669.09         1968.69         -602.82         5294.97         
275     200         2236.52         1994.89         -666.56         5252.35         
276     200         2522.92         1975.94         -738.54         5247.18         
277     200         2560.00         1911.29         -588.35         5347.64         
278     200         2627.05         1966.80         -580.96         5331.74         
279     200         2167.38         1953.54         -693.12         5245.53         
280     200         2682.84         1948.58         -590.64         5234.53         
281     200         2636.11         1966.06         -542.04         5281.28         
282     200         2657.34         2011.45         -556.35         5309.06         
283     200         2476.54         1956.33         -584.84         5324.69         
284     200         2324.05         2016.49         -696.01         5360.89         
285     200         2542.57         2069.62         -563.06         5341.12         
286     200         2645.18         1941.11         -688.14         5233.89         
287     200         2392.04         2115.47         -638.49         5307.98         
288     200         2462.79         2118.82         -620.05         5187.80         
289     200         2244.04         2064.80         -620.93         5308.54         
290     200         2797.60         1922.40         -533.22         5185.62         
291     200         2788.19         1909.42         -640.79         5245.47         
292     200         2570.88         2031.33         -631.16         5264.69         
293     200         2488.33         2064.26         -667.19         5233.61         
294     200         2639.34         1960.11         -640.95         5288.25         
295     200         2607.06         1972.73         -524.20         5135.42         
296     200         2706.48         1969.11         -531.07         5200.04         
297     200         2998.13         1925.50         -569.78         5272.78         
298     200         2473.69         2017.12         -581.29         5156.75         
299     200         2886.95         1926.08         -538.44         5274.31         
300     200         2625.23         1992.36         -578.08         5296.02         
301     200         2651.72         1982.61         -574.67         5256.90         
302     200         2597.13         2078.15         -576.98         5285.74         
303     200         2738.99         1979.99         -645.06         5288.82         
304     200         3004.33         1831.53         -587.76         5171.91         
305     200         2751.86         1939.22         -605.38         5179.30         
306     200         2732.73         1977.89         -584.64         5233.70         
307     200         2865.80         1884.16         -582.38         5216.71         
308     200         2659.96         1992.66         -529.47         5286.82         
309     200         3172.82         1885.06         -561.49         5217.29         
310     200         2948.33         1950.20         -572.67         5258.36         
311     200         2723.65         2018.07         -595.41         5133.71         
312     200         2915.97         1919.31         -540.91         5274.04         
313     200         2579.86         1928.13         -728.13         5254.56         
314     200         2869.19         1887.20         -581.42         5131.41         
315     200         2784.15         1975.72         -642.55         5311.35         
316     200         2731.62         2023.04         -529.10         5234.17         
317     200         2837.33         1997.86         -558.77         5222.94         
318     200         2658.06         2042.33         -593.18         5227.53         
319     200         2845.94         1950.87         -603.57         5046.81         
320     200         3041.71         1874.02         -532.06         5190.77         
321     200         2938.79         1927.26         -690.76         5288.22         
322     200         3213.54         1841.53         -502.07         5194.64         
323     200         2671.77         2093.99         -585.77         5197.83         
324     200         2975.29         1951.72         -548.35         5283.19         
325     200         3253.41         1775.47         -563.11         5244.83         
326     200         2763.47         2057.12         -512.54         5160.24         
327     200         3091.82         1848.11         -518.16         5206.42         
328     200         2871.65         2002.95         -570.89         5149.39         
329     200         3082.21         1877.45         -561.33         5198.22         
330     200         3050.82         1860.39         -538.74         5158.44         
331     200         3099.78         1922.31         -522.72         5212.70         
332     200         3201.36         1794.52         -572.87         5182.76         
333     200         3123.01         1941.46         -568.40         5294.90         
334     200         3186.34         1928.02         -573.04         5242.48         
335     200         3430.51         1766.36         -715.41         5259.12         
336     200         3350.82         1858.27         -600.37         5222.42         
337     200         3242.07         1959.94         -514.30         5178.64         
338     200         3082.10         1959.46         -520.35         5201.69         
339     200         3131.28         1974.37         -582.62         5135.82         
340     200         3158.87         1941.31         -511.52         5226.38         
341     200         3264.62         1875.54         -563.70         5314.90         
342     200         2871.92         2070.89         -598.74         5242.28         
343     200         2953.81         2007.39         -652.31         5230.18         
344     200         3019.51         1912.94         -545.27         5148.88         
345     200         2970.37         2017.31         -555.60         5258.30         
346     200         3185.64         1961.25         -571.30         5228.69         
347     200         3219.19         1901.97         -516.33         5196.38         
348     200         3197.49         1881.50         -609.96         5242.97         
349     200         3353.03         1775.47         -496.50         5148.14         
350     200         2877.38         2025.63         -538.39         5273.97         
351     200         3213.17         1841.91         -545.07         5113.80         
