environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.002
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 4792.444890499115

Genome Size: 740
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         7.10            12.00           -2.03           64.58           
1       200         9.59            15.01           -2.23           81.66           
2       200         8.92            15.01           -2.32           80.67           
3       200         11.00           17.85           -1.90           102.33          
4       200         9.07            16.99           -1.95           155.06          
5       200         11.91           17.54           -1.59           135.32          
6       200         13.46           16.87           -1.93           58.78           
7       200         13.11           16.48           -1.84           81.04           
8       200         16.41           18.30           -1.76           82.41           
9       200         14.66           17.61           -1.84           73.70           
10      200         18.71           19.39           -1.83           89.70           
11      200         20.85           23.49           -1.78           157.74          
12      200         19.81           19.72           -1.82           107.82          
13      200         22.62           18.55           -1.84           83.34           
14      200         25.91           20.07           -1.85           178.24          
15      200         27.97           17.13           -1.88           79.53           
16      200         27.94           18.74           -1.64           94.22           
17      200         29.52           17.73           -2.14           109.25          
18      200         28.88           16.51           -2.01           73.18           
19      200         31.15           20.60           -1.74           166.82          
20      200         32.62           19.12           -1.87           131.90          
21      200         30.01           16.31           -1.81           74.56           
22      200         32.23           16.03           -1.91           121.71          
23      200         33.37           20.69           -1.52           194.13          
24      200         32.29           16.32           -1.71           90.33           
25      200         32.40           20.34           -1.75           188.95          
26      200         33.45           22.36           -1.81           177.29          
27      200         31.70           18.22           -1.73           113.46          
28      200         29.83           17.86           -1.80           139.60          
29      200         33.40           23.50           -1.73           193.59          
30      200         31.16           20.48           -1.90           182.23          
31      200         28.48           16.06           -1.66           46.92           
32      200         32.31           16.53           -1.70           98.91           
33      200         30.41           17.13           -1.87           114.71          
34      200         33.56           17.65           -1.73           146.56          
35      200         31.78           19.87           -1.91           137.45          
36      200         29.79           16.95           -1.70           106.13          
37      200         31.10           18.85           -1.70           143.61          
38      200         30.81           17.45           -1.90           95.95           
39      200         35.31           17.44           -1.72           158.31          
40      200         33.84           14.65           -1.76           76.66           
41      200         32.03           15.76           -1.78           80.64           
42      200         31.71           19.54           -1.92           178.71          
43      200         32.32           22.53           -1.85           123.14          
44      200         33.24           18.24           -1.81           169.03          
45      200         31.66           18.51           -1.84           112.70          
46      200         36.14           25.10           -1.86           183.11          
47      200         34.45           15.09           -1.86           84.68           
48      200         33.32           22.94           -1.83           163.17          
49      200         31.58           27.73           -1.82           220.51          
50      200         35.57           31.26           -1.95           262.80          
51      200         31.12           21.28           -2.00           133.18          
52      200         30.87           23.12           -1.91           117.22          
53      200         32.92           22.65           -1.70           118.96          
54      200         36.94           31.93           -1.94           180.10          
55      200         37.14           28.04           -1.88           199.52          
56      200         35.83           37.65           -1.89           242.75          
57      200         32.82           29.96           -1.86           141.46          
58      200         30.49           32.52           -2.02           291.78          
59      200         34.46           38.37           -1.94           387.56          
60      200         36.16           34.39           -1.87           156.97          
61      200         36.07           32.73           -1.91           169.25          
62      200         33.32           34.09           -2.00           209.58          
63      200         34.34           27.54           -1.87           121.41          
64      200         34.63           29.76           -1.83           162.24          
65      200         37.92           38.45           -2.00           254.94          
66      200         36.22           37.98           -1.94           249.77          
67      200         33.14           43.88           -1.89           362.39          
68      200         38.75           47.53           -1.96           481.40          
69      200         36.65           38.67           -1.75           179.02          
70      200         39.78           45.65           -1.89           386.46          
71      200         42.06           46.82           -1.94           288.44          
72      200         42.57           48.24           -1.92           518.75          
73      200         38.02           39.91           -1.84           234.09          
74      200         42.41           52.69           -1.86           325.01          
75      200         41.26           46.02           -1.91           354.41          
76      200         48.48           42.64           -1.68           260.95          
77      200         47.21           57.26           -2.02           349.36          
78      200         47.34           49.65           -1.70           310.81          
79      200         50.97           75.18           -1.79           828.10          
80      200         48.83           50.62           -2.03           375.18          
81      200         45.70           51.00           -1.85           343.56          
82      200         45.21           41.25           -1.85           231.90          
83      200         44.05           45.74           -1.71           296.78          
84      200         54.92           58.45           -1.77           443.45          
85      200         48.61           51.81           -1.93           300.47          
86      200         53.14           53.63           -1.67           294.57          
87      200         51.52           59.68           -1.63           564.66          
88      200         57.16           56.60           -1.88           350.07          
89      200         55.77           56.68           -1.94           365.63          
90      200         47.85           54.92           -2.03           436.60          
91      200         59.24           57.48           -1.87           414.85          
92      200         57.43           62.50           -1.79           514.47          
93      200         53.75           53.31           -1.70           269.10          
94      200         59.31           69.47           -1.78           420.92          
95      200         54.68           52.46           -1.79           244.99          
96      200         54.17           56.39           -1.67           440.40          
97      200         59.20           58.59           -1.66           439.86          
98      200         57.15           49.98           -1.60           357.11          
99      200         58.60           65.53           -1.85           647.88          
100     200         59.04           61.87           -1.88           345.01          
101     200         64.19           86.10           -1.77           855.99          
102     200         60.73           78.09           -1.96           695.48          
103     200         67.59           71.03           -1.83           604.43          
104     200         61.66           80.03           -1.88           515.33          
105     200         63.48           77.94           -1.59           559.58          
106     200         68.42           90.92           -1.79           778.03          
107     200         68.29           69.77           -1.72           348.97          
108     200         60.85           60.76           -1.71           365.17          
109     200         76.98           103.51          -1.80           1000.01         
110     200         67.26           77.58           -1.90           516.85          
111     200         75.56           90.67           -1.83           591.71          
112     200         61.35           58.62           -1.81           363.82          
113     200         64.98           66.01           -1.87           500.25          
114     200         79.23           93.00           -1.74           760.58          
115     200         65.67           95.29           -1.46           1015.30         
116     200         66.23           74.28           -1.55           519.50          
117     200         74.44           70.63           -1.54           375.54          
118     200         74.80           93.89           -1.80           884.17          
119     200         68.00           67.97           -1.78           456.95          
120     200         66.92           68.49           -1.76           440.25          
121     200         75.85           91.18           -1.75           585.91          
122     200         78.45           84.67           -1.59           493.26          
123     200         72.71           70.05           -1.73           398.22          
124     200         75.98           97.18           -1.82           1014.07         
125     200         83.38           108.44          -1.85           646.53          
126     200         79.73           93.95           -1.57           891.09          
127     200         74.25           75.23           -1.60           448.28          
128     200         72.00           100.46          -1.58           788.79          
129     200         84.93           105.38          -1.80           857.46          
130     200         85.42           84.00           -1.60           385.67          
131     200         91.68           104.97          -1.62           606.72          
132     200         97.09           111.57          -1.82           649.17          
133     200         88.52           116.17          -1.76           1014.66         
134     200         96.10           101.39          -1.52           583.66          
135     200         86.67           94.21           -1.38           657.44          
136     200         95.46           116.46          -1.72           984.73          
137     200         99.10           125.39          -1.75           1002.44         
138     200         93.49           111.32          -1.81           780.84          
139     200         102.96          138.60          -1.85           974.63          
140     200         99.17           128.90          -1.84           933.58          
141     200         99.12           110.63          -1.81           618.81          
142     200         86.12           97.61           -1.84           748.42          
143     200         99.47           105.99          -1.43           606.41          
144     200         94.46           115.90          -1.94           933.16          
145     200         111.57          116.71          -1.59           564.75          
146     200         116.95          146.34          -1.59           1008.95         
147     200         94.49           116.45          -1.49           888.62          
148     200         96.43           97.91           -1.55           509.85          
149     200         95.43           112.69          -1.66           982.66          
150     200         106.80          136.24          -1.62           983.11          
151     200         122.55          164.89          -1.29           1001.78         
152     200         116.05          150.53          -1.67           1004.40         
153     200         118.25          130.70          -1.73           704.56          
154     200         114.17          154.64          -1.70           1001.35         
155     200         119.31          163.17          -1.43           1024.80         
156     200         134.10          146.44          -1.65           985.67          
157     200         120.29          157.04          -0.91           1003.90         
158     200         136.31          176.74          -1.39           1014.26         
159     200         133.88          172.55          -1.88           1021.60         
160     200         127.14          158.85          -1.88           1005.49         
161     200         132.47          157.10          -1.51           1016.25         
162     200         137.16          168.03          -1.01           1011.54         
163     200         130.70          183.27          -0.87           1026.06         
164     200         131.08          167.74          -1.19           1000.16         
165     200         151.51          185.92          -1.62           1005.72         
166     200         133.44          186.69          -1.71           1021.24         
167     200         141.92          185.38          -1.62           1016.67         
168     200         129.51          174.86          -1.57           1012.95         
169     200         154.15          215.75          -1.56           1021.58         
170     200         128.99          154.49          -1.21           977.79          
171     200         155.35          194.33          -0.90           1019.91         
172     200         144.05          176.25          -1.70           880.01          
173     200         145.71          201.44          -1.62           1027.63         
174     200         155.03          198.50          -1.77           1023.07         
175     200         149.46          179.43          -1.88           999.44          
176     200         177.09          223.83          -1.86           999.34          
177     200         130.30          187.29          -1.84           1024.61         
178     200         167.13          226.32          -1.40           1025.61         
179     200         174.12          253.23          -1.40           1027.09         
180     200         186.77          224.42          -1.26           1020.85         
181     200         175.80          231.08          -2.03           1022.27         
182     200         171.77          217.41          -1.92           1021.21         
183     200         146.81          174.04          -1.13           984.17          
184     200         183.60          231.26          -1.72           1020.62         
185     200         165.05          244.40          -1.70           1024.58         
186     200         191.60          220.75          -1.36           1017.82         
187     200         179.96          229.92          -1.60           1021.48         
188     200         203.76          257.43          -1.52           1023.33         
189     200         192.27          232.75          -1.73           998.13          
190     200         169.06          236.86          -1.50           1011.56         
191     200         209.76          250.11          -1.51           1018.43         
192     200         171.36          228.55          -0.76           1018.96         
193     200         175.78          239.75          -1.44           1022.74         
194     200         200.48          262.73          -1.46           1022.33         
195     200         203.74          239.12          -1.19           1021.94         
196     200         219.46          278.28          -1.48           1002.67         
197     200         193.13          256.23          -0.96           1024.94         
198     200         204.80          268.35          -1.75           1020.09         
199     200         190.00          236.59          -1.04           1017.10         
200     200         189.83          243.76          -1.57           1020.26         
201     200         206.33          243.12          -1.52           1022.08         
202     200         233.28          279.74          -0.95           1012.93         
203     200         210.24          234.59          -1.11           1016.46         
204     200         204.64          262.96          -1.72           1025.15         
205     200         221.72          284.00          -0.47           1018.56         
206     200         221.03          263.74          -0.30           1003.14         
207     200         192.17          248.27          -1.59           1017.63         
208     200         222.41          277.85          -0.98           1026.97         
209     200         230.34          279.22          -1.70           1019.92         
210     200         229.13          290.41          -1.33           1031.13         
211     200         210.04          257.04          -1.73           1026.44         
212     200         254.99          318.14          -1.06           1023.75         
213     200         250.33          286.87          -1.66           1005.22         
214     200         240.93          269.22          -1.07           1021.51         
215     200         215.79          271.60          -1.19           1024.30         
216     200         230.42          287.32          -0.84           1024.99         
217     200         254.80          286.57          -1.65           1019.41         
218     200         295.73          327.60          -1.65           1026.66         
