environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.002
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2361.9607882499695

Genome Size: 100
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         18.34           23.27           0.22            123.19          
1       100         23.68           28.81           -0.14           137.74          
2       100         24.16           32.99           1.10            187.00          
3       100         24.41           34.04           1.34            168.29          
4       100         27.38           32.98           -0.17           183.52          
5       100         31.04           33.36           0.28            177.51          
6       100         32.88           36.20           0.09            177.61          
7       100         34.52           36.95           0.32            181.60          
8       100         35.86           36.85           -0.57           187.64          
9       100         37.63           36.23           -0.93           178.74          
10      100         46.85           43.33           -0.71           222.51          
11      100         36.41           48.42           -0.30           345.03          
12      100         36.14           31.10           -0.17           129.98          
13      100         37.48           33.93           -0.42           163.44          
14      100         34.33           32.79           -1.13           201.71          
15      100         27.68           29.54           -0.76           155.76          
16      100         30.83           33.32           -1.22           207.26          
17      100         41.15           38.50           -0.72           245.66          
18      100         29.74           27.69           -0.52           119.96          
19      100         28.80           27.10           -1.34           162.05          
20      100         31.95           31.72           -1.27           208.60          
21      100         41.84           34.42           -0.22           209.33          
22      100         31.84           25.46           -0.62           110.08          
23      100         33.96           26.82           0.20            133.12          
24      100         32.23           27.22           -0.90           119.81          
25      100         34.72           24.39           -1.31           119.74          
26      100         36.90           32.96           -1.26           144.71          
27      100         33.92           28.71           -1.69           136.21          
28      100         27.39           25.57           -0.90           101.77          
29      100         34.25           29.16           -1.42           175.37          
30      100         38.68           29.16           -1.10           180.92          
31      100         33.36           36.14           -0.29           263.50          
32      100         36.02           34.31           -1.14           217.17          
33      100         40.12           34.64           -0.10           210.58          
34      100         39.58           41.38           -1.31           293.99          
35      100         30.67           27.44           -1.67           114.68          
36      100         44.99           31.49           -0.81           178.86          
37      100         39.86           40.58           -0.61           253.31          
38      100         44.34           67.63           -1.46           595.00          
39      100         36.79           47.63           -1.29           366.63          
