environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.002
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 6516.686549901962

Genome Size: 880
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -6.29           25.90           -109.55         164.84          
1       200         -2.76           49.64           -96.43          590.27          
2       200         0.51            43.41           -71.89          438.50          
3       200         -0.35           44.79           -64.17          469.80          
4       200         -1.57           42.00           -88.99          355.83          
5       200         -0.88           49.77           -79.33          598.45          
6       200         -1.69           38.00           -82.78          416.49          
7       200         16.34           53.36           -43.58          376.37          
8       200         20.64           61.22           -122.19         459.07          
9       200         38.46           78.01           -99.23          471.43          
10      200         46.30           76.75           -111.68         550.17          
11      200         61.45           109.39          -77.98          1162.82         
12      200         65.50           88.80           -74.46          507.80          
13      200         68.35           86.06           -84.77          614.86          
14      200         66.77           68.51           -66.09          441.18          
15      200         77.98           67.44           -72.58          410.48          
16      200         90.61           108.80          -64.68          755.67          
17      200         85.56           90.72           -34.32          485.49          
18      200         81.54           100.56          -82.46          1088.75         
19      200         85.26           92.66           -97.31          497.77          
20      200         77.60           69.82           -94.25          401.65          
21      200         86.84           92.08           -32.00          778.12          
22      200         77.92           68.56           -30.24          398.14          
23      200         87.48           82.77           -45.71          508.93          
24      200         106.52          94.24           -37.14          526.51          
25      200         100.11          92.86           -33.01          497.20          
26      200         82.44           65.07           -32.80          392.71          
27      200         99.23           89.49           -20.70          442.67          
28      200         95.33           100.85          -20.13          546.92          
29      200         106.32          105.28          -67.64          494.85          
30      200         110.02          140.09          -69.15          1201.21         
31      200         116.72          111.63          -15.94          768.56          
32      200         112.88          119.11          -56.14          1049.84         
33      200         102.85          120.48          -50.12          1133.28         
34      200         126.75          132.00          -33.26          877.83          
35      200         135.42          127.11          -41.02          616.37          
36      200         126.57          162.34          -11.74          1035.71         
37      200         129.57          121.49          -40.01          580.39          
38      200         134.49          130.35          -7.75           687.09          
39      200         150.86          144.34          -4.88           858.17          
40      200         139.72          153.79          -11.83          1038.18         
41      200         134.53          138.45          -6.67           772.15          
42      200         143.47          134.04          -6.02           687.70          
43      200         155.65          150.28          -62.08          1095.03         
44      200         164.80          172.67          -6.97           1180.47         
45      200         167.67          165.75          -39.74          1014.15         
46      200         186.14          159.40          -6.55           986.88          
47      200         162.25          149.86          -135.21         617.94          
48      200         179.31          149.83          -55.51          960.26          
49      200         212.53          196.75          -31.73          1039.42         
50      200         188.80          175.11          -16.05          1060.57         
51      200         201.20          203.86          -20.14          1026.91         
52      200         188.91          190.40          -15.60          1015.82         
53      200         199.43          209.18          -73.83          1034.97         
54      200         176.04          180.97          -63.93          1006.60         
55      200         180.12          190.40          -12.08          1135.13         
56      200         193.24          196.14          -10.14          1086.58         
57      200         179.65          188.68          -2.35           1042.01         
58      200         223.27          233.99          -45.88          1065.64         
59      200         226.40          238.25          -75.82          1045.01         
60      200         238.70          239.21          -22.77          1068.68         
61      200         271.87          284.39          -2.27           1148.53         
62      200         231.89          260.42          -52.13          1162.30         
63      200         276.47          287.20          -39.82          1140.98         
64      200         277.71          280.51          -62.49          1134.05         
65      200         277.62          291.39          -88.52          1139.20         
66      200         255.94          270.27          -35.22          1099.61         
67      200         271.75          291.13          -39.34          1109.14         
68      200         286.29          301.02          -55.02          1100.80         
69      200         314.31          300.50          -16.71          1052.02         
70      200         337.45          324.58          -26.86          1062.67         
71      200         348.55          350.64          -51.72          1061.99         
72      200         389.65          362.36          -51.92          1158.33         
73      200         379.68          352.53          -10.69          1113.14         
74      200         352.16          352.17          -9.59           1089.67         
75      200         404.86          370.77          -48.39          1081.44         
76      200         357.35          360.47          -46.12          1161.19         
77      200         440.91          384.67          -3.82           1181.37         
78      200         442.39          387.08          -3.62           1168.34         
79      200         450.72          401.68          -36.24          1084.94         
80      200         477.55          407.42          -10.74          1163.45         
81      200         498.37          397.66          -23.28          1128.08         
82      200         498.72          412.36          -88.69          1162.56         
83      200         495.92          399.91          -14.80          1153.21         
84      200         483.52          402.65          -10.42          1118.20         
85      200         502.47          396.73          -11.35          1173.98         
86      200         511.99          414.96          -2.18           1115.53         
87      200         509.91          407.99          -10.91          1158.38         
88      200         524.72          413.69          -10.93          1151.12         
89      200         539.99          414.42          -8.29           1187.69         
90      200         565.52          438.89          -29.01          1121.45         
91      200         539.19          431.49          -23.38          1195.36         
92      200         591.98          433.20          -15.78          1146.46         
93      200         509.60          437.71          -18.87          1139.18         
94      200         554.63          444.10          -35.32          1171.22         
95      200         552.72          445.04          -22.07          1163.99         
96      200         571.82          453.07          -21.85          1190.90         
97      200         525.03          439.89          -35.56          1131.61         
98      200         488.89          449.04          -24.97          1194.97         
99      200         574.97          441.12          -11.46          1184.97         
100     200         507.52          433.95          -22.19          1156.60         
101     200         544.44          438.34          -26.35          1241.37         
102     200         568.46          446.69          -49.57          1180.20         
103     200         621.96          438.71          -27.87          1180.09         
