environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.002
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 6352.4952075481415

Genome Size: 900
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         9.59            41.35           -32.08          345.68          
1       200         18.37           53.39           -74.36          427.80          
2       200         14.45           47.84           -104.20         302.41          
3       200         25.68           72.08           -41.52          456.36          
4       200         19.00           53.31           -16.80          440.42          
5       200         24.90           64.66           -80.55          369.33          
6       200         17.23           38.43           -26.64          298.80          
7       200         25.07           79.47           -26.98          898.93          
8       200         38.22           83.02           -31.43          526.80          
9       200         41.89           93.88           -35.82          888.23          
10      200         37.98           78.21           -77.36          353.02          
11      200         50.00           113.12          -63.71          985.90          
12      200         49.95           82.65           -62.66          292.12          
13      200         87.59           109.98          -22.12          520.67          
14      200         93.10           125.94          -94.33          652.30          
15      200         102.42          118.51          -31.96          504.45          
16      200         139.15          162.89          -27.54          1047.34         
17      200         133.63          137.51          -34.00          893.11          
18      200         158.78          132.03          -21.33          704.45          
19      200         159.90          140.33          -75.41          901.20          
20      200         189.52          126.31          -16.92          542.20          
21      200         184.98          158.80          -59.62          841.13          
22      200         220.91          140.07          -17.13          619.89          
23      200         195.28          165.99          -52.72          1029.66         
24      200         227.04          134.15          -30.77          1027.73         
25      200         211.09          133.54          -19.35          483.88          
26      200         206.30          135.75          -8.32           569.64          
27      200         223.29          150.44          -32.54          995.80          
28      200         238.31          131.89          -20.07          678.96          
29      200         237.80          155.74          4.16            1040.70         
30      200         224.27          141.44          -24.35          993.99          
31      200         231.39          139.45          -33.68          538.30          
32      200         240.14          149.35          -22.25          983.44          
33      200         247.76          138.19          -17.92          786.85          
34      200         236.41          136.61          -11.50          509.29          
35      200         245.60          146.45          -42.81          619.93          
36      200         240.38          140.88          -30.13          618.35          
37      200         227.88          148.89          -25.74          944.91          
38      200         246.66          148.68          -22.37          1025.09         
39      200         251.01          140.41          -45.54          585.57          
40      200         250.57          148.43          -31.57          1121.98         
41      200         270.48          160.78          -22.45          1059.58         
42      200         277.45          144.10          -6.38           859.91          
43      200         272.56          140.67          -26.43          842.88          
44      200         263.86          143.54          -68.79          647.70          
45      200         279.71          162.46          -27.00          910.04          
46      200         267.65          151.18          -6.84           853.78          
47      200         269.83          156.26          -35.70          994.44          
48      200         248.15          146.71          -15.09          603.14          
49      200         282.87          154.30          1.51            992.27          
50      200         278.18          192.26          -29.69          1073.95         
51      200         265.75          169.70          -21.69          994.53          
52      200         275.37          160.89          -26.60          979.98          
53      200         278.19          171.14          -51.03          1047.14         
54      200         299.51          198.59          -68.58          1029.46         
55      200         269.96          231.07          -64.55          1053.90         
56      200         252.92          208.60          -20.26          1055.21         
57      200         312.97          253.86          -60.64          1061.36         
58      200         282.96          227.22          -38.81          1054.11         
59      200         292.76          221.73          -32.31          1049.21         
60      200         288.81          254.45          -32.02          1050.18         
61      200         320.81          249.49          -6.78           1061.17         
62      200         316.35          257.07          -87.20          1039.23         
63      200         327.35          244.64          -64.83          1054.63         
64      200         363.28          283.58          -86.27          1065.74         
65      200         359.63          315.51          -119.70         1123.75         
66      200         417.22          341.54          -67.47          1097.69         
67      200         421.52          337.99          -18.59          1065.58         
68      200         399.30          316.45          -30.60          1058.71         
69      200         429.63          350.86          -91.22          1060.29         
70      200         422.60          328.36          -119.62         1057.25         
71      200         407.78          347.40          -79.43          1154.56         
72      200         489.13          353.15          -50.43          1204.96         
73      200         454.95          371.08          -57.83          1088.14         
74      200         475.06          372.81          -92.70          1086.75         
75      200         519.32          364.67          -58.45          1076.72         
76      200         539.40          370.88          -32.13          1149.40         
77      200         549.02          388.74          -124.60         1110.38         
78      200         547.28          379.41          -103.12         1084.46         
79      200         570.91          376.17          -56.26          1126.14         
80      200         576.56          370.38          -156.64         1106.71         
81      200         589.84          388.54          -81.79          1135.22         
82      200         619.91          399.24          -149.42         1102.09         
83      200         604.59          396.15          -37.72          1189.85         
84      200         592.02          408.50          -119.98         1175.85         
85      200         500.53          394.26          -29.10          1090.98         
86      200         573.20          408.34          -52.40          1188.83         
87      200         545.72          421.62          -59.29          1143.21         
88      200         544.74          413.33          -31.44          1119.72         
89      200         607.27          416.29          -17.25          1119.85         
90      200         580.69          411.72          -13.93          1098.31         
91      200         549.86          407.36          -98.61          1098.46         
92      200         584.54          408.93          -44.26          1090.38         
93      200         572.06          393.77          -120.13         1140.71         
94      200         673.91          396.21          -63.49          1092.74         
95      200         679.13          398.34          -101.33         1118.67         
96      200         621.84          418.96          -114.08         1146.60         
97      200         582.74          415.05          -54.44          1100.94         
98      200         615.98          422.10          -18.55          1108.93         
99      200         564.99          427.03          -110.05         1165.20         
100     200         545.15          429.73          -91.58          1167.88         
101     200         566.49          426.01          -109.55         1186.34         
102     200         646.08          414.50          -93.05          1136.42         
103     200         633.04          424.62          -72.13          1172.45         
104     200         585.12          421.04          -19.46          1116.05         
105     200         626.22          426.79          -18.42          1213.10         
106     200         720.37          399.89          3.59            1215.33         
107     200         638.20          409.07          -13.48          1159.96         
108     200         607.18          427.87          -45.09          1123.57         
109     200         624.58          416.63          -13.66          1153.05         
110     200         643.24          435.82          -17.35          1181.81         
111     200         628.59          438.95          -17.26          1192.06         
112     200         643.02          432.64          -15.36          1198.25         
113     200         643.72          438.78          -8.98           1224.60         
114     200         672.48          439.02          -4.11           1177.47         
115     200         628.10          431.19          -6.22           1184.80         
116     200         670.79          429.20          -14.55          1192.29         
117     200         756.57          396.09          -4.82           1229.90         
118     200         722.51          433.31          -12.51          1208.49         
119     200         683.27          423.68          -18.39          1221.14         
120     200         614.18          443.97          -15.64          1210.80         
121     200         670.61          424.89          -2.92           1163.55         
122     200         652.17          435.98          -86.83          1215.97         
123     200         659.25          432.55          -46.90          1180.19         
124     200         612.89          448.01          -89.24          1191.79         
125     200         624.05          431.06          -23.30          1248.54         
126     200         689.61          423.57          -1.48           1209.21         
127     200         650.04          440.06          -7.24           1245.40         
128     200         661.15          441.34          -21.37          1228.61         
129     200         663.67          448.07          -21.50          1256.70         
130     200         631.43          447.10          -2.95           1215.90         
131     200         645.20          449.50          -15.14          1249.85         
132     200         667.75          430.48          -18.31          1257.15         
133     200         691.01          441.19          -7.71           1314.20         
134     200         682.78          424.79          -6.66           1241.30         
135     200         638.27          422.04          -49.80          1313.47         
136     200         685.85          429.42          -15.67          1314.79         
137     200         614.05          454.64          -59.26          1337.03         
138     200         550.68          447.80          -61.64          1303.54         
139     200         648.09          448.62          -13.15          1310.78         
140     200         656.47          445.75          -62.51          1272.81         
141     200         659.08          436.61          -4.16           1251.68         
142     200         664.71          446.78          -49.76          1279.38         
143     200         632.58          447.33          -26.22          1252.17         
144     200         678.33          445.23          -11.92          1246.30         
145     200         623.70          446.32          -29.63          1261.80         
146     200         604.37          436.57          -36.73          1295.94         
147     200         596.60          439.63          -13.96          1263.85         
148     200         724.11          416.74          -8.54           1235.24         
149     200         684.32          422.80          14.92           1294.11         
150     200         676.65          423.94          -24.60          1286.78         
151     200         741.19          434.81          4.24            1313.18         
152     200         720.41          427.82          -68.76          1292.15         
153     200         722.43          441.00          -38.23          1334.82         
154     200         695.41          424.91          -25.36          1248.40         
155     200         711.77          430.06          -33.47          1307.49         
156     200         710.14          436.06          4.82            1282.04         
157     200         735.49          422.21          1.69            1283.49         
158     200         756.11          423.74          3.01            1268.05         
159     200         693.95          427.85          -48.67          1292.61         
160     200         692.83          449.85          -0.76           1351.38         
161     200         721.15          452.73          -27.42          1281.74         
162     200         694.35          443.35          24.39           1368.28         
163     200         790.81          428.54          -14.82          1291.41         
164     200         855.52          411.63          0.90            1329.93         
165     200         763.30          446.36          10.49           1324.33         
166     200         696.92          446.81          16.63           1344.50         
167     200         729.72          442.56          0.09            1286.06         
168     200         741.02          450.86          -7.36           1293.22         
169     200         840.55          413.42          24.69           1586.32         
170     200         768.83          429.23          -17.56          1300.79         
171     200         827.26          421.55          -8.77           1317.49         
172     200         804.60          435.84          10.18           1297.09         
173     200         758.48          445.83          -10.90          1256.02         
174     200         755.44          454.21          1.84            1504.09         
175     200         792.92          416.81          -16.46          1272.69         
176     200         813.63          434.63          -13.55          1298.51         
177     200         864.42          415.19          -10.73          1400.16         
178     200         822.06          426.51          -29.61          1311.79         
179     200         827.79          437.94          -0.15           1310.36         
180     200         780.28          452.42          -20.92          1301.53         
181     200         840.77          427.47          1.65            1307.60         
182     200         825.84          432.28          -10.09          1295.80         
183     200         866.42          415.57          35.86           1282.20         
184     200         865.04          438.41          -6.59           1286.62         
185     200         771.20          444.04          -11.89          1417.98         
186     200         791.23          465.72          5.67            1272.21         
187     200         829.07          439.79          -5.27           1403.86         
188     200         798.15          445.71          15.17           1291.03         
189     200         814.62          452.79          -13.55          1335.02         
190     200         817.54          464.82          -51.01          1404.57         
191     200         705.12          475.94          -15.85          1494.87         
192     200         758.16          458.24          -14.56          1316.55         
193     200         766.50          464.67          32.37           1406.47         
194     200         754.90          449.94          -5.88           1278.24         
195     200         756.20          460.08          -11.36          1319.47         
196     200         776.88          462.21          -6.28           1306.24         
197     200         885.82          420.06          16.69           1410.00         
198     200         818.14          440.17          17.82           1318.69         
199     200         727.58          460.09          -5.98           1333.36         
200     200         845.11          431.68          -5.00           1328.99         
201     200         789.82          428.11          -24.24          1326.64         
202     200         774.03          429.86          -3.61           1296.53         
203     200         857.62          410.38          -18.67          1291.08         
204     200         825.19          429.93          -10.07          1303.87         
205     200         815.40          450.32          -2.65           1346.21         
206     200         763.50          472.48          -18.97          1301.89         
207     200         839.06          419.84          11.42           1302.17         
208     200         810.71          445.61          5.62            1295.23         
209     200         797.93          455.10          -20.08          1277.33         
210     200         803.74          457.08          -9.81           1311.58         
211     200         769.55          466.00          -40.93          1330.87         
212     200         794.14          451.45          -4.17           1334.37         
213     200         884.38          426.41          61.89           1324.40         
214     200         860.10          459.39          -52.87          1375.79         
215     200         876.82          420.96          -7.86           1326.41         
216     200         785.48          451.62          35.40           1377.97         
217     200         828.62          430.01          43.29           1332.83         
218     200         828.00          416.93          6.00            1292.76         
219     200         805.25          448.01          2.60            1300.39         
220     200         761.60          448.85          2.79            1381.63         
221     200         838.01          441.94          0.67            1436.96         
222     200         828.64          418.05          -1.31           1295.05         
223     200         809.59          454.92          -9.59           1306.86         
224     200         820.49          437.93          -3.77           1330.26         
225     200         808.57          457.80          10.65           1322.86         
226     200         829.94          461.62          -18.63          1340.02         
227     200         872.40          429.85          -7.93           1331.07         
228     200         826.04          401.78          -35.31          1437.42         
229     200         824.18          441.29          -6.59           1346.55         
230     200         845.76          428.47          27.87           1346.06         
231     200         897.59          407.36          36.98           1351.89         
232     200         865.63          415.60          -31.89          1312.97         
233     200         829.28          449.75          19.50           1295.86         
234     200         808.83          439.63          34.45           1265.72         
235     200         870.13          432.73          76.71           1314.54         
236     200         845.27          440.51          13.69           1311.53         
237     200         840.48          436.68          -3.66           1331.06         
238     200         820.66          413.66          50.98           1324.48         
239     200         848.88          429.83          -33.53          1324.10         
240     200         811.11          438.11          27.29           1298.85         
241     200         882.93          406.48          86.63           1308.96         
242     200         937.15          387.84          109.84          1375.43         
243     200         941.83          373.19          -19.45          1431.81         
244     200         883.15          395.02          -23.76          1470.96         
245     200         893.31          419.06          -14.49          1410.15         
246     200         859.40          424.94          7.65            1312.50         
247     200         828.62          425.22          -12.24          1317.91         
248     200         823.90          422.27          77.87           1314.85         
249     200         760.85          434.94          -2.50           1292.88         
250     200         873.98          425.28          70.77           1302.27         
251     200         900.91          404.40          79.79           1326.03         
252     200         953.41          371.79          72.00           1298.97         
253     200         872.50          424.35          59.63           1263.65         
254     200         870.16          431.02          54.99           1329.15         
255     200         867.99          427.54          71.56           1348.11         
256     200         855.66          438.85          65.59           1308.58         
257     200         901.88          423.21          71.45           1323.45         
258     200         889.76          416.56          20.16           1326.35         
259     200         866.33          417.53          28.48           1366.71         
260     200         880.36          419.73          30.19           1348.82         
261     200         854.68          420.79          37.73           1308.81         
262     200         823.94          437.76          84.16           1331.44         
263     200         929.17          379.58          78.73           1306.16         
264     200         881.58          411.14          -17.73          1364.06         
265     200         996.85          355.53          87.99           1327.93         
266     200         894.97          433.71          16.48           1317.80         
267     200         867.18          434.51          37.01           1331.44         
268     200         871.39          441.61          13.86           1357.65         
269     200         890.35          427.71          -17.01          1326.42         
270     200         856.70          423.16          58.21           1326.13         
271     200         891.87          414.47          8.83            1328.95         
272     200         860.75          439.92          17.70           1338.53         
273     200         833.13          450.82          10.45           1286.78         
274     200         867.35          440.20          43.93           1325.20         
275     200         871.83          449.30          61.62           1335.32         
276     200         947.58          400.49          80.30           1350.01         
277     200         916.21          420.35          83.79           1317.76         
278     200         932.62          408.01          67.61           1326.45         
279     200         942.48          409.27          -4.77           1342.29         
280     200         866.89          419.32          14.10           1339.23         
281     200         940.35          405.69          13.00           1314.16         
282     200         892.99          445.50          -10.57          1403.68         
283     200         941.09          380.54          112.64          1351.45         
284     200         1008.63         352.90          20.46           1330.83         
285     200         1001.40         371.76          65.72           1359.08         
286     200         1009.73         342.50          45.71           1333.79         
287     200         951.56          353.75          -2.11           1367.52         
288     200         921.54          394.28          23.02           1314.14         
289     200         939.22          388.49          59.82           1273.33         
290     200         892.44          421.32          94.88           1347.16         
291     200         962.20          393.66          97.36           1393.36         
292     200         916.52          423.50          130.34          1381.31         
293     200         942.79          395.13          64.26           1291.88         
294     200         1002.72         360.31          104.06          1324.59         
295     200         913.81          393.72          8.17            1333.53         
296     200         974.29          375.64          103.90          1341.79         
297     200         975.07          378.33          93.22           1375.59         
298     200         990.92          346.08          102.63          1413.48         
299     200         979.22          382.30          115.85          1322.01         
300     200         1038.68         336.43          34.14           1340.94         
301     200         992.63          363.45          7.67            1332.39         
302     200         959.56          379.51          126.44          1325.85         
303     200         921.06          400.68          -26.85          1327.03         
304     200         977.10          370.34          110.42          1320.90         
305     200         946.15          397.45          107.50          1330.28         
306     200         926.03          388.74          36.34           1345.44         
307     200         1036.65         317.21          113.27          1352.46         
308     200         966.70          379.35          -3.67           1328.28         
309     200         913.10          400.95          66.78           1365.68         
310     200         1000.42         358.48          -45.40          1327.28         
311     200         1020.99         358.13          -28.01          1340.43         
312     200         969.42          384.62          14.11           1339.17         
313     200         955.28          387.15          93.81           1318.53         
314     200         977.00          379.20          52.57           1356.98         
315     200         956.01          375.61          90.44           1311.65         
316     200         974.53          377.47          -7.60           1286.47         
317     200         937.87          415.11          74.41           1345.82         
318     200         982.55          363.67          16.26           1332.94         
319     200         990.16          380.89          81.99           1327.83         
320     200         1010.28         358.97          98.82           1363.08         
321     200         945.47          374.56          11.03           1338.24         
322     200         963.29          385.34          -5.54           1361.18         
323     200         919.08          431.01          -0.19           1333.65         
324     200         897.11          423.68          -2.10           1322.57         
325     200         873.47          438.36          -5.95           1341.54         
326     200         947.67          414.45          23.60           1377.88         
327     200         919.43          408.31          79.67           1303.03         
328     200         958.75          382.89          -1.22           1352.33         
329     200         933.78          410.94          -27.53          1338.84         
330     200         989.61          364.70          117.30          1319.24         
331     200         953.31          365.01          0.00            1336.06         
332     200         967.33          383.93          5.64            1331.37         
333     200         990.79          353.57          27.55           1347.31         
334     200         978.64          374.22          81.71           1370.56         
335     200         918.06          406.44          -34.51          1337.25         
336     200         976.92          353.00          43.37           1331.12         
337     200         973.69          356.53          67.54           1339.01         
338     200         980.11          380.20          86.72           1322.05         
339     200         955.48          393.65          112.34          1332.51         
340     200         993.33          338.48          101.76          1331.95         
341     200         1002.61         346.20          70.54           1337.13         
342     200         1016.18         344.43          63.56           1349.41         
343     200         965.27          373.82          102.62          1329.18         
344     200         933.91          405.18          67.77           1317.87         
345     200         872.53          439.96          82.24           1336.64         
346     200         902.98          415.52          -2.74           1333.93         
347     200         954.76          386.39          15.40           1328.15         
348     200         1000.98         371.07          5.83            1326.38         
349     200         950.18          378.29          118.91          1336.22         
350     200         988.84          362.23          16.94           1325.65         
351     200         955.71          395.83          20.37           1366.85         
352     200         954.15          394.26          88.71           1342.29         
353     200         920.46          407.79          96.87           1359.09         
354     200         852.27          435.66          -1.57           1350.35         
355     200         905.11          405.82          58.00           1338.28         
356     200         915.95          418.61          81.43           1349.35         
357     200         943.86          391.77          19.76           1318.38         
358     200         983.10          403.01          25.49           1368.93         
359     200         943.52          396.40          81.56           1336.90         
360     200         937.42          419.05          100.37          1383.99         
361     200         974.02          385.17          68.93           1314.59         
362     200         984.69          352.09          92.03           1330.10         
363     200         1008.80         361.82          122.61          1346.98         
364     200         976.52          370.52          -10.30          1350.34         
365     200         999.87          350.82          123.21          1326.69         
366     200         1010.43         342.74          128.25          1326.76         
367     200         1003.53         352.82          105.62          1323.82         
368     200         971.35          397.39          7.93            1328.03         
369     200         904.62          419.78          54.40           1331.56         
370     200         947.43          392.67          -27.12          1318.87         
371     200         961.87          387.46          -53.59          1343.69         
372     200         952.59          418.40          -59.69          1357.03         
373     200         937.24          380.49          23.92           1319.53         
374     200         980.78          355.53          -11.97          1318.11         
375     200         965.92          386.86          106.20          1319.75         
376     200         1002.85         353.38          93.88           1311.60         
377     200         1021.35         351.67          66.88           1439.62         
378     200         931.41          382.01          25.41           1353.79         
379     200         980.33          367.14          3.13            1352.85         
380     200         1042.36         334.25          81.87           1285.13         
381     200         1000.35         351.23          72.45           1336.42         
382     200         988.56          377.46          1.39            1300.36         
383     200         996.95          372.83          77.07           1313.38         
384     200         999.22          377.43          83.53           1330.01         
385     200         957.44          419.74          -5.80           1336.45         
386     200         977.78          374.11          7.54            1369.28         
387     200         1017.00         368.16          4.07            1345.30         
388     200         1005.39         356.36          137.80          1410.67         
389     200         1017.40         361.64          122.68          1320.34         
390     200         982.61          384.86          64.37           1447.47         
391     200         1031.34         367.31          -37.02          1328.97         
392     200         970.06          389.92          85.61           1372.45         
393     200         1023.42         358.97          24.17           1341.27         
394     200         1023.13         336.55          61.27           1345.33         
395     200         1016.76         348.30          41.22           1314.23         
396     200         972.60          394.70          0.49            1326.46         
397     200         974.71          372.55          13.92           1333.27         
398     200         998.26          347.84          5.71            1407.58         
399     200         970.09          386.47          55.26           1349.24         
400     200         977.13          378.14          91.66           1362.87         
401     200         977.14          388.50          12.40           1406.06         
402     200         937.99          403.06          8.84            1331.80         
403     200         965.00          397.57          -14.41          1364.22         
404     200         1005.86         381.47          -0.75           1399.85         
405     200         954.73          380.80          4.69            1327.66         
406     200         982.57          360.49          -22.88          1360.07         
407     200         971.86          374.80          12.81           1474.38         
408     200         1044.99         344.06          84.56           1399.14         
409     200         1013.40         355.96          -6.27           1353.93         
410     200         1042.12         338.43          125.63          1328.69         
411     200         1043.58         322.42          132.38          1375.68         
412     200         1028.38         348.07          117.60          1360.94         
413     200         1043.95         330.48          10.44           1391.93         
414     200         1006.21         364.94          -20.84          1360.66         
415     200         977.43          368.97          -5.59           1438.97         
416     200         1065.95         318.44          -57.67          1422.71         
417     200         1081.66         288.44          -9.24           1505.78         
418     200         1022.87         346.68          90.65           1442.49         
419     200         1013.71         372.12          26.08           1429.79         
420     200         1001.70         358.65          55.76           1481.37         
421     200         989.05          351.16          182.00          1732.80         
422     200         971.33          366.97          113.46          1678.57         
423     200         1000.30         355.16          129.19          1495.21         
424     200         995.10          372.87          74.74           1556.47         
425     200         933.49          405.37          -1.16           1633.79         
426     200         935.54          388.45          -3.42           1563.77         
427     200         1001.62         352.16          15.59           1686.72         
428     200         950.89          399.77          -26.30          1486.38         
429     200         968.40          384.05          -24.43          1477.33         
430     200         919.63          400.78          -3.63           1559.63         
431     200         968.74          380.90          -2.40           1624.22         
432     200         885.46          433.14          -73.48          1558.05         
433     200         924.55          424.06          -60.45          1554.10         
434     200         1014.47         397.58          -77.16          1692.85         
435     200         992.32          375.50          -61.38          1520.18         
436     200         1030.99         385.53          85.72           1869.50         
437     200         997.38          400.15          3.82            1634.94         
438     200         1030.50         415.84          -17.56          1694.29         
439     200         1070.22         366.91          92.66           1726.10         
440     200         1026.02         415.90          -1.77           1814.95         
441     200         1047.92         356.11          133.98          1654.54         
442     200         1042.04         423.50          3.13            1818.93         
443     200         1056.52         417.92          -47.96          1838.84         
444     200         1055.08         435.17          -74.69          1932.90         
445     200         1115.98         375.66          -1.58           1792.02         
446     200         1114.70         409.48          -3.81           2004.20         
447     200         1090.30         412.83          -64.61          2053.07         
448     200         1034.60         448.61          -38.86          1766.67         
449     200         1083.98         445.64          37.59           1917.51         
450     200         1093.34         418.06          -9.57           1854.46         
451     200         1124.89         446.56          -42.23          1889.36         
452     200         1135.81         432.06          -62.29          1808.00         
453     200         1059.38         489.92          -10.49          1908.70         
454     200         1103.14         490.50          -67.94          1894.95         
455     200         1138.76         488.96          -88.52          1926.13         
456     200         1110.46         509.14          -2.84           1968.89         
457     200         1126.09         520.08          -20.98          1961.66         
458     200         1181.14         472.13          -37.32          1922.80         
459     200         1097.79         514.12          -21.31          1924.57         
460     200         1139.88         486.26          -37.99          2023.29         
461     200         1146.39         481.33          -15.19          1965.01         
462     200         1238.25         437.48          -4.03           2031.58         
463     200         1166.12         496.04          -5.04           1948.95         
464     200         1174.17         484.52          -31.48          1978.18         
465     200         1262.28         486.78          -50.58          2089.11         
466     200         1258.32         502.15          75.01           2057.91         
467     200         1199.36         557.08          -5.05           2093.60         
468     200         1270.52         486.02          59.61           1993.78         
469     200         1287.54         520.55          -6.89           2107.88         
470     200         1222.48         526.76          -4.45           2079.89         
471     200         1241.23         507.95          71.34           2020.92         
472     200         1171.69         573.30          -1.04           2052.59         
473     200         1166.39         563.07          -16.09          2044.54         
474     200         1191.16         549.76          4.49            2028.41         
475     200         1228.11         561.76          -13.93          2105.57         
476     200         1201.43         552.25          -38.33          2097.02         
477     200         1296.86         502.10          11.97           1994.38         
478     200         1143.43         555.04          0.16            2028.53         
479     200         1207.18         543.73          3.83            2047.24         
480     200         1260.38         543.37          -16.62          2091.64         
481     200         1228.11         612.34          -11.95          2219.98         
