environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.002
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 2309.726888656616

Genome Size: 95
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         32.38           37.60           2.59            228.17          
1       100         26.50           29.12           2.90            180.08          
2       100         33.26           38.84           2.05            212.60          
3       100         40.32           53.85           3.60            480.51          
4       100         26.80           31.57           3.42            250.95          
5       100         46.81           45.66           4.65            315.62          
6       100         47.72           46.36           2.92            229.76          
7       100         52.71           51.12           7.26            236.64          
8       100         56.68           103.09          4.36            1009.28         
9       100         48.77           54.03           4.95            390.85          
10      100         71.58           111.42          1.22            984.99          
11      100         90.30           115.19          6.15            828.76          
12      100         118.15          169.75          8.44            995.71          
13      100         87.04           108.45          4.74            971.06          
14      100         148.57          195.94          1.58            1003.46         
15      100         142.38          184.03          0.78            993.98          
16      100         154.33          206.06          1.96            1019.83         
17      100         153.01          161.48          7.83            894.17          
18      100         169.83          198.39          1.07            1011.12         
19      100         216.24          213.10          5.24            1009.04         
20      100         217.85          223.20          0.34            1000.55         
21      100         231.58          231.50          10.50           987.57          
22      100         217.90          233.42          4.11            984.38          
23      100         205.49          229.06          5.24            1019.11         
24      100         213.49          240.55          7.08            1011.13         
25      100         248.84          250.81          2.19            1024.06         
26      100         310.42          296.95          7.07            1021.00         
27      100         345.99          335.30          5.85            1024.33         
28      100         373.26          349.37          3.02            1024.39         
29      100         424.01          360.53          7.67            1024.07         
30      100         393.16          365.76          1.90            1025.32         
31      100         419.71          342.73          5.71            1015.73         
32      100         441.86          376.50          7.09            1024.96         
33      100         348.22          312.55          4.43            1019.26         
34      100         408.99          373.48          5.62            1021.33         
35      100         436.31          369.15          8.89            1020.64         
36      100         411.81          368.63          3.30            1030.65         
37      100         488.02          401.85          3.20            1077.00         
38      100         484.17          411.43          1.62            1026.14         
39      100         429.47          378.74          3.51            1070.32         
40      100         570.09          403.87          3.30            1022.32         
41      100         567.94          396.83          5.93            1024.17         
42      100         613.64          400.57          15.10           1024.49         
43      100         608.88          408.21          9.32            1024.37         
44      100         566.97          411.07          10.26           1025.13         
45      100         575.82          386.31          14.63           1023.43         
46      100         492.67          387.79          9.00            1025.49         
47      100         550.08          398.88          6.71            1024.09         
48      100         594.61          391.94          2.52            1025.71         
49      100         596.07          388.63          12.61           1024.87         
50      100         552.95          381.87          6.12            1025.70         
51      100         523.28          388.65          65.33           1023.11         
52      100         601.72          399.17          9.57            1025.81         
53      100         598.99          378.96          34.28           1054.10         
54      100         539.11          383.96          17.32           1024.83         
55      100         591.27          404.90          10.79           1025.62         
56      100         624.70          388.68          0.76            1025.55         
57      100         613.80          372.13          49.60           1026.00         
58      100         591.38          390.03          12.08           1024.94         
59      100         681.00          376.40          88.22           1024.99         
60      100         697.74          374.95          8.24            1026.13         
61      100         698.78          376.48          15.88           1027.14         
62      100         628.43          388.01          15.32           1024.68         
63      100         651.27          389.58          9.80            1024.79         
64      100         628.54          403.18          1.76            1027.21         
65      100         589.66          391.38          35.90           1026.36         
66      100         706.05          394.14          9.14            1024.38         
67      100         644.57          379.85          9.61            1026.46         
68      100         681.60          384.56          4.85            1025.78         
69      100         746.95          361.11          11.02           1025.55         
70      100         656.24          384.91          51.05           1025.31         
71      100         630.97          401.42          15.61           1026.18         
72      100         754.10          356.24          8.03            1026.04         
73      100         678.62          381.83          8.62            1026.22         
74      100         700.79          367.95          41.78           1040.84         
75      100         658.46          403.69          11.13           1025.70         
76      100         681.50          390.75          8.74            1025.89         
77      100         739.81          360.84          5.93            1023.93         
78      100         733.11          362.47          13.32           1026.11         
79      100         733.82          364.15          30.40           1025.87         
80      100         732.82          371.31          6.15            1024.80         
81      100         673.82          391.81          17.88           1025.48         
82      100         737.83          356.76          76.33           1026.85         
83      100         702.50          387.11          5.90            1026.03         
84      100         681.71          399.77          7.05            1033.10         
85      100         722.01          379.83          10.59           1035.09         
86      100         754.49          367.60          8.67            1028.96         
87      100         707.61          385.60          8.35            1026.90         
88      100         662.26          388.49          8.99            1026.28         
89      100         731.63          371.12          8.15            1026.67         
90      100         717.93          385.53          34.24           1025.76         
91      100         768.78          356.53          7.17            1025.43         
