environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.002
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2482.8877425193787

Genome Size: 260
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         24.94           28.36           3.15            157.38          
1       100         25.15           29.13           0.56            169.54          
2       100         24.10           26.44           2.73            161.31          
3       100         32.60           47.03           1.49            292.11          
4       100         32.60           41.06           3.21            254.16          
5       100         35.52           28.97           3.55            128.55          
6       100         43.18           45.23           1.60            254.81          
7       100         46.03           40.11           6.74            188.42          
8       100         47.07           50.01           7.21            338.34          
9       100         55.00           41.34           4.58            236.47          
10      100         63.17           86.05           6.51            768.50          
11      100         67.95           72.99           4.00            604.17          
12      100         76.52           64.72           3.69            448.82          
13      100         94.26           95.77           3.87            614.33          
14      100         127.49          101.11          9.90            768.76          
15      100         109.89          90.35           5.34            477.02          
16      100         115.40          94.15           7.11            649.61          
17      100         117.36          94.36           10.12           534.46          
18      100         146.84          169.06          5.12            1042.60         
19      100         138.75          158.56          5.59            1012.04         
20      100         141.96          97.31           8.29            485.34          
21      100         132.31          124.33          6.77            907.37          
22      100         176.04          154.13          8.50            815.84          
23      100         169.42          139.78          10.35           997.91          
24      100         220.64          205.44          9.96            1061.25         
25      100         252.33          208.03          31.34           1013.13         
26      100         216.65          177.42          14.40           1021.51         
27      100         198.45          142.16          10.46           721.74          
28      100         242.13          222.08          18.64           1002.89         
29      100         275.82          244.95          8.68            1018.04         
30      100         258.94          224.33          11.83           1023.29         
31      100         315.15          243.97          33.91           1024.10         
32      100         303.28          273.28          10.82           1019.06         
33      100         255.27          217.16          10.29           1021.12         
34      100         286.58          258.28          8.84            1022.43         
35      100         284.88          240.44          9.71            1023.37         
36      100         295.87          255.23          9.55            1035.32         
37      100         287.93          253.42          10.33           1003.46         
38      100         299.37          262.09          7.64            1015.62         
39      100         361.92          319.38          13.78           1016.13         
40      100         267.19          245.56          14.15           1017.16         
41      100         347.53          312.94          13.96           1019.29         
42      100         385.94          337.49          12.26           1024.95         
43      100         414.76          332.12          11.70           1019.43         
44      100         429.99          310.75          19.97           1026.84         
45      100         441.65          348.96          18.51           1019.64         
46      100         350.09          297.33          10.21           1026.77         
