environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.002
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 13589.573182821274

Genome Size: 360
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         6.15            47.74           -48.25          409.39          
1       500         5.89            42.48           -36.52          410.13          
2       500         7.48            51.12           -45.29          351.86          
3       500         8.38            54.05           -49.37          462.54          
4       500         13.63           57.50           -42.20          344.62          
5       500         18.49           77.87           -37.29          957.53          
6       500         22.83           86.52           -53.58          865.53          
7       500         40.15           101.74          -47.29          866.94          
8       500         42.46           108.12          -59.34          995.36          
9       500         59.54           134.42          -43.61          1001.88         
10      500         69.04           149.07          -37.05          1074.45         
11      500         70.76           135.60          -63.69          994.92          
12      500         80.33           157.40          -55.54          1045.30         
13      500         69.26           122.39          -69.95          928.31          
14      500         85.79           147.97          -54.06          1054.88         
15      500         83.14           129.24          -93.89          1054.25         
16      500         85.13           125.55          -54.06          881.50          
17      500         88.99           158.71          -55.60          1136.26         
18      500         80.79           132.45          -82.01          1052.66         
19      500         85.13           131.37          -42.67          1050.53         
20      500         108.24          152.52          -72.36          1064.26         
21      500         102.33          151.87          -139.44         1054.37         
22      500         89.98           141.70          -87.96          1052.36         
23      500         100.93          163.30          -61.87          1078.33         
24      500         103.15          160.03          -85.37          1073.77         
25      500         101.57          153.12          -56.22          1070.54         
26      500         104.54          156.11          -73.29          1064.78         
27      500         105.83          155.25          -46.91          1069.39         
28      500         118.51          176.89          -70.93          1076.01         
29      500         118.48          179.57          -98.29          1066.69         
30      500         121.19          177.34          -137.64         1073.33         
31      500         125.57          186.51          -70.23          1071.62         
32      500         131.34          203.57          -60.27          1071.15         
33      500         128.14          183.40          -88.63          1162.03         
34      500         136.18          192.04          -64.54          1143.88         
35      500         113.21          163.02          -74.25          1089.62         
36      500         126.35          182.84          -94.19          1097.04         
37      500         130.46          192.79          -87.22          1077.59         
38      500         146.55          219.85          -102.58         1065.01         
39      500         143.10          201.55          -98.34          1107.51         
40      500         147.69          218.03          -108.43         1071.60         
41      500         145.46          217.92          -75.14          1145.15         
42      500         184.84          242.69          -106.69         1125.55         
43      500         167.11          230.52          -59.83          1111.62         
44      500         179.39          253.77          -87.21          1160.30         
45      500         183.88          248.10          -75.30          1182.60         
46      500         191.58          264.44          -100.22         1147.56         
47      500         203.33          257.31          -105.11         1091.09         
48      500         196.76          261.53          -49.14          1069.58         
49      500         204.66          259.09          -57.45          1145.20         
50      500         198.45          258.92          -60.88          1072.99         
51      500         232.99          283.32          -60.83          1360.46         
52      500         240.05          287.66          -81.26          1190.40         
53      500         246.30          287.00          -63.76          1116.33         
54      500         245.66          296.58          -60.89          1078.26         
55      500         280.37          319.24          -93.76          1177.29         
56      500         276.27          302.30          -51.31          1111.44         
57      500         294.81          339.09          -138.29         1117.08         
58      500         305.10          346.42          -103.01         1124.11         
59      500         293.65          334.34          -60.57          1128.75         
60      500         318.71          353.90          -96.72          1144.77         
61      500         284.36          323.97          -63.06          1181.16         
62      500         301.03          345.34          -61.51          1099.17         
63      500         314.02          343.69          -67.48          1144.22         
64      500         361.14          383.85          -61.45          1157.02         
65      500         323.64          358.14          -102.33         1155.45         
66      500         305.51          349.44          -75.50          1078.75         
67      500         287.78          341.72          -89.91          1167.90         
68      500         298.05          347.52          -78.85          1179.88         
69      500         315.78          353.48          -54.31          1176.73         
70      500         351.61          369.86          -58.27          1163.80         
71      500         334.43          359.71          -106.80         1095.42         
72      500         347.05          369.80          -64.95          1171.58         
73      500         339.54          379.98          -57.51          1370.06         
74      500         351.18          371.73          -63.50          1156.97         
75      500         402.43          393.52          -82.22          1179.41         
76      500         369.61          380.48          -78.08          1159.19         
77      500         406.61          397.91          -71.30          1119.69         
78      500         394.44          393.23          -107.00         1131.23         
79      500         418.41          397.61          -56.17          1124.77         
80      500         431.00          409.01          -57.95          1151.05         
81      500         425.50          399.79          -61.58          1120.49         
82      500         461.49          411.66          -76.60          1165.49         
83      500         487.84          413.91          -67.76          1147.69         
84      500         464.26          409.18          -65.07          1164.13         
85      500         544.10          416.09          -37.87          1248.88         
86      500         488.47          423.12          -70.39          1142.23         
87      500         499.19          423.31          -72.25          1232.36         
88      500         551.77          415.93          -59.81          1153.09         
89      500         559.02          424.01          -45.19          1187.65         
90      500         522.69          413.15          -85.76          1158.84         
91      500         546.65          409.62          -51.26          1123.06         
92      500         574.85          426.97          -62.87          1112.21         
93      500         547.76          417.02          -16.51          1153.78         
94      500         536.13          405.43          -64.18          1170.31         
95      500         556.57          424.55          -31.47          1178.02         
96      500         527.95          431.80          -48.54          1179.36         
97      500         504.59          430.09          -48.50          1221.72         
98      500         526.18          430.09          -28.36          1182.09         
99      500         518.48          430.02          -50.52          1307.48         
100     500         541.74          430.08          -44.91          1194.27         
101     500         563.61          419.07          -20.39          1154.73         
102     500         562.55          434.23          -68.97          1221.63         
103     500         532.17          430.69          -27.98          1207.70         
104     500         532.40          432.19          -65.66          1180.11         
105     500         510.44          437.32          -20.23          1203.54         
106     500         538.97          429.31          -33.07          1185.51         
107     500         563.60          436.29          -39.79          1202.66         
108     500         532.33          441.01          -38.83          1238.72         
109     500         562.00          434.00          -14.94          1143.14         
110     500         494.59          442.29          -43.64          1390.05         
111     500         563.15          444.65          -33.65          1157.53         
112     500         532.91          442.52          -42.35          1182.71         
113     500         527.67          443.71          -54.22          1269.56         
114     500         565.63          456.04          -24.90          1267.16         
115     500         556.52          445.64          -49.34          1265.73         
116     500         561.06          452.82          -72.03          1273.72         
117     500         520.24          448.26          -57.59          1237.56         
118     500         552.65          456.06          -43.57          1248.58         
119     500         578.95          456.16          -34.79          1290.58         
120     500         560.51          455.88          -28.16          1228.56         
121     500         573.80          448.19          -52.91          1206.98         
122     500         577.14          464.05          -150.97         1319.84         
123     500         577.76          455.75          -121.62         1211.67         
124     500         603.59          455.43          -101.13         1282.73         
125     500         594.25          459.43          -13.55          1331.64         
126     500         607.18          458.02          -55.27          1295.66         
127     500         562.33          459.75          -43.34          1308.77         
128     500         594.71          458.02          -28.20          1357.71         
129     500         598.91          467.35          -31.22          1259.23         
130     500         650.80          452.54          -83.56          1406.13         
131     500         615.21          459.41          -39.70          1351.49         
132     500         622.89          470.17          -45.64          1336.89         
133     500         616.21          471.10          -56.19          1382.66         
134     500         575.25          461.85          -67.09          1219.09         
135     500         609.44          471.05          -25.63          1401.54         
136     500         597.23          463.49          -84.40          1313.79         
137     500         604.73          465.02          -23.82          1447.12         
138     500         655.15          462.32          -35.25          1473.22         
139     500         644.97          469.41          -30.70          1462.73         
140     500         655.78          462.18          -20.98          1381.02         
141     500         609.50          465.17          -29.47          1348.94         
142     500         669.08          455.79          -26.02          1473.28         
143     500         672.35          463.29          -34.65          1390.85         
144     500         660.28          475.58          -21.94          1356.11         
145     500         740.04          444.28          -35.80          1566.24         
146     500         660.39          472.93          -76.21          1565.58         
147     500         648.83          474.61          -41.93          1520.48         
148     500         637.73          470.86          -35.50          1424.64         
149     500         701.95          465.61          -27.97          1408.55         
150     500         671.45          467.97          -21.10          1663.92         
151     500         703.39          465.51          -40.26          1682.05         
152     500         744.48          452.60          -25.89          1517.51         
153     500         724.42          457.44          -29.76          1511.40         
154     500         677.81          479.47          -72.35          1508.29         
155     500         713.99          469.73          -17.27          1527.92         
156     500         699.72          482.93          -11.90          1447.61         
157     500         743.71          460.92          -25.63          1453.26         
158     500         742.06          461.12          -72.84          1389.76         
159     500         749.55          466.03          -10.54          1603.34         
160     500         767.29          461.84          -40.64          1550.32         
161     500         788.40          457.01          -61.03          1467.11         
162     500         803.80          465.61          -125.83         1497.59         
163     500         762.49          468.83          -48.66          1559.43         
164     500         742.31          479.48          -113.43         1498.60         
165     500         787.14          470.88          -33.85          1549.06         
166     500         807.32          462.13          -84.33          1663.85         
167     500         781.19          469.37          -16.14          1652.35         
168     500         777.77          488.96          -15.07          1650.83         
169     500         826.39          464.44          -23.41          1712.75         
170     500         798.84          478.85          -57.38          1654.81         
171     500         896.17          434.13          -31.32          1738.55         
172     500         831.37          477.75          -63.05          1668.07         
173     500         805.07          501.58          -17.48          1629.60         
174     500         833.42          481.93          -101.35         1782.46         
175     500         809.88          492.39          -131.08         1701.04         
176     500         797.33          503.62          -58.52          1805.47         
177     500         831.41          477.64          -12.56          1946.48         
178     500         810.11          502.00          -74.40          1743.23         
179     500         853.94          483.38          -10.16          1697.36         
180     500         846.61          508.45          -38.45          1793.69         
181     500         856.68          512.20          -94.17          1869.63         
182     500         849.29          525.79          -28.29          1697.13         
183     500         856.91          514.79          -64.61          1870.17         
184     500         765.58          531.64          -42.33          1756.37         
185     500         821.48          541.41          -70.03          1829.92         
186     500         809.26          542.53          -17.61          1803.43         
187     500         841.42          549.95          -98.24          1836.91         
188     500         846.93          544.22          -49.61          1815.98         
189     500         820.34          534.89          -53.85          1844.45         
190     500         872.22          525.08          -53.33          1737.03         
191     500         888.00          536.80          -58.08          1834.68         
192     500         805.88          557.41          -41.38          1932.37         
193     500         856.09          536.66          -34.25          1789.72         
194     500         852.00          537.26          -49.19          1881.59         
195     500         814.22          562.46          -56.67          1809.01         
196     500         820.63          551.16          -50.63          1913.87         
197     500         863.89          532.50          -59.18          1828.96         
198     500         828.72          561.40          -64.62          1931.81         
199     500         825.55          547.36          -61.46          1913.67         
200     500         826.94          543.67          -54.40          1833.95         
201     500         862.09          548.20          -116.63         1853.01         
202     500         856.71          540.09          -61.34          1847.14         
203     500         924.47          531.74          -8.41           2066.37         
204     500         852.80          559.98          -29.24          1914.80         
