environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.002
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 30412.617815971375

Genome Size: 3650
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -4.81           15.27           -84.82          176.61          
1       500         -2.54           24.45           -54.80          274.59          
2       500         -3.41           18.73           -108.61         228.17          
3       500         -3.39           19.35           -61.68          179.50          
4       500         -2.49           21.09           -65.38          277.76          
5       500         -2.04           25.59           -116.58         244.35          
6       500         -1.04           26.68           -60.07          285.76          
7       500         -1.67           23.71           -98.00          228.43          
8       500         0.45            31.48           -107.37         338.83          
9       500         1.41            29.73           -82.02          286.76          
10      500         5.02            34.75           -89.18          327.30          
11      500         5.89            33.60           -101.07         226.49          
12      500         7.30            39.08           -154.39         288.76          
13      500         11.92           49.78           -75.41          396.87          
14      500         19.54           55.69           -104.21         338.53          
15      500         26.89           65.83           -87.14          410.21          
16      500         29.94           71.03           -96.27          494.02          
17      500         34.81           72.89           -89.21          598.11          
18      500         42.75           89.74           -113.47         743.88          
19      500         42.53           81.27           -125.14         485.27          
20      500         51.69           81.49           -184.56         504.56          
21      500         64.64           102.16          -88.31          681.10          
22      500         67.39           104.91          -81.16          857.93          
23      500         83.97           111.95          -94.77          882.79          
24      500         94.12           120.63          -66.53          808.97          
25      500         93.97           132.50          -93.52          1078.18         
26      500         101.78          105.64          -50.31          474.88          
27      500         101.62          116.50          -81.39          696.58          
28      500         108.26          120.70          -112.96         819.55          
29      500         118.73          133.89          -115.99         1030.56         
30      500         120.78          131.51          -143.04         933.16          
31      500         132.23          138.50          -63.12          1044.94         
32      500         130.84          129.07          -125.12         826.79          
33      500         142.70          132.98          -97.41          789.03          
34      500         148.31          135.89          -67.47          1113.72         
35      500         149.03          133.05          -113.16         963.84          
36      500         169.40          141.05          -71.58          1019.43         
37      500         173.66          145.19          -31.57          1090.22         
38      500         171.04          137.71          -61.93          864.37          
39      500         177.37          141.07          -63.40          869.30          
40      500         180.86          141.74          -102.07         1018.24         
41      500         181.44          146.64          -35.14          1071.66         
42      500         183.12          136.77          -78.63          914.69          
43      500         189.58          151.45          -87.88          1072.05         
44      500         201.01          145.91          -84.63          1066.31         
45      500         209.12          148.01          -103.97         1132.78         
46      500         210.95          155.40          -58.18          1088.27         
47      500         199.47          157.16          -41.76          1183.03         
48      500         213.89          154.99          -44.94          1069.68         
49      500         216.06          169.50          -104.61         1035.00         
50      500         217.67          152.73          -56.85          1086.10         
51      500         228.09          165.04          -33.63          1062.89         
52      500         222.94          173.21          -160.57         1008.63         
53      500         236.37          174.00          -53.76          1164.19         
54      500         240.67          175.52          -44.37          1093.32         
55      500         238.59          173.71          -83.61          1032.20         
56      500         239.05          184.29          -32.36          1081.70         
57      500         255.97          186.15          -64.05          1151.02         
58      500         253.13          203.55          -38.97          1242.60         
59      500         272.33          211.73          -62.14          1075.51         
60      500         288.83          218.99          -111.36         1076.43         
61      500         272.69          211.18          -41.49          1060.73         
62      500         295.61          228.98          -35.38          1130.20         
63      500         301.67          242.34          -35.76          1208.93         
64      500         318.09          264.20          -48.79          1089.00         
65      500         331.00          260.10          -109.33         1250.12         
66      500         347.03          272.55          -43.83          1144.63         
67      500         353.38          279.75          -87.03          1120.29         
68      500         365.29          286.27          -39.28          1088.20         
69      500         372.33          285.38          -29.88          1165.56         
70      500         376.11          288.43          -66.04          1062.48         
71      500         399.58          286.92          -41.79          1179.98         
72      500         403.22          300.68          -45.21          1229.86         
73      500         406.30          287.48          -36.07          1120.13         
74      500         414.84          310.38          -38.08          1172.47         
75      500         407.57          317.32          -21.79          1149.69         
76      500         422.58          309.73          -31.33          1153.94         
77      500         461.07          328.26          -18.15          1157.90         
78      500         449.49          318.31          -19.45          1188.20         
79      500         420.72          323.20          -49.42          1212.23         
80      500         460.72          319.60          -65.96          1132.40         
81      500         461.75          324.91          -53.45          1148.12         
82      500         492.37          333.03          -74.80          1116.59         
83      500         520.78          336.28          -43.83          1208.09         
84      500         470.91          332.82          -34.05          1166.56         
85      500         496.87          326.36          -25.36          1150.82         
86      500         551.34          338.77          -31.23          1176.60         
87      500         487.12          336.46          -26.61          1195.14         
88      500         509.18          343.90          -28.52          1141.10         
89      500         557.21          350.53          -4.82           1182.18         
90      500         505.25          344.27          -54.95          1159.36         
91      500         530.99          369.97          -41.68          1227.33         
92      500         549.26          359.53          -23.35          1168.79         
93      500         521.17          359.39          -24.80          1177.63         
