environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.008
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 9701.476258993149

Genome Size: 95
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         18.50           28.08           -0.23           267.68          
1       500         20.50           52.12           -0.45           980.99          
2       500         22.14           51.02           -0.54           983.35          
3       500         23.87           62.39           -0.86           1003.63         
4       500         22.62           30.14           0.27            233.77          
5       500         28.58           73.09           -0.47           1009.53         
6       500         24.91           40.10           0.04            445.44          
7       500         27.08           33.67           0.54            271.04          
8       500         33.21           60.74           -0.20           987.39          
9       500         34.52           82.77           -0.31           1012.68         
10      500         38.08           80.88           -0.46           1023.55         
11      500         40.86           92.79           -0.86           1015.60         
12      500         39.67           97.51           -0.46           1024.55         
13      500         42.05           89.54           -1.43           1024.72         
14      500         44.34           97.90           -1.33           1003.57         
15      500         49.63           107.96          -1.38           1017.94         
16      500         56.14           130.46          -1.38           1025.04         
17      500         56.25           117.18          -1.55           1023.51         
18      500         61.61           133.25          -1.45           1021.62         
19      500         78.72           180.87          -1.97           1041.31         
20      500         77.42           158.55          -1.77           1019.23         
21      500         72.24           150.11          -1.63           1022.11         
22      500         100.01          208.26          -1.66           1023.34         
23      500         78.88           150.36          -1.54           1012.57         
24      500         85.73           166.20          -1.83           1030.85         
25      500         96.28           187.38          -1.57           1026.57         
26      500         95.28           181.95          -1.77           1023.49         
27      500         94.51           188.33          -1.79           1032.35         
28      500         103.95          190.26          -1.75           1021.67         
29      500         132.33          218.53          -1.76           1036.05         
30      500         119.10          203.49          -1.62           1023.87         
31      500         129.80          227.09          -1.86           1036.65         
32      500         121.18          213.79          -1.81           1036.01         
33      500         134.75          219.29          -1.73           1026.31         
34      500         123.84          217.34          -1.82           1024.43         
35      500         109.71          186.14          -1.80           1038.18         
36      500         112.10          187.62          -1.74           1157.66         
37      500         119.97          182.61          -1.78           1026.70         
38      500         117.34          178.40          -1.89           1016.75         
39      500         135.25          192.38          -1.72           1026.92         
40      500         121.01          179.09          -1.71           1020.84         
41      500         121.41          172.06          -1.71           1028.19         
42      500         130.26          168.62          -1.47           1031.34         
43      500         144.15          199.08          -0.72           1026.32         
44      500         150.01          209.95          -1.75           1034.72         
45      500         145.37          201.23          -1.43           1049.79         
46      500         135.81          191.70          -1.51           1043.18         
47      500         162.54          215.96          -1.31           1070.78         
48      500         156.28          204.74          -1.89           1029.32         
49      500         169.71          227.38          -1.66           1030.54         
50      500         159.00          215.92          -1.44           1058.62         
51      500         155.63          216.80          -1.70           1041.95         
52      500         136.67          183.91          -1.57           1025.46         
53      500         155.48          195.85          -1.67           1024.42         
54      500         162.99          207.88          -1.66           1034.82         
55      500         171.48          214.70          -1.61           1088.24         
56      500         190.51          234.62          -0.22           1037.35         
57      500         174.82          229.54          -1.88           1043.73         
58      500         182.02          231.93          -1.43           1045.37         
59      500         186.95          233.50          -1.52           1030.21         
60      500         198.05          237.94          -2.02           1054.75         
