environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.008
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 6527.988573312759

Genome Size: 880
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -5.61           15.18           -24.69          132.67          
1       200         -6.65           14.34           -23.33          103.68          
2       200         -7.31           12.58           -58.09          59.18           
3       200         -7.36           12.63           -40.61          89.83           
4       200         -5.49           13.84           -24.42          80.62           
5       200         -4.15           16.55           -25.29          120.43          
6       200         -4.86           29.72           -241.60         213.44          
7       200         3.42            38.08           -64.35          340.17          
8       200         6.74            33.39           -29.66          183.41          
9       200         7.26            28.71           -37.85          209.97          
10      200         13.82           49.50           -24.79          334.98          
11      200         24.26           63.63           -141.40         560.78          
12      200         35.62           62.79           -148.04         282.98          
13      200         31.86           57.67           -62.76          418.49          
14      200         33.83           61.38           -61.10          374.00          
15      200         51.74           98.86           -57.83          1020.69         
16      200         62.89           99.95           -87.11          897.95          
17      200         66.41           81.25           -77.52          431.84          
18      200         72.89           86.02           -50.05          447.18          
19      200         87.39           111.22          -65.10          1021.20         
20      200         66.14           79.65           -61.62          476.82          
21      200         99.44           106.43          -165.11         513.56          
22      200         85.86           104.76          -71.39          685.56          
23      200         97.06           99.95           -77.85          381.42          
24      200         103.59          100.12          -23.01          459.59          
25      200         146.74          145.47          -31.91          1004.60         
26      200         114.11          109.41          -74.45          430.18          
27      200         107.47          108.12          -50.47          629.71          
28      200         142.99          132.75          -53.87          940.57          
29      200         166.56          154.52          -47.00          971.03          
30      200         171.69          171.99          -115.51         1053.07         
31      200         157.90          155.39          -95.24          933.78          
32      200         152.56          164.36          -78.84          943.46          
33      200         189.49          178.64          -59.66          1070.19         
34      200         198.48          161.04          -42.22          1073.01         
35      200         180.38          175.33          -60.62          1072.32         
36      200         187.57          173.89          -83.87          1022.23         
37      200         195.73          187.80          -64.83          1004.14         
38      200         185.17          212.10          -85.17          1134.75         
39      200         244.71          245.67          -165.85         1059.20         
40      200         247.90          254.62          -78.27          1029.89         
41      200         250.87          268.12          -77.48          1030.64         
42      200         238.12          258.06          -51.14          1061.92         
43      200         283.92          287.46          -31.03          1086.03         
44      200         358.19          334.58          -54.23          1083.39         
45      200         306.48          290.59          -46.07          1053.17         
46      200         344.22          320.74          -17.38          1080.43         
47      200         329.98          304.55          -40.35          1266.34         
48      200         375.63          310.80          -51.98          1074.85         
49      200         363.38          322.88          -62.13          1065.63         
50      200         457.19          345.77          -17.08          1114.82         
51      200         414.14          336.41          -52.27          1034.47         
52      200         478.83          365.84          -41.66          1056.43         
53      200         467.81          362.96          -9.54           1059.02         
54      200         477.01          372.27          -48.02          1140.38         
55      200         606.17          397.31          -35.73          1074.37         
56      200         567.87          403.35          -57.70          1127.24         
57      200         616.17          399.09          -23.86          1104.87         
58      200         582.06          409.01          -36.21          1092.63         
59      200         600.04          399.08          -27.10          1155.86         
60      200         599.95          412.34          -57.24          1080.71         
61      200         609.31          408.02          17.96           1201.02         
62      200         649.56          405.26          -10.78          1136.00         
63      200         617.48          406.30          -24.63          1246.73         
64      200         631.33          415.48          27.35           1097.42         
65      200         581.15          412.65          -15.07          1171.73         
66      200         633.02          419.90          -42.20          1153.25         
67      200         587.55          439.02          23.05           1144.35         
68      200         641.70          419.50          -39.52          1136.77         
69      200         614.36          428.31          -21.11          1487.59         
70      200         603.87          422.90          -26.43          1108.38         
71      200         583.82          438.35          -33.57          1114.25         
72      200         663.77          416.88          -22.90          1107.28         
73      200         645.07          425.90          -26.36          1214.42         
74      200         642.77          428.48          -31.98          1190.25         
75      200         659.20          433.68          -25.25          1097.91         
76      200         669.46          427.53          -10.87          1236.48         
77      200         565.26          431.90          -16.95          1103.99         
78      200         615.44          439.60          -15.09          1134.64         
79      200         666.90          434.69          25.87           1173.87         
80      200         655.85          443.75          -10.10          1177.27         
81      200         593.00          428.73          -12.27          1197.94         
82      200         630.35          431.05          -16.94          1095.32         
83      200         630.04          436.62          39.66           1243.82         
84      200         667.67          436.80          -38.16          1175.47         
85      200         675.37          428.41          -34.67          1179.26         
86      200         706.08          427.72          5.89            1248.71         
87      200         730.23          422.32          -98.10          1114.00         
88      200         733.44          408.92          11.80           1138.42         
89      200         765.27          408.53          32.06           1224.94         
90      200         778.79          400.74          38.53           1161.79         
91      200         791.56          389.91          -14.84          1150.09         
92      200         743.32          426.95          -12.92          1482.93         
93      200         733.75          433.88          -10.47          1139.45         
94      200         773.95          420.67          -18.02          1314.43         
95      200         725.18          434.00          -7.73           1180.35         
96      200         733.34          423.81          -15.14          1258.67         
97      200         663.49          435.88          -69.37          1160.17         
98      200         721.11          421.36          -12.10          1159.40         
99      200         742.02          418.83          -96.43          1212.21         
100     200         716.55          422.95          -62.19          1270.44         
101     200         626.57          447.93          -21.59          1194.37         
102     200         698.94          431.36          -33.27          1364.09         
103     200         743.07          417.95          -18.69          1156.79         
104     200         743.64          426.39          -13.96          1176.94         
105     200         716.85          421.88          -25.10          1200.60         
