environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.008
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 10375.024453639984

Genome Size: 250
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         10.21           17.57           -1.93           156.19          
1       500         8.40            14.61           -2.13           105.01          
2       500         9.80            16.72           -1.91           150.00          
3       500         11.54           20.00           -2.79           211.15          
4       500         9.72            16.79           -1.86           140.07          
5       500         12.22           24.73           -1.98           392.92          
6       500         12.68           17.57           -1.78           114.95          
7       500         13.16           22.05           -2.21           264.40          
8       500         15.32           21.80           -2.47           157.11          
9       500         17.90           23.93           -1.87           237.39          
10      500         22.21           30.75           -2.30           295.87          
11      500         21.35           27.98           -2.08           306.01          
12      500         24.94           26.29           -1.80           201.11          
13      500         27.01           32.25           -1.91           302.23          
14      500         26.90           24.00           -2.44           176.40          
15      500         27.66           27.60           -1.84           190.37          
16      500         30.87           30.98           -1.81           323.78          
17      500         34.33           45.63           -1.85           814.64          
18      500         35.34           38.27           -1.91           403.66          
19      500         37.75           31.94           -1.87           229.59          
20      500         38.13           38.47           -1.74           434.27          
21      500         38.36           39.51           -1.91           381.58          
22      500         45.43           44.08           -2.01           418.63          
23      500         44.09           56.01           -2.00           839.69          
24      500         53.42           77.02           -1.73           1017.44         
25      500         52.84           67.79           -1.96           1013.43         
26      500         55.39           72.87           -1.78           1017.39         
27      500         53.35           83.32           -1.69           1058.05         
28      500         54.69           56.64           -1.58           416.24          
29      500         53.51           70.75           -2.47           980.23          
30      500         60.31           69.89           -1.65           800.04          
31      500         62.90           90.57           -2.06           1004.94         
32      500         61.70           84.45           -1.89           1025.67         
33      500         64.51           93.34           -1.67           1012.55         
34      500         67.02           89.56           -1.71           1023.01         
35      500         69.77           84.51           -2.20           994.48          
36      500         83.23           108.38          -1.61           1016.52         
37      500         98.57           145.44          -1.77           1060.97         
38      500         90.57           118.23          -1.84           970.60          
39      500         83.00           108.87          -1.84           1019.74         
40      500         77.86           94.89           -2.00           1029.29         
41      500         87.08           138.25          -1.87           1022.50         
42      500         82.94           108.37          -1.67           1000.44         
43      500         92.24           123.99          -1.92           1025.93         
44      500         85.83           130.80          -1.63           1024.17         
45      500         94.45           139.33          -1.68           1067.46         
46      500         90.91           117.75          0.34            1026.53         
47      500         89.73           110.17          -1.25           1001.70         
48      500         96.39           120.01          -1.62           1102.63         
49      500         102.07          153.36          -1.98           1059.16         
50      500         105.69          128.40          -1.75           1072.21         
51      500         96.37           110.31          -1.52           942.23          
52      500         102.07          112.38          -1.67           996.54          
53      500         117.99          155.51          -1.47           1027.50         
54      500         107.23          127.46          -1.97           1000.39         
55      500         108.63          130.07          -1.32           1017.17         
56      500         123.64          133.14          -1.62           1009.24         
57      500         132.69          135.89          -1.69           1017.87         
58      500         135.00          160.17          -1.49           1017.29         
59      500         138.69          153.05          -1.64           1150.63         
60      500         157.39          197.25          -1.82           1032.72         
61      500         143.04          163.58          1.08            1017.96         
62      500         149.33          151.83          -1.62           1025.45         
63      500         161.97          182.65          2.04            1038.83         
64      500         164.82          189.53          -1.87           1029.36         
65      500         154.91          175.79          -1.41           1033.14         
66      500         180.54          193.50          -1.77           1027.85         
67      500         186.76          199.96          -1.00           1042.40         
68      500         189.41          225.77          0.31            1101.50         
69      500         200.43          222.51          2.58            1060.06         
70      500         214.94          228.18          -1.35           1047.83         
71      500         211.67          234.29          3.69            1037.48         
72      500         227.88          249.39          0.15            1053.35         
73      500         215.55          235.22          3.23            1041.71         
74      500         225.09          239.79          3.49            1044.51         
75      500         239.23          264.40          3.58            1119.61         
76      500         240.99          252.46          1.79            1048.47         
77      500         238.99          256.37          0.37            1062.76         
78      500         251.02          277.10          0.20            1074.08         
79      500         246.58          249.85          0.71            1037.95         
80      500         221.96          234.24          1.50            1058.96         
81      500         283.31          276.50          1.89            1067.63         
82      500         272.09          282.90          -0.40           1053.05         
83      500         269.05          265.39          4.96            1074.55         
84      500         266.57          254.23          3.95            1055.67         
85      500         276.20          273.54          3.57            1097.23         
86      500         300.10          281.83          6.55            1078.09         
87      500         318.20          302.17          0.29            1084.39         
88      500         316.87          306.80          -0.04           1050.00         
89      500         318.57          282.96          6.19            1153.70         
90      500         328.70          294.04          2.88            1058.11         
91      500         341.62          318.19          0.62            1084.24         
92      500         333.28          305.64          5.87            1068.29         
93      500         355.55          315.54          4.60            1095.52         
94      500         356.09          320.30          2.86            1064.31         
95      500         357.89          322.60          8.13            1064.10         
96      500         376.64          326.10          6.05            1096.70         
97      500         355.45          326.19          -1.52           1124.55         
98      500         387.37          339.97          -1.01           1070.66         
99      500         380.72          333.06          5.31            1091.13         
100     500         375.08          330.50          6.27            1055.25         
101     500         378.15          327.73          4.90            1072.71         
102     500         412.95          336.97          0.72            1124.89         
103     500         395.31          333.06          2.46            1123.21         
104     500         416.73          343.42          6.49            1185.23         
105     500         400.12          338.46          1.07            1158.15         
106     500         418.03          345.97          2.05            1087.97         
107     500         388.70          329.42          1.25            1174.46         
108     500         436.74          353.25          5.62            1182.13         
109     500         450.17          365.84          4.61            1203.35         
