environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.008
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 3309.8686735630035

Genome Size: 155
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -4.32           43.44           -91.32          300.63          
1       100         -5.02           23.59           -27.11          193.14          
2       100         -3.00           17.35           -23.39          97.01           
3       100         8.82            52.70           -30.03          344.57          
4       100         4.86            37.86           -69.60          275.65          
5       100         11.41           57.14           -28.64          471.31          
6       100         20.20           50.50           -26.26          251.77          
7       100         23.82           65.53           -98.97          380.82          
8       100         40.66           69.39           -44.95          393.00          
9       100         68.46           133.23          -86.04          944.46          
10      100         64.60           124.44          -44.62          955.95          
11      100         94.88           114.86          -54.53          591.24          
12      100         76.93           90.69           -79.62          437.09          
13      100         113.52          166.92          -21.02          1038.23         
14      100         118.08          187.84          -57.44          1031.81         
15      100         107.26          154.70          -17.84          1034.57         
16      100         84.32           117.42          -33.71          1004.31         
17      100         100.29          162.46          -42.75          1043.15         
18      100         102.39          160.93          -38.43          995.07          
19      100         82.01           79.87           -137.69         274.70          
20      100         76.82           131.38          -89.74          996.91          
21      100         88.79           119.73          -39.17          1017.87         
22      100         99.31           157.39          -117.02         998.93          
23      100         144.65          224.18          -22.43          1081.42         
24      100         98.29           149.78          -75.83          983.01          
25      100         161.20          218.31          -16.82          1032.64         
26      100         131.06          173.44          -30.23          1007.94         
27      100         158.62          263.81          -58.63          1048.90         
28      100         211.68          286.67          -37.08          1051.07         
29      100         220.95          302.58          -33.18          1065.19         
30      100         245.95          339.22          -62.84          1063.98         
31      100         294.19          358.41          -35.23          1047.65         
32      100         298.55          362.47          -74.01          1075.78         
33      100         374.22          391.69          -43.23          1048.52         
34      100         349.98          359.96          -111.26         1058.21         
35      100         453.24          419.49          -41.14          1064.22         
36      100         536.04          426.09          -8.62           1065.48         
37      100         463.72          429.15          -11.18          1138.14         
38      100         543.38          418.84          -55.08          1068.17         
39      100         471.80          425.93          -40.56          1143.24         
40      100         531.40          438.61          -14.26          1058.44         
41      100         469.70          427.78          -12.74          1065.78         
42      100         623.18          423.32          -15.98          1070.76         
43      100         495.04          429.54          -96.12          1064.62         
44      100         498.44          428.64          -5.44           1070.57         
45      100         497.48          414.16          -0.29           1064.49         
46      100         456.41          429.21          -9.82           1057.16         
47      100         610.99          420.14          -18.35          1069.21         
48      100         644.60          408.22          -27.19          1110.01         
49      100         601.20          446.45          -13.53          1353.85         
50      100         570.56          445.02          -59.20          1069.12         
51      100         601.25          450.93          -72.87          1073.16         
52      100         661.26          437.24          -7.60           1101.19         
53      100         641.29          448.63          -32.06          1072.65         
54      100         618.42          449.26          -20.74          1071.63         
55      100         704.06          423.61          -10.13          1075.34         
56      100         709.09          416.12          -6.19           1120.33         
57      100         718.43          434.97          -30.33          1070.22         
58      100         630.90          446.20          -8.30           1102.69         
59      100         651.69          438.41          -9.78           1153.11         
60      100         664.39          442.76          -32.06          1404.30         
61      100         697.92          434.63          -22.35          1196.70         
