environment: Hopper-v2
neural_network_type: LNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
use_biases: True
number_neurons_layer1: 50
number_neurons_layer2: 50
elapsed_time: 15799.23599743843

Genome Size: 3303
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         17.67           35.68           -2.09           348.28          
1       200         16.78           32.00           -1.76           211.04          
2       200         14.43           21.17           -1.62           170.19          
3       200         17.08           27.17           -1.82           185.94          
4       200         17.00           29.70           -1.31           216.75          
5       200         19.43           33.50           -1.46           210.41          
6       200         23.02           63.97           -1.54           822.00          
7       200         21.75           32.57           -1.90           175.54          
8       200         27.06           44.22           -1.64           404.06          
9       200         28.15           46.65           -2.05           496.04          
10      200         26.73           32.96           -1.60           217.74          
11      200         30.45           34.71           -1.37           171.40          
12      200         32.06           40.67           -1.65           251.38          
13      200         33.19           38.72           -0.84           296.49          
14      200         38.24           47.92           -1.55           477.03          
15      200         46.48           53.79           -1.76           395.52          
16      200         43.62           47.50           -1.64           297.99          
17      200         38.99           48.57           -1.22           375.71          
18      200         48.53           83.53           -1.64           994.29          
19      200         53.94           78.08           -1.21           974.92          
20      200         48.13           42.51           0.28            199.16          
21      200         46.20           44.51           -1.62           261.15          
22      200         45.42           37.86           -1.51           251.25          
23      200         63.23           59.29           -1.79           430.07          
24      200         58.36           83.45           -1.03           1025.25         
25      200         60.55           50.48           -1.73           338.49          
26      200         79.36           141.75          -0.53           1000.49         
27      200         86.36           141.03          -1.03           1024.86         
28      200         83.70           92.13           -0.96           1024.30         
29      200         89.53           132.56          -1.54           1018.01         
30      200         85.43           123.95          -1.74           1017.28         
31      200         85.88           141.09          0.03            1015.79         
32      200         80.51           100.28          1.06            972.51          
33      200         95.32           114.42          -0.81           1005.15         
34      200         101.08          161.33          -1.87           1000.45         
35      200         104.38          137.19          2.43            1021.72         
36      200         139.45          210.45          -0.62           1028.91         
37      200         121.04          181.97          -1.58           1028.98         
38      200         137.60          202.49          1.04            1028.38         
39      200         146.47          177.31          3.56            1020.98         
40      200         154.16          195.67          2.91            1030.48         
41      200         161.78          190.22          3.13            1026.88         
42      200         182.45          223.40          -0.75           1023.90         
43      200         197.83          250.45          -1.22           1025.13         
44      200         204.33          253.17          1.91            1026.38         
45      200         177.53          187.30          2.17            1000.10         
46      200         196.71          242.80          6.59            1020.35         
47      200         200.09          223.78          3.77            1023.87         
48      200         229.88          260.65          7.22            1026.03         
49      200         232.22          263.26          5.93            1034.07         
50      200         270.68          316.01          3.55            1028.07         
51      200         251.66          295.35          2.06            1092.04         
52      200         285.67          320.28          5.10            1027.21         
53      200         321.21          333.76          8.65            1028.24         
54      200         337.59          355.75          8.32            1066.54         
55      200         286.38          339.70          0.69            1044.17         
56      200         408.88          378.46          -0.19           1035.44         
57      200         320.93          346.08          7.51            1028.18         
58      200         366.92          349.43          10.89           1027.61         
59      200         406.41          380.74          4.56            1027.08         
60      200         380.98          363.00          1.60            1027.42         
61      200         438.11          383.25          4.25            1040.32         
62      200         468.93          394.97          -1.41           1028.85         
63      200         468.57          399.47          -1.74           1050.23         
64      200         453.14          395.14          4.11            1082.91         
65      200         483.55          407.92          -1.34           1042.03         
66      200         465.88          406.17          -1.21           1065.21         
67      200         448.46          398.46          10.86           1073.84         
68      200         475.48          411.42          3.94            1053.69         
69      200         487.19          399.50          7.95            1030.59         
70      200         462.90          403.64          5.85            1045.02         
71      200         517.94          411.83          0.76            1056.24         
72      200         469.23          408.87          -1.60           1034.02         
73      200         506.68          412.15          2.09            1028.43         
74      200         549.19          408.51          10.69           1036.00         
75      200         518.62          415.72          0.74            1283.17         
76      200         548.89          401.70          -0.62           1072.27         
77      200         508.89          412.40          4.73            1051.24         
78      200         526.69          420.12          5.90            1073.03         
79      200         556.67          411.83          11.72           1039.51         
80      200         523.90          413.63          -0.91           1061.36         
81      200         551.16          410.03          -0.65           1029.46         
82      200         590.46          422.81          4.05            1052.99         
83      200         542.47          408.74          5.53            1030.44         
84      200         594.24          405.65          5.53            1047.98         
85      200         568.86          414.26          -1.08           1050.64         
86      200         573.01          409.82          0.19            1028.19         
87      200         589.15          405.40          17.32           1038.01         
88      200         597.27          421.24          32.91           1056.65         
89      200         547.36          420.01          6.68            1033.63         
90      200         606.87          422.59          1.29            1039.75         
91      200         576.03          415.35          30.64           1083.56         
92      200         548.16          410.90          26.29           1043.48         
93      200         522.90          414.96          16.46           1034.70         
94      200         590.04          415.00          4.07            1047.46         
95      200         580.39          427.06          8.73            1037.87         
96      200         618.08          408.59          4.43            1066.38         
97      200         530.54          406.16          -1.05           1057.83         
98      200         612.93          419.50          14.68           1035.50         
99      200         636.95          408.81          4.36            1070.69         
100     200         589.10          409.33          30.27           1053.57         
101     200         656.03          401.14          18.73           1074.73         
102     200         606.21          410.86          36.51           1054.70         
103     200         554.36          419.07          15.33           1035.32         
104     200         631.50          413.33          9.18            1057.31         
105     200         610.00          416.68          24.25           1073.16         
106     200         647.31          403.50          9.71            1106.95         
107     200         541.92          422.73          7.16            1045.44         
108     200         609.91          419.00          15.49           1095.65         
109     200         648.89          408.39          16.24           1070.18         
110     200         566.55          414.74          -1.52           1059.39         
111     200         615.74          419.55          15.76           1088.50         
112     200         592.31          408.50          12.89           1062.89         
113     200         579.48          412.38          0.72            1061.61         
114     200         587.76          413.22          14.67           1084.28         
115     200         578.94          423.54          3.62            1116.90         
116     200         658.79          414.29          3.73            1114.91         
117     200         536.25          429.11          17.76           1073.20         
118     200         580.74          429.58          1.25            1078.47         
119     200         616.17          422.97          6.19            1190.38         
120     200         594.71          420.27          19.72           1069.63         
121     200         626.69          425.51          -0.71           1286.10         
122     200         608.88          421.36          10.01           1182.73         
123     200         625.58          420.26          10.16           1104.53         
124     200         599.45          419.18          0.62            1090.94         
125     200         707.47          391.99          8.41            1138.90         
126     200         661.80          414.56          8.37            1097.08         
127     200         618.26          423.94          6.47            1121.43         
128     200         599.31          411.45          20.97           1084.70         
129     200         631.19          431.32          2.11            1049.76         
130     200         683.18          405.92          7.21            1071.24         
131     200         674.50          413.29          2.07            1136.03         
132     200         583.72          426.93          12.38           1090.16         
133     200         631.75          414.75          -0.21           1085.11         
134     200         632.88          417.84          20.58           1108.94         
135     200         633.63          411.70          8.30            1093.82         
136     200         592.66          420.68          14.84           1129.83         
137     200         622.51          420.51          21.99           1125.43         
138     200         597.90          421.19          7.30            1134.74         
139     200         585.89          421.19          -1.11           1163.64         
140     200         614.99          427.21          13.63           1143.71         
141     200         640.43          428.63          1.45            1109.11         
142     200         660.51          415.04          28.19           1372.03         
143     200         567.06          419.10          14.63           1153.49         
144     200         642.80          413.75          5.01            1131.91         
145     200         620.98          424.71          14.73           1136.80         
146     200         712.62          397.60          25.61           1113.23         
147     200         628.11          421.37          5.39            1106.91         
148     200         646.49          411.61          3.19            1250.06         
149     200         659.58          418.87          22.38           1111.05         
150     200         657.57          415.14          34.86           1089.68         
151     200         682.10          404.95          12.61           1178.73         
152     200         627.40          408.95          24.18           1102.48         
153     200         724.64          410.39          16.56           1106.89         
154     200         630.69          426.73          20.40           1270.47         
155     200         566.62          427.27          17.55           1167.23         
156     200         558.10          430.77          20.75           1194.81         
157     200         587.82          444.40          -1.63           1195.29         
158     200         569.04          419.00          27.02           1163.71         
159     200         623.06          427.12          17.52           1185.11         
160     200         581.20          441.16          3.05            1204.74         
161     200         642.50          424.53          19.31           1264.98         
162     200         587.55          440.77          1.01            1366.55         
163     200         580.46          442.18          18.30           1504.65         
164     200         561.30          433.77          0.40            1120.84         
165     200         589.32          422.30          19.33           1098.63         
166     200         606.91          424.37          14.78           1206.46         
167     200         640.66          431.89          11.32           1170.66         
168     200         574.94          448.62          10.34           1150.57         
169     200         617.33          426.80          18.46           1146.99         
170     200         567.61          436.96          7.83            1175.85         
171     200         693.89          430.73          8.32            1148.03         
172     200         591.62          439.36          22.72           1260.55         
173     200         538.73          444.17          0.04            1209.26         
174     200         619.67          457.10          16.27           1199.29         
175     200         519.12          441.22          24.98           1231.82         
176     200         569.15          462.30          1.57            1230.81         
177     200         572.42          442.87          16.95           1190.11         
178     200         567.69          440.25          20.80           1167.87         
179     200         670.67          433.74          18.26           1201.53         
180     200         637.35          444.93          26.83           1252.13         
181     200         598.39          447.88          21.03           1235.07         
182     200         621.93          451.29          20.25           1317.92         
183     200         501.52          443.42          16.88           1193.72         
184     200         586.88          448.27          15.68           1206.82         
185     200         601.15          459.95          12.94           1189.53         
186     200         540.44          445.84          18.82           1230.07         
187     200         598.55          446.64          15.55           1190.26         
188     200         601.66          450.80          19.64           1255.78         
189     200         596.54          456.91          21.79           1391.61         
190     200         552.79          450.09          17.80           1315.21         
191     200         607.08          448.45          6.40            1236.51         
192     200         609.09          460.17          7.56            1284.35         
193     200         667.33          458.55          16.92           1325.46         
194     200         658.68          458.74          17.98           1340.79         
195     200         609.80          459.79          15.89           1344.69         
196     200         549.02          460.84          0.94            1281.64         
197     200         562.84          483.51          5.47            1394.21         
198     200         534.93          456.89          22.03           1261.55         
199     200         592.22          467.10          23.39           1325.05         
200     200         609.32          476.16          18.48           1330.62         
201     200         598.82          469.44          26.55           1325.15         
202     200         687.36          470.76          28.15           1330.51         
203     200         527.53          469.71          23.25           1361.29         
204     200         640.87          480.42          27.95           1326.90         
205     200         517.86          466.86          18.06           1300.26         
206     200         570.68          473.13          14.30           1312.54         
207     200         558.23          480.47          14.36           1440.91         
208     200         616.34          471.83          17.59           1350.83         
