environment: Walker2d-v2
neural_network_type: LNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
use_biases: True
number_neurons_layer1: 50
number_neurons_layer2: 50
elapsed_time: 20147.41211748123

Genome Size: 3756
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -5.37           6.18            -28.34          21.79           
1       200         -4.34           6.42            -18.90          28.18           
2       200         -4.63           7.22            -19.88          25.29           
3       200         -3.73           8.17            -22.11          38.31           
4       200         -2.91           9.61            -20.22          75.25           
5       200         -2.88           8.53            -38.57          35.40           
6       200         -0.90           17.85           -18.46          214.10          
7       200         -2.42           8.46            -59.69          33.67           
8       200         1.51            20.67           -18.61          215.87          
9       200         -0.47           10.00           -19.50          49.88           
10      200         -1.43           15.52           -142.47         49.88           
11      200         3.27            19.87           -30.26          150.72          
12      200         4.25            24.79           -68.94          240.84          
13      200         8.86            33.21           -49.09          209.38          
14      200         11.39           38.55           -14.85          317.28          
15      200         10.59           37.49           -69.55          252.82          
16      200         20.00           78.14           -82.03          800.28          
17      200         16.46           55.81           -147.55         474.43          
18      200         23.25           62.28           -76.48          338.03          
19      200         38.61           78.87           -85.73          383.07          
20      200         37.00           67.15           -68.78          365.97          
21      200         57.24           104.74          -65.37          565.73          
22      200         52.75           93.45           -97.65          437.44          
23      200         68.43           113.86          -65.58          774.81          
24      200         91.07           134.40          -160.60         977.34          
25      200         76.60           109.97          -74.15          661.50          
26      200         89.15           126.59          -113.85         582.47          
27      200         112.93          148.06          -73.87          1022.16         
28      200         120.89          148.73          -96.49          986.42          
29      200         129.61          143.62          -326.42         754.43          
30      200         124.41          134.66          -80.48          685.18          
31      200         151.65          143.76          -82.81          596.10          
32      200         145.07          142.98          -79.45          775.63          
33      200         174.36          157.65          -188.78         994.95          
34      200         171.31          151.36          -217.34         918.29          
35      200         198.56          155.09          -92.90          887.44          
36      200         194.82          177.52          -174.58         982.91          
37      200         216.61          168.94          -38.98          963.91          
38      200         224.63          171.92          -42.16          965.70          
39      200         207.79          173.60          -58.47          1014.66         
40      200         214.06          185.99          -49.34          1012.61         
41      200         227.66          185.16          -65.80          1073.32         
42      200         221.92          175.08          -40.03          1123.62         
43      200         225.73          158.90          -66.28          800.82          
44      200         236.59          186.26          -36.48          1018.18         
45      200         268.18          231.87          -134.02         1140.45         
46      200         254.43          186.09          -23.21          1029.59         
47      200         313.56          222.55          -22.64          1108.02         
48      200         257.27          205.62          -41.19          990.17          
49      200         254.73          218.17          -88.88          1180.48         
50      200         255.08          214.47          -55.21          1084.41         
51      200         266.73          219.16          -28.60          1052.95         
52      200         292.01          226.13          -10.03          1024.94         
53      200         291.66          227.87          -56.89          1135.02         
54      200         294.76          250.90          -50.97          1158.49         
55      200         296.52          236.16          -6.01           1063.30         
56      200         322.10          254.95          -12.31          1157.82         
57      200         316.79          229.94          -32.62          1112.10         
58      200         316.19          267.36          -24.33          1086.61         
59      200         328.92          271.49          -26.50          1152.15         
60      200         340.02          260.28          -1.54           1095.18         
61      200         345.40          265.89          -2.95           1071.74         
62      200         334.74          253.37          -19.78          1097.29         
63      200         397.91          300.94          -39.52          1049.20         
64      200         382.74          287.46          -18.30          1111.37         
65      200         394.00          321.86          -17.89          1176.40         
66      200         364.13          293.07          -17.49          1081.21         
67      200         455.00          327.11          -25.17          1115.56         
68      200         489.73          342.62          -88.11          1073.90         
69      200         433.77          321.83          -8.61           1097.02         
70      200         459.60          352.92          -14.18          1126.49         
71      200         495.92          350.91          -21.53          1087.10         
72      200         520.19          361.58          -15.29          1111.34         
73      200         473.18          355.58          -19.15          1126.15         
74      200         553.51          371.25          -51.26          1129.55         
75      200         542.69          363.82          -61.52          1173.26         
76      200         524.84          374.81          -52.09          1110.84         
77      200         587.23          372.54          -14.57          1160.79         
