experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 1282.8365409374237

Genome Size: 880
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -648.28         281.80          -2386.94        -339.86         
1       100         -575.76         148.10          -950.44         143.70          
2       100         -588.47         142.36          -1233.35        -327.86         
3       100         -583.87         167.88          -1081.88        -62.78          
4       100         -587.65         131.78          -998.05         -280.24         
5       100         -543.63         166.04          -1070.54        -136.36         
6       100         -569.68         169.76          -1357.14        -112.18         
7       100         -552.26         132.00          -1017.85        -201.32         
8       100         -575.36         171.27          -1581.48        -111.97         
9       100         -591.74         186.90          -1480.82        -227.87         
10      100         -560.75         185.58          -1179.07        434.52          
11      100         -556.77         141.77          -1063.13        -98.71          
12      100         -578.27         214.56          -2002.55        -27.62          
13      100         -572.80         163.07          -1336.09        -224.97         
14      100         -570.30         269.85          -2398.40        -109.46         
15      100         -526.74         165.05          -1341.47        -164.55         
16      100         -527.03         198.24          -1089.12        173.05          
17      100         -509.33         170.78          -1235.09        64.74           
18      100         -514.66         193.99          -1451.60        -29.10          
19      100         -492.77         264.23          -2249.47        137.76          
20      100         -449.95         177.81          -1141.55        100.11          
21      100         -374.77         164.65          -717.02         127.53          
22      100         -333.88         213.33          -1100.94        153.26          
23      100         -337.35         185.83          -908.86         64.80           
24      100         -279.68         221.38          -873.85         349.93          
25      100         -263.50         235.81          -797.04         260.56          
26      100         -194.79         236.15          -987.17         412.38          
27      100         -141.84         251.49          -683.23         753.06          
28      100         -143.41         233.21          -631.34         583.36          
29      100         -100.89         241.19          -798.86         368.88          
30      100         -106.91         246.35          -1071.77        302.14          
31      100         -28.48          234.96          -790.06         390.30          
32      100         -33.54          223.09          -1018.43        446.31          
33      100         9.50            236.67          -771.29         503.44          
34      100         10.49           268.77          -780.75         531.00          
35      100         31.73           233.59          -745.73         558.96          
36      100         15.25           283.80          -834.84         513.93          
37      100         42.74           310.16          -1237.70        539.79          
38      100         -14.96          278.10          -950.35         392.67          
39      100         77.13           282.11          -1127.03        685.63          
40      100         96.37           263.99          -946.72         576.88          
41      100         86.52           257.97          -815.82         517.91          
42      100         76.65           323.99          -1452.09        646.54          
43      100         99.70           288.20          -788.06         726.45          
44      100         59.66           352.31          -1432.22        720.96          
45      100         112.85          281.18          -722.02         533.32          
46      100         140.95          256.12          -985.87         660.23          
47      100         66.58           336.62          -1450.55        629.81          
48      100         105.55          288.36          -941.82         555.38          
49      100         73.12           308.73          -591.52         772.44          
50      100         20.53           332.54          -1214.05        803.66          
51      100         137.56          327.91          -1583.17        779.23          
52      100         127.09          345.53          -1757.70        663.37          
53      100         119.98          330.36          -1046.56        605.20          
54      100         85.34           347.94          -1667.00        707.31          
55      100         92.14           372.52          -964.02         793.03          
56      100         197.78          330.57          -1553.06        773.83          
57      100         277.08          268.00          -1047.51        828.56          
58      100         218.97          350.31          -822.50         792.20          
59      100         266.52          263.92          -815.15         806.07          
60      100         202.00          371.14          -1409.39        792.28          
61      100         294.20          443.71          -1621.25        838.94          
62      100         307.07          403.10          -1297.42        1152.65         
63      100         293.85          356.84          -1162.89        899.06          
64      100         339.61          399.38          -1084.49        895.18          
65      100         382.24          376.25          -1081.39        921.08          
66      100         403.64          385.24          -1213.25        954.77          
67      100         429.25          397.88          -1189.79        925.62          
68      100         447.24          426.67          -1184.61        1241.07         
69      100         489.77          384.95          -1071.25        992.50          
70      100         513.90          330.78          -912.65         1102.69         
71      100         527.28          341.55          -840.02         1108.66         
72      100         466.94          497.22          -1260.65        1006.27         
73      100         467.93          363.35          -1258.91        1119.93         
74      100         416.51          469.03          -1736.49        977.06          
75      100         522.22          480.91          -2007.20        1271.79         
76      100         519.36          372.95          -734.09         999.51          
77      100         547.62          321.41          -603.82         959.80          
78      100         541.25          348.89          -635.98         1254.14         
79      100         566.71          417.13          -1373.10        1063.03         
80      100         628.78          284.91          -607.42         1264.88         
81      100         621.08          343.78          -567.28         1293.59         
82      100         517.16          417.47          -1278.82        1080.44         
83      100         588.22          365.64          -684.27         1211.37         
84      100         623.76          316.45          -307.19         1168.25         
85      100         518.15          464.90          -1219.03        1531.19         
86      100         555.34          376.21          -705.87         1398.74         
87      100         594.07          402.68          -1453.19        1315.09         
88      100         592.64          423.92          -1316.29        1190.23         
