experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 13458.22490310669

Genome Size: 3300
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         16.67           22.46           -0.41           200.53          
1       500         18.05           22.57           -0.63           203.17          
2       500         18.76           22.69           -0.81           186.64          
3       500         19.65           22.05           -0.59           163.02          
4       500         19.99           23.04           0.43            169.88          
5       500         20.22           25.47           -0.83           189.38          
6       500         22.03           25.90           -0.14           207.10          
7       500         25.08           25.03           0.19            149.87          
8       500         25.29           27.29           -0.56           252.23          
9       500         27.99           28.33           0.13            201.67          
10      500         27.57           27.20           0.02            196.51          
11      500         30.72           28.95           0.71            212.10          
12      500         30.81           27.84           0.19            237.27          
13      500         35.78           38.18           0.34            451.97          
14      500         34.99           26.60           0.08            171.47          
15      500         36.47           33.70           1.94            445.69          
16      500         38.63           32.21           1.68            195.97          
17      500         39.76           32.40           1.28            202.41          
18      500         42.54           33.93           1.58            200.79          
19      500         45.68           39.26           1.24            349.48          
20      500         46.74           38.81           0.53            391.60          
21      500         51.52           40.39           2.37            334.28          
22      500         51.64           41.63           0.30            373.15          
23      500         55.00           44.15           2.33            320.79          
24      500         58.11           46.67           1.53            356.50          
25      500         62.18           68.27           0.91            1003.88         
26      500         62.34           57.67           2.87            706.61          
27      500         64.45           73.05           1.53            991.87          
28      500         59.75           43.43           3.16            399.18          
29      500         65.96           56.39           1.51            487.50          
30      500         65.93           50.25           1.57            424.09          
31      500         69.79           74.02           2.24            1018.58         
32      500         69.85           62.67           1.76            520.17          
33      500         72.45           59.55           4.28            454.61          
34      500         75.46           69.45           4.69            947.17          
35      500         77.41           66.09           2.27            627.25          
36      500         86.34           86.87           4.47            982.05          
37      500         87.05           93.74           2.32            1022.24         
38      500         85.77           75.74           4.17            682.19          
39      500         97.58           100.53          3.36            1018.84         
40      500         95.29           95.98           5.28            995.71          
41      500         95.13           93.53           4.48            1005.46         
42      500         105.62          129.17          6.13            1017.69         
43      500         103.94          105.30          5.31            978.43          
44      500         114.62          140.52          1.90            1010.10         
45      500         110.24          119.02          3.18            1019.39         
46      500         105.15          105.12          5.55            1013.89         
47      500         109.99          118.47          3.83            1031.60         
48      500         114.39          120.36          3.89            1003.31         
49      500         122.09          138.64          4.01            1027.37         
50      500         132.24          148.85          5.93            1010.85         
51      500         127.09          135.32          3.13            1014.28         
52      500         134.58          149.81          4.06            1016.75         
53      500         135.36          139.24          3.36            1073.91         
54      500         142.72          153.09          6.39            1020.24         
55      500         141.72          152.43          3.44            1013.23         
56      500         153.10          171.53          8.32            1026.95         
57      500         143.96          148.66          2.28            1012.57         
58      500         149.02          164.54          2.11            1016.71         
59      500         172.07          194.39          4.30            1016.54         
60      500         168.22          179.51          4.99            1026.08         
61      500         156.54          173.38          7.79            1035.27         
62      500         176.73          185.31          6.12            1033.46         
63      500         182.47          203.37          6.78            1019.64         
64      500         189.34          205.43          9.08            1046.39         
65      500         163.04          173.18          6.07            1020.83         
66      500         202.01          224.59          7.00            1122.41         
67      500         203.91          224.27          9.53            1023.05         
68      500         187.20          196.31          5.82            1033.14         
69      500         194.18          198.20          3.65            1024.78         
70      500         219.75          235.63          4.85            1022.85         
71      500         215.90          231.59          6.47            1039.09         
72      500         206.56          220.00          6.10            1055.01         
73      500         216.58          238.85          5.97            1036.48         
74      500         204.53          213.62          6.51            1020.58         
75      500         206.27          222.52          8.30            1023.74         
76      500         212.16          230.06          5.37            1041.84         
77      500         204.07          208.95          8.24            1022.20         
78      500         223.09          236.57          9.05            1086.55         
79      500         216.18          229.84          6.90            1025.19         
80      500         245.68          256.76          6.34            1050.14         
81      500         233.08          240.92          12.61           1057.02         
82      500         246.67          246.05          9.52            1072.01         
83      500         233.22          240.74          8.03            1043.14         
84      500         252.25          263.67          11.44           1057.56         
85      500         264.78          265.75          6.25            1022.94         
86      500         279.75          271.26          5.41            1067.81         
87      500         257.06          249.72          12.40           1040.87         
88      500         288.51          290.96          9.01            1027.95         
89      500         267.41          266.07          9.04            1021.33         
90      500         271.44          271.59          10.64           1032.50         
91      500         289.78          295.67          8.58            1024.89         
92      500         282.02          286.42          10.56           1048.84         
93      500         310.85          295.53          6.73            1028.62         
94      500         315.51          306.41          9.06            1022.30         
95      500         331.12          317.59          11.92           1025.87         
96      500         333.24          306.23          11.71           1057.34         
97      500         336.26          322.52          11.69           1039.49         
98      500         332.04          312.35          8.68            1022.83         
99      500         359.90          337.64          7.28            1041.30         
100     500         327.68          315.97          6.28            1028.93         
101     500         368.96          334.84          15.35           1056.46         
102     500         354.47          324.54          13.01           1041.87         
103     500         353.81          322.06          5.72            1054.14         
104     500         380.73          329.40          8.78            1032.04         
105     500         353.39          325.94          8.53            1050.82         
106     500         389.06          337.34          13.42           1053.64         
107     500         391.04          345.12          9.74            1047.06         
108     500         397.68          346.12          18.43           1045.76         
109     500         390.92          351.63          10.81           1050.32         
110     500         394.38          339.10          27.78           1044.18         
111     500         402.66          340.72          9.00            1082.71         
112     500         403.37          343.76          10.44           1035.01         
113     500         401.69          345.43          15.37           1129.77         
114     500         409.30          335.88          10.29           1036.75         
115     500         422.23          344.53          15.96           1032.35         
116     500         432.92          354.09          27.22           1040.38         
117     500         439.19          348.77          14.45           1038.19         
118     500         457.34          358.55          18.83           1033.14         
119     500         446.04          358.37          9.10            1040.26         
120     500         414.29          342.49          24.53           1086.61         
121     500         436.16          350.48          28.31           1040.31         
122     500         458.07          345.54          20.74           1108.53         
123     500         431.06          354.56          14.77           1024.89         
124     500         487.21          365.59          33.58           1041.29         
125     500         462.77          352.57          27.06           1033.95         
126     500         439.52          352.43          16.66           1030.91         
127     500         486.51          363.76          21.09           1039.84         
128     500         487.77          370.53          26.83           1025.90         
129     500         469.16          360.68          20.86           1033.95         
130     500         477.00          360.28          29.81           1108.54         
131     500         502.40          370.78          20.72           1033.18         
