experiment_id: 1
environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 11801.918982744217

Genome Size: 3700
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -8.19           6.32            -22.49          23.16           
1       200         -7.50           6.70            -23.31          38.23           
2       200         -7.60           5.97            -22.67          14.82           
3       200         -6.43           7.97            -21.87          34.11           
4       200         -5.87           6.66            -24.77          25.27           
5       200         -5.58           11.35           -20.91          94.42           
6       200         -6.12           8.46            -24.12          63.68           
7       200         -5.01           9.08            -20.37          67.14           
8       200         -5.55           7.12            -20.70          28.01           
9       200         -3.58           16.45           -21.47          196.57          
10      200         -2.62           11.28           -28.52          71.53           
11      200         -2.47           10.36           -21.30          57.74           
12      200         -0.59           15.85           -19.82          131.89          
13      200         -0.60           13.13           -45.06          86.40           
14      200         1.73            17.96           -22.98          162.14          
15      200         4.24            18.28           -38.22          160.85          
16      200         7.30            27.96           -30.10          210.35          
17      200         5.88            22.30           -61.83          174.45          
18      200         12.86           37.21           -56.72          224.96          
19      200         14.51           46.61           -100.50         453.84          
20      200         17.83           45.19           -64.95          351.80          
21      200         21.33           44.86           -74.20          269.69          
22      200         30.39           57.92           -40.14          355.17          
23      200         38.88           55.81           -49.94          274.22          
24      200         37.17           59.90           -127.76         250.31          
25      200         37.86           58.99           -138.44         279.31          
26      200         36.72           64.71           -82.43          331.24          
27      200         54.75           78.43           -117.59         367.03          
28      200         57.75           79.11           -60.27          325.80          
29      200         70.41           91.93           -222.32         499.54          
30      200         63.61           77.98           -74.28          388.96          
31      200         73.55           91.59           -111.58         395.12          
32      200         86.47           100.48          -104.41         625.40          
33      200         107.09          100.73          -71.82          377.94          
34      200         134.44          122.67          -75.57          569.52          
