experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 16094.763951778412

Genome Size: 3800
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -617.81         122.86          -1380.00        -166.19         
1       500         -616.40         111.49          -1282.81        -61.86          
2       500         -614.34         118.35          -1148.60        289.20          
3       500         -615.67         111.06          -1208.13        -116.47         
4       500         -611.74         107.59          -1230.85        -70.27          
5       500         -606.11         116.93          -1490.06        -142.56         
6       500         -601.12         102.94          -1023.41        -196.94         
7       500         -615.52         115.34          -1321.30        -248.76         
8       500         -612.13         101.53          -1023.64        -195.51         
9       500         -603.53         113.23          -1095.83        47.65           
10      500         -612.45         126.42          -2063.28        36.30           
11      500         -618.11         110.34          -1125.26        -268.95         
12      500         -605.09         125.32          -2062.72        -23.79          
13      500         -609.56         108.11          -1332.82        -141.91         
14      500         -597.13         122.32          -1255.94        173.46          
15      500         -596.14         122.32          -1702.46        -59.22          
16      500         -602.75         162.11          -2871.18        442.92          
17      500         -605.97         107.65          -1304.05        -139.47         
18      500         -609.10         140.65          -1832.03        279.37          
19      500         -610.90         122.68          -1153.54        794.56          
20      500         -603.54         117.94          -1180.48        10.13           
21      500         -607.55         124.99          -1473.10        14.05           
22      500         -600.42         116.31          -1094.81        -85.47          
23      500         -607.19         135.47          -1522.79        -36.00          
24      500         -600.29         136.90          -1339.54        368.56          
25      500         -598.65         143.45          -1428.80        264.68          
26      500         -592.47         118.30          -1413.15        -146.29         
27      500         -598.21         124.53          -1246.76        -97.72          
28      500         -589.77         122.05          -1288.56        -61.22          
29      500         -591.95         124.54          -1188.71        91.16           
30      500         -580.53         153.85          -1566.90        358.23          
31      500         -600.75         143.21          -1353.56        586.44          
32      500         -589.51         147.70          -1906.27        25.53           
33      500         -595.75         152.46          -1432.02        200.10          
34      500         -592.44         143.96          -1332.88        -59.55          
35      500         -583.91         147.68          -1357.61        110.59          
36      500         -590.79         157.33          -1484.98        131.93          
37      500         -576.71         153.00          -1491.29        40.09           
38      500         -570.73         167.36          -1451.79        805.77          
39      500         -569.45         166.70          -1555.15        473.68          
40      500         -569.89         163.52          -1390.14        303.02          
41      500         -567.86         180.68          -2105.77        99.92           
42      500         -557.85         181.78          -1617.42        227.12          
43      500         -541.73         205.82          -1752.00        649.04          
44      500         -548.56         187.97          -1316.54        767.57          
45      500         -541.43         193.35          -1867.26        393.47          
46      500         -525.76         229.55          -2284.13        523.13          
47      500         -507.05         212.23          -1446.33        338.45          
48      500         -487.78         240.80          -1524.49        723.06          
49      500         -473.41         245.74          -1826.00        570.50          
50      500         -469.18         282.80          -2049.47        1353.81         
51      500         -436.05         248.30          -1084.09        897.60          
52      500         -411.89         272.06          -1455.43        902.85          
53      500         -396.41         299.97          -1565.21        887.27          
54      500         -375.00         286.86          -1173.82        1036.82         
55      500         -308.78         316.85          -1315.13        1062.35         
56      500         -326.02         327.86          -1486.74        1056.33         
57      500         -294.99         313.17          -1077.46        884.14          
58      500         -238.39         339.70          -1238.27        984.94          
59      500         -179.80         371.92          -1510.25        1277.57         
60      500         -171.53         384.04          -1955.59        1254.22         
61      500         -125.40         410.44          -1811.20        1687.55         
62      500         -78.37          390.84          -1138.70        1073.27         
63      500         -59.42          386.55          -990.88         1249.18         
64      500         -34.21          398.57          -1350.35        1110.38         
65      500         45.68           422.27          -950.69         1570.63         
66      500         88.10           423.69          -750.03         1357.27         
67      500         101.27          411.88          -1218.00        1412.39         
68      500         171.39          449.04          -896.93         1445.44         
69      500         268.20          455.58          -1526.91        1431.33         
70      500         338.53          462.19          -992.61         1470.27         
71      500         416.52          462.40          -1219.72        1441.87         
72      500         507.99          471.06          -1537.22        1746.83         
73      500         550.93          471.48          -815.22         1463.42         
74      500         612.33          464.80          -964.80         1435.78         
75      500         631.13          512.09          -1712.81        1489.73         
76      500         699.00          472.44          -921.84         1487.24         
77      500         773.75          447.08          -1222.59        1495.54         
78      500         784.53          510.15          -1630.19        1541.35         
79      500         846.75          562.65          -1995.02        1545.26         
80      500         885.44          597.77          -1882.88        1504.52         
81      500         939.47          607.21          -1763.12        1518.58         
82      500         1015.64         611.28          -1563.87        1526.33         
