experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 1842.7911713123322

Genome Size: 680
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         11.57           19.42           -1.59           134.59          
1       200         10.95           20.00           -1.54           199.18          
2       200         11.41           16.28           -1.39           134.89          
3       200         14.99           28.96           -1.52           227.95          
4       200         13.89           19.07           -1.23           132.82          
5       200         21.71           27.10           -1.45           185.87          
6       200         25.16           71.75           -1.32           978.02          
7       200         25.93           29.41           -1.28           171.08          
8       200         30.07           31.05           -0.73           184.74          
9       200         34.68           30.58           -0.37           181.36          
10      200         44.36           47.69           -1.29           453.82          
11      200         50.52           47.43           -1.07           219.68          
12      200         54.93           46.53           -1.64           328.33          
13      200         54.82           41.03           0.81            205.66          
14      200         61.70           51.77           0.68            265.56          
15      200         63.41           58.90           0.39            350.88          
16      200         62.21           51.86           2.26            277.94          
17      200         59.67           51.01           -1.39           309.38          
18      200         82.44           90.71           -0.02           997.07          
19      200         78.27           61.26           3.47            291.00          
20      200         78.69           69.09           -1.66           450.42          
21      200         79.49           67.20           2.63            311.15          
22      200         94.30           80.34           0.80            463.15          
23      200         88.84           75.36           -1.17           562.28          
24      200         95.66           84.52           0.61            584.96          
25      200         121.75          106.55          3.59            902.24          
26      200         116.62          93.99           2.00            510.88          
27      200         114.72          90.62           0.30            583.92          
28      200         107.93          96.29           0.51            806.65          
29      200         117.86          133.54          -0.57           1003.68         
30      200         132.10          125.55          1.01            1003.86         
31      200         128.11          112.62          -1.23           847.40          
32      200         126.51          97.34           -0.10           517.33          
33      200         136.50          124.83          0.05            989.71          
34      200         146.40          118.23          5.30            992.79          
35      200         162.00          142.76          1.67            1035.00         
36      200         138.63          128.21          4.31            982.60          
37      200         148.49          132.49          -0.17           1010.66         
38      200         154.31          121.22          6.29            648.31          
39      200         144.81          104.83          1.49            584.30          
40      200         173.18          154.74          -0.54           1002.06         
41      200         179.62          166.99          3.73            1039.74         
42      200         175.90          154.81          3.69            1024.05         
43      200         172.63          163.26          5.38            1027.37         
44      200         164.84          139.11          3.18            997.57          
45      200         181.46          158.19          6.61            1057.05         
46      200         203.23          179.59          4.43            1008.99         
47      200         226.05          184.53          -1.45           1044.74         
48      200         210.15          197.06          7.54            1017.74         
49      200         208.96          181.87          -0.95           990.71          
50      200         208.18          178.50          -0.68           1025.70         
51      200         224.33          180.97          4.42            1056.70         
52      200         241.99          185.20          5.67            1013.03         
53      200         239.67          224.57          8.27            1048.77         
54      200         243.94          206.80          5.34            1039.15         
55      200         248.04          235.32          6.55            1117.69         
56      200         261.21          242.77          -1.30           1108.86         
57      200         257.68          226.12          1.01            1051.53         
58      200         267.36          236.34          8.47            1037.65         
59      200         262.83          234.32          8.35            1037.05         
60      200         281.49          243.13          7.65            1101.08         
61      200         301.84          247.00          6.24            1033.21         
62      200         288.68          239.04          7.77            1053.46         
63      200         276.16          250.21          9.10            1064.45         
64      200         287.68          251.32          7.79            1033.94         
65      200         324.95          276.72          9.44            1088.24         
66      200         318.34          283.25          21.93           1042.91         
67      200         318.91          270.74          15.16           1058.23         
68      200         344.86          275.87          9.73            1050.70         
69      200         353.24          304.36          10.91           1121.12         
70      200         358.53          309.74          16.54           1046.60         
71      200         414.82          324.27          7.54            1057.57         
72      200         359.18          316.40          9.15            1085.74         
73      200         402.90          307.74          9.59            1065.05         
74      200         386.40          298.91          36.84           1042.56         
75      200         433.77          326.64          21.19           1150.37         
76      200         469.85          346.48          14.25           1042.89         
77      200         461.67          348.09          15.71           1069.90         
78      200         476.29          351.00          13.00           1106.59         
79      200         499.05          360.77          21.42           1162.17         
80      200         435.90          352.74          14.24           1112.05         
81      200         443.23          340.75          17.61           1059.05         
82      200         512.76          371.55          20.00           1044.01         
83      200         541.38          358.79          25.32           1142.76         
84      200         479.37          348.99          11.95           1073.22         
85      200         482.21          358.09          31.56           1154.02         
86      200         506.04          358.66          15.15           1060.51         
87      200         513.73          355.69          13.29           1188.18         
88      200         519.61          355.97          29.23           1106.76         
89      200         555.78          373.04          17.41           1056.11         
90      200         574.71          369.42          10.78           1103.11         
91      200         494.17          345.96          31.75           1066.92         
92      200         517.95          361.88          34.46           1154.99         
93      200         492.25          363.44          17.73           1090.81         
94      200         548.51          377.31          31.73           1160.92         
95      200         557.02          374.95          18.33           1132.32         
96      200         563.49          374.29          7.62            1077.60         
97      200         542.55          364.04          27.19           1099.25         
98      200         512.95          356.64          21.06           1140.84         
99      200         557.56          348.65          28.39           1119.20         
100     200         573.12          363.13          10.41           1155.61         
101     200         538.37          345.09          18.83           1111.93         
102     200         600.09          374.56          22.94           1107.08         
103     200         622.34          358.53          10.01           1073.91         
104     200         573.35          357.53          42.05           1085.89         
105     200         587.74          365.94          25.45           1186.66         
106     200         641.39          351.48          22.52           1201.48         
107     200         621.78          365.95          22.60           1141.52         
108     200         619.04          360.52          62.40           1131.16         
109     200         598.55          364.10          22.45           1150.51         
110     200         673.67          363.82          39.18           1148.08         
111     200         648.31          350.39          25.50           1150.91         
112     200         675.23          350.53          19.71           1171.31         
113     200         647.01          346.83          22.97           1136.05         
114     200         625.64          355.92          10.81           1229.41         
115     200         639.43          359.70          30.09           1113.55         
116     200         624.10          363.78          20.75           1120.23         
117     200         624.51          344.34          32.63           1092.36         
118     200         680.31          365.75          6.48            1133.37         
119     200         641.13          361.86          34.39           1129.70         
120     200         624.62          357.34          25.87           1108.41         
121     200         668.33          347.05          22.22           1132.19         
122     200         691.53          378.32          23.94           1135.94         
123     200         666.82          361.19          31.85           1173.63         
124     200         642.66          356.59          36.50           1144.85         
125     200         631.29          355.40          28.37           1126.61         
126     200         665.84          359.15          22.66           1133.08         
127     200         675.26          356.68          45.67           1185.99         
128     200         667.38          365.93          6.72            1153.07         
129     200         660.09          370.45          17.86           1121.98         
130     200         647.34          365.37          28.67           1201.40         
131     200         726.76          355.50          27.75           1190.50         
132     200         738.23          365.44          30.09           1165.47         
133     200         721.66          361.04          17.58           1198.06         
134     200         657.19          368.35          12.74           1147.43         
135     200         634.26          371.63          18.04           1207.54         
136     200         691.66          349.02          48.89           1193.78         
137     200         726.06          349.63          30.62           1217.41         
138     200         706.54          356.64          39.23           1215.05         
139     200         680.11          353.88          37.83           1198.60         
140     200         642.48          379.32          18.16           1206.17         
141     200         659.90          389.29          32.13           1173.59         
142     200         672.74          369.00          11.20           1208.37         
143     200         703.33          357.35          60.74           1211.00         
144     200         677.48          372.99          30.32           1225.07         
145     200         772.38          350.78          34.76           1160.32         
146     200         695.11          359.46          29.90           1289.29         
147     200         773.90          350.20          25.04           1218.99         
148     200         716.17          365.44          45.97           1148.74         
149     200         787.38          351.88          53.14           1314.33         
150     200         742.37          347.23          35.11           1264.47         
151     200         741.38          372.04          14.86           1218.58         
152     200         781.99          348.53          24.27           1519.04         
153     200         782.99          350.47          34.08           1247.57         
154     200         779.49          352.48          52.54           1274.28         
155     200         774.08          331.52          87.44           1214.88         
156     200         753.44          362.81          41.79           1285.33         
157     200         780.98          346.77          20.45           1295.62         
158     200         758.92          378.67          18.79           1238.00         
159     200         746.00          369.48          45.87           1335.62         
160     200         732.90          363.70          73.83           1326.13         
161     200         688.74          360.10          27.94           1260.65         
162     200         749.14          368.01          76.48           1244.61         
163     200         758.55          372.78          46.06           1402.78         
164     200         679.60          375.09          81.10           1270.25         
165     200         718.42          365.03          18.54           1266.71         
166     200         755.31          364.43          41.17           1345.25         
167     200         740.90          372.45          40.14           1266.34         
168     200         734.16          363.74          44.22           1275.63         
169     200         717.60          363.24          17.14           1292.83         
170     200         761.30          363.93          27.98           1423.78         
171     200         767.90          375.90          40.97           1380.66         
172     200         728.12          364.83          27.39           1282.59         
173     200         749.95          383.57          18.87           1320.10         
174     200         707.52          363.05          9.11            1308.71         
175     200         745.38          376.39          12.19           1302.92         
176     200         753.58          357.85          47.20           1256.65         
177     200         740.87          356.42          72.56           1277.20         
178     200         745.09          379.53          55.15           1296.09         
179     200         752.15          378.02          30.81           1243.12         
180     200         729.11          367.09          17.25           1315.90         
181     200         837.57          366.52          44.43           1284.66         
182     200         756.43          369.99          50.68           1357.61         
183     200         743.36          375.09          43.10           1471.76         
184     200         722.54          376.85          41.07           1403.26         
185     200         714.35          386.02          43.59           1442.61         
186     200         696.49          390.96          20.51           1338.25         
187     200         705.14          379.09          33.88           1326.28         
188     200         728.78          382.01          32.86           1419.62         
189     200         675.50          368.96          47.50           1369.76         
190     200         685.11          390.85          21.16           1322.26         
191     200         767.05          377.56          37.87           1328.31         
192     200         738.33          384.31          19.83           1263.48         
193     200         810.96          339.64          56.09           1361.91         
194     200         786.25          370.97          85.93           1424.49         
195     200         806.33          353.25          76.09           1448.21         
196     200         778.18          380.62          29.39           1465.03         
197     200         743.46          367.90          20.97           1383.49         
198     200         786.96          356.83          36.65           1360.72         
199     200         743.64          402.80          57.05           1529.16         
200     200         875.84          350.24          33.17           1571.26         
201     200         766.93          386.59          44.14           1428.35         
202     200         797.49          369.61          37.59           1671.40         
203     200         737.20          397.28          43.03           1545.32         
204     200         820.26          385.88          60.59           1512.98         
205     200         743.23          385.91          32.32           1550.51         
206     200         755.48          379.25          37.35           1363.18         
207     200         830.23          377.23          73.61           1463.03         
208     200         783.81          394.47          44.82           1502.14         
209     200         804.53          379.97          28.10           1576.03         
210     200         796.86          379.31          56.45           1563.87         
211     200         837.07          376.74          83.29           1516.00         
212     200         778.03          393.78          56.74           1426.98         
213     200         831.27          383.59          64.74           1646.77         
214     200         792.18          386.39          77.76           1847.89         
215     200         803.16          376.36          64.89           1545.45         
216     200         800.30          409.59          54.54           1483.80         
217     200         776.37          382.86          49.77           1443.51         
218     200         792.63          393.49          43.80           1435.17         
219     200         731.69          410.64          66.80           1655.33         
220     200         758.90          383.71          72.41           1550.24         
221     200         764.89          425.89          63.83           1596.08         
222     200         738.93          404.59          71.30           1538.92         
223     200         692.10          407.00          37.47           1532.63         
224     200         754.69          413.20          63.70           1654.19         
225     200         744.68          412.21          63.99           1560.80         
226     200         727.73          399.26          53.51           1449.30         
227     200         732.24          436.80          33.91           1585.62         
228     200         715.64          413.68          42.97           1461.61         
229     200         748.50          430.45          32.29           1556.42         
230     200         761.85          427.89          38.37           1535.22         
231     200         772.98          421.80          92.85           1700.21         
232     200         778.23          437.21          53.75           1669.68         
233     200         855.05          415.98          82.69           1533.73         
234     200         791.47          443.53          47.27           1637.34         
235     200         799.84          426.76          62.90           1608.05         
236     200         764.30          430.11          79.36           1616.58         
237     200         793.83          426.47          56.16           1596.86         
238     200         752.66          418.76          117.87          1524.67         
239     200         772.52          440.90          43.89           1726.20         
240     200         764.60          431.71          110.20          1709.68         
241     200         735.51          447.23          54.38           1608.28         
242     200         797.34          438.93          115.07          1649.94         
243     200         772.24          432.89          35.96           1665.20         
244     200         754.33          457.57          38.02           1610.37         
245     200         722.87          454.68          54.05           1627.44         
246     200         742.83          471.57          43.02           1797.89         
247     200         698.29          461.34          38.70           1836.90         
248     200         725.03          443.52          58.87           1596.67         
249     200         743.85          460.42          78.67           1642.80         
250     200         729.48          438.31          104.94          1797.39         
251     200         760.08          444.91          94.40           1615.55         
252     200         751.10          438.23          93.77           1770.73         
253     200         765.78          439.91          49.62           1642.23         
254     200         710.82          449.45          76.25           1782.38         
255     200         778.44          442.42          101.97          1674.06         
256     200         821.24          460.39          85.62           1636.16         
257     200         724.47          450.88          60.15           2049.58         
258     200         730.97          441.65          69.54           1868.45         
259     200         816.61          438.62          34.44           1609.72         
260     200         768.77          436.39          87.25           1572.28         
261     200         657.46          480.37          58.07           2157.69         
262     200         806.05          470.46          84.52           2164.59         
263     200         819.54          483.88          60.29           2141.13         
264     200         770.05          469.13          71.80           1738.66         
265     200         739.02          486.60          70.22           1649.22         
266     200         767.20          503.88          63.50           2155.90         
267     200         722.24          446.21          107.70          2028.76         
268     200         846.94          466.04          94.62           1820.48         
269     200         810.77          495.20          90.34           1843.64         
270     200         733.90          468.90          26.03           1779.38         
271     200         775.16          454.10          96.88           1739.58         
272     200         765.07          472.84          31.48           1734.98         
273     200         812.82          488.28          70.79           1844.94         
274     200         784.19          443.67          96.33           1897.65         
275     200         717.82          498.59          62.38           1882.53         
276     200         803.24          464.06          81.92           1778.17         
277     200         801.56          490.59          96.67           1816.65         
278     200         807.45          481.84          98.19           1973.61         
279     200         816.09          501.57          100.45          1781.89         
280     200         850.87          475.55          79.55           1797.95         
281     200         817.56          490.60          107.42          1838.94         
282     200         854.63          496.16          83.39           1698.40         
283     200         791.79          501.39          87.45           1837.16         
284     200         814.25          469.57          59.64           1811.02         
285     200         862.10          498.31          59.09           1899.24         
286     200         848.25          506.79          83.05           2028.09         
287     200         848.49          507.94          87.64           1898.10         
288     200         847.78          524.05          91.15           1904.95         
289     200         867.68          526.23          101.32          1954.97         
290     200         820.91          510.76          64.78           1849.76         
291     200         920.55          497.63          82.51           2073.81         
292     200         864.72          519.68          100.61          1814.06         
293     200         946.91          516.07          90.50           1998.60         
294     200         889.39          519.88          95.56           1908.42         
295     200         826.58          511.07          77.08           1989.55         
296     200         955.70          537.86          104.88          1963.06         
297     200         880.91          534.21          89.39           2045.70         
298     200         880.05          532.63          79.39           1974.99         
299     200         944.16          516.24          99.85           2062.71         
300     200         850.30          528.69          41.33           2013.42         
301     200         909.74          538.93          95.91           2027.17         
302     200         868.89          532.47          82.93           2203.79         
303     200         906.33          520.12          98.94           1993.81         
304     200         783.71          522.48          79.53           1966.12         
305     200         854.15          544.51          26.69           2380.88         
306     200         848.07          540.53          111.78          2033.00         
307     200         874.42          542.69          119.20          1978.83         
308     200         990.40          528.74          53.83           2035.88         
309     200         996.33          505.25          100.78          1981.28         
310     200         917.90          527.99          109.44          1975.81         
311     200         885.69          523.27          67.59           2133.48         
312     200         959.34          523.30          103.55          2265.06         
313     200         860.21          547.64          113.22          2124.92         
314     200         914.03          520.97          65.40           1905.03         
315     200         868.10          529.90          67.04           1899.31         
316     200         983.25          562.42          97.14           2248.68         
317     200         852.66          544.01          71.16           2079.57         
318     200         872.68          545.58          120.40          1990.13         
319     200         806.97          542.77          76.76           2118.35         
320     200         839.87          544.78          121.90          2060.09         
321     200         979.82          591.51          114.39          2146.68         
322     200         919.17          595.17          72.92           2109.20         
323     200         946.80          590.10          95.37           2243.69         
324     200         917.14          576.07          81.25           2056.51         
325     200         833.63          576.20          84.95           2151.78         
326     200         905.76          593.08          68.79           2164.11         
327     200         911.44          558.96          140.02          2226.80         
328     200         930.98          600.17          108.63          2165.46         
329     200         950.25          599.32          87.37           2184.37         
330     200         862.09          563.25          70.07           2262.65         
331     200         976.89          574.55          101.63          2158.29         
332     200         893.86          577.19          83.95           2264.06         
333     200         855.97          582.78          99.42           2180.92         
334     200         958.66          605.48          85.46           2176.03         
335     200         981.51          618.28          160.78          2270.51         
336     200         941.74          599.73          95.71           2322.84         
337     200         956.47          615.24          64.80           2524.36         
338     200         940.03          608.31          94.89           2183.42         
339     200         1030.94         615.43          123.40          2418.59         
340     200         1006.83         605.50          82.90           2195.70         
341     200         993.65          630.54          103.95          2141.34         
342     200         975.38          584.24          116.69          2482.54         
343     200         982.86          647.65          132.25          2541.84         
344     200         960.44          625.11          96.19           2443.51         
345     200         1023.57         630.86          109.63          2378.50         
346     200         1014.24         651.64          81.39           2428.07         
347     200         1028.42         655.57          119.76          2398.84         
348     200         1006.92         700.52          112.06          2602.51         
349     200         929.39          643.63          98.43           2406.61         
350     200         942.30          616.37          99.54           2435.65         
351     200         987.59          647.91          98.71           2760.15         
352     200         1052.92         648.20          75.56           2199.90         
353     200         908.46          608.17          73.98           2410.63         
354     200         929.03          632.30          108.06          2295.21         
355     200         1014.89         646.70          125.02          2452.26         
356     200         1066.18         655.74          115.39          2647.95         
357     200         1065.56         687.21          76.65           2785.08         
358     200         1093.46         684.95          83.69           2535.49         
