experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 2945.408946275711

Genome Size: 100
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         12.77           28.51           -1.61           474.74          
1       500         13.16           19.25           -1.60           152.05          
2       500         13.92           49.55           -1.84           998.72          
3       500         14.89           49.92           -1.57           1022.20         
4       500         14.33           22.57           -1.55           226.95          
5       500         17.91           28.04           -1.38           261.16          
6       500         18.80           52.16           -1.69           1015.13         
7       500         21.65           33.35           -1.74           255.77          
8       500         28.20           69.77           -1.24           996.78          
9       500         28.98           70.13           -1.54           1006.12         
10      500         30.19           56.13           -1.34           996.38          
11      500         30.01           59.04           -1.82           986.21          
12      500         30.15           67.65           -1.49           998.56          
13      500         31.06           58.16           -1.96           984.15          
14      500         39.99           88.93           -1.29           1022.76         
15      500         32.53           36.29           -1.93           208.76          
16      500         41.37           57.23           -1.57           778.61          
17      500         49.30           96.75           -1.60           1007.36         
18      500         59.10           118.59          -1.70           1040.35         
19      500         50.05           82.14           -2.07           1025.69         
20      500         50.94           90.89           -1.76           1022.62         
21      500         56.49           94.04           -2.10           976.61          
22      500         57.92           87.17           -1.89           970.29          
23      500         58.96           87.10           -1.91           999.35          
24      500         67.35           94.67           -1.68           983.63          
25      500         76.67           128.32          -1.79           1028.27         
26      500         75.01           100.57          -1.68           1026.70         
27      500         70.04           104.17          -1.79           1008.46         
28      500         83.62           95.05           -1.49           1018.55         
29      500         76.09           93.22           -1.68           1020.81         
30      500         93.98           103.44          -1.82           1021.86         
31      500         87.48           99.38           -1.18           972.19          
32      500         92.80           104.88          -1.88           986.91          
33      500         90.44           82.53           -1.57           407.23          
34      500         99.68           96.04           -1.90           571.42          
35      500         95.60           89.69           -1.74           830.07          
36      500         101.12          94.52           0.14            750.31          
37      500         101.69          103.22          -1.86           968.84          
38      500         92.19           99.04           -1.24           1007.17         
39      500         96.02           95.01           -0.70           1014.63         
40      500         107.60          99.63           -1.54           990.23          
41      500         105.32          95.77           -1.45           865.97          
42      500         103.64          90.23           -1.55           567.46          
43      500         112.21          96.99           0.26            766.11          
44      500         114.42          103.80          -1.53           1003.51         
45      500         116.59          98.00           -1.53           673.66          
46      500         120.20          103.39          -0.17           993.99          
47      500         124.65          107.60          -1.33           1038.33         
48      500         118.39          97.79           -1.67           554.66          
49      500         139.33          104.81          0.55            643.75          
50      500         137.98          104.19          -0.09           846.97          
51      500         135.96          105.68          -0.97           1000.55         
52      500         143.04          115.36          -0.30           991.20          
53      500         152.56          104.54          -1.83           630.17          
54      500         145.43          104.37          -1.37           739.40          
55      500         156.35          107.28          3.95            1015.03         
56      500         145.95          111.23          1.24            984.99          
57      500         165.78          102.26          -1.59           676.87          
58      500         173.26          117.90          2.02            972.71          
59      500         174.40          113.83          -0.16           1014.45         
60      500         172.01          131.36          -1.03           998.41          
61      500         177.39          137.37          3.49            1006.49         
62      500         176.95          123.81          -1.36           1012.21         
63      500         183.68          140.05          2.88            1041.22         
64      500         178.05          131.54          -0.48           1025.60         
65      500         188.62          139.36          0.36            1016.08         
66      500         185.72          155.46          0.95            1044.72         
67      500         191.55          149.74          1.75            984.93          
68      500         183.47          148.34          -0.75           1079.47         
69      500         200.77          168.48          0.22            1011.09         
70      500         210.85          163.33          0.20            1040.07         
71      500         225.92          194.58          0.98            1022.61         
72      500         217.57          169.23          -0.64           1050.23         
73      500         226.55          185.79          -0.03           1161.66         
74      500         242.24          204.38          -0.34           1050.36         
75      500         238.37          200.39          0.51            1040.95         
76      500         242.53          210.59          1.55            1053.41         
77      500         263.81          234.85          1.80            1031.33         
78      500         261.14          231.23          -1.19           1098.18         
79      500         290.41          253.61          2.69            1124.97         
80      500         285.20          248.68          3.76            1049.34         
81      500         292.31          269.70          1.67            1148.63         
82      500         308.75          275.36          -1.29           1046.13         
83      500         320.10          298.75          3.40            1058.01         
84      500         313.98          280.00          -0.94           1054.38         
85      500         320.13          275.97          1.85            1068.87         
86      500         338.36          288.22          -1.01           1126.88         
87      500         318.99          296.67          0.73            1080.34         
88      500         322.18          302.31          -1.32           1104.01         
89      500         360.10          308.23          1.86            1116.45         
90      500         352.16          315.64          0.10            1102.42         
91      500         360.70          318.75          0.05            1118.87         
92      500         357.10          302.06          2.21            1087.13         
93      500         409.17          330.17          0.34            1123.67         
94      500         356.09          307.12          -1.64           1044.81         
95      500         375.12          303.87          0.17            1065.18         
96      500         381.40          335.71          -0.71           1139.89         
97      500         369.86          329.36          1.93            1097.10         
98      500         388.58          317.15          -0.03           1064.54         
99      500         394.21          322.88          -1.70           1190.62         
100     500         401.64          331.70          0.63            1103.60         
101     500         453.20          347.30          0.56            1124.28         
102     500         416.46          344.67          -1.35           1053.47         
103     500         420.91          345.75          1.87            1072.46         
