experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2344.2503933906555

Genome Size: 350
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -440.16         213.73          -3124.72        756.98          
1       500         -431.23         222.06          -1636.61        831.00          
2       500         -403.33         202.94          -1718.82        406.06          
3       500         -396.27         196.81          -1701.39        403.68          
4       500         -365.24         187.01          -1347.75        564.07          
5       500         -394.77         165.16          -1313.98        101.13          
6       500         -372.72         175.63          -2077.24        237.40          
7       500         -378.09         218.36          -2235.56        309.76          
8       500         -370.56         188.76          -1548.94        479.81          
9       500         -373.87         206.42          -1895.26        414.36          
10      500         -375.46         216.61          -2733.24        522.16          
11      500         -370.15         201.01          -1316.74        1026.40         
12      500         -382.29         226.24          -1771.87        458.44          
13      500         -390.66         193.67          -1379.76        264.32          
14      500         -370.26         210.08          -1463.19        808.11          
15      500         -379.29         213.39          -1436.85        1058.14         
16      500         -374.10         216.14          -1941.91        402.21          
17      500         -381.32         197.25          -1350.40        1186.72         
18      500         -382.63         188.27          -1878.02        317.92          
19      500         -390.37         219.83          -2001.02        820.73          
20      500         -385.17         220.06          -2222.68        542.68          
21      500         -364.51         238.74          -1846.12        599.21          
22      500         -367.06         198.33          -1899.89        1176.27         
23      500         -358.54         198.39          -1360.85        1542.91         
24      500         -367.79         205.92          -1468.76        640.94          
25      500         -367.24         205.70          -1395.28        723.60          
26      500         -345.94         215.54          -1439.28        921.82          
27      500         -370.10         203.49          -1422.09        513.54          
28      500         -380.86         215.60          -1890.46        447.34          
29      500         -360.34         206.84          -1228.71        973.98          
30      500         -385.33         268.94          -2170.27        872.93          
31      500         -379.20         225.00          -2174.76        416.32          
32      500         -366.01         226.68          -1429.97        825.89          
33      500         -357.44         231.68          -1370.72        832.42          
34      500         -351.11         277.66          -1858.87        1408.93         
35      500         -364.39         237.16          -1739.57        684.54          
36      500         -350.05         258.59          -1553.42        1278.84         
37      500         -334.26         282.10          -1536.51        1972.37         
38      500         -350.27         278.92          -2287.91        509.70          
39      500         -356.02         244.13          -1573.65        1715.16         
40      500         -342.39         280.62          -1533.37        2202.28         
41      500         -356.64         238.02          -1707.91        1098.26         
42      500         -374.16         287.46          -1611.17        1505.20         
43      500         -356.63         292.29          -1743.43        1092.62         
44      500         -328.81         326.75          -1728.90        1576.88         
45      500         -331.35         350.61          -2001.97        1822.24         
46      500         -344.71         315.40          -1606.00        1234.60         
47      500         -337.92         345.90          -2566.68        985.48          
48      500         -312.23         358.51          -1532.76        1263.22         
49      500         -287.59         384.06          -1425.75        1854.39         
50      500         -295.51         410.41          -1355.95        1762.18         
51      500         -296.94         416.75          -1704.52        1906.16         
52      500         -291.97         444.55          -1772.95        2308.68         
53      500         -263.14         420.54          -1817.89        1619.32         
54      500         -252.38         451.86          -2141.82        1724.81         
55      500         -266.52         469.10          -2395.38        1410.74         
56      500         -223.54         486.55          -1726.05        2990.92         
57      500         -213.04         457.42          -1814.02        1376.36         
58      500         -187.34         491.98          -1793.76        1841.23         
59      500         -189.87         507.87          -1602.46        1472.75         
60      500         -186.57         497.00          -1884.39        1708.41         
61      500         -180.88         496.40          -1988.12        1622.75         
62      500         -170.71         497.03          -1245.62        2211.36         
63      500         -119.65         516.15          -1513.26        1692.99         
64      500         -93.44          548.19          -1541.31        1849.79         
65      500         -71.48          551.65          -1457.28        1267.92         
66      500         -23.35          582.20          -1408.04        2296.25         
67      500         -6.69           569.94          -1666.72        1617.02         
68      500         5.94            587.13          -1439.61        1497.96         
69      500         93.26           619.79          -1357.18        1887.71         
70      500         74.54           618.18          -2145.94        1683.80         
71      500         49.80           621.15          -1445.05        1680.83         
72      500         43.02           611.13          -1376.89        1359.27         
73      500         -25.35          624.47          -2334.45        1928.96         
74      500         -9.40           616.69          -1692.07        2247.74         
75      500         63.10           622.98          -1293.07        1376.78         
76      500         29.91           618.06          -2313.06        1362.09         
77      500         100.21          614.00          -1923.67        1401.28         
78      500         118.42          641.57          -1533.29        1352.49         
79      500         126.99          643.52          -1597.43        1544.37         
80      500         161.17          633.61          -1574.11        1373.24         
81      500         104.87          659.75          -2413.21        1323.50         
82      500         95.91           635.54          -2139.40        1312.98         
83      500         210.19          667.81          -1692.19        1372.34         
84      500         214.37          649.77          -1719.06        1465.73         
85      500         246.96          656.11          -1336.15        1287.48         
86      500         182.52          649.64          -1578.13        1411.32         
87      500         185.70          675.77          -1555.12        1315.16         
88      500         240.95          664.08          -1292.85        1375.88         
89      500         218.50          654.04          -1727.61        1269.58         
90      500         276.60          663.82          -1478.56        1338.26         
91      500         257.02          674.93          -1204.25        1387.84         
92      500         204.95          676.89          -1822.45        1336.62         
93      500         326.08          665.18          -1839.49        1334.57         
94      500         299.43          651.92          -1420.45        1320.47         
95      500         314.60          674.47          -1191.21        1894.62         
96      500         362.23          656.88          -1457.23        1348.62         
97      500         394.10          648.04          -1508.74        1330.65         
98      500         367.60          669.85          -1566.18        1338.21         
99      500         395.70          667.01          -1805.02        1377.87         
100     500         435.98          657.56          -1802.30        1341.69         
101     500         481.11          658.93          -1562.45        1397.13         
102     500         465.72          664.73          -1775.15        1473.70         
103     500         506.08          661.60          -2006.75        1629.18         
104     500         433.08          678.07          -1791.69        1491.09         
105     500         479.21          693.95          -3002.10        1381.11         
106     500         509.98          657.68          -1873.90        1371.10         
107     500         530.53          638.61          -1918.50        1412.10         
108     500         512.38          663.42          -1725.58        1375.79         
109     500         495.28          656.27          -1753.20        1867.47         
110     500         465.79          662.98          -1729.93        1545.99         
111     500         534.22          657.04          -1527.49        1436.25         
112     500         503.62          650.13          -1600.33        1392.01         
113     500         526.49          654.07          -1713.88        1370.78         
114     500         550.42          670.54          -1770.53        1517.66         
115     500         604.15          611.16          -1145.94        1411.79         
116     500         621.78          627.55          -2057.63        1368.19         
117     500         565.82          653.75          -1815.00        1381.52         
118     500         658.18          595.21          -1320.33        1352.48         
119     500         651.69          594.70          -1165.17        1388.81         
120     500         657.72          591.11          -1419.75        1379.25         
121     500         594.95          608.95          -1015.97        1391.04         
122     500         660.78          618.45          -1499.82        1432.46         
123     500         731.97          572.28          -1482.93        1451.78         
124     500         668.99          617.38          -1072.51        1375.68         
125     500         714.07          579.61          -1230.93        1483.26         
126     500         823.03          505.71          -604.01         1553.65         
127     500         800.44          537.80          -927.09         1512.92         
128     500         794.60          543.79          -845.40         1830.31         
129     500         841.35          541.30          -1441.65        1676.96         
130     500         809.54          541.26          -978.10         1601.09         
131     500         806.09          504.70          -794.04         1688.14         
132     500         821.42          534.25          -1097.69        1631.30         
133     500         862.61          497.50          -773.83         1494.01         
134     500         827.25          540.15          -610.03         1889.47         
135     500         796.88          559.07          -1105.73        1757.90         
136     500         847.54          526.11          -1149.42        2064.72         
137     500         841.87          521.72          -575.20         1557.74         
138     500         888.76          513.23          -893.81         1850.28         
139     500         899.51          490.09          -1385.51        1626.40         
140     500         894.65          503.72          -952.26         1569.87         
141     500         844.92          538.54          -728.17         2034.73         
142     500         891.09          510.92          -778.80         1478.08         
143     500         869.87          527.71          -899.74         1836.00         
144     500         947.33          503.62          -643.01         2144.90         
145     500         932.67          485.42          -615.24         1556.87         
146     500         963.41          469.57          -622.92         1651.61         
147     500         983.58          424.82          -849.79         1712.56         
148     500         946.36          484.69          -696.19         1761.91         
149     500         965.21          482.67          -742.42         1725.83         
150     500         921.30          485.46          -658.02         1918.39         
151     500         961.41          467.99          -817.95         1597.74         
152     500         927.94          521.29          -697.42         1744.25         
153     500         945.10          495.62          -662.01         1842.57         
154     500         997.02          469.85          -980.47         1835.35         
155     500         1038.48         453.88          -672.26         1994.05         
156     500         1010.61         470.62          -734.55         2125.10         
157     500         976.32          506.74          -841.83         1770.14         
158     500         1017.50         483.51          -1105.58        1694.73         
159     500         1024.49         445.98          -559.95         2097.54         
160     500         988.51          521.10          -717.98         1898.79         
161     500         1072.31         434.95          -480.90         1939.07         
162     500         1004.75         495.48          -847.63         2095.42         
163     500         1039.70         470.91          -527.66         2030.56         
164     500         1086.67         464.85          -464.38         2025.11         
165     500         1057.89         467.66          -591.15         2063.04         
166     500         1026.17         515.06          -1042.68        2101.29         
167     500         1045.62         524.67          -579.03         2126.07         
168     500         1028.01         558.12          -605.85         2202.27         
169     500         1018.74         560.52          -859.54         2098.94         
170     500         1091.06         580.33          -590.90         2284.29         
171     500         1038.52         589.34          -731.34         2240.50         
172     500         1029.71         622.66          -587.90         2235.57         
173     500         1002.36         627.92          -945.28         2280.48         
174     500         1023.86         626.69          -824.40         2282.37         
175     500         1064.35         617.14          -563.27         2245.63         
176     500         1043.59         637.32          -678.03         2322.64         
177     500         1083.12         617.71          -612.43         2267.78         
178     500         1023.01         634.12          -568.65         2198.59         
