experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 1569.7637383937836

Genome Size: 240
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         15.27           26.46           -0.82           200.09          
1       200         18.10           27.24           -0.49           165.06          
2       200         16.97           22.37           -1.13           163.85          
3       200         14.86           19.21           -0.42           119.14          
4       200         17.11           20.77           -0.21           108.83          
5       200         20.66           27.21           -0.86           168.46          
6       200         29.79           71.55           -0.09           973.76          
7       200         25.46           27.63           -0.66           191.66          
8       200         30.38           29.87           0.22            227.35          
9       200         32.97           29.67           0.26            176.60          
10      200         42.37           78.86           0.57            979.09          
11      200         39.42           39.53           -0.91           235.29          
12      200         41.99           52.56           0.41            520.60          
13      200         52.70           84.60           0.53            1012.80         
14      200         48.69           43.42           0.18            266.47          
15      200         50.23           53.44           0.69            406.75          
16      200         61.38           105.75          0.81            1016.66         
17      200         68.15           106.76          -0.38           1022.82         
18      200         68.71           122.62          1.64            1030.78         
19      200         67.03           66.89           2.50            477.41          
20      200         95.00           155.66          3.75            1027.41         
21      200         91.33           145.14          -0.45           997.58          
22      200         96.92           133.52          -0.17           1023.89         
23      200         124.36          194.28          1.95            1020.38         
24      200         115.47          173.92          -0.59           1013.77         
25      200         146.22          225.80          -0.89           1018.20         
26      200         102.94          146.09          1.88            996.90          
27      200         103.99          138.30          -0.01           1018.46         
28      200         157.28          234.69          4.53            1026.70         
29      200         144.50          208.72          -1.06           1022.16         
30      200         181.82          243.52          4.67            1054.13         
31      200         171.17          222.45          4.42            1001.20         
32      200         169.34          226.79          1.14            1020.67         
33      200         168.42          219.06          2.26            1022.82         
34      200         188.55          243.38          -1.30           1010.45         
35      200         214.45          286.43          5.78            1052.41         
36      200         267.13          324.40          6.07            1037.11         
37      200         207.65          258.97          5.20            1019.05         
38      200         210.64          285.35          -1.59           1023.68         
39      200         200.87          257.42          3.29            1033.98         
40      200         229.73          295.74          -1.39           1020.80         
41      200         249.01          297.83          1.35            1026.02         
42      200         241.74          281.28          3.70            1030.12         
43      200         254.58          290.03          6.28            1026.82         
44      200         282.78          340.90          3.37            1035.63         
45      200         314.62          354.96          4.48            1039.20         
46      200         300.82          338.92          6.03            1028.67         
47      200         280.27          324.98          1.07            1055.52         
48      200         359.46          362.09          2.86            1084.72         
49      200         346.53          354.87          1.45            1026.04         
50      200         374.79          372.91          7.07            1034.22         
51      200         438.02          396.76          2.71            1037.60         
52      200         349.47          364.24          7.42            1070.54         
53      200         397.95          383.30          8.16            1106.04         
54      200         388.24          385.68          4.53            1046.88         
55      200         439.03          403.33          8.45            1076.42         
56      200         444.10          393.65          6.64            1059.94         
57      200         431.16          389.13          12.08           1060.56         
58      200         487.37          402.03          4.10            1088.68         
59      200         474.72          402.53          19.80           1049.83         
60      200         492.77          411.73          9.53            1034.52         
61      200         444.93          403.99          7.50            1054.52         
62      200         441.53          398.87          -1.14           1061.36         
63      200         409.95          394.83          5.47            1037.65         
64      200         443.56          391.42          9.52            1039.94         
65      200         469.56          418.86          8.16            1183.04         
66      200         380.39          381.33          7.48            1041.77         
67      200         432.31          400.23          6.95            1035.95         
68      200         467.61          414.77          2.42            1046.24         
69      200         442.52          390.82          7.87            1025.14         
