experiment_id: 1
environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 1908.5506505966187

Genome Size: 880
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -6.48           7.92            -18.19          34.35           
1       100         -5.43           12.85           -21.63          98.76           
2       100         -6.53           5.29            -20.12          10.14           
3       100         -7.59           6.16            -35.83          8.01            
4       100         -6.69           6.31            -19.22          20.27           
5       100         -0.82           35.28           -16.97          342.57          
6       100         -4.07           10.13           -19.56          58.55           
7       100         -4.43           6.20            -22.06          15.09           
8       100         -4.28           9.99            -19.64          73.91           
9       100         -3.01           11.29           -25.23          74.67           
10      100         2.48            32.83           -20.19          309.61          
11      100         0.41            22.01           -62.34          139.85          
12      100         5.40            23.81           -40.95          147.66          
13      100         11.60           31.86           -30.73          188.88          
14      100         10.19           34.74           -63.43          282.96          
15      100         22.48           53.56           -62.41          279.36          
16      100         20.40           43.09           -84.90          211.31          
17      100         48.13           129.69          -27.91          1064.56         
18      100         65.08           138.51          -50.53          1020.16         
19      100         68.60           153.43          -35.21          1012.15         
20      100         114.12          199.57          -67.19          1008.46         
21      100         99.10           143.99          -66.67          957.02          
22      100         92.56           116.68          -35.41          461.36          
23      100         155.37          229.27          -33.77          1046.18         
24      100         187.84          213.72          -45.65          1057.30         
25      100         223.64          197.38          -32.72          999.95          
26      100         197.28          209.42          -42.62          998.44          
27      100         200.90          211.07          -29.34          997.51          
28      100         225.55          239.59          -7.51           1058.01         
29      100         194.21          160.42          -22.39          914.77          
30      100         218.95          196.17          -23.40          999.97          
31      100         234.40          239.52          -48.65          1025.03         
32      100         217.27          234.56          -72.34          1062.76         
33      100         249.44          257.99          -64.20          996.50          
34      100         229.52          229.22          -51.69          1010.76         
35      100         263.78          271.50          -19.51          1008.12         
36      100         243.67          227.18          -40.89          1062.18         
37      100         324.85          297.68          -37.65          1079.69         
38      100         290.58          299.43          -53.26          1107.11         
39      100         318.59          313.98          -11.74          1072.49         
40      100         250.28          249.19          -37.03          1032.50         
41      100         336.26          274.28          -8.85           1021.26         
42      100         365.03          278.00          -7.08           1064.91         
43      100         310.72          290.42          -27.07          1075.69         
44      100         362.94          333.43          -26.38          1090.63         
45      100         388.35          340.83          -53.21          1105.19         
46      100         344.28          312.58          -26.75          1114.81         
47      100         424.45          363.12          -27.33          1070.28         
48      100         462.75          364.73          -19.82          1051.28         
49      100         501.55          385.67          -41.28          1172.51         
50      100         471.70          363.59          -40.32          1092.44         
51      100         481.37          379.97          -36.41          1069.19         
52      100         523.42          386.33          -20.29          1039.23         
53      100         596.55          385.11          -22.62          1082.87         
54      100         527.05          407.92          -108.23         1059.12         
55      100         553.27          392.50          -24.55          1037.57         
