experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 9937.412642478943

Genome Size: 3350
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         7.58            11.49           -2.09           81.53           
1       200         9.82            15.71           -2.27           92.84           
2       200         8.37            13.45           -1.45           104.84          
3       200         10.83           14.95           -1.61           65.52           
4       200         9.79            13.48           -1.39           65.41           
5       200         10.32           15.60           -2.05           123.03          
6       200         10.49           13.03           -1.87           55.37           
7       200         11.60           15.51           -1.87           92.47           
8       200         15.12           22.47           -1.89           184.88          
9       200         13.18           15.39           -1.78           86.17           
10      200         15.38           17.63           -2.21           87.92           
11      200         18.65           21.97           -2.05           171.43          
12      200         19.50           24.75           -1.53           189.25          
13      200         21.47           20.57           -1.74           126.54          
14      200         20.04           22.44           -1.65           113.97          
15      200         23.61           21.05           -1.81           110.50          
16      200         23.71           25.04           -1.35           130.54          
17      200         28.34           26.76           -1.64           152.88          
18      200         26.99           22.78           -1.65           168.81          
19      200         27.62           22.20           -1.47           132.11          
20      200         33.22           26.59           -1.92           182.41          
21      200         33.75           27.12           -1.52           198.83          
22      200         33.01           23.92           -2.03           123.94          
23      200         34.16           25.92           -0.30           169.38          
24      200         34.78           24.86           -1.67           160.57          
25      200         39.10           23.34           0.89            116.76          
26      200         35.34           26.23           -1.62           188.67          
27      200         42.05           27.07           -2.24           148.25          
28      200         41.17           30.24           -0.01           183.45          
29      200         41.77           32.43           0.16            211.87          
30      200         46.98           41.17           -1.09           441.98          
31      200         48.46           39.17           -0.71           219.74          
32      200         48.70           38.86           -0.41           220.25          
33      200         48.74           39.79           -1.76           200.39          
34      200         55.83           45.68           1.10            219.78          
35      200         58.56           46.44           1.60            237.92          
36      200         55.79           40.68           1.66            210.11          
37      200         61.95           43.24           2.78            200.49          
38      200         62.30           46.47           3.07            207.21          
39      200         67.52           47.50           1.60            248.98          
40      200         66.14           50.89           0.12            234.43          
41      200         70.52           52.94           1.55            308.17          
42      200         71.15           53.42           0.64            301.58          
43      200         75.62           61.57           -1.60           267.91          
44      200         79.50           58.19           0.20            277.63          
45      200         79.32           59.06           1.49            378.93          
46      200         83.43           61.12           -0.80           356.78          
47      200         78.45           56.03           -0.34           279.90          
