experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 11343.061188220978

Genome Size: 3650
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -442.34         48.88           -568.76         -295.14         
1       200         -441.88         49.15           -560.88         -300.71         
2       200         -436.55         46.73           -566.92         -293.24         
3       200         -441.66         51.57           -560.62         -126.08         
4       200         -442.61         44.84           -566.51         -296.45         
5       200         -439.17         45.79           -541.66         -277.13         
6       200         -443.19         47.82           -590.24         -332.12         
7       200         -440.18         43.50           -552.37         -292.29         
8       200         -440.38         45.70           -585.80         -300.32         
9       200         -438.55         43.81           -532.40         -307.53         
10      200         -439.06         48.62           -587.62         -313.61         
11      200         -439.18         53.20           -570.06         -84.26          
12      200         -441.04         47.38           -578.52         -323.23         
13      200         -428.10         45.28           -548.03         -308.48         
14      200         -434.40         51.32           -659.26         -302.48         
15      200         -435.89         53.72           -580.37         -254.22         
16      200         -439.20         48.37           -601.00         -312.23         
17      200         -443.46         56.21           -665.75         -93.85          
18      200         -441.57         52.56           -708.39         -288.49         
19      200         -432.48         47.74           -537.73         -301.61         
20      200         -430.86         53.81           -581.11         -278.98         
21      200         -432.27         50.68           -533.24         -220.23         
22      200         -432.44         50.03           -597.72         -245.27         
23      200         -428.58         51.99           -646.83         -219.54         
24      200         -427.73         62.54           -596.14         72.16           
25      200         -432.36         59.37           -651.09         38.93           
26      200         -423.85         47.12           -552.92         -271.54         
27      200         -423.92         45.31           -535.89         -183.93         
28      200         -424.87         54.80           -584.94         -265.09         
29      200         -428.00         52.80           -616.32         -279.75         
30      200         -426.21         54.35           -554.96         -278.88         
31      200         -419.36         46.44           -553.85         -267.40         
32      200         -427.50         57.51           -698.25         -158.34         
33      200         -421.03         61.39           -864.03         -220.86         
34      200         -417.01         64.45           -601.98         -2.27           
35      200         -418.08         54.77           -622.53         -260.26         
36      200         -420.27         72.78           -978.99         -222.34         
37      200         -418.12         53.99           -646.35         -268.64         
38      200         -414.67         76.21           -1156.24        -217.92         
39      200         -405.98         54.90           -607.84         -176.63         
40      200         -415.52         56.94           -618.22         -148.39         
41      200         -416.92         63.07           -660.65         -226.17         
42      200         -413.61         60.19           -646.67         -205.75         
43      200         -406.77         54.66           -565.66         -223.51         
44      200         -415.94         82.35           -1249.60        -273.88         
45      200         -409.30         70.68           -717.38         -110.36         
46      200         -411.48         71.96           -806.27         41.28           
47      200         -402.56         61.61           -784.41         -244.05         
48      200         -406.71         69.47           -691.48         -53.83          
49      200         -407.35         77.16           -748.78         -39.80          
50      200         -405.00         74.14           -678.92         -148.17         
51      200         -395.30         65.61           -752.01         -173.88         
52      200         -409.81         94.56           -1109.70        -202.95         
53      200         -389.41         101.22          -642.79         547.14          
54      200         -378.03         103.64          -622.99         371.08          
55      200         -384.53         132.17          -1175.90        239.90          
56      200         -378.19         147.30          -1422.77        336.88          
57      200         -379.51         166.57          -1469.94        573.88          
58      200         -324.30         198.84          -724.56         793.30          
59      200         -297.96         223.85          -918.17         900.49          
60      200         -232.03         308.68          -1127.82        976.14          
61      200         -235.48         333.88          -1404.07        1269.54         
62      200         -140.93         349.05          -1986.59        1061.92         
63      200         -157.75         424.32          -1363.35        2057.21         
64      200         -23.68          489.45          -1563.83        1860.79         
65      200         25.25           500.60          -1294.40        1745.50         
66      200         18.39           538.47          -1625.53        1923.38         
67      200         114.90          538.02          -1135.67        2138.11         
68      200         188.25          644.15          -1491.76        2407.33         
69      200         307.91          636.46          -1441.91        2367.22         
70      200         319.65          720.48          -1673.37        2574.18         
71      200         436.05          752.22          -2169.68        2412.74         
72      200         588.51          735.33          -1877.52        2310.96         
73      200         665.07          782.00          -943.14         2851.46         
74      200         683.52          827.42          -1112.55        3052.34         
75      200         693.19          855.92          -1183.83        2675.95         
76      200         822.31          851.23          -1549.89        2631.55         
77      200         906.31          951.02          -1265.16        3082.46         
78      200         939.23          898.64          -1078.60        2860.08         
79      200         1044.04         951.75          -1796.49        3158.22         
80      200         1082.78         958.12          -2030.42        2796.54         
81      200         1207.67         995.24          -2121.23        3116.15         
82      200         1096.23         998.73          -1367.08        3225.31         
83      200         1095.96         969.09          -1215.31        2943.40         
84      200         1130.67         958.77          -955.78         2978.74         
85      200         1311.73         1054.16         -1676.93        2960.58         
86      200         1146.74         1090.82         -1249.75        3033.95         
87      200         1163.36         1121.31         -1438.20        3028.65         
88      200         1259.25         1161.52         -1459.88        3044.17         
89      200         1390.03         1014.71         -984.23         3076.14         
90      200         1424.21         1089.72         -1433.38        2934.14         
91      200         1651.66         1009.03         -1280.88        3219.30         
92      200         1458.12         1068.04         -1165.86        3352.87         
93      200         1482.20         1119.45         -1468.01        3089.67         
94      200         1582.31         998.80          -1447.92        3070.30         
95      200         1498.63         1071.36         -979.35         3157.01         
96      200         1565.78         1060.18         -1081.61        3188.57         
97      200         1513.92         1068.54         -1175.26        3255.00         
98      200         1521.54         1122.94         -1475.54        3403.86         
99      200         1694.94         1057.19         -1661.25        3192.06         
100     200         1581.21         1131.40         -1015.40        3252.18         
101     200         1670.39         1061.68         -1576.17        3301.66         
102     200         1759.36         1066.72         -1362.15        3278.10         
103     200         1631.10         1122.44         -1324.61        3350.34         
104     200         1766.64         1118.89         -1502.61        3487.77         
105     200         1709.92         1160.04         -1476.85        3237.62         
106     200         1777.22         1113.01         -1382.05        3508.47         
107     200         1848.74         1108.46         -1457.22        3336.97         
108     200         1977.06         1012.51         -1128.01        3414.39         
109     200         1799.41         1160.04         -1717.72        3419.29         
110     200         1815.65         1141.43         -1415.33        3466.74         
111     200         1917.61         1085.28         -1080.99        3442.32         
112     200         1980.16         1038.14         -1286.30        3628.25         
113     200         1761.85         1218.36         -1585.20        3499.63         
114     200         1850.02         1197.51         -1877.37        3354.30         
115     200         1937.82         1144.02         -1518.57        3328.15         
116     200         1881.23         1236.63         -1553.11        3562.32         
117     200         1877.73         1175.94         -1810.73        3550.49         
118     200         1980.39         1165.14         -1606.68        3474.48         
119     200         2133.51         1022.51         -1838.63        3438.09         
120     200         2178.53         924.01          -745.73         3808.52         
121     200         2083.17         1124.18         -1150.70        3561.82         
122     200         1962.51         1201.28         -1525.86        3634.27         
123     200         1991.33         1083.45         -1491.39        3449.35         
124     200         2192.48         1029.95         -836.47         3849.82         
125     200         2222.36         947.25          -680.80         3653.96         
126     200         2186.68         1100.44         -1413.45        3712.32         
127     200         2187.05         1085.10         -1622.62        3785.96         
