experiment_id: 1
environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2939.02929353714

Genome Size: 900
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         1.24            23.55           -22.11          278.03          
1       200         2.66            26.30           -30.10          274.86          
2       200         -0.94           16.56           -21.59          180.06          
3       200         3.49            33.78           -36.19          348.82          
4       200         -0.27           12.90           -31.68          85.26           
5       200         2.57            26.50           -48.34          294.90          
6       200         2.59            27.16           -28.21          296.07          
7       200         1.90            17.39           -31.09          148.29          
8       200         5.62            36.81           -26.46          399.73          
9       200         7.30            31.03           -31.98          300.07          
10      200         13.61           74.84           -47.22          929.04          
11      200         20.35           87.42           -44.22          1002.08         
12      200         22.83           81.93           -35.59          776.44          
13      200         22.90           64.18           -55.26          447.64          
14      200         40.53           105.88          -50.13          924.09          
15      200         72.68           129.63          -42.52          969.87          
16      200         70.38           150.46          -49.43          998.91          
17      200         73.63           131.83          -56.49          1011.12         
18      200         91.53           149.32          -65.78          1036.87         
19      200         98.50           150.82          -38.72          1055.48         
20      200         113.83          143.36          -89.37          987.90          
21      200         135.40          174.58          -79.60          999.07          
22      200         147.79          167.00          -37.32          1008.42         
23      200         163.23          206.14          -55.02          1054.73         
24      200         188.69          208.77          -62.92          1017.67         
25      200         157.29          196.92          -60.76          1021.76         
26      200         177.39          196.04          -47.05          1103.29         
27      200         204.14          206.36          -53.24          1004.27         
28      200         222.30          264.86          -51.70          1053.18         
29      200         216.46          231.48          -109.80         1090.11         
30      200         280.46          293.31          -76.88          1054.47         
31      200         249.73          262.50          -38.51          1047.86         
32      200         251.36          241.32          -17.49          1027.25         
33      200         261.91          295.84          -85.67          1077.65         
34      200         278.97          263.02          -33.22          1035.32         
