experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 1551.6657421588898

Genome Size: 270
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         10.35           15.56           -2.05           94.96           
1       200         14.32           25.81           -1.58           165.18          
2       200         9.90            15.00           -1.49           111.98          
3       200         12.24           19.40           -1.33           170.51          
4       200         15.21           21.30           -1.46           142.20          
5       200         15.88           23.98           -1.63           186.20          
6       200         22.02           32.58           -1.56           193.81          
7       200         20.73           27.38           -1.80           150.48          
8       200         21.93           27.40           -1.69           167.14          
9       200         28.22           30.02           -1.43           162.72          
10      200         29.82           30.83           -1.36           163.68          
11      200         28.33           30.80           -1.12           194.98          
12      200         32.21           34.06           -1.76           185.30          
13      200         31.47           28.03           -1.70           158.28          
14      200         39.22           33.85           -1.18           211.17          
15      200         36.94           33.70           -1.52           207.05          
16      200         41.19           76.41           -1.66           1010.47         
17      200         38.45           36.89           -1.79           211.64          
18      200         42.47           43.27           -1.83           300.88          
19      200         46.70           52.71           -1.77           388.18          
20      200         56.05           54.73           -1.43           283.17          
21      200         55.67           59.81           -1.75           335.47          
22      200         58.09           64.83           -1.47           404.47          
23      200         61.56           89.26           -1.67           984.59          
24      200         60.70           54.40           -1.16           268.03          
25      200         71.72           87.62           -1.51           988.06          
26      200         71.88           94.16           -1.65           1011.18         
27      200         64.99           88.78           -1.63           991.68          
28      200         90.16           149.27          -2.01           1027.63         
29      200         86.11           123.67          -1.39           977.39          
30      200         101.57          130.37          -0.94           990.74          
31      200         102.29          156.49          -1.61           1043.54         
32      200         101.92          104.15          -1.58           843.45          
33      200         111.79          159.84          -1.12           1005.90         
34      200         102.09          132.98          1.20            1099.64         
35      200         116.46          136.92          -0.08           998.68          
36      200         162.69          201.08          0.39            998.85          
37      200         149.05          189.27          0.15            1051.73         
38      200         131.70          161.44          4.35            1011.51         
39      200         139.51          171.92          3.05            1032.86         
40      200         160.53          199.31          -1.61           1023.20         
41      200         148.56          192.82          -1.87           1019.10         
42      200         148.51          202.37          -1.46           1021.94         
43      200         153.93          174.61          -1.35           1070.74         
44      200         146.58          162.59          0.49            1016.69         
45      200         150.84          173.71          2.39            1019.95         
46      200         162.38          197.73          0.09            1015.15         
47      200         142.41          168.48          -0.81           1012.04         
48      200         152.12          148.70          -1.63           984.00          
49      200         185.12          223.42          -1.60           1025.99         
50      200         191.80          222.84          -1.76           1021.52         
51      200         180.22          209.59          -0.47           1025.27         
52      200         206.95          240.32          2.26            1059.92         
53      200         210.60          230.17          4.14            1170.72         
54      200         215.86          256.32          3.75            1047.63         
55      200         208.82          239.89          7.74            1066.53         
56      200         213.43          224.62          1.60            1011.61         
57      200         225.41          226.36          4.82            1036.98         
58      200         209.99          206.70          2.49            1015.32         
59      200         249.04          256.27          0.51            1042.32         
60      200         270.52          255.19          5.21            1056.12         
61      200         270.94          280.75          3.49            1070.22         
62      200         293.93          291.63          8.72            1138.03         
63      200         307.23          297.34          7.34            1069.42         
64      200         283.51          298.63          -1.43           1036.61         
65      200         307.63          281.66          5.80            1024.57         
66      200         304.76          295.75          9.78            1023.92         
67      200         282.55          281.69          2.81            1078.60         
68      200         304.10          300.95          1.24            1069.89         
69      200         323.97          309.80          0.90            1079.72         
70      200         284.66          282.88          1.15            1033.84         
71      200         313.90          313.75          1.45            1143.26         
72      200         372.34          341.37          -1.75           1056.14         
73      200         276.61          269.90          9.55            1051.76         
74      200         326.61          323.96          2.24            1042.13         
75      200         328.05          309.81          0.60            1044.11         
76      200         309.22          288.60          6.48            1074.18         
77      200         346.83          328.57          0.74            1070.89         
78      200         321.10          298.16          5.77            1029.39         
79      200         354.67          334.13          -1.27           1045.33         
80      200         358.32          338.21          8.32            1042.92         
81      200         367.57          338.25          -1.06           1034.64         
82      200         385.02          354.30          3.61            1031.75         
83      200         336.13          326.93          6.43            1059.29         
84      200         337.97          324.43          4.85            1031.32         
85      200         374.34          339.21          7.54            1047.05         
86      200         373.60          335.35          2.81            1053.46         
87      200         418.61          360.63          4.94            1062.58         
88      200         405.78          356.26          9.81            1150.28         
89      200         373.77          335.68          6.43            1035.51         
90      200         387.27          339.38          -0.71           1034.46         
91      200         351.93          333.81          -1.66           1200.96         
92      200         390.27          339.12          7.87            1158.26         
93      200         392.93          354.90          -0.34           1144.59         
94      200         378.38          337.06          5.82            1031.21         
95      200         423.27          358.49          1.60            1059.79         
96      200         403.97          357.33          2.10            1079.68         
97      200         453.49          386.63          7.77            1045.54         
98      200         423.69          357.03          5.66            1031.44         
99      200         402.85          351.41          9.04            1051.50         
100     200         413.96          365.75          9.13            1083.27         
101     200         455.55          368.98          7.09            1043.90         
102     200         447.36          375.37          5.43            1074.22         
103     200         425.94          363.66          5.73            1094.74         
104     200         387.35          355.18          3.36            1024.24         
105     200         458.51          369.91          13.30           1042.89         
106     200         452.58          382.00          16.25           1092.94         
107     200         436.33          353.79          8.52            1086.14         
108     200         463.68          379.52          5.32            1050.15         
109     200         431.52          362.81          11.90           1097.18         
110     200         448.63          370.53          8.63            1063.69         
111     200         481.67          379.85          5.03            1049.09         
112     200         465.30          382.30          8.57            1057.90         
113     200         458.49          377.88          6.03            1098.36         
114     200         534.11          392.50          4.73            1033.26         
115     200         487.78          377.49          10.02           1050.98         
116     200         492.35          377.82          8.80            1028.53         
