experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 3404.7759499549866

Genome Size: 880
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -519.38         142.79          -1513.17        263.38          
1       500         -499.20         121.95          -1079.08        101.88          
2       500         -501.11         140.42          -1601.87        71.61           
3       500         -505.24         153.53          -1373.40        -83.70          
4       500         -470.92         136.51          -1956.02        231.70          
5       500         -484.88         167.60          -2326.11        48.17           
6       500         -474.18         129.64          -1507.12        139.67          
7       500         -487.44         122.98          -1541.33        -159.26         
8       500         -488.96         131.61          -1733.71        180.83          
9       500         -489.21         151.15          -2106.75        -116.77         
10      500         -484.37         126.98          -1550.57        -34.16          
11      500         -470.66         124.28          -1253.80        331.53          
12      500         -478.60         150.55          -1436.73        86.92           
13      500         -477.17         116.74          -1474.67        -123.59         
14      500         -474.38         129.03          -1502.11        -9.66           
15      500         -473.02         137.09          -1523.94        349.18          
16      500         -479.43         122.14          -1341.29        -62.38          
17      500         -477.54         185.36          -2267.53        763.91          
18      500         -476.12         141.62          -1357.06        513.64          
19      500         -481.90         158.59          -1812.21        412.25          
20      500         -476.27         140.64          -1867.01        76.70           
21      500         -482.33         151.02          -1559.82        33.41           
22      500         -470.47         142.63          -1985.81        -17.36          
23      500         -468.64         140.48          -1383.25        160.69          
24      500         -471.30         143.94          -1216.82        103.26          
25      500         -467.91         153.65          -1525.04        82.13           
26      500         -466.72         152.47          -1579.94        298.79          
27      500         -454.03         176.67          -2663.55        66.33           
28      500         -450.99         145.95          -1450.49        155.79          
29      500         -459.43         170.98          -1897.86        276.66          
30      500         -452.77         171.37          -1536.66        287.76          
31      500         -432.21         196.73          -1481.66        1057.11         
32      500         -430.17         197.38          -1660.34        758.46          
33      500         -423.48         219.92          -1259.81        1229.19         
34      500         -408.25         217.79          -1717.86        338.39          
35      500         -432.23         244.64          -1970.11        772.73          
36      500         -406.74         201.14          -1153.81        375.28          
37      500         -391.94         238.57          -1291.59        554.32          
38      500         -375.21         255.21          -1322.80        616.04          
39      500         -362.40         260.54          -1427.91        829.28          
40      500         -341.56         271.87          -1880.30        543.21          
41      500         -340.69         283.59          -1763.02        1136.11         
42      500         -332.81         289.29          -1484.73        1199.80         
43      500         -311.82         277.00          -1435.77        581.54          
44      500         -310.12         317.28          -2327.40        842.37          
45      500         -302.73         337.21          -2046.55        967.80          
46      500         -288.97         316.97          -1459.62        1146.13         
47      500         -304.81         321.81          -1852.30        629.81          
48      500         -242.58         363.59          -1587.74        1211.34         
49      500         -214.95         377.33          -1459.51        1098.05         
50      500         -241.90         383.56          -1540.70        1051.43         
51      500         -209.60         396.25          -1881.88        1254.17         
52      500         -206.11         414.63          -1711.02        1125.57         
53      500         -210.52         369.14          -1260.79        1211.02         
54      500         -149.71         441.84          -1390.65        1369.19         
55      500         -132.60         413.83          -1742.48        1647.46         
56      500         -131.69         422.08          -1645.44        1904.90         
57      500         -78.20          421.56          -1319.34        1392.25         
58      500         -62.75          458.07          -1549.56        1401.79         
59      500         -98.21          455.60          -1595.79        1685.49         
60      500         -11.07          479.59          -1621.57        1534.13         
61      500         -10.59          464.90          -1617.03        1537.19         
62      500         29.95           470.32          -1373.38        3281.18         
63      500         33.67           455.82          -1571.51        1467.03         
64      500         29.80           535.60          -1544.82        1473.26         
65      500         91.54           506.40          -1620.28        1990.02         
66      500         73.40           508.04          -1517.02        2102.97         
67      500         93.81           536.59          -2114.93        1605.10         
68      500         99.67           521.87          -1361.42        1746.50         
69      500         144.86          542.57          -1444.75        2297.21         
70      500         170.20          500.66          -1281.25        1562.67         
71      500         156.09          514.24          -1450.09        1941.37         
72      500         164.40          545.95          -1456.43        1714.32         
73      500         192.04          524.35          -1263.23        1921.21         
74      500         267.99          542.21          -1698.20        2018.64         
75      500         273.96          500.65          -1311.21        1842.67         
76      500         256.99          583.53          -3102.49        1903.81         
77      500         272.49          578.81          -1644.49        2096.92         
78      500         274.61          553.90          -1778.62        2005.90         
79      500         308.92          571.07          -1311.55        1817.00         
80      500         367.75          559.50          -1249.88        1882.21         
81      500         348.48          545.98          -1436.18        1994.68         
82      500         409.09          565.31          -1057.84        2375.25         
83      500         418.20          563.78          -1713.39        2258.19         
84      500         396.86          576.31          -1422.82        1923.00         
85      500         490.58          596.97          -1634.91        2064.30         
86      500         509.03          603.37          -1657.05        3170.60         
87      500         552.26          619.67          -1697.33        2291.52         
88      500         561.33          615.24          -1511.88        2324.56         
89      500         633.30          611.92          -1120.36        2428.62         
