experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 20
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 1322.9497673511505

Genome Size: 700
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         13.70           21.83           -1.71           120.89          
1       100         8.30            10.86           -1.56           65.37           
2       100         9.53            13.40           -1.37           75.56           
3       100         12.13           18.25           -1.81           115.08          
4       100         14.48           22.96           -1.61           163.63          
5       100         20.57           30.70           -1.65           201.54          
6       100         18.49           28.20           -2.00           179.36          
7       100         19.89           26.85           -1.66           193.46          
8       100         25.81           35.09           -1.93           235.49          
9       100         35.24           38.87           -1.45           217.63          
10      100         39.49           36.20           -1.48           141.25          
11      100         40.67           44.50           0.95            231.46          
12      100         50.10           53.61           -1.33           319.84          
13      100         50.58           52.29           -1.72           296.51          
14      100         53.12           51.56           0.80            218.29          
15      100         68.19           59.08           1.40            226.39          
16      100         74.63           66.80           3.84            369.91          
17      100         71.34           65.84           1.90            349.29          
18      100         81.86           62.34           0.02            341.25          
19      100         97.81           78.65           2.83            384.47          
20      100         97.32           70.53           1.55            255.07          
21      100         111.98          79.27           6.08            344.42          
22      100         103.23          76.16           4.71            400.46          
23      100         126.00          118.02          4.67            983.10          
24      100         101.94          71.46           3.36            306.29          
25      100         109.40          76.04           1.18            360.04          
26      100         116.19          86.29           -0.43           560.57          
27      100         118.32          97.74           5.40            743.59          
28      100         121.60          87.63           7.28            384.84          
29      100         155.71          143.74          6.92            998.74          
30      100         153.92          146.29          2.18            987.76          
31      100         158.65          156.09          7.11            998.12          
32      100         144.89          96.46           7.98            462.48          
33      100         161.01          134.63          11.58           988.29          
34      100         171.99          144.33          10.75           997.04          
35      100         162.54          118.89          8.98            791.40          
36      100         214.82          196.13          7.61            998.37          
37      100         190.25          179.04          8.92            1022.01         
38      100         187.31          160.85          6.61            1000.76         
39      100         193.87          174.73          6.76            1009.33         
40      100         227.86          200.53          12.10           1019.50         
41      100         209.19          216.91          9.67            1053.64         
42      100         231.33          201.98          11.99           1034.49         
43      100         203.72          211.68          9.98            1062.68         
44      100         217.95          236.44          8.33            1015.77         
45      100         252.48          233.13          2.40            1040.79         
46      100         232.02          196.65          6.63            1024.42         
47      100         264.18          235.49          19.49           1014.78         
48      100         282.27          238.83          6.20            1028.16         
49      100         255.73          204.49          6.01            1003.79         
50      100         252.14          249.38          2.38            1006.91         
51      100         212.03          187.49          5.37            1018.40         
52      100         246.00          197.00          9.19            1023.30         
53      100         239.23          230.44          6.02            1027.09         
54      100         229.16          231.01          10.57           1023.77         
55      100         254.82          221.21          8.79            1100.79         
56      100         297.07          283.87          14.64           1051.05         
57      100         253.22          229.95          4.16            1004.37         
58      100         247.20          210.71          13.40           1061.41         
59      100         280.00          252.30          10.95           1034.46         
60      100         315.63          285.26          5.22            1062.09         
61      100         249.27          269.62          8.36            1012.61         
62      100         322.08          280.17          12.41           1023.91         
63      100         329.28          298.57          8.83            1053.46         
64      100         328.56          302.11          8.85            1017.30         
65      100         328.69          306.67          3.86            1121.87         
66      100         298.21          277.44          9.35            1069.59         
67      100         357.19          322.72          26.21           1025.80         
68      100         307.68          295.27          8.91            1044.42         
69      100         350.94          301.72          10.66           1026.50         
70      100         333.31          280.82          12.58           1021.66         
71      100         325.74          286.96          3.57            1021.39         
72      100         308.87          297.74          8.36            1141.38         
73      100         355.13          315.86          8.87            1037.84         
74      100         334.24          310.80          6.90            1031.76         
75      100         305.54          291.02          13.76           1026.85         
76      100         384.50          354.94          18.55           1033.82         
77      100         373.02          321.01          8.54            1059.94         
78      100         351.60          292.06          33.03           1041.17         
79      100         470.94          354.63          42.33           1044.63         
80      100         424.06          346.40          27.85           1024.89         
81      100         447.56          360.75          8.61            1040.82         
82      100         399.23          317.42          21.69           1038.94         
83      100         521.05          366.84          6.00            1026.50         
84      100         476.79          351.34          23.95           1051.60         
85      100         433.03          334.56          33.91           1056.16         
86      100         464.68          365.33          21.98           1104.48         
87      100         430.75          343.76          38.52           1016.38         
88      100         448.27          311.04          5.09            1027.92         
89      100         453.41          323.28          66.22           1033.49         
90      100         455.59          335.36          39.49           1077.16         
91      100         459.05          340.54          4.43            1029.33         
92      100         492.22          345.48          7.45            1058.71         
93      100         490.20          363.20          24.80           1158.05         
94      100         439.36          350.94          28.19           1042.74         
95      100         533.09          368.31          40.62           1048.20         
96      100         555.86          362.56          13.71           1046.88         
97      100         474.28          349.52          14.10           1028.07         
98      100         532.48          351.06          56.47           1046.77         
99      100         557.31          355.47          65.99           1034.36         
100     100         474.87          334.83          59.14           1025.61         
101     100         509.00          375.20          52.88           1061.82         
102     100         558.37          356.21          27.12           1087.75         
103     100         529.44          359.05          43.95           1039.11         
104     100         567.67          361.68          84.37           1045.23         
105     100         544.34          354.59          54.66           1129.95         
106     100         519.75          356.81          74.51           1064.20         
107     100         555.26          350.89          76.61           1050.23         
108     100         496.81          359.69          15.32           1046.18         
109     100         562.76          355.82          19.94           1042.34         
110     100         564.60          374.05          30.47           1135.13         
111     100         584.69          366.69          58.47           1050.16         
112     100         599.59          372.31          20.09           1064.74         
113     100         488.56          364.23          34.28           1067.29         
114     100         584.62          372.37          56.14           1051.91         
115     100         554.73          365.30          50.99           1056.65         
116     100         583.72          348.67          76.37           1049.68         
117     100         468.08          337.23          28.75           1053.16         
118     100         581.03          363.96          56.60           1073.45         
119     100         541.35          355.65          44.54           1051.42         
120     100         573.42          341.17          86.66           1049.97         
121     100         602.78          376.60          44.27           1060.44         
122     100         613.66          372.25          73.42           1051.17         
123     100         621.75          365.84          60.02           1042.71         
124     100         621.72          359.15          27.80           1065.18         
125     100         599.92          354.99          72.15           1143.69         
126     100         638.92          371.82          41.56           1066.19         
127     100         638.79          368.82          69.82           1066.86         
128     100         604.02          348.25          29.75           1048.24         
129     100         662.29          358.91          34.66           1066.34         
130     100         664.89          356.25          130.01          1081.16         
131     100         605.39          345.50          117.83          1135.57         
132     100         582.22          363.60          43.65           1074.65         
133     100         654.90          361.30          29.15           1086.45         
134     100         640.32          358.34          22.73           1079.76         
135     100         632.71          362.46          63.83           1080.36         
136     100         689.88          358.65          34.33           1085.98         
137     100         698.52          357.56          28.79           1066.71         
138     100         717.23          347.57          98.33           1075.53         
139     100         698.50          350.80          98.34           1075.53         
140     100         738.07          349.16          119.43          1073.50         
141     100         690.19          353.33          73.42           1089.12         
142     100         742.32          337.91          131.49          1090.53         
143     100         695.02          365.63          65.99           1194.98         
144     100         737.48          345.22          93.09           1152.89         
145     100         676.09          339.82          78.66           1148.34         
146     100         716.76          356.70          74.86           1212.03         
147     100         703.86          344.02          126.35          1167.51         
148     100         701.74          349.36          52.78           1128.15         
149     100         704.05          344.97          72.29           1085.51         
150     100         775.50          334.08          95.69           1175.13         
151     100         655.52          375.85          49.84           1145.56         
152     100         692.73          348.43          115.93          1186.34         
153     100         698.91          354.58          23.66           1206.94         
154     100         691.17          344.75          100.65          1137.60         
155     100         681.05          335.89          54.27           1146.52         
156     100         725.93          331.15          112.85          1151.67         
157     100         676.15          370.85          25.40           1139.13         
158     100         747.43          332.01          97.96           1186.62         
159     100         748.52          322.60          73.86           1181.06         
160     100         765.79          327.34          104.07          1164.00         
161     100         734.99          308.48          85.28           1166.88         
162     100         763.29          342.61          83.38           1130.55         
163     100         699.62          362.33          61.81           1203.37         
164     100         734.01          327.99          92.81           1194.24         
165     100         697.04          333.96          50.60           1109.73         
166     100         733.53          339.08          118.05          1197.50         
