experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2450.1129581928253

Genome Size: 360
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -592.10         208.03          -2864.61        1061.75         
1       500         -581.97         163.28          -1727.99        636.87          
2       500         -584.69         169.04          -1909.34        136.42          
3       500         -570.07         146.33          -1125.81        181.96          
4       500         -595.98         181.38          -2043.84        33.65           
5       500         -579.16         172.35          -2143.68        32.37           
6       500         -594.00         226.09          -2684.68        42.82           
7       500         -580.13         141.71          -1322.06        -61.36          
8       500         -575.39         157.78          -1668.51        -36.52          
9       500         -587.43         165.81          -1571.78        39.54           
10      500         -579.22         174.34          -1634.51        178.71          
11      500         -576.27         202.11          -2324.10        920.01          
12      500         -574.84         192.77          -1900.98        94.85           
13      500         -578.29         161.03          -1650.83        -39.56          
14      500         -554.84         144.40          -1207.66        235.54          
15      500         -578.43         208.34          -1903.86        1205.56         
16      500         -564.45         170.11          -1621.58        150.75          
17      500         -574.13         180.08          -1760.57        289.70          
18      500         -562.53         162.54          -1479.60        731.04          
19      500         -552.01         192.02          -1916.20        476.09          
20      500         -556.93         179.94          -1368.56        355.97          
21      500         -547.12         170.60          -1251.52        424.65          
22      500         -559.66         184.46          -1820.99        149.99          
23      500         -573.04         227.82          -3317.48        247.15          
24      500         -548.03         182.37          -1594.07        345.02          
25      500         -556.14         183.30          -1283.11        260.90          
26      500         -568.11         202.16          -1800.69        186.31          
27      500         -549.85         186.92          -1838.27        498.91          
28      500         -548.34         222.35          -2670.97        205.21          
29      500         -541.78         229.10          -1701.35        685.99          
30      500         -549.78         246.69          -1634.95        1036.18         
