experiment_id: 1
environment: Hopper-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: True
elapsed_time: 2844.023071527481

Genome Size: 105
Inputs: 11
Outputs: 3

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         21.10           49.97           -0.81           976.55          
1       500         19.87           28.63           -0.65           289.33          
2       500         22.76           53.80           -0.54           1003.47         
3       500         23.96           37.21           -0.61           283.06          
4       500         26.70           54.11           -0.64           969.25          
5       500         23.98           34.55           -0.13           320.88          
6       500         25.68           37.71           -0.56           524.60          
7       500         31.46           82.24           -0.84           1023.88         
8       500         27.24           54.10           -0.94           1014.71         
9       500         33.91           70.74           -0.23           999.47          
10      500         32.58           60.66           -0.96           1005.36         
11      500         39.33           96.38           -0.04           1024.57         
12      500         35.61           57.85           -0.42           1025.17         
13      500         35.96           68.71           -0.37           1017.18         
14      500         52.75           108.74          -0.49           1021.23         
15      500         48.53           101.80          -0.99           1019.57         
16      500         49.72           90.43           -1.46           1021.11         
17      500         50.46           106.81          -1.46           1023.94         
18      500         50.75           99.12           -1.05           1019.35         
19      500         51.25           82.03           -1.01           993.57          
20      500         57.45           114.79          -1.35           1013.35         
21      500         55.62           103.40          -1.69           1024.90         
22      500         67.52           137.30          -1.74           1012.04         
23      500         64.02           129.40          -1.49           1020.66         
24      500         65.80           119.52          -1.02           1025.85         
25      500         64.44           125.55          -1.68           1024.96         
26      500         61.11           120.66          -1.56           1015.13         
27      500         77.05           136.82          -1.46           1005.51         
28      500         63.50           116.34          -1.80           1004.92         
29      500         63.35           104.81          -1.75           1037.08         
30      500         69.24           115.57          -2.12           1046.23         
31      500         68.45           126.96          -1.80           1015.31         
32      500         84.24           146.51          -1.99           1012.25         
33      500         70.39           113.35          -1.74           1021.94         
34      500         78.39           120.29          -1.69           1018.65         
35      500         94.46           149.61          -1.27           1042.12         
36      500         108.96          178.66          -1.86           1034.83         
37      500         96.95           137.36          -1.79           1024.45         
38      500         99.03           157.60          -1.94           1028.91         
39      500         113.45          179.43          -1.77           1029.84         
40      500         84.60           144.32          -1.83           1028.66         
41      500         103.41          174.37          -1.36           1054.96         
42      500         94.27           142.76          -1.74           1023.44         
43      500         115.26          176.86          -1.98           1025.31         
44      500         111.91          169.53          -1.76           1040.83         
45      500         107.77          176.04          -1.34           1048.99         
46      500         132.85          210.23          -1.38           1060.04         
47      500         116.10          182.04          -1.74           1033.06         
48      500         123.81          198.23          -1.70           1024.36         
49      500         120.67          172.14          -1.64           1038.77         
50      500         130.15          202.03          -1.72           1030.08         
51      500         153.89          226.87          -1.43           1039.32         
52      500         160.28          238.12          -1.56           1066.05         
53      500         162.09          237.92          -1.87           1026.96         
54      500         155.27          208.53          -1.11           1034.77         
55      500         166.03          229.77          -2.31           1038.59         
56      500         154.41          226.06          -1.72           1037.89         
57      500         167.67          244.75          -1.16           1051.62         
58      500         147.97          201.25          -1.84           1055.97         
59      500         150.75          225.20          -1.37           1038.94         
60      500         162.76          230.34          -0.93           1050.81         
61      500         151.40          223.14          -1.66           1033.56         
62      500         167.28          219.34          -1.81           1059.41         
63      500         157.19          214.36          -1.67           1022.81         
64      500         177.86          250.66          -0.82           1044.79         
65      500         171.70          222.94          -1.91           1026.89         
66      500         202.90          258.26          -1.67           1031.79         
67      500         202.97          251.28          -1.77           1029.74         
68      500         197.64          253.86          -1.55           1042.47         
69      500         212.75          273.69          -1.91           1045.79         
70      500         206.79          259.04          -1.71           1069.04         
71      500         222.53          277.39          -1.84           1047.44         
72      500         178.90          220.53          -1.43           1022.77         
73      500         226.79          272.19          -1.07           1078.94         
74      500         215.88          269.48          -1.18           1034.08         
75      500         248.21          305.00          -0.13           1050.87         
76      500         258.01          306.78          -1.69           1038.97         
77      500         240.78          288.00          -1.49           1057.22         
78      500         276.39          314.28          1.11            1051.98         
79      500         275.62          305.70          -1.62           1035.06         
80      500         304.20          319.99          -1.91           1064.63         
81      500         319.37          330.76          -1.34           1069.99         
82      500         327.14          343.48          -1.36           1065.44         
83      500         302.85          317.27          1.26            1060.12         
84      500         307.37          316.08          0.82            1053.26         
85      500         348.34          344.79          -1.25           1068.16         
86      500         353.95          349.02          0.57            1031.65         
87      500         348.63          340.54          4.56            1036.10         
88      500         359.43          348.69          -0.08           1048.38         
89      500         345.49          336.89          -1.27           1035.63         
90      500         374.23          353.22          4.16            1082.23         
91      500         371.82          354.27          0.02            1066.30         
92      500         427.67          373.48          -1.08           1039.40         
93      500         385.52          355.54          -2.51           1078.74         
94      500         410.77          362.76          -1.88           1073.68         
95      500         424.97          366.55          4.29            1034.50         
96      500         485.30          375.36          0.50            1046.27         
97      500         493.09          382.61          1.95            1035.20         
98      500         499.02          374.36          -1.67           1043.07         
99      500         544.15          379.44          -1.23           1063.75         
100     500         515.96          375.29          -0.92           1059.08         
101     500         555.09          384.23          -1.04           1058.48         
102     500         543.51          387.94          3.56            1043.96         
103     500         569.45          379.10          -1.58           1049.86         
104     500         622.32          378.25          -1.45           1066.71         
105     500         603.52          381.83          -1.46           1045.84         
106     500         664.31          368.10          1.86            1051.51         
107     500         669.19          361.77          3.25            1037.30         
108     500         649.99          369.09          -1.44           1039.22         
109     500         638.53          372.06          0.08            1041.74         
110     500         637.78          369.03          4.66            1224.00         
