experiment_id: 1
environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 2.0
number_fitness_runs: 1
number_neurons: 50
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: True
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 16791.438928842545

Genome Size: 3800
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -7.09           8.81            -35.62          56.96           
1       500         -8.02           9.27            -45.56          71.74           
2       500         -8.42           8.76            -83.66          63.10           
3       500         -7.67           12.09           -42.40          194.35          
4       500         -6.82           10.12           -24.86          113.82          
5       500         -5.83           24.61           -47.42          423.65          
6       500         -6.98           13.46           -72.07          164.15          
7       500         -6.39           14.45           -71.51          191.91          
8       500         -7.71           8.61            -48.39          58.05           
9       500         -5.97           23.30           -51.85          412.43          
10      500         -6.90           11.07           -42.65          159.54          
11      500         -5.13           14.78           -69.90          142.33          
12      500         -6.72           11.93           -90.12          96.75           
13      500         -5.10           17.88           -109.72         204.75          
14      500         -5.08           13.24           -53.56          127.16          
15      500         -4.58           16.07           -171.62         142.86          
16      500         -3.41           17.86           -66.88          171.55          
17      500         -2.02           26.91           -189.29         331.59          
18      500         -1.97           21.62           -81.16          223.82          
19      500         -0.30           32.96           -48.60          466.48          
20      500         1.92            27.70           -67.64          265.17          
21      500         -0.52           25.08           -94.76          217.66          
22      500         4.05            40.21           -103.43         418.98          
23      500         5.08            33.85           -92.87          265.71          
24      500         5.71            33.69           -67.35          268.55          
25      500         7.21            35.16           -103.25         315.77          
26      500         12.26           53.55           -80.65          853.01          
27      500         11.53           47.75           -138.65         332.75          
28      500         17.21           63.79           -322.19         427.24          
29      500         28.05           72.10           -134.76         515.94          
30      500         38.27           98.33           -114.38         897.82          
31      500         52.83           97.79           -152.53         498.26          
32      500         62.30           108.80          -106.27         713.66          
33      500         61.25           109.01          -168.84         1040.37         
34      500         77.29           127.94          -176.64         1003.10         
35      500         92.05           140.04          -142.50         998.44          
36      500         93.08           132.89          -87.95          1068.81         
37      500         112.60          129.72          -140.66         844.69          
38      500         126.06          134.59          -129.68         830.61          
39      500         130.00          168.67          -78.16          1089.44         
40      500         135.13          138.62          -54.79          942.12          
41      500         133.00          140.99          -178.87         1040.16         
42      500         148.42          150.28          -74.42          954.85          
43      500         157.91          162.96          -76.71          1086.42         
44      500         156.91          139.22          -88.60          787.78          
45      500         162.50          135.50          -82.83          542.55          
46      500         160.76          160.37          -60.25          1035.87         
47      500         178.74          155.42          -85.20          1026.85         
48      500         183.51          147.69          -52.73          916.77          
49      500         183.89          161.61          -71.61          978.25          
50      500         184.67          172.96          -105.91         1114.57         
51      500         191.67          173.41          -57.56          1068.91         
52      500         187.48          175.33          -181.47         1046.64         
53      500         193.99          160.47          -49.09          1077.86         
54      500         199.40          158.97          -131.05         1080.69         
55      500         205.29          157.76          -96.70          1056.48         
56      500         202.70          161.79          -40.93          1091.60         
57      500         220.71          178.00          -68.72          1038.72         
58      500         211.07          159.97          -89.66          993.53          
59      500         214.40          165.45          -33.79          1040.84         
60      500         213.36          166.67          -36.65          1056.34         
61      500         220.48          182.52          -40.44          1077.52         
62      500         210.90          172.67          -133.98         1053.01         
63      500         228.96          163.66          -105.62         980.11          
64      500         215.94          189.88          -77.84          1088.19         
65      500         238.02          187.01          -36.28          1063.52         
66      500         228.18          212.25          -61.60          1051.14         
67      500         238.07          198.61          -52.88          1062.54         
68      500         232.62          182.65          -124.71         1071.14         
69      500         237.69          203.98          -76.39          1067.94         
70      500         239.58          201.59          -39.89          1066.02         
71      500         231.42          195.53          -35.34          1058.29         
72      500         245.15          213.64          -36.64          1180.72         
73      500         253.41          225.43          -42.59          1039.27         
74      500         256.66          228.44          -56.86          1080.23         
