experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 200
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: True
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 1042.450340270996

Genome Size: 150
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -74.36          70.83           -328.54         305.49          
1       200         -67.17          58.53           -437.13         177.38          
2       200         -58.72          65.26           -229.11         583.89          
3       200         -52.63          58.54           -194.55         471.04          
4       200         -53.87          45.79           -271.56         -2.93           
5       200         -46.23          40.87           -206.22         11.85           
6       200         -40.09          78.69           -245.68         615.24          
7       200         -41.80          50.56           -247.03         244.76          
8       200         -45.29          63.51           -317.39         376.06          
9       200         -39.08          59.22           -499.79         220.40          
10      200         -27.25          113.72          -521.00         953.44          
11      200         -35.26          114.33          -424.30         822.00          
12      200         -8.92           167.78          -446.35         749.52          
13      200         -45.25          158.75          -804.84         706.25          
14      200         -14.75          218.63          -481.81         1114.50         
15      200         -59.59          258.59          -951.26         1090.80         
16      200         -63.66          299.82          -1464.33        874.57          
17      200         -80.68          339.07          -1152.82        1319.91         
18      200         -54.79          242.15          -1076.63        1212.65         
19      200         -102.28         295.51          -1336.95        1117.95         
20      200         -129.59         314.15          -1413.99        784.05          
21      200         -122.89         294.97          -1235.79        1240.26         
22      200         -116.42         325.12          -1201.37        1023.98         
23      200         -111.87         325.69          -771.12         1446.85         
24      200         -104.83         334.98          -1516.24        1230.94         
25      200         -69.04          302.61          -861.74         1015.85         
26      200         -119.59         278.79          -2103.17        719.05          
27      200         -115.27         314.93          -1122.59        1208.41         
28      200         -102.99         345.04          -1217.75        903.32          
29      200         -88.51          380.92          -1672.19        1719.67         
30      200         -107.40         348.40          -1608.17        1486.36         
31      200         -96.16          324.76          -1116.64        1007.38         
32      200         -69.49          350.23          -997.93         1312.05         
33      200         -74.28          344.49          -1095.18        1432.95         
34      200         -72.25          346.27          -1192.26        1211.92         
35      200         -86.99          349.72          -1173.11        1271.02         
36      200         -73.91          431.65          -2239.65        1561.96         
37      200         -31.49          393.88          -1564.95        1180.21         
38      200         -46.29          439.04          -1349.26        1194.58         
39      200         13.69           438.54          -1085.33        1681.31         
40      200         -21.54          426.24          -1550.85        2328.98         
41      200         -35.69          419.65          -1354.94        1198.65         
42      200         -52.54          417.86          -1117.16        1688.34         
43      200         -101.54         406.92          -1435.77        1237.25         
44      200         -29.38          446.07          -952.55         1497.77         
45      200         53.71           488.80          -1526.08        1592.81         
46      200         64.46           525.48          -1368.73        2031.18         
47      200         70.75           530.01          -1151.98        2029.74         
48      200         69.89           499.21          -1856.44        1429.54         
49      200         85.31           483.96          -1186.02        1321.51         
50      200         77.01           463.90          -1109.33        1336.93         
51      200         146.24          545.24          -1101.71        2435.00         
52      200         189.84          467.98          -756.48         1441.27         
53      200         194.57          513.70          -1074.41        1644.69         
54      200         179.36          602.77          -1412.12        1847.03         
55      200         220.25          514.13          -984.28         1601.67         
56      200         176.27          560.29          -1607.87        1698.21         
57      200         230.63          530.09          -1448.27        1939.70         
58      200         269.63          560.60          -931.29         1736.47         
