experiment_id: 1
environment: HalfCheetah-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 100
number_generations: 2500
sigma: 0.5
number_fitness_runs: 1
number_neurons: 10
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 3.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 737.0440897941589

Genome Size: 330
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -456.63         57.67           -572.05         -317.62         
1       100         -456.96         63.02           -587.92         -233.64         
2       100         -443.24         63.43           -583.51         -238.88         
3       100         -450.88         62.44           -576.47         -310.59         
4       100         -440.12         68.42           -585.48         -223.56         
5       100         -437.61         61.75           -554.86         -253.68         
6       100         -439.93         73.51           -573.50         -285.35         
7       100         -438.46         60.17           -565.75         -316.18         
8       100         -431.45         65.43           -582.10         -265.17         
9       100         -436.71         63.69           -566.56         -207.48         
10      100         -420.00         67.43           -581.05         -193.50         
11      100         -417.36         61.50           -539.64         -253.60         
12      100         -423.86         65.23           -557.31         -218.97         
13      100         -425.39         59.76           -549.53         -284.25         
14      100         -405.84         57.79           -532.63         -258.04         
15      100         -410.03         59.33           -568.67         -265.15         
16      100         -378.22         75.60           -528.50         -136.39         
17      100         -399.10         67.51           -541.18         -189.92         
18      100         -396.68         77.73           -582.81         -181.61         
19      100         -406.59         72.83           -552.86         -221.40         
20      100         -400.02         84.16           -573.58         -15.03          
21      100         -399.81         83.85           -580.53         -16.79          
22      100         -384.77         70.32           -563.57         -225.95         
23      100         -389.58         71.67           -551.37         -179.16         
24      100         -388.76         66.67           -518.18         -212.72         
25      100         -385.52         80.24           -558.25         -127.69         
26      100         -379.21         77.37           -537.18         -154.69         
27      100         -387.12         77.41           -537.53         -190.01         
28      100         -375.44         72.64           -574.73         -173.03         
29      100         -383.69         69.10           -535.82         -171.23         
30      100         -369.70         92.45           -548.82         61.56           
31      100         -364.55         86.82           -539.18         -73.02          
32      100         -359.43         89.35           -525.61         -72.48          
33      100         -351.52         84.02           -522.35         -127.91         
34      100         -356.48         89.31           -575.73         -91.43          
35      100         -355.15         94.36           -554.32         -85.63          
36      100         -346.15         94.89           -560.67         -18.53          
37      100         -337.37         96.42           -550.71         -130.79         
38      100         -347.62         88.06           -560.74         -149.84         
39      100         -307.87         115.10          -551.42         -4.99           
40      100         -352.49         98.42           -532.06         -49.30          
41      100         -334.17         107.21          -553.25         2.84            
42      100         -308.34         119.24          -551.48         132.37          
43      100         -316.74         111.52          -523.60         155.04          
44      100         -310.57         112.40          -673.66         -18.53          
45      100         -296.48         128.71          -552.77         114.93          
46      100         -329.82         165.80          -1164.26        109.35          
47      100         -309.03         145.17          -608.17         -3.59           
48      100         -279.70         134.80          -642.44         60.29           
49      100         -319.41         126.40          -631.59         81.86           
50      100         -279.67         152.94          -759.99         138.95          
51      100         -251.89         131.47          -528.36         247.79          
52      100         -262.36         162.36          -583.88         91.31           
53      100         -239.79         286.81          -1294.73        1535.67         
54      100         -233.98         185.62          -1112.81        148.93          
55      100         -243.99         204.00          -980.90         241.79          
56      100         -196.16         221.52          -858.34         682.07          
57      100         -191.57         269.99          -1600.01        518.23          
58      100         -181.27         297.67          -929.28         801.93          
59      100         -190.72         272.44          -1459.79        463.65          
60      100         -175.61         277.98          -1240.36        751.02          
61      100         -117.02         275.51          -1061.54        593.20          
62      100         -88.81          336.35          -945.35         1142.93         
63      100         -104.68         288.14          -839.55         664.14          
64      100         10.54           358.63          -855.62         1200.61         
65      100         3.58            379.58          -1366.26        940.11          
66      100         13.31           392.96          -855.62         1109.93         
67      100         -12.77          372.84          -1127.05        966.86          
68      100         133.94          405.34          -629.54         1316.83         
69      100         46.85           384.53          -590.15         895.82          
70      100         80.98           427.42          -881.58         1101.40         
71      100         140.62          428.95          -608.73         1366.24         
72      100         236.77          457.29          -1040.02        1037.86         
73      100         199.83          396.27          -566.36         885.03          
74      100         179.95          433.82          -598.09         1081.92         
75      100         220.37          486.94          -874.45         1150.35         
76      100         344.61          509.29          -885.27         1416.53         
77      100         302.06          502.28          -1164.22        1175.45         
78      100         372.53          484.47          -1018.13        1267.19         
79      100         262.87          434.12          -692.83         1200.01         
80      100         336.52          510.47          -1047.11        1255.56         
81      100         291.84          527.82          -951.72         1251.59         
82      100         310.21          471.63          -716.50         1371.24         
83      100         421.78          510.57          -858.85         1538.66         
84      100         263.04          577.50          -980.80         1480.74         
85      100         382.78          547.67          -931.08         1418.43         
86      100         466.60          510.48          -649.16         1496.31         
87      100         576.60          458.58          -659.62         1552.23         
88      100         458.74          568.87          -885.26         1451.09         
89      100         635.13          556.95          -1041.95        1584.66         
90      100         585.99          592.59          -690.50         1655.46         
91      100         611.03          635.90          -838.84         1696.36         
92      100         463.79          584.60          -872.26         1577.04         
93      100         627.40          654.96          -913.22         2326.70         
94      100         557.37          629.54          -725.66         2308.97         
95      100         588.87          638.27          -919.46         1609.85         
96      100         631.31          614.06          -628.77         1926.93         
97      100         681.47          635.97          -1176.03        1828.27         
98      100         609.15          643.05          -774.87         1843.28         
99      100         669.96          653.52          -750.65         1612.06         
100     100         745.59          715.29          -742.35         1932.18         
101     100         769.22          696.03          -816.16         1867.08         
102     100         598.55          675.18          -698.55         1756.45         
103     100         645.42          669.98          -765.13         1675.08         
104     100         675.72          677.50          -923.98         1871.78         
105     100         808.94          620.83          -730.46         2026.01         
106     100         680.00          755.13          -836.68         2071.55         
107     100         726.64          655.94          -620.37         2251.16         
108     100         638.51          680.64          -765.22         1926.69         
109     100         830.98          706.70          -736.66         1927.67         
110     100         697.20          678.52          -817.69         1830.27         
111     100         814.12          664.38          -787.10         2588.22         
112     100         774.66          701.63          -877.77         1703.11         
113     100         940.65          764.63          -873.58         2276.76         
114     100         846.64          750.11          -630.93         2390.14         
115     100         927.32          696.81          -687.63         2130.42         
116     100         892.96          694.66          -611.05         2161.61         
117     100         975.90          676.36          -415.92         2428.58         
118     100         868.19          751.70          -961.67         2132.23         
119     100         959.65          666.34          -661.26         2298.41         
120     100         828.86          793.25          -623.09         2275.80         
121     100         853.62          742.84          -692.28         2894.71         
122     100         800.67          763.64          -680.37         2162.50         
123     100         941.81          801.67          -958.80         2318.21         
124     100         539.26          834.32          -898.23         2409.79         
125     100         878.38          769.72          -791.57         2155.26         
126     100         930.72          773.48          -757.84         2728.48         
127     100         753.75          753.21          -833.54         2167.58         
128     100         970.31          795.08          -932.49         2568.14         
129     100         1070.28         720.54          -573.47         2657.16         
130     100         800.33          888.96          -787.08         2253.73         
131     100         1065.31         792.32          -570.31         2748.83         
132     100         1118.20         765.50          -535.28         3042.15         
133     100         1037.19         841.97          -712.08         2496.49         
134     100         1122.83         791.56          -579.57         2551.53         
135     100         1075.60         830.87          -613.84         2455.74         
136     100         1137.75         805.67          -531.18         2298.48         
137     100         1170.25         758.62          -552.40         2303.53         
138     100         1175.86         786.29          -509.34         2209.09         
139     100         1359.14         666.18          -829.82         2406.92         
140     100         1271.07         761.08          -707.92         2308.12         
141     100         1298.57         786.76          -562.58         2188.66         
142     100         1246.37         825.07          -693.14         2352.65         
143     100         1327.82         802.87          -401.03         2437.22         
144     100         1488.32         663.20          -412.56         2315.26         
145     100         1458.22         797.10          -780.86         2398.40         
146     100         1432.23         803.05          -834.95         2364.26         
147     100         1481.87         735.63          -390.65         2417.12         
148     100         1460.09         819.66          -395.35         2383.76         
149     100         1405.10         823.56          -550.33         2653.21         
150     100         1447.44         825.91          -535.80         2373.83         
151     100         1535.76         758.63          -386.44         2424.04         
152     100         1507.56         797.41          -503.33         2393.61         
153     100         1506.58         788.68          -518.38         2568.63         
154     100         1630.52         772.71          -687.26         2423.53         
155     100         1468.21         798.44          -450.69         2543.70         
156     100         1477.15         826.46          -370.32         2623.23         
157     100         1532.55         778.04          -251.49         2503.63         
158     100         1553.34         858.58          -448.62         2777.24         
159     100         1526.45         853.63          -291.76         2541.22         
160     100         1521.41         885.19          -563.83         2545.90         
161     100         1704.90         756.79          -347.90         2593.53         
162     100         1691.84         724.73          -256.39         2573.47         
163     100         1733.31         695.66          -246.40         2546.18         
