experiment_id: 1
environment: Walker2d-v2
neural_network_type: CTRNN
random_seed_for_environment: -1
population_size: 500
number_generations: 2500
sigma: 1.0
number_fitness_runs: 1
number_neurons: 5
delta_t: 0.05
optimize_state_boundaries: False
clipping_range: 1.0
optimize_y0: False
set_principle_diagonal_elements_of_W_negative: False
elapsed_time: 4475.187011003494

Genome Size: 140
Inputs: 17
Outputs: 6

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -4.22           11.42           -45.74          109.91          
1       500         -3.44           17.08           -22.83          303.26          
2       500         -3.15           13.58           -35.33          153.25          
3       500         -3.58           10.75           -34.32          98.51           
4       500         -4.64           9.35            -43.73          49.90           
5       500         -2.94           14.98           -37.24          182.07          
6       500         -1.83           24.27           -29.57          315.64          
7       500         -1.43           17.65           -32.61          276.24          
8       500         1.28            34.96           -34.39          636.88          
9       500         -0.13           26.51           -72.76          364.99          
10      500         -0.50           19.19           -37.61          218.89          
11      500         4.67            36.04           -67.02          454.89          
12      500         2.62            22.53           -70.78          200.82          
13      500         3.73            26.36           -55.95          260.37          
14      500         6.83            67.86           -59.40          979.37          
15      500         2.86            20.49           -40.84          276.77          
16      500         8.83            36.70           -78.23          304.98          
17      500         8.14            37.70           -96.09          450.51          
18      500         6.91            31.30           -271.96         290.04          
19      500         7.46            30.40           -81.50          280.44          
20      500         12.14           46.92           -99.90          423.39          
21      500         12.08           40.79           -53.98          472.72          
22      500         7.33            30.07           -63.15          335.81          
23      500         8.28            26.50           -72.21          203.40          
24      500         10.85           31.03           -64.86          244.81          
25      500         14.75           39.01           -51.15          298.79          
26      500         10.55           32.34           -67.24          267.75          
27      500         13.82           36.88           -64.78          259.15          
28      500         17.08           41.94           -106.44         473.73          
29      500         15.07           41.49           -72.37          458.89          
30      500         17.25           44.02           -60.71          385.29          
31      500         17.22           39.11           -127.12         261.79          
32      500         19.85           39.89           -29.68          268.27          
33      500         21.50           45.49           -49.04          379.80          
34      500         20.65           43.11           -46.04          338.21          
35      500         23.12           46.28           -88.93          339.79          
36      500         27.10           49.37           -65.07          352.65          
37      500         22.16           42.41           -249.46         258.42          
38      500         22.71           51.13           -86.79          507.67          
39      500         26.53           52.89           -51.13          535.35          
40      500         23.74           49.71           -235.90         341.50          
41      500         31.58           57.33           -78.23          392.22          
42      500         29.07           53.13           -101.58         376.83          
43      500         36.15           58.77           -76.29          383.21          
44      500         42.88           69.94           -67.81          362.83          
45      500         42.62           60.69           -48.29          325.85          
46      500         43.21           69.57           -98.96          391.35          
47      500         39.40           62.63           -53.08          375.93          
48      500         34.16           62.51           -72.86          471.94          
49      500         42.14           68.86           -196.73         505.54          
50      500         41.25           62.52           -137.49         335.92          
51      500         37.93           63.55           -115.59         415.93          
52      500         45.21           66.95           -72.89          392.16          
53      500         44.45           70.81           -66.22          507.68          
54      500         50.52           74.36           -51.48          401.09          
55      500         38.69           65.21           -136.03         390.97          
56      500         45.37           72.94           -111.53         425.25          
57      500         42.68           70.58           -55.68          456.40          
58      500         46.50           72.45           -90.71          385.28          
59      500         46.10           71.01           -116.67         423.23          
60      500         46.65           68.23           -51.98          363.27          
61      500         53.43           76.42           -49.81          370.32          
62      500         54.47           87.68           -47.16          957.29          
63      500         58.54           81.42           -47.58          384.00          
64      500         62.41           86.50           -82.23          444.03          
65      500         67.89           90.17           -64.52          485.65          
66      500         59.93           88.61           -208.65         828.46          
67      500         66.43           90.94           -56.91          580.89          
68      500         64.27           89.40           -72.92          450.01          
69      500         62.45           93.86           -56.31          1018.75         
70      500         66.58           95.48           -61.34          1002.32         
71      500         66.32           86.23           -70.36          410.55          
72      500         75.72           107.45          -98.68          948.99          
73      500         71.43           89.58           -100.13         429.77          
74      500         75.86           91.95           -77.53          498.94          
75      500         84.77           105.97          -133.56         961.06          
76      500         84.10           97.51           -84.45          467.83          
77      500         83.90           98.86           -81.57          495.85          
78      500         93.93           106.73          -145.25         516.89          
79      500         101.38          113.43          -51.03          968.42          
80      500         103.86          111.68          -95.18          591.96          
81      500         103.16          109.96          -76.61          518.86          
82      500         89.63           102.39          -77.33          507.40          
83      500         97.23           105.95          -94.58          548.12          
84      500         95.15           120.27          -82.04          1130.99         
85      500         102.53          115.03          -81.84          964.34          
86      500         113.76          119.09          -58.60          986.04          
87      500         110.67          117.72          -121.43         1022.11         
88      500         115.65          117.22          -72.74          705.29          
89      500         114.19          132.74          -81.52          1040.34         
90      500         124.07          112.32          -66.12          607.16          
91      500         122.37          113.92          -75.38          544.59          
92      500         130.87          124.58          -66.62          1025.97         
93      500         134.02          126.31          -117.49         708.31          
94      500         146.91          132.83          -90.36          913.44          
95      500         139.07          127.79          -72.85          822.63          
96      500         145.76          131.29          -50.84          745.27          
97      500         146.78          137.95          -92.53          1020.77         
98      500         151.11          132.18          -38.07          979.62          
99      500         162.92          142.80          -52.59          991.82          
100     500         181.16          143.06          -111.03         1008.27         
101     500         171.76          141.66          -33.76          998.15          
102     500         193.81          158.45          -58.03          1028.31         
103     500         188.87          154.17          -53.50          1035.08         
